rank	yeast_gene	cosine
1	YER119C	0.96592
2	YIL121W	0.96567
3	YBR241C	0.96444
4	YPL264C	0.96444
5	YNR055C	0.96374
6	YER039C	0.96219
7	YIL120W	0.96218
8	YDR536W	0.96195
9	YEL064C	0.96061
10	YOL103W	0.96034
11	YDL128W	0.95988
12	YDR497C	0.95916
13	YPL244C	0.9589
14	YCL025C	0.95887
15	YML018C	0.95845
16	YGR191W	0.95787
17	YGR138C	0.95765
18	YJR124C	0.95763
19	YJL219W	0.95718
20	YHR032W	0.95705
21	YBR008C	0.95699
22	YMR034C	0.95698
23	YNL270C	0.95695
24	YIL170W	0.95664
25	YJL214W	0.95655
26	YKL146W	0.95648
27	YLL028W	0.95631
28	YGR055W	0.95611
29	YBR043C	0.95598
30	YGR224W	0.95591
31	YDR508C	0.95585
32	YNR072W	0.95583
33	YLR034C	0.95583
34	YNL268W	0.95575
35	YKR105C	0.95575
36	YCR028C	0.95562
37	YOL156W	0.9556
38	YFL055W	0.95507
39	YER026C	0.95506
40	YHR094C	0.95476
41	YEL069C	0.95474
42	YHL040C	0.95443
43	YFL011W	0.95425
44	YDR038C	0.95413
45	YMR279C	0.95412
46	YDR040C	0.95404
47	YEL063C	0.95398
48	YEL065W	0.95391
49	YLR081W	0.9539
50	YMR221C	0.95381
51	YDR135C	0.95372
52	YPR156C	0.95368
53	YDR039C	0.95362
54	YOR273C	0.95362
55	YPL031C	0.95356
56	YCL073C	0.95333
57	YKR106W	0.95328
58	YDR046C	0.95294
59	YJR001W	0.95289
60	YBR068C	0.9526
61	YPL274W	0.95256
62	YJR152W	0.95242
63	YPL246C	0.95216
64	YDR196C	0.95212
65	YOL162W	0.95202
66	YOL075C	0.95198
67	YKR093W	0.95178
68	YDL245C	0.95171
69	YJR158W	0.95158
70	YIL088C	0.95154
71	YMR011W	0.95143
72	YKL166C	0.9513
73	YGR260W	0.95126
74	YGL225W	0.95117
75	YLL061W	0.95108
76	YGL167C	0.95091
77	YML116W	0.95062
78	YAL067C	0.95047
79	YLL055W	0.95042
80	YML123C	0.95036
81	YCR098C	0.95034
82	YCL069W	0.95015
83	YHR096C	0.95011
84	YMR015C	0.95003
85	YPL265W	0.95
86	YDL052C	0.94989
87	YOR348C	0.94982
88	YHL047C	0.94976
89	YNL125C	0.94961
90	YGR065C	0.9496
91	YBR287W	0.94949
92	YLR004C	0.94942
93	YBR187W	0.94936
94	YOL122C	0.94926
95	YDL210W	0.94922
96	YNL065W	0.9485
97	YIL048W	0.94836
98	YIR028W	0.9483
99	YGR060W	0.94827
100	YOL158C	0.94825
101	YHR050W	0.94817
102	YOR257W	0.94817
103	YKR053C	0.94807
104	YER185W	0.94804
105	YJR116W	0.94739
106	YBL089W	0.94733
107	YNR070W	0.94724
108	YNL275W	0.94715
109	YDR090C	0.94713
110	YDR345C	0.94698
111	YPR113W	0.94668
112	YOL002C	0.94656
113	YBR235W	0.9465
114	YOR092W	0.94647
115	YBR294W	0.94636
116	YHL003C	0.94627
117	YDR011W	0.94624
118	YHR092C	0.94606
119	YNL130C	0.94602
120	YJL134W	0.94591
121	YGL077C	0.9459
122	YBL042C	0.94575
123	YGR040W	0.94569
124	YMR301C	0.94566
125	YGR281W	0.94564
126	YAL026C	0.94542
127	YOR317W	0.94539
128	YOL163W	0.94537
129	YLR092W	0.94535
130	YNL095C	0.94532
131	YPR183W	0.94519
132	YBR243C	0.94517
133	YBR132C	0.94517
134	YIL166C	0.94506
135	YBR021W	0.94506
136	YIL118W	0.94496
137	YKR039W	0.94495
138	YBR180W	0.94487
139	YBR069C	0.94487
140	YJR095W	0.94484
141	YHR007C	0.94483
142	YOR306C	0.94481
143	YOR192C	0.94452
144	YJR015W	0.94451
145	YLR130C	0.94449
146	YOL020W	0.94436
147	YHR048W	0.94424
148	YDR438W	0.94423
149	YHL036W	0.94411
150	YFL026W	0.94411
151	YGR213C	0.94404
152	YOR328W	0.94403
153	YHR030C	0.94402
154	YFL038C	0.94373
155	YMR243C	0.94364
156	YOR071C	0.94361
157	YOL119C	0.94338
158	YDR402C	0.94338
159	YHR123W	0.94325
160	YER145C	0.94314
161	YDL108W	0.94307
162	YHL016C	0.94301
163	YHR135C	0.94297
164	YGR197C	0.94292
165	YGL006W	0.94277
166	YJL164C	0.94274
167	YOL092W	0.94273
168	YDR406W	0.94264
169	YGR152C	0.94262
170	YDR456W	0.94259
171	YDL006W	0.94248
172	YPR003C	0.94246
173	YLR241W	0.94239
174	YGR028W	0.94225
175	YER019W	0.94225
176	YEL031W	0.94213
177	YOR380W	0.94208
178	YGL186C	0.94194
179	YDR342C	0.94193
180	YPR194C	0.94182
181	YBL016W	0.94159
182	YMR058W	0.9415
183	YDL247W	0.9415
184	YER020W	0.94148
185	YLR113W	0.94138
186	YBR298C	0.94132
187	YAL023C	0.94116
188	YHR026W	0.94105
189	YOR316C	0.94095
190	YJR160C	0.94093
191	YPL203W	0.94092
192	YMR253C	0.94076
193	YPL175W	0.94076
194	YER133W	0.94068
195	YBR220C	0.94062
196	YDR343C	0.94058
197	YGL012W	0.94048
198	YCR027C	0.94044
199	YNL093W	0.94041
200	YPR138C	0.94028
201	YPR011C	0.94025
202	YPL006W	0.93995
203	YER090W	0.93992
204	YOL137W	0.93992
205	YNR060W	0.93982
206	YBR164C	0.93981
207	YGR289C	0.93975
208	YJL167W	0.9397
209	YCR023C	0.93968
210	YER125W	0.93955
211	YOR326W	0.93955
212	YER089C	0.93952
213	YDL134C	0.93929
214	YDL188C	0.93924
215	YHR132C	0.93922
216	YNL154C	0.93921
217	YLR237W	0.93913
218	YOR049C	0.93905
219	YBR160W	0.93882
220	YOR378W	0.93871
221	YDR375C	0.93865
222	YMR138W	0.93858
223	YGR124W	0.93852
224	YHR175W	0.93848
225	YOR381W	0.9384
226	YNL090W	0.93837
227	YJL108C	0.93822
228	YMR056C	0.93821
229	YNR013C	0.93803
230	YLR397C	0.93791
231	YDR270W	0.93791
232	YKL008C	0.93779
233	YLR152C	0.93778
234	YHR005C	0.93777
235	YPL221W	0.93773
236	YBR080C	0.93765
237	YLR251W	0.93765
238	YOR101W	0.93762
239	YAL054C	0.93755
240	YDR297W	0.93751
241	YER056C	0.93744
242	YGL047W	0.93734
243	YOR011W	0.93725
244	YOR153W	0.93724
245	YPR128C	0.93722
246	YDR062W	0.93719
247	YBR029C	0.93715
248	YER060W	0.93713
249	YLR188W	0.93705
250	YIL009W	0.937
251	YPL204W	0.93696
252	YBR126C	0.93696
253	YOL132W	0.93694
254	YPR145W	0.93694
255	YPL051W	0.93692
256	YOR197W	0.93679
257	YPR051W	0.93666
258	YER171W	0.93644
259	YMR080C	0.93636
260	YLR268W	0.93628
261	YDL194W	0.93627
262	YGL139W	0.93627
263	YBR296C	0.93619
264	YIL116W	0.93614
265	YCR011C	0.936
266	YFL041W	0.93586
267	YER015W	0.93585
268	YJL060W	0.93583
269	YDL138W	0.93581
270	YBR159W	0.93579
271	YPL058C	0.93572
272	YOR094W	0.93565
273	YGR175C	0.93564
274	YOR087W	0.9355
275	YJL094C	0.93544
276	YDL001W	0.93542
277	YBR265W	0.93529
278	YLR213C	0.93522
279	YCR009C	0.9352
280	YER052C	0.9351
281	YML038C	0.93494
282	YOR131C	0.93488
283	YIL124W	0.93487
284	YHR190W	0.93473
285	YKL004W	0.93461
286	YIR022W	0.93458
287	YKL120W	0.9345
288	YBR034C	0.93449
289	Q0085	0.93449
290	YLR262C	0.93434
291	YKL107W	0.93432
292	YGL087C	0.9342
293	YOR311C	0.93416
294	YNR019W	0.93413
295	YNL290W	0.93408
296	YNL044W	0.93406
297	YLL063C	0.93402
298	YMR079W	0.934
299	YLR348C	0.934
