rank	yeast_gene	cosine
1	YFL066C	0.96038
2	YEL013W	0.95091
3	YER072W	0.94785
4	YIL143C	0.94737
5	YPR016C	0.94543
6	YFL026W	0.9432
7	YER148W	0.93995
8	YPL036W	0.93967
9	YGL008C	0.93916
10	YNL006W	0.93908
11	YER025W	0.93851
12	YER177W	0.93579
13	YER069W	0.93552
14	YDR099W	0.93408
15	YPR204W	0.93303
16	YDR129C	0.93296
17	YJR065C	0.93206
18	YAL064C-A	0.93124
19	YKL129C	0.93088
20	YGR252W	0.93056
21	YDR091C	0.93026
22	YJL050W	0.92959
23	YMR109W	0.92886
24	YER081W	0.92875
25	YGL091C	0.92836
26	YPL086C	0.92737
27	YEL077C	0.92714
28	YLR113W	0.92714
29	YOR061W	0.92714
30	YGR210C	0.92691
31	YJR007W	0.92685
32	YNL191W	0.92673
33	YKR059W	0.92661
34	YIL074C	0.92655
35	YPR165W	0.92583
36	YNR026C	0.92575
37	YPL266W	0.92555
38	YLR229C	0.92506
39	YOR270C	0.92467
40	YGL225W	0.92437
41	YHR128W	0.92421
42	YBL026W	0.92402
43	YLR175W	0.92401
44	YOR293W	0.92376
45	YNL290W	0.92373
46	YCR047C	0.92371
47	YEL027W	0.92257
48	YDR021W	0.92255
49	YOR046C	0.92202
50	YKL146W	0.92151
51	YHL016C	0.92134
52	YER171W	0.92125
53	YMR230W	0.92102
54	YGL255W	0.92102
55	YPL235W	0.92093
56	YCL009C	0.92077
57	YKL196C	0.92059
58	YOR204W	0.92036
59	YNR053C	0.9203
60	YOR327C	0.91964
61	YMR146C	0.91946
62	YLR466W	0.91945
63	YEL051W	0.91921
64	YJR156C	0.91915
65	YHR213W	0.91911
66	YAR062W	0.91911
67	YNL332W	0.91901
68	YFL058W	0.91899
69	YDR339C	0.91891
70	YKR042W	0.91884
71	YKL190W	0.91882
72	YPR182W	0.91852
73	YEL034W	0.91826
74	YDL244W	0.91803
75	YPL093W	0.91756
76	YPL119C	0.9175
77	YBR154C	0.91729
78	YLR330W	0.91692
79	YCR057C	0.91639
80	YOR257W	0.9163
81	YGL062W	0.91615
82	YPR173C	0.91615
83	YDR001C	0.91607
84	YKL218C	0.9158
85	YER039C	0.91495
86	YNR032C-A	0.91492
87	YBR127C	0.91489
88	YJL012C	0.91477
89	YER052C	0.91466
90	YBR143C	0.91451
91	YBR080C	0.91412
92	YJR153W	0.91412
93	YDL140C	0.91411
94	YNL066W	0.91405
95	YHR218W	0.91383
96	YFL039C	0.91359
97	YPL094C	0.91351
98	YBL091C	0.91349
99	YBL016W	0.91336
100	YEL031W	0.91309
101	YBL112C	0.91308
102	YHR218W-A	0.91308
103	YBR218C	0.91306
104	YJL108C	0.91253
105	YDL166C	0.91252
106	YOR157C	0.91238
107	YJL014W	0.91231
108	YER007C-A	0.9122
109	YLR375W	0.91192
110	YDL001W	0.91182
111	YHR148W	0.91136
112	YIL123W	0.9112
113	YBL078C	0.91117
114	YAL005C	0.91086
115	YML012W	0.91081
116	YBR114W	0.9108
117	YNL132W	0.91061
118	YBL075C	0.91048
119	YDR540C	0.91047
120	YIL142W	0.91006
121	YGL011C	0.90999
122	YEL042W	0.90975
123	YNL112W	0.90972
124	YCR010C	0.90971
125	YOR378W	0.90964
126	YDR059C	0.90938
127	YOR197W	0.90926
128	YLL018C	0.9092
129	YOL133W	0.90912
130	YOR224C	0.90894
131	YER055C	0.90882
132	YDL006W	0.90881
133	YLR028C	0.90879
134	YCR098C	0.90872
135	YJL116C	0.90869
136	YAL030W	0.90852
137	YGL210W	0.90848
138	YLL024C	0.90842
139	YLR186W	0.90812
140	YBR082C	0.90803
141	YOL038W	0.90798
142	YBL022C	0.90782
143	YLR359W	0.90781
144	YMR290C	0.90764
145	YPL050C	0.90733
146	YBR164C	0.90719
147	YER178W	0.90714
148	YKL104C	0.90713
149	YDL182W	0.90687
150	YOL094C	0.90671
151	YKR080W	0.90653
152	YFL017W-A	0.90648
153	YGL087C	0.90643
154	YNL209W	0.9063
155	YNL104C	0.90626
156	YJL213W	0.90615
157	YPL245W	0.90614
158	YER103W	0.90608
159	YJL034W	0.90603
160	YPL129W	0.906
161	YCR009C	0.90568
162	YLR289W	0.90562
163	YGL120C	0.90538
164	YDR375C	0.90515
165	YBL030C	0.90508
166	YKR002W	0.90503
167	YGR132C	0.90498
168	YLL067C	0.90493
169	YDL229W	0.90478
170	YDL126C	0.90476
171	YPL199C	0.90463
172	YNL189W	0.90463
173	YML102W	0.9046
174	YJL190C	0.90425
175	YGR231C	0.9042
176	YCL017C	0.90401
177	YMR015C	0.90399
178	YNL014W	0.90394
179	YGR267C	0.90392
180	YPL221W	0.90386
181	YNR003C	0.90381
182	YDR238C	0.90378
183	YBL111C	0.90376
184	YNL090W	0.90372
185	YLR055C	0.90354
186	YMR120C	0.90351
187	YDR341C	0.90333
188	YOL066C	0.9033
189	YDL192W	0.90323
190	YOL021C	0.90321
191	YBR106W	0.90317
192	YER031C	0.903
193	YER012W	0.90287
194	YJL008C	0.90282
195	YDL055C	0.90282
196	YOR108W	0.90271
197	YHR200W	0.90268
198	YKR097W	0.90262
199	YPL231W	0.90262
200	YLR130C	0.90258
201	YNL064C	0.90243
202	YPR110C	0.90243
203	YDL014W	0.90239
204	YCR073W-A	0.9023
205	YDR343C	0.90227
206	YKR038C	0.90224
207	YBR296C	0.9022
208	YAL026C	0.90216
209	YLR167W	0.90205
210	YHR092C	0.90204
211	YDR342C	0.9019
212	YDR172W	0.90167
213	YDR232W	0.90157
214	YLR367W	0.9015
215	YER070W	0.90131
216	YHR211W	0.90115
217	YHR106W	0.90106
218	YDL137W	0.90099
219	YNR002C	0.90097
220	YBR235W	0.90096
221	YBR121C	0.9009
222	YJL030W	0.90086
223	YML123C	0.90083
224	YDR190C	0.90081
225	YMR236W	0.90078
226	YCR008W	0.90064
227	YJL128C	0.90057
228	YJR047C	0.90055
229	YNL277W	0.90051
230	YLR328W	0.9005
231	YHR030C	0.90045
232	YMR300C	0.90031
233	YLR249W	0.90031
234	YJL001W	0.90013
235	YML069W	0.90011
236	YLR005W	0.89986
237	YDL222C	0.89974
238	YOR092W	0.89972
239	YML001W	0.89963
240	YPR035W	0.89959
241	YHL040C	0.89953
242	YDR353W	0.89952
243	YJR025C	0.89952
244	YER190W	0.8994
245	YOR151C	0.89936
246	YNL241C	0.89922
247	YDR023W	0.89905
248	YMR307W	0.89902
249	YHL047C	0.89897
250	YIL148W	0.89893
251	YKR094C	0.89893
252	YER107C	0.89868
253	YGR229C	0.89851
254	YFR053C	0.89821
255	YML008C	0.89812
256	YLL050C	0.89811
257	YER145C	0.89809
258	YIL003W	0.89805
259	YHR096C	0.898
260	YJR068W	0.89777
261	YKR039W	0.89773
262	YLR438C-A	0.89772
263	YNL330C	0.89769
264	YPR138C	0.89769
265	YBR085W	0.89764
266	YLL066C	0.8975
267	YDR510W	0.89747
268	YLR258W	0.89732
269	YKL148C	0.89713
270	YJL033W	0.89711
271	YJL045W	0.89708
272	YDR167W	0.89708
273	YOR153W	0.89707
274	YDR345C	0.89695
275	YER060W-A	0.89691
276	YPR041W	0.89685
277	YDL102W	0.8968
278	YBR001C	0.89674
279	YML133C	0.89673
280	YBL041W	0.89665
281	YML018C	0.89651
282	YAL036C	0.8964
283	YGR282C	0.89639
284	YEL011W	0.89634
285	YKL216W	0.89624
286	YFR004W	0.89621
287	YOR094W	0.89613
288	YDR158W	0.89611
289	YMR034C	0.8961
290	YAR050W	0.89607
291	YMR205C	0.89607
292	YLR081W	0.89594
293	YER094C	0.89574
294	YBR170C	0.89571
295	YLR244C	0.8957
296	YIL177C	0.89565
297	YGR173W	0.89562
298	YOL030W	0.89552
299	YPL218W	0.89551
300	YPL237W	0.89543
301	YOR185C	0.89541
302	YIL048W	0.89532
303	YIL066C	0.8951
304	YJR049C	0.89502
305	YLR058C	0.89499
306	YGR020C	0.89498
307	YJL225C	0.89498
308	YDL131W	0.89488
309	YCR068W	0.89487
310	YMR305C	0.89468
311	YER056C	0.89468
312	YLR092W	0.89464
313	YEL065W	0.89455
314	YGR211W	0.89448
315	YJL214W	0.89448
316	YMR244W	0.89447
