rank	yeast_gene	cosine
1	YEL013W	0.95895
2	YER069W	0.95277
3	YPR016C	0.94899
4	YNL191W	0.94803
5	YLR375W	0.94796
6	YIL074C	0.94746
7	YFL066C	0.94712
8	YER081W	0.94605
9	YBR114W	0.94593
10	YFL026W	0.94592
11	YIL143C	0.94571
12	YHR128W	0.94543
13	YPL050C	0.9426
14	YGR229C	0.94199
15	YLR328W	0.94044
16	YDR091C	0.93907
17	YOR061W	0.93883
18	YNL006W	0.93868
19	YCR047C	0.93774
20	YER025W	0.93745
21	YEL042W	0.93738
22	YGR252W	0.93651
23	YCR008W	0.93552
24	YJL128C	0.93499
25	YGR010W	0.93465
26	YER039C	0.93456
27	YEL036C	0.93453
28	YCL017C	0.93417
29	YJR065C	0.93406
30	YPL086C	0.93362
31	YOR257W	0.93308
32	YER171W	0.9328
33	YBL022C	0.93251
34	YHR213W	0.93212
35	YAR062W	0.93212
36	YDL001W	0.93136
37	YKL146W	0.93091
38	YIL048W	0.93083
39	YOL094C	0.9305
40	YIL035C	0.93043
41	YLR175W	0.92989
42	YKL129C	0.92922
43	YDR001C	0.92915
44	YDR021W	0.9288
45	YER052C	0.92863
46	YNR026C	0.92851
47	YML064C	0.92847
48	YJR007W	0.92824
49	YNL290W	0.9276
50	YLR330W	0.92706
51	YLR113W	0.92675
52	YMR109W	0.92638
53	YEL077C	0.92584
54	YIL142W	0.92555
55	YGL115W	0.92519
56	YJR068W	0.92439
57	YNL132W	0.92425
58	YOL066C	0.92401
59	YJL012C	0.92387
60	YER094C	0.92382
61	YFL017W-A	0.92327
62	YDR341C	0.92318
63	YGR286C	0.92318
64	YJL050W	0.92313
65	YBR001C	0.9231
66	YCL009C	0.92307
67	YHR218W	0.92296
68	YBL026W	0.92281
69	YNL277W	0.92259
70	YDL006W	0.92244
71	YGL225W	0.92215
72	YEL031W	0.92194
73	YNL329C	0.92192
74	YJR049C	0.92186
75	YLR466W	0.92181
76	YLR229C	0.92163
77	YOR378W	0.92148
78	YDR232W	0.92145
79	YKR080W	0.92127
80	YEL060C	0.92124
81	YBL041W	0.92112
82	YDR375C	0.9209
83	YLR055C	0.92079
84	YJL045W	0.92068
85	YBL016W	0.92061
86	YER055C	0.92043
87	YER007C-A	0.92017
88	YFR047C	0.91995
89	YOR357C	0.91934
90	YMR080C	0.91881
91	YER148W	0.91867
92	YPL266W	0.91856
93	YNL020C	0.91853
94	YBR235W	0.91834
95	YPR165W	0.91826
96	YPR204W	0.91795
97	YMR015C	0.91775
98	YLL063C	0.91772
99	YMR146C	0.91761
100	YLR005W	0.91717
101	YOR326W	0.91709
102	YHL016C	0.9169
103	YOL068C	0.91685
104	YNL123W	0.91676
105	YKL104C	0.91674
106	YLR359W	0.91673
107	YDR099W	0.91668
108	YKL148C	0.91667
109	YBR154C	0.91641
110	YGR040W	0.91634
