rank	yeast_gene	cosine
1	YCR011C	0.9817
2	YOR087W	0.98046
3	YAL026C	0.9795
4	YDR093W	0.97888
5	YER166W	0.97762
6	YGR281W	0.9771
7	YDL001W	0.97594
8	YJR001W	0.97399
9	YGL006W	0.97382
10	YNL095C	0.97357
11	YGL201C	0.97349
12	YOL075C	0.97269
13	YIL001W	0.97266
14	YBR295W	0.97257
15	YDR039C	0.97166
16	YPL006W	0.97163
17	YMR080C	0.97162
18	YOR326W	0.97143
19	YKL039W	0.97139
20	YGR100W	0.97134
21	YLR152C	0.97133
22	YDR038C	0.9713
23	YMR054W	0.97124
24	YDR264C	0.97097
25	YER026C	0.9709
26	YJL198W	0.97077
27	YBR080C	0.97066
28	YOL122C	0.97061
29	YDR135C	0.97058
30	YNR019W	0.97057
31	YPL153C	0.97023
32	YDR040C	0.96993
33	YEL031W	0.96981
34	YLR398C	0.96975
35	YBL111C	0.96969
36	YBR235W	0.96967
37	YIR026C	0.96963
38	YPR019W	0.96961
39	YBR023C	0.96957
40	YAL029C	0.96953
41	YHR005C	0.96928
42	YHR030C	0.96916
43	YLR092W	0.96908
44	YJR072C	0.96895
45	YKL078W	0.96884
46	YPL221W	0.96875
47	YBR038W	0.96815
48	YOR092W	0.96814
49	YCR037C	0.96812
50	YOR396W	0.96812
51	YDR545W	0.96812
52	YLR467W	0.96812
53	YOL112W	0.9681
54	YDR490C	0.96794
55	YBR245C	0.96772
56	YGR092W	0.96761
57	YOL016C	0.9676
58	YNL125C	0.96748
59	YJR049C	0.96741
60	YNL339C	0.9674
61	YGR296W	0.96736
62	YPL283C	0.96735
63	YJL094C	0.96725
64	YKR050W	0.96709
65	YKL166C	0.96705
66	YHR218W	0.96702
67	YDL007W	0.96676
68	YLR138W	0.96671
69	YBR043C	0.96637
70	YML133C	0.96619
71	YGL017W	0.96598
72	YGR197C	0.96587
73	YPR111W	0.96568
74	YMR285C	0.96567
75	YEL041W	0.96565
76	YJL225C	0.96564
77	YBL023C	0.96556
78	YIL177C	0.96555
79	YLL066C	0.96551
80	YGR040W	0.96543
81	YHL017W	0.96538
82	YDR452W	0.96523
83	YMR266W	0.96522
84	YER190W	0.96504
85	YDR456W	0.96489
86	YLR277C	0.96488
87	YBR202W	0.96486
88	YGL139W	0.96485
89	YAL022C	0.96485
90	YMR162C	0.9648
91	YER089C	0.96478
92	YPL122C	0.96464
93	YEL064C	0.96464
94	YNR011C	0.96446
95	YOL130W	0.96443
96	YHR032W	0.96438
97	YHL003C	0.96433
98	YLR241W	0.9643
99	YLR411W	0.96429
100	YOL084W	0.96425
101	YLL067C	0.96417
102	YOR270C	0.96404
103	YBR294W	0.96404
104	YKL146W	0.96395
105	YKL126W	0.96393
106	YER013W	0.96389
107	YMR288W	0.96378
108	YLR189C	0.96359
109	YLR397C	0.96343
110	YOL066C	0.96339
111	YLR410W	0.96335
112	YFR031C	0.96328
113	YOL137W	0.96325
114	YIR002C	0.96314
115	YHR031C	0.96311
116	YGL130W	0.96303
117	YPR103W	0.96296
118	YLR324W	0.9629
119	YDR074W	0.96284
120	YGR271W	0.96282
121	YOR011W	0.96282
122	YOR304W	0.96274
123	YER176W	0.96266
124	YBL105C	0.96264
125	YFL050C	0.96257
126	YML018C	0.96247
127	YLR137W	0.96237
128	YHR050W	0.96224
129	YGR152C	0.96224
130	YML075C	0.96222
131	YOR250C	0.96216
132	YDL102W	0.96212
133	YOR351C	0.9621
134	YHR012W	0.96207
135	YOR172W	0.96197
136	YOR034C	0.96196
137	YDR291W	0.96193
138	YGR004W	0.96184
139	YPL226W	0.96182
140	YMR196W	0.96172
141	YPL042C	0.96166
142	YGL002W	0.9616
143	YKL135C	0.96151
144	YGR055W	0.96149
145	YBR073W	0.96141
146	YEL032W	0.9614
147	YGL163C	0.96139
148	YOR101W	0.96133
149	YER125W	0.96132
150	YCR048W	0.96128
151	YNL207W	0.96119
152	YDR170C	0.96115
153	YFR048W	0.96108
154	YER164W	0.96096
155	YML068W	0.9609
156	YHR132C	0.9608
157	YDL188C	0.96072
158	YFL008W	0.9607
159	YKR018C	0.96068
160	YPR003C	0.96067
161	YNL329C	0.96064
162	YER019W	0.96064
163	YPL208W	0.96063
164	YIL068C	0.96052
165	YBL017C	0.96045
166	YIL048W	0.96035
167	YIL088C	0.96034
168	YER145C	0.96032
169	YPL051W	0.96031
170	YOR380W	0.96026
171	YJL134W	0.96021
172	YFR014C	0.96016
173	YFR028C	0.96013
174	YNL021W	0.96007
175	YLR466W	0.96004
176	YJR032W	0.96
177	YPL204W	0.96
178	YOR165W	0.95997
179	YDR011W	0.95981
180	YOL103W	0.95968
181	YCR023C	0.95963
182	YNR003C	0.95958
183	YJR143C	0.95956
184	YIL014W	0.95948
185	YGR065C	0.95947
186	YLR130C	0.95938
187	YML067C	0.95937
188	YDL036C	0.95936
189	YDR243C	0.95933
190	YNR065C	0.95926
191	YPR190C	0.95922
192	YLR005W	0.95919
193	YGR125W	0.95914
194	YER020W	0.95912
195	YHR110W	0.95909
196	YJR124C	0.95909
197	YER172C	0.95906
198	YNR013C	0.95905
199	YGL252C	0.95898
200	YAL053W	0.9588
201	YKL104C	0.95876
202	YDL160C	0.95873
203	YNL307C	0.95871
204	YGL167C	0.95869
205	YMR304W	0.95863
206	YCR068W	0.95861
207	YGR217W	0.95859
208	YJL128C	0.95853
209	YFR009W	0.95847
210	YOR155C	0.95845
211	YDR196C	0.95843
212	YBR198C	0.9584
213	YDR508C	0.95838
214	YMR306W	0.95836
215	YOL065C	0.95836
216	YOR321W	0.95835
217	YLR220W	0.95829
218	YNL099C	0.95827
219	YOR357C	0.95821
220	YKL161C	0.95821
221	YBR264C	0.9582
222	YNL223W	0.9582
223	YMR001C	0.95819
224	YIL103W	0.95814
225	YFL042C	0.95809
226	YIL109C	0.95808
227	YKR026C	0.95807
228	YLR451W	0.95807
229	YLR345W	0.95803
230	YLR014C	0.95798
231	YBL011W	0.95798
232	YDL132W	0.95796
233	YKR001C	0.95795
234	YMR034C	0.95795
235	YOR162C	0.95793
236	YDR497C	0.95789
