rank	yeast_gene	cosine
1	YHR128W	0.96148
2	YEL013W	0.95844
3	YFL066C	0.95823
4	YOR378W	0.95206
5	YLR229C	0.95173
6	YER081W	0.95157
7	YNL006W	0.95069
8	YDR091C	0.95064
9	YIL074C	0.95056
10	YPR016C	0.95052
11	YER069W	0.94975
12	YPR165W	0.94954
13	YER039C	0.94923
14	YGR252W	0.94786
15	YOR257W	0.94685
16	YDL006W	0.94611
17	YOL094C	0.94554
18	YNL290W	0.94547
19	YNL191W	0.94545
20	YDR021W	0.94539
21	YJR065C	0.94533
22	YIL143C	0.94523
23	YER025W	0.94461
24	YBR114W	0.94386
25	YFL026W	0.94379
26	YOR061W	0.94339
27	YKR059W	0.94325
28	YPL086C	0.94318
29	YGL225W	0.94264
30	YLR113W	0.94163
31	YCL017C	0.93887
32	YCR047C	0.93811
33	YMR109W	0.93799
34	YBL016W	0.93755
35	YER094C	0.93728
36	YPL266W	0.93659
37	YDR341C	0.9365
38	YDR342C	0.93641
39	YFL011W	0.93632
40	YEL042W	0.93608
41	YBL026W	0.936
42	YDR343C	0.9359
43	YER072W	0.93555
44	YMR011W	0.93534
45	YKL129C	0.93519
46	YHR092C	0.93507
47	YHR096C	0.93499
48	YER171W	0.93484
49	YDL001W	0.93391
50	YER052C	0.93387
51	YJR068W	0.93384
52	YLR081W	0.93376
53	YJL050W	0.93333
54	YMR015C	0.93214
55	YKL146W	0.93188
56	YDR345C	0.93102
57	YHR094C	0.93095
58	YIL170W	0.9308
59	YFL039C	0.9308
60	YJL219W	0.93061
61	YJR007W	0.93043
62	YLR359W	0.93028
63	YIL048W	0.93007
64	YEL069C	0.93002
65	YOL156W	0.92976
66	YHR007C	0.92963
67	YHL016C	0.9296
68	YNR072W	0.92954
69	YKL218C	0.92943
70	YML018C	0.92909
71	YGL255W	0.92897
72	YPL050C	0.92893
73	YJL214W	0.92893
74	YNL090W	0.92882
75	YLR328W	0.92879
76	YEL027W	0.92871
77	YLR175W	0.92829
78	YDR536W	0.92813
79	YER148W	0.92785
80	YDL245C	0.92778
81	YER133W	0.92693
82	YPL036W	0.92668
83	YOR046C	0.92664
84	YEL031W	0.9266
85	YCR098C	0.9265
86	YBL041W	0.92619
87	YDR129C	0.92616
88	YJR158W	0.92594
89	YER055C	0.92582
90	YEL065W	0.92579
91	YGR040W	0.92569
92	YFL017W-A	0.92567
93	YER178W	0.92555
94	YBL022C	0.92552
95	YDR099W	0.92528
96	YGL008C	0.92514
97	YDR001C	0.92504
98	YMR243C	0.92482
99	YJR049C	0.92468
100	YFL055W	0.92428
101	YDR075W	0.92414
102	YIL035C	0.924
103	YPR182W	0.92398
104	YJL164C	0.9239
105	YOR153W	0.92382
106	YMR146C	0.9238
107	YGL091C	0.92359
108	YKR080W	0.92328
109	YJL012C	0.9227
110	YJR148W	0.92235
111	YGR010W	0.9222
112	YDL047W	0.92219
113	YAL064C-A	0.92206
114	YJL213W	0.92203
115	YMR290C	0.92196
116	YJL045W	0.9219
117	YEL077C	0.92181
118	YOL021C	0.92176
119	YGR210C	0.92164
120	YPL119C	0.92161
121	YMR108W	0.92144
122	YBR222C	0.9214
123	YGR229C	0.92138
124	YER007C-A	0.92132
125	YLR466W	0.9213
126	YDR232W	0.92117
127	YHR218W	0.92113
128	YAR062W	0.92098
129	YHR213W	0.92098
130	YAL026C	0.92096
131	YKL104C	0.9209
132	YDL166C	0.92086
133	YGL115W	0.92071
134	YKL148C	0.9204
135	YHR218W-A	0.9204
136	YBL112C	0.9204
137	YBR080C	0.92022
138	YBR164C	0.9202
139	YJL108C	0.9201
140	YHR106W	0.92001
141	YLR438W	0.91999
142	YOL066C	0.91991
143	YGL210W	0.9199
144	YKR039W	0.91986
145	YDR406W	0.91981
146	YLR092W	0.91977
147	YBR160W	0.91974
148	YBR126C	0.91968
149	YKL190W	0.91966
150	YOR157C	0.91965
151	YNL277W	0.91964
152	YIL142W	0.9193
153	YGR286C	0.91921
154	YDR375C	0.91914
155	YLR438C-A	0.91904
156	YPR204W	0.91886
157	YKL196C	0.9188
158	YOL038W	0.91878
159	YER177W	0.91869
160	YDL137W	0.9186
161	YBR082C	0.91844
162	YBR154C	0.9182
163	YFL038C	0.91816
164	YOR204W	0.91815
165	YNR026C	0.91786
166	YPR173C	0.91753
167	YFR047C	0.91729
168	YBR294W	0.91711
169	YCL009C	0.91702
170	YDR059C	0.91701
171	YOR270C	0.91688
172	YKL033W-A	0.91685
173	YGL011C	0.91684
174	YHL040C	0.91667
175	YGR152C	0.91665
176	YIL020C	0.91663
177	YDL086W	0.91642
178	YPR138C	0.9164
179	YPR183W	0.91631
180	YLL063C	0.91622
181	YJR156C	0.91611
182	YDR011W	0.91601
183	YKL166C	0.91601
184	YJL128C	0.9159
185	YNR053C	0.91571
186	YNL112W	0.91566
187	YIL116W	0.9155
188	YHR208W	0.91549
189	YDL102W	0.9154
190	YLL050C	0.91539
191	YOR326W	0.9152
192	YGR132C	0.91505
193	YDL244W	0.91503
194	YJL167W	0.91491
195	YLR375W	0.91475
196	YNL332W	0.91475
197	YPL203W	0.91469
198	YFL058W	0.91456
199	YDL210W	0.91455
200	YBR235W	0.91454
201	YEL060C	0.91446
202	YMR080C	0.91446
203	YKR002W	0.91442
204	YKL024C	0.9143
205	YEL036C	0.91421
206	YCR008W	0.914
207	YML001W	0.91399
208	YDL192W	0.91359
209	YJL001W	0.91351
210	YEL063C	0.91323
211	YDR196C	0.91304
212	YER031C	0.91293
213	YBR043C	0.91289
214	YDR353W	0.91278
215	YOL162W	0.9126
216	YNL329C	0.91256
217	YNL189W	0.91244
218	YGL077C	0.91242
219	YML123C	0.9123
220	YGL087C	0.91226
221	YFL045C	0.91222
222	YOR328W	0.91222
223	YOR327C	0.91219
224	YJL014W	0.91212
225	YBR143C	0.91212
226	YNL123W	0.91209
227	YLR130C	0.91209
228	YNL010W	0.91203
229	YDL164C	0.91187
230	YMR246W	0.91183
231	YFL005W	0.91178
232	YPR033C	0.91176
233	YBR001C	0.91175
234	YLR330W	0.91163
235	YLR420W	0.9115
236	YIL009W	0.9115
237	YNL132W	0.91144
238	YDL168W	0.91136
239	YBL111C	0.91135
240	YFR044C	0.91133
241	YER012W	0.91133
242	YOR197W	0.91131
243	YML064C	0.91131
244	YOR108W	0.91126
245	YNL270C	0.91112
246	YHL047C	0.91111
247	YLL018C	0.91087
248	YLR005W	0.91065
249	YDL201W	0.9106
250	YDR540C	0.91054
251	YKL001C	0.91035
252	YNL268W	0.91019
253	YGL167C	0.91005
254	YLR277C	0.90995
255	YHR030C	0.90964
256	YOR317W	0.90953
257	YER009W	0.90924
258	YMR058W	0.90911
259	YOR092W	0.90906
260	YPL175W	0.90896
261	YKL210W	0.90887
262	YDL125C	0.90863
263	YOR094W	0.90853
264	YDR339C	0.90843
265	YBL091C	0.90841
266	YML012W	0.90841
267	YHR074W	0.9084
268	YBL075C	0.90795
269	YDL134C	0.90794
270	YOR357C	0.90789
271	YML069W	0.9077
272	YOR380W	0.90765
273	YBR287W	0.90765
274	YLR028C	0.90761
275	YLR433C	0.90718
276	YAL005C	0.90713
277	YAL023C	0.90713
278	YPL204W	0.90705
279	YHR018C	0.90697
280	YNR032C-A	0.90685
281	YMR120C	0.90685
282	YMR034C	0.90684
283	YCR057C	0.90671
284	YGR121C	0.9064
285	YLR397C	0.90626
286	YBR218C	0.90603
287	YOL151W	0.90589
288	YPL111W	0.90589
289	YGR185C	0.90582
290	YBR286W	0.9058
291	YGL062W	0.90574
292	YKR038C	0.90574
293	YJR095W	0.90571
294	YNL104C	0.90569
295	YLR244C	0.90562
296	YPR176C	0.90543
297	YNR013C	0.90541
298	YCR073W-A	0.9054
299	YGL001C	0.90538
300	YGR267C	0.90536
301	YLR208W	0.90535
302	YOL132W	0.90521
303	YOR202W	0.90518
304	YJL055W	0.90517
305	YIL118W	0.90509
306	YKL211C	0.90507
307	YER056C	0.90506
308	YJR153W	0.90496
309	YPL259C	0.9049
310	YLR213C	0.90472
311	YLR303W	0.90458
312	YLR172C	0.90439
313	YCR009C	0.90433
314	YNL231C	0.90426
315	YNL202W	0.9042
316	YJL026W	0.90412
317	YOR316C	0.90398
318	YLR120C	0.90394
319	YDR304C	0.90382
320	YCL025C	0.90379
321	YER119C	0.90378
322	YDR404C	0.90365
323	YBR034C	0.90354
324	YMR079W	0.90353
325	YLR121C	0.90347
326	YER060W-A	0.90334
327	YOR006C	0.90332
328	YLR017W	0.90322
329	YLR055C	0.90317
330	YGL256W	0.90303
331	YFL041W	0.903
332	YLR034C	0.90297
333	YDR448W	0.90297
334	YGL224C	0.90294
335	YNR034W	0.90291
336	YMR221C	0.90289
337	YMR303C	0.90289
338	YPL264C	0.90288
339	YEL046C	0.90275
340	YGR191W	0.90268
341	YDL188C	0.90267
342	YNL095C	0.90261
343	YGL119W	0.90251
344	YBR187W	0.90238
345	YNR070W	0.90219
346	YBR241C	0.90212
347	YDR039C	0.90212
348	YAL060W	0.9021
349	YLL067C	0.90178
350	YLR058C	0.90177
351	YGL120C	0.90177
352	YNL125C	0.90165
353	YDL100C	0.90163
354	YOR347C	0.9016
355	YAL030W	0.90157
356	YEL011W	0.90149
357	YMR279C	0.90142
358	YBR298C	0.9013
359	YLL024C	0.90128
360	YDR291W	0.90117
361	YML057W	0.90115
362	YIL003W	0.90112
363	YOL133W	0.90104
364	YPR194C	0.90101
365	YLR060W	0.90097
366	YEL041W	0.90094
367	YDR038C	0.90091
368	YOL090W	0.9009
369	YBR249C	0.90082
370	YGL100W	0.90079
371	YER190W	0.90074
372	YBL036C	0.90073
373	YPR051W	0.90072
374	YDR040C	0.90062
375	YOR095C	0.90056
376	YBR145W	0.90054
377	YMR300C	0.90046
378	YIL064W	0.90046
379	YPL276W	0.90046
380	YDR481C	0.90028
381	YNR003C	0.90022
382	YBR020W	0.9002
383	YOR131C	0.9002
384	YBR132C	0.90019
385	YBR296C	0.89985
386	YGR123C	0.89981
387	YJL033W	0.89979
388	YBR256C	0.89978
389	YKL216W	0.89977
390	YOR128C	0.89976
391	YER026C	0.89975
392	YHR135C	0.89958
393	YPL234C	0.89957
394	YDL126C	0.89952
395	YJR072C	0.8994
396	YER060W	0.89921
397	YOL068C	0.89918
398	YHR144C	0.89913
399	YDL131W	0.89909
400	YNL021W	0.89906
401	YPL235W	0.89903
402	YFR053C	0.89892
403	YEL051W	0.89881
404	YOR099W	0.89881
405	YEL030W	0.89881
406	YGR282C	0.8988
407	YGR055W	0.89877
408	YDR234W	0.89874
409	YER086W	0.89872
410	YER125W	0.89869
411	YDL052C	0.89869
412	YPL058C	0.89867
413	YNR002C	0.89865
414	YDR497C	0.89861
415	YOR388C	0.89856
416	YNL222W	0.89846
417	YML008C	0.89844
418	YMR083W	0.89828
419	YDR294C	0.89824
420	YBR088C	0.89812
421	YJL035C	0.89804
422	YFR031C	0.89789
423	YER089C	0.89785
424	YCR072C	0.89781
425	YNL099C	0.89774
426	YGL253W	0.89767
427	YDR402C	0.89767
428	YML080W	0.8976
429	YPR145W	0.89758
430	YLR355C	0.89755
431	YER103W	0.89753
432	YKR050W	0.89752
433	YBL078C	0.89749
434	YDR037W	0.89745
435	YDR046C	0.89745
436	YOL030W	0.89741
437	YOR323C	0.89732
438	YER020W	0.89728
439	YJL198W	0.89722
440	YOL086C	0.89721
441	YPL221W	0.89717
442	YGL252C	0.89717
443	YBR019C	0.89716
444	YLR193C	0.89715
445	YJL034W	0.89708
446	YIL010W	0.89698
447	YPL265W	0.89694
448	YNL241C	0.89685
449	YPL129W	0.89673
450	YPR052C	0.89672
451	YOR241W	0.89666
452	YDL095W	0.89658
453	YBR085W	0.89655
454	YLR289W	0.89652
455	YCR010C	0.8965
456	YJL060W	0.89641
457	YOL122C	0.89636
458	YGR028W	0.89635
459	YNL098C	0.89623
460	YIL121W	0.89622
461	YPL094C	0.89612
462	YPR103W	0.8961
463	YDR454C	0.89598
464	YJR143C	0.89596
465	YGR175C	0.89594
466	YML133C	0.8958
467	YDL097C	0.89579
468	YPL093W	0.89577
469	YBR153W	0.89572
470	YIL177C	0.89557
471	YLL066C	0.89556
472	YNL142W	0.89556
473	YPR167C	0.89554
474	YIR027C	0.89553
475	YHR057C	0.89545
476	YNL082W	0.89534
477	YBL030C	0.8953
478	YLR152C	0.89529
479	YDR035W	0.89526
480	YMR008C	0.89521
481	YER099C	0.89516
482	YGR100W	0.89513
483	YDR373W	0.89512
484	YHR110W	0.89511
485	YMR084W	0.8951
486	YDL243C	0.89496
487	YDR519W	0.89493
488	YPL208W	0.89493
489	YGR231C	0.89492
490	YJL225C	0.89489
491	YBR121C	0.89489
492	YKR093W	0.89481
493	YMR241W	0.89476
494	YPL184C	0.89474
495	YPL199C	0.89471
496	YPL028W	0.89465
497	YPL051W	0.89465
498	YOL112W	0.89459
499	YOR003W	0.89457
500	YJR025C	0.89445
501	YMR205C	0.89445
502	YGR124W	0.89445
503	YNL331C	0.8944
504	YDL182W	0.89437
505	YDL128W	0.89434
506	YER090W	0.89425
507	YMR236W	0.8942
508	YPR035W	0.89417
509	YCR053W	0.89414
510	YER145C	0.89411
511	YNL200C	0.89407
512	YGR155W	0.89405
513	YJL218W	0.89405
514	YDL055C	0.89402
515	YEL064C	0.89402
516	YMR022W	0.894
517	YIL166C	0.89385
518	YNL014W	0.89375
519	YDL238C	0.89372
520	YDR090C	0.89362
521	YIR042C	0.8936
522	YGR208W	0.89359
523	YPL169C	0.89353
524	YBR008C	0.89352
525	YDR062W	0.89347
526	YKR056W	0.89346
527	YNL154C	0.89345
528	YER019W	0.89322
529	YLR268W	0.89317
530	YBR068C	0.89315
531	YKL184W	0.89303
532	YOR217W	0.89289
533	YJR001W	0.89281
534	YLR070C	0.89276
535	YNL330C	0.89275
536	YNL209W	0.89272
537	YBR214W	0.89266
538	YOR004W	0.89252
539	YPL244C	0.8924
540	YDR111C	0.89239
541	YPR081C	0.89234
542	YLR195C	0.89233
543	YNL113W	0.89233
544	YLR189C	0.8923
545	YEL058W	0.89228
546	YPL031C	0.89227
547	YCL018W	0.89224
548	YHL036W	0.89218
549	YPL274W	0.89198
550	YJR160C	0.8919
551	YGL026C	0.89186
552	YJL008C	0.89186
553	YGR060W	0.89183
554	YJL143W	0.89179
555	YHR031C	0.89169
556	YJR024C	0.89162
557	YHR132C	0.89158
558	YIL053W	0.89156
559	YBR170C	0.89155
560	YIR029W	0.89154
561	YBR295W	0.89149
562	YHR012W	0.89144
563	YPL246C	0.89143
564	YFL056C	0.89142
565	YBR015C	0.89139
566	YER015W	0.89131
567	YMR285C	0.89129
568	YGR218W	0.89127
569	YOR396W	0.8912
570	YLR467W	0.8912
571	YDR545W	0.8912
572	YIL078W	0.89119
573	YMR301C	0.89117
574	YPR110C	0.89115
575	YER166W	0.89114
576	YKR026C	0.89112
577	YLR134W	0.89109
578	YLR304C	0.89108
579	YMR226C	0.89101
580	YHR005C	0.891
581	YGR281W	0.891
582	YPR131C	0.89094
583	YNL274C	0.89094
584	YCR068W	0.89085
585	YHR050W	0.89082
586	YFR028C	0.89073
587	YDR541C	0.89069
588	YHR070W	0.89065
589	YGR211W	0.89062
590	YDR214W	0.89061
591	YDL108W	0.89048
592	YIL088C	0.89047
593	YGR087C	0.89046
594	YEL026W	0.89043
595	YNL108C	0.89042
596	YDR508C	0.89033
597	YHR025W	0.89028
598	YML106W	0.89026
599	YPL154C	0.89021
600	YHR029C	0.89006
601	YHR042W	0.89004
602	YHR112C	0.88974
603	YJR045C	0.88974
604	YHR211W	0.8897
605	YLL061W	0.88966
606	YGL097W	0.88963
607	YDR023W	0.88961
608	YBL039C	0.88961
609	YMR215W	0.88958
610	YDL229W	0.88954
611	YOR348C	0.88943
612	YCR011C	0.88934
613	YOR236W	0.88933
614	YBR035C	0.88932
615	YKL003C	0.88928
616	YIR002C	0.88926
617	YHL011C	0.88926
618	YGR240C	0.88922
619	YJL208C	0.88918
620	YDR083W	0.88908
621	YHR100C	0.88908
622	YJL087C	0.88907
623	YAL061W	0.88906
624	YIL120W	0.88902
625	YER165W	0.88899
626	YNL020C	0.88897
627	YOL097C	0.88895
628	YML116W	0.8889
629	YJR152W	0.88883
630	YKL113C	0.8886
631	YDL160C	0.88858
632	YCL010C	0.88855
633	YER070W	0.88838
634	YPL218W	0.88825
635	YDR238C	0.88817
636	YLR170C	0.88806
637	YAL054C	0.88802
638	YPL061W	0.88797
639	YNR055C	0.88788
640	YMR202W	0.88779
641	YPR019W	0.88778
642	YIL160C	0.88777
643	YOR089C	0.88776
644	YMR056C	0.88769
645	YOR101W	0.88769
646	YDR074W	0.88768
647	YOL060C	0.88764
648	YNL244C	0.8875
649	YHR032W	0.8875
650	YBR046C	0.88748
651	YGR289C	0.88743
652	YLR249W	0.88738
653	YBR169C	0.88732
654	YGR163W	0.88732
655	YMR178W	0.88722
656	YNL044W	0.88717
657	YLL055W	0.88716
658	YCL040W	0.88715
659	YGR019W	0.88715
660	YCL073C	0.88713
661	YBR038W	0.8871
662	YBL105C	0.88705
663	YOL103W	0.88705
664	YKL144C	0.88705
665	YNR065C	0.88703
666	YGL139W	0.88703
667	YHR019C	0.88699
668	YLR137W	0.88698
669	YKR068C	0.88698
670	YMR266W	0.88696
671	YDL036C	0.88694
672	YEL021W	0.88693
673	YCL030C	0.88691
674	YGL039W	0.88688
