rank	yeast_gene	cosine
1	YER148W	0.96884
2	YIL143C	0.9647
3	YMR109W	0.96451
4	YKL129C	0.96187
5	YEL051W	0.96156
6	YGR252W	0.95979
7	YER072W	0.95913
8	YDR339C	0.95908
9	YGL008C	0.95807
10	YPL036W	0.95702
11	YBR154C	0.95672
12	YNR053C	0.95668
13	YPL266W	0.95559
14	YDR129C	0.95545
15	YJL050W	0.95486
16	YGR210C	0.95339
17	YPL235W	0.95307
18	YKL196C	0.95306
19	YDR091C	0.9527
20	YJL014W	0.95265
21	YPR204W	0.95234
22	YOR046C	0.95214
23	YER025W	0.95203
24	YFL066C	0.95193
25	YPR182W	0.95101
26	YGL091C	0.95073
27	YBL026W	0.95059
28	YOR204W	0.95051
29	YKR059W	0.95038
30	YOR270C	0.95017
31	YJR007W	0.94964
32	YPR016C	0.94897
33	YER171W	0.94886
34	YPL093W	0.94879
35	YDL140C	0.94844
36	YER177W	0.94833
37	YKL190W	0.94812
38	YLR113W	0.94783
39	YDR099W	0.94773
40	YNL112W	0.94753
41	YDR021W	0.94749
42	YPR173C	0.94728
43	YNL290W	0.94716
44	YEL077C	0.94709
45	YOR224C	0.94694
46	YOR257W	0.94678
47	YBR143C	0.94652
48	YPL119C	0.94646
49	YDL166C	0.94643
50	YCR047C	0.94611
51	YMR290C	0.94609
52	YCL009C	0.9459
53	YGL062W	0.94575
54	YPL129W	0.94567
55	YLR229C	0.9456
56	YGR231C	0.94497
57	YGL120C	0.94445
58	YHR128W	0.94428
59	YBL078C	0.94399
60	YER007C-A	0.9439
61	YJR156C	0.94385
62	YNL332W	0.94375
63	YFL058W	0.94374
64	YBR218C	0.94343
65	YEL034W	0.94338
66	YDL244W	0.94333
67	YJR065C	0.94332
68	YBL112C	0.94326
69	YHR218W-A	0.94326
70	YNL189W	0.94325
71	YOL038W	0.94318
72	YML012W	0.94313
73	YOR293W	0.94296
74	YMR230W	0.94295
75	YPL094C	0.94234
76	YLR175W	0.94226
77	YJL012C	0.94224
78	YBL091C	0.94211
79	YER081W	0.94209
80	YLR186W	0.94207
81	YCR009C	0.94178
82	YLR466W	0.94178
83	YNL064C	0.94171
84	YBR106W	0.94164
85	YBL075C	0.94161
86	YPR165W	0.94157
87	YOR061W	0.94148
88	YDL126C	0.94146
89	YJL108C	0.94142
90	YNL113W	0.94108
91	YHR200W	0.941
92	YKR002W	0.94087
93	YLR289W	0.94075
94	YOL021C	0.94056
95	YGR020C	0.94048
96	YML069W	0.94033
97	YGR267C	0.94026
98	YDL014W	0.94
99	YAL005C	0.93994
100	YLL018C	0.93971
101	YOL133W	0.93969
102	YBR080C	0.93964
103	YDR023W	0.93956
104	YPL199C	0.9395
105	YDR238C	0.93941
106	YJL034W	0.93928
107	YHL016C	0.93918
108	YML102W	0.93882
109	YGL011C	0.93874
110	YJL030W	0.93869
111	YHR148W	0.93868
112	YNL006W	0.93859
113	YEL031W	0.93845
114	YGR211W	0.93831
115	YBR082C	0.9383
116	YKL104C	0.93825
117	YNL191W	0.93791
118	YBL016W	0.93784
119	YOR327C	0.93768
120	YLL024C	0.93765
121	YJR025C	0.93764
122	YCR057C	0.93739
123	YNL132W	0.93734
124	YPL086C	0.93734
125	YJL008C	0.93732
126	YNL209W	0.93726
127	YDR510W	0.93724
128	YMR236W	0.93719
129	YFL026W	0.93685
130	YOL097C	0.93666
131	YLR028C	0.93662
132	YNL014W	0.93661
133	YEL013W	0.93659
134	YJL026W	0.93657
135	YHR170W	0.93641
136	YMR146C	0.93637
137	YER103W	0.93632
138	YBR164C	0.93628
139	YKL146W	0.93628
140	YHR030C	0.93612
141	YPR110C	0.93609
142	YDL229W	0.93581
143	YGL255W	0.93565
144	YDR059C	0.93556
145	YER107C	0.93548
146	YIL074C	0.93548
147	YPR041W	0.93547
148	YPL245W	0.9354
149	YLR234W	0.93532
150	YJL164C	0.93525
151	YER055C	0.93496
152	YDL001W	0.93491
153	YLR249W	0.93487
154	YFL039C	0.93484
155	YBL071W-A	0.93483
156	YMR300C	0.9348
157	YPL203W	0.93458
158	YKR080W	0.93445
159	YER012W	0.93444
160	YIL142W	0.93424
161	YGR218W	0.93423
162	YDR540C	0.93422
163	YAL026C	0.93416
164	YPL237W	0.93415
165	YDR375C	0.93408
166	YLR438C-A	0.93403
167	YDR341C	0.934
168	YKL218C	0.93392
169	YBR127C	0.93387
170	YNL255C	0.93386
171	YDR190C	0.93378
172	YFL017W-A	0.93374
173	YOR151C	0.93368
174	YNR003C	0.9336
175	YLR005W	0.93356
176	YOR197W	0.93353
177	YMR260C	0.9334
178	YGL070C	0.93336
179	YGL225W	0.93335
180	YHR018C	0.93333
181	YGR132C	0.93327
182	YNL241C	0.93327
183	YER178W	0.93319
184	YPR183W	0.93316
185	YOR157C	0.93311
186	YHR110W	0.93299
187	YNL090W	0.93299
188	YNL244C	0.93277
189	YMR015C	0.93273
190	YML008C	0.93263
191	YAR002C-A	0.93244
192	YPL218W	0.93235
193	YGL099W	0.93223
194	YDR172W	0.93221
195	YKL013C	0.93209
196	YBR114W	0.93193
197	YER069W	0.9318
198	YIL078W	0.9317
199	YHR070W	0.93168
200	YAL030W	0.93158
201	YHR106W	0.93154
202	YER020W	0.9315
203	YOL094C	0.93141
204	YOR185C	0.93138
205	YCR010C	0.93137
206	YKR038C	0.93095
207	YLR258W	0.93093
208	YKL113C	0.93089
209	YDL055C	0.93079
210	YPR052C	0.93067
211	YDR353W	0.93058
212	YPL106C	0.93057
213	YDR448W	0.93056
214	YIL003W	0.93054
215	YDL102W	0.93036
216	YDR158W	0.93029
217	YOR004W	0.9302
218	YOL143C	0.9301
219	YJL033W	0.93009
220	YKL024C	0.93007
221	YDL182W	0.93002
222	YDR304C	0.92995
223	YBR121C	0.92987
224	YLL050C	0.92984
225	YOR153W	0.92973
226	YER159C	0.92971
227	YBR160W	0.92965
228	YDR001C	0.92952
229	YLR195C	0.92934
230	YMR120C	0.9293
231	YDR373W	0.92915
232	YJR047C	0.92909
233	YLR058C	0.92907
234	YFR053C	0.92898
235	YBL022C	0.92894
236	YGL087C	0.92894
237	YJL213W	0.92888
238	YLL067C	0.92881
239	YER166W	0.92872
240	YDL022W	0.92871
241	YOR006C	0.92869
242	YER052C	0.92863
243	YGL210W	0.92834
244	YDR424C	0.92828
245	YBR296C	0.92821
246	YGL253W	0.9282
247	YMR034C	0.9282
248	YKL216W	0.92815
249	YLR293C	0.92812
250	YKR097W	0.9281
251	YLR170C	0.92801
252	YEL027W	0.928
253	YLR359W	0.9279
254	YOR094W	0.92785
255	YDL192W	0.92774
256	YOR202W	0.92773
257	YLR200W	0.9277
258	YJL190C	0.92766
259	YDR406W	0.92761
260	YER125W	0.92761
261	YGR253C	0.9276
262	YLR367W	0.92751
263	YOR259C	0.92746
264	YKL001C	0.92739
265	YBR169C	0.92718
266	YHR218W	0.92715
267	YPL259C	0.92711
268	YJR153W	0.9271
269	YHL047C	0.927
270	YER165W	0.92695
271	YHR065C	0.92695
272	YHL040C	0.92693
273	YBR196C	0.92691
274	YDR300C	0.92685
275	YKR068C	0.92679
276	YDL137W	0.92664
277	YDR388W	0.92648
278	YFL045C	0.92644
279	YMR079W	0.92644
280	YJL111W	0.92635
281	YDL160C	0.9263
282	YLR259C	0.92628
283	YNL098C	0.92627
284	YGR185C	0.92615
285	YLR330W	0.92614
286	YKL059C	0.92613
287	YNL330C	0.9261
288	YML124C	0.92604
289	YOR187W	0.92603
290	YKL002W	0.926
291	YDL208W	0.92599
292	YDR404C	0.92598
293	YBR038W	0.92594
294	YBL024W	0.92592
295	YNL288W	0.92591
296	YER190W	0.9259
297	YLR433C	0.92582
298	YNR026C	0.9258
299	YBR170C	0.92574
300	YGL048C	0.92574
301	YDL164C	0.92565
302	YHR107C	0.92561
303	YER039C	0.92559
304	YCR098C	0.92558
305	YHR019C	0.92556
306	YDL222C	0.92554
307	YBR089C-A	0.92548
308	YOR362C	0.92547
309	YDL097C	0.92541
310	YGR105W	0.92534
311	YOR298C-A	0.92534
312	YHR089C	0.92531
313	YNR002C	0.92516
314	YHR007C	0.92516
315	YPL221W	0.92512
316	YPR035W	0.92511
317	YMR205C	0.92502
318	YNL010W	0.925
319	YLR193C	0.92493
320	YGR123C	0.92489
321	YAR073W	0.92485
322	YER031C	0.92485
323	YDR002W	0.92482
324	YEL011W	0.9248
325	YER070W	0.92477
326	YGL256W	0.92472
327	YML085C	0.92464
328	YML123C	0.92463
329	YPR088C	0.92463
330	YLL026W	0.92459
331	YKR039W	0.92445
332	YDR155C	0.92435
333	YDL201W	0.92433
334	YFR015C	0.92428
335	YDL006W	0.92424
336	YFR004W	0.92414
337	YPL050C	0.9241
338	YER036C	0.92405
339	YLR244C	0.92404
340	YKL035W	0.92403
341	YDL100C	0.92393
342	YGR040W	0.92382
343	YBR261C	0.92377
344	YBR252W	0.92377
345	YGR207C	0.92376
346	YDR394W	0.92372
347	YOL066C	0.92368
348	YER099C	0.92351
349	YFR014C	0.92344
350	YJL001W	0.9234
351	YBR054W	0.92326
352	YBL030C	0.92325
353	YJR045C	0.92325
354	YGL167C	0.92324
355	YPR086W	0.92323
356	YJR068W	0.92313
357	YCR073W-A	0.92299
358	YOL005C	0.92296
359	YOL030W	0.92295
360	YDR185C	0.92294
361	YPR033C	0.92292
362	YOR027W	0.92286
363	YHR135C	0.92281
364	YDL047W	0.9228
365	YLR397C	0.92279
366	YCL010C	0.92277
367	YDR167W	0.92274
368	YGR048W	0.92267
369	YOR168W	0.92264
370	YKL117W	0.92262
371	YLR147C	0.92262
372	YML057W	0.92253
373	YBR187W	0.92244
374	YOR217W	0.92242
375	YDL084W	0.92236
376	YLR069C	0.92235
377	YDR037W	0.92233
378	YEL030W	0.92227
379	YER060W-A	0.92226
380	YGR152C	0.92218
381	YCR068W	0.92216
382	YLR268W	0.92213
383	YER145C	0.92213
384	YGL078C	0.92205
385	YBL041W	0.92204
386	YIL177C	0.92203
387	YHR092C	0.92199
388	YPR113W	0.92199
389	YHR068W	0.92195
390	YPL058C	0.92178
391	YEL026W	0.92178
392	YLL066C	0.92174
393	YFR009W	0.92173
394	YMR307W	0.9217
395	YJL225C	0.92167
396	YPR103W	0.92159
397	YGR246C	0.92151
398	YHL015W	0.92145
399	YOR347C	0.92121
400	YNL138W	0.92116
401	YMR246W	0.92115
402	YBR249C	0.92104
403	YGR173W	0.92097
404	YHL011C	0.92095
405	YMR203W	0.92091
406	YGL200C	0.92087
407	YER094C	0.92078
408	YOR117W	0.92075
409	YIL066C	0.92075
410	YJL167W	0.92066
411	YJL136C	0.92065
412	YDR092W	0.92062
413	YML001W	0.92062
414	YAR015W	0.92061
415	YLR328W	0.92059
416	YLR060W	0.92052
417	YLR055C	0.92034
418	YML133C	0.9203
419	YLR153C	0.9202
420	YNL277W	0.92012
421	YIR042C	0.9201
422	YHR057C	0.92002
423	YIL021W	0.92
424	YDR343C	0.91998
425	YLR074C	0.91995
426	YDL064W	0.91994
427	YNL104C	0.9199
428	YBR011C	0.91979
429	YER179W	0.91972
430	YOR089C	0.91969
431	YPL231W	0.9196
432	YDR342C	0.9196
433	YKL210W	0.91952
434	YOR108W	0.91952
435	YDR345C	0.9195
436	YLR130C	0.91949
437	YPR062W	0.91942
438	YOR326W	0.91941
439	YHL050C	0.91935
440	YOR092W	0.91926
441	YMR183C	0.91921
442	YER095W	0.91911
443	YDR196C	0.91897
444	YDR116C	0.91884
445	YER056C	0.91882
446	YPL061W	0.9188
447	YPR181C	0.9188
448	YKL148C	0.91879
449	YLR429W	0.91872
450	YER133W	0.91855
451	YJL217W	0.91855
452	YDR075W	0.91837
453	YLR172C	0.91835
454	YDR011W	0.91832
455	YGR208W	0.91829
456	YDR454C	0.91828
457	YLR326W	0.91807
458	YNL061W	0.91805
459	YPL240C	0.91798
460	YKR042W	0.91781
461	YER086W	0.91781
462	YEL058W	0.91772
463	YOR323C	0.91766
464	YCL017C	0.91762
465	YOR159C	0.91761
466	YJL055W	0.91747
467	YDR232W	0.91743
468	YBR235W	0.91742
469	YBL068W	0.91733
470	YAL042W	0.91732
471	YGR282C	0.91731
472	YBL057C	0.91725
473	YPL043W	0.91721
474	YBR085W	0.91719
475	YDR212W	0.91714
476	YOL058W	0.91714
477	YMR217W	0.91712
478	YPL234C	0.9171
479	YDR397C	0.91708
480	YGL002W	0.91704
481	YDR392W	0.91701
482	YOL077C	0.917
483	YJL218W	0.917
484	YEL066W	0.917
485	Q0130	0.91697
486	YDR258C	0.91696
