rank	yeast_gene	cosine
1	YDL192W	0.9403
2	YDL137W	0.93838
3	YLR229C	0.93821
4	YKR059W	0.93544
5	YFL039C	0.93393
6	YPR165W	0.93152
7	YBR164C	0.93099
8	YOR378W	0.92623
9	YDR345C	0.92446
10	YHR092C	0.92356
11	YDL047W	0.92219
12	YDR343C	0.92146
13	YDR342C	0.92105
14	YNL090W	0.92038
15	YOR094W	0.92012
16	YHR094C	0.92
17	YJL214W	0.91868
18	YGL255W	0.91861
19	YKL190W	0.91836
20	YGL225W	0.91763
21	YMR011W	0.91739
22	YHR096C	0.91696
23	YDL006W	0.91674
24	YLR081W	0.91616
25	YDL245C	0.91503
26	YJR158W	0.91457
27	YBR241C	0.91411
28	YPL036W	0.91403
29	YJR065C	0.91341
30	YER072W	0.91331
31	YGL008C	0.91331
32	YFL011W	0.91308
33	YPL218W	0.9124
34	YNL189W	0.9124
35	YIL170W	0.91239
36	YHL047C	0.91232
37	YGL256W	0.91177
38	YEL069C	0.91171
39	YNR032C-A	0.9115
40	YOL156W	0.91148
41	YNR072W	0.91144
42	YJL108C	0.91116
43	YKR039W	0.91061
44	YER009W	0.9105
45	YDR021W	0.91045
46	YPL203W	0.91031
47	YLR113W	0.91029
48	YKL024C	0.91012
49	YDR075W	0.90964
50	YJL219W	0.90878
51	YDR373W	0.90757
52	YBL016W	0.90667
53	YBR160W	0.90626
54	YJL164C	0.90603
55	YPL266W	0.90594
56	YKL218C	0.90556
57	YPR183W	0.90543
58	YFL038C	0.90519
59	YER039C	0.9051
60	YHL040C	0.90426
61	YPR182W	0.90408
62	YAL064C-A	0.90407
63	YOR061W	0.90375
64	YML018C	0.90373
65	YDL126C	0.90362
66	YEL027W	0.9036
67	YGL210W	0.90347
68	YOL094C	0.90302
69	YHL016C	0.90282
70	YOR257W	0.90281
71	YER060W-A	0.90257
72	YER177W	0.90254
73	YNL209W	0.90227
74	YMR034C	0.90217
75	YMR246W	0.90213
76	YDL229W	0.90206
77	YER031C	0.90183
78	YBL026W	0.90167
79	YHR128W	0.90165
80	YMR079W	0.90135
81	YDL134C	0.90081
82	YCR010C	0.90076
83	YNL142W	0.90076
84	YNL006W	0.90056
85	YPR138C	0.9005
86	YPL058C	0.89975
87	YMR109W	0.89956
