rank	yeast_gene	cosine
1	YPR204W	0.94982
2	YEL077C	0.94611
3	YLR466W	0.94118
4	YFL066C	0.93702
5	YBL112C	0.9364
6	YHR218W-A	0.9364
7	YCR047C	0.9359
8	YMR109W	0.93325
9	YER148W	0.93117
10	YLL067C	0.93099
11	YHR218W	0.93008
12	YKL129C	0.93002
13	YGL008C	0.92925
14	YIL143C	0.92917
15	YLR113W	0.9289
16	YER190W	0.92812
17	YER072W	0.92804
18	YNL332W	0.92582
19	YDL244W	0.92563
20	YJR156C	0.92557
21	YFL058W	0.92552
22	YIL177C	0.92546
23	YEL013W	0.92545
24	YDR021W	0.92537
25	YPL036W	0.92519
26	YJL225C	0.92508
27	YLL066C	0.92446
28	YML133C	0.92346
29	YOR204W	0.92271
30	YHL050C	0.92256
31	YDR339C	0.92254
32	YPL119C	0.9223
33	YPR182W	0.92199
34	YOR257W	0.92169
35	YOR046C	0.92137
36	YLR229C	0.92121
37	YKR059W	0.92053
38	YKL190W	0.91976
39	YHR030C	0.91948
40	YMR290C	0.91933
41	YJL050W	0.91889
42	YNL290W	0.91838
43	YBL111C	0.91779
44	YPL203W	0.91732
45	YPR165W	0.9172
46	YLR467W	0.91681
47	YOR396W	0.91681
48	YDR545W	0.91681
49	YOR061W	0.91666
50	YGR252W	0.91644
51	YNL006W	0.91632
52	YFL026W	0.91602
53	YGL120C	0.91527
54	YCR009C	0.91496
55	YNL339C	0.91481
56	YDR129C	0.91478
57	YPL283C	0.91476
58	YGR296W	0.91476
59	YCL009C	0.91468
60	YDR540C	0.91453
61	YGR210C	0.91452
62	YPL245W	0.91424
63	YPL235W	0.9142
64	YBR080C	0.91364
65	YEL051W	0.91348
66	YBL113C	0.91328
67	YMR230W	0.91303
68	YPL266W	0.91298
69	YPL218W	0.91289
70	YBR154C	0.91288
71	YOR293W	0.91227
72	YMR015C	0.91207
73	YOR185C	0.91204
74	YPL129W	0.91196
75	YJL164C	0.91191
76	YER159C	0.91159
77	YNL112W	0.91125
78	YOR270C	0.91111
79	YBL016W	0.91089
80	YOR224C	0.9108
81	YLR186W	0.91066
82	YER081W	0.91044
83	YNR053C	0.91016
84	YDL160C	0.91013
85	YDL222C	0.9101
86	YGL087C	0.91009
87	YIL148W	0.90993
88	YKR094C	0.90993
89	YPR173C	0.90971
90	YML102W	0.90969
91	YBL078C	0.90968
92	YKR038C	0.90966
93	YHR135C	0.90943
94	YKL104C	0.90926
95	YGR152C	0.90912
96	YER177W	0.90911
97	YDL166C	0.90911
98	YDR375C	0.90887
99	YJL014W	0.90847
100	YNR003C	0.90847
101	YGR267C	0.90815
102	YCL010C	0.90811
103	YOL021C	0.90802
104	YNL255C	0.908
105	YHR148W	0.908
106	YDR099W	0.90764
107	YLR330W	0.90753
108	YDL201W	0.90752
109	YDL140C	0.90748
110	YGL091C	0.90739
111	YJL033W	0.90737
112	YDL001W	0.90719
113	YLR258W	0.90692
114	YLR293C	0.90676
115	YPL094C	0.90661
116	YNL090W	0.90661
117	YPL199C	0.90641
118	YDL014W	0.90637
119	YDL006W	0.90632
120	YKL146W	0.90596
121	YKR002W	0.90592
122	YNL189W	0.90591
123	YLR005W	0.90575
124	YNL098C	0.90566
125	YHR128W	0.90557
126	YPR016C	0.90556
127	YMR146C	0.90523
128	YER171W	0.90521
129	YBR164C	0.90518
130	YDL126C	0.90461
131	YNL113W	0.90454
132	YLR234W	0.90448
133	YPR183W	0.90421
134	YFL017W-A	0.90415
135	YFR014C	0.90409
136	YOL038W	0.90389
137	YER125W	0.90379
138	YBL026W	0.90364
139	YDR172W	0.90352
140	YNL014W	0.90337
141	YEL034W	0.90308
142	YDR225W	0.90279
143	YGL208W	0.90278
144	YKL196C	0.90276
145	YBL003C	0.90275
146	YJL030W	0.90273
147	YOL066C	0.90273
148	YMR236W	0.9027
149	YNL064C	0.90264
150	YEL031W	0.90233
151	YBR160W	0.90231
152	YGR040W	0.90214
153	YBR082C	0.90204
154	YHR089C	0.90202
155	YDR091C	0.90196
156	YER025W	0.9019
157	YCR057C	0.90187
158	YGR231C	0.90185
159	YMR080C	0.9018
160	YPL093W	0.90152
161	YGL099W	0.90129
162	YLR438C-A	0.90128
163	YHR200W	0.90124
164	YBR114W	0.9011
165	YBL091C	0.90099
166	YNL288W	0.90075
167	YDR404C	0.90068
168	YOR004W	0.90065
169	YPL221W	0.90053
170	YHR065C	0.90036
171	YLR249W	0.90021
172	YER039C	0.90004
