rank	yeast_gene	cosine
1	YPL218W	0.9183
2	YDL192W	0.916
3	YDL137W	0.90828
4	YKR059W	0.90284
5	YBR164C	0.90158
6	YLR229C	0.90133
7	YGL256W	0.90113
8	YGL008C	0.89976
9	YFL039C	0.89915
10	YER072W	0.89796
11	YPL203W	0.89701
12	YKL190W	0.89638
13	YPR165W	0.89586
14	YPL036W	0.89546
15	YJL108C	0.89532
16	YBR241C	0.89528
17	YLR147C	0.89499
18	YDL229W	0.89447
19	YNL209W	0.89282
20	YDR155C	0.89246
21	YBR109C	0.89142
22	YNL189W	0.89141
23	YDL126C	0.8911
24	YDL084W	0.89053
25	YDR345C	0.88884
26	YPR182W	0.88857
27	YPR192W	0.88842
28	YGR105W	0.88829
29	YLR234W	0.88757
30	YBR261C	0.88721
31	YHR092C	0.8853
32	YNL135C	0.885
33	YLL053C	0.88457
34	YOR094W	0.88455
35	YDL047W	0.88427
36	YLR293C	0.88328
37	YJL164C	0.8828
38	YLL024C	0.88269
39	YDR373W	0.88261
40	YPR183W	0.8825
41	YDR343C	0.88195
42	YKL024C	0.8819
43	YOR122C	0.88188
44	YGL058W	0.88156
45	YHL047C	0.88135
46	YDR342C	0.88082
47	YER103W	0.87971
48	YER009W	0.87954
49	YHR094C	0.87942
50	YAL020C	0.87936
51	YOR185C	0.87926
52	YAL005C	0.87914
53	YOR089C	0.87835
54	YBL075C	0.87722
55	YMR290C	0.87719
56	YBR160W	0.87714
57	YNL090W	0.87694
58	YNL112W	0.87662
59	YLR113W	0.87627
60	YPL266W	0.87617
61	YER177W	0.876
62	YDL055C	0.87577
63	YDR226W	0.87561
64	YHR169W	0.87486
65	YJL034W	0.87481
66	YGL255W	0.87468
67	YMR109W	0.87459
68	YJL214W	0.87447
69	YMR079W	0.87439
70	YOR046C	0.87388
71	YBL112C	0.87387
72	YHR218W-A	0.87387
73	YCR010C	0.87345
74	YLR081W	0.87341
75	YMR034C	0.87301
76	YGR231C	0.87297
77	YOR204W	0.87232
78	YER060W-A	0.87209
79	YMR222C	0.87147
80	YGL225W	0.87134
81	YDL166C	0.87131
82	YMR011W	0.87124
83	YHR096C	0.87105
84	YEL066W	0.87092
85	YPR113W	0.87081
86	YEL027W	0.87076
87	YKL196C	0.87073
88	YAL038W	0.87053
89	YOR378W	0.87039
90	YGL054C	0.8703
91	YDL245C	0.87028
92	YBR252W	0.87022
93	YJR158W	0.87006
94	YGR123C	0.86989
95	YPR204W	0.86963
96	YER095W	0.86946
97	YDL006W	0.86933
98	YDR021W	0.86929
99	YPL106C	0.86901
100	YGR218W	0.869
101	YML012W	0.86876
102	YOR257W	0.86861
103	YJL014W	0.86857
104	YDL134C	0.86856
105	YHL040C	0.86838
106	YLL050C	0.86831
107	YEL026W	0.86821
108	YPL234C	0.86818
109	YAR002C-A	0.86798
110	YKR039W	0.86794
111	YDR185C	0.86757
112	YBR082C	0.86726
113	YDL108W	0.86705
114	YBL030C	0.8667
115	YDR075W	0.8664
116	YDR424C	0.86622
117	YPL061W	0.86607
118	YFL011W	0.86593
119	YKL218C	0.86562
120	YOL156W	0.86549
121	YJL167W	0.86548
122	YDR129C	0.86536
123	YLR347C	0.86509
124	YIL170W	0.86504
125	YBL016W	0.86499
126	YMR292W	0.8649
127	YJL026W	0.86487
128	YNL290W	0.86471
129	YHR200W	0.86469
130	YJR104C	0.86468
131	YDR086C	0.86464
132	YFL038C	0.86457
133	YHR030C	0.86451
134	YPL058C	0.86449
135	YLL060C	0.86438
136	YNR072W	0.86425
137	YBL026W	0.86402
138	YML102W	0.86353
139	YEL069C	0.86351
140	YER020W	0.86343
141	YIL148W	0.86314
142	YKR094C	0.86314
143	YER060W	0.86312
144	YER036C	0.86312
145	YGR282C	0.86291
146	YNL098C	0.86289
147	YER031C	0.86268
148	YER148W	0.86264
149	YDL064W	0.86256
150	YFL058W	0.86255
151	YDR059C	0.86244
152	YBR187W	0.86238
153	YJR105W	0.86232
154	YBL071W-A	0.86212
155	YHR018C	0.86209
156	YER133W	0.86203
157	YPL031C	0.86202
158	YJL219W	0.8619
159	YOR224C	0.86183
160	YNR073C	0.86182
161	YEL070W	0.86182
162	YDL029W	0.8617
163	YDR353W	0.86154
164	YNL332W	0.86134
165	YMR246W	0.86125
166	YBR089C-A	0.86113
167	YER125W	0.86109
168	YOR161C	0.86101
169	YCR012W	0.86099
170	YLR438C-A	0.86096
171	YDR454C	0.8609
172	YDL244W	0.86061
173	YER107C	0.86008
174	YDR510W	0.85997
175	YPR173C	0.85992
176	YKL129C	0.85975
177	YDL022W	0.85973
178	YDR099W	0.8596
179	YJR156C	0.85942
180	YLR249W	0.85928
181	YER056C	0.85922
182	YJR065C	0.85881
183	YOL143C	0.85879
184	YHR070W	0.85853
185	YGL253W	0.85801
186	YNL244C	0.85792
187	YGL210W	0.85789
188	YPR052C	0.85786
189	YGR252W	0.85761
190	YGL091C	0.85719
191	YJL050W	0.85717
192	YMR015C	0.8571
193	YNL268W	0.85668
194	YNL014W	0.8566
195	YHL016C	0.8566
196	YBR106W	0.85656
197	Q0275	0.85617
198	YPL017C	0.85605
199	YER039C	0.85601
200	YDR040C	0.85599
201	YBR169C	0.85582
202	YMR300C	0.85581
203	YGL070C	0.8558
204	YFL055W	0.85567
205	YNR002C	0.85567
206	YEL034W	0.85561
207	YPL119C	0.8553
208	YPR069C	0.85513
209	YDR404C	0.85509
210	YMR116C	0.85484
211	YNL142W	0.85481
212	Q0130	0.85467
213	YJR045C	0.85464
214	YFL045C	0.85457
215	YGL120C	0.85442
216	YDR092W	0.85419
217	YDL128W	0.85385
218	YKR002W	0.85367
219	YBR085W	0.8534
220	YFR053C	0.85336
221	YPL051W	0.85321
222	YKL152C	0.85313
223	YHR057C	0.85312
224	YFL066C	0.85311
225	YNL010W	0.85287
226	YDL168W	0.85279
227	YOL038W	0.85271
228	YHL050C	0.85253
229	YGR211W	0.85251
230	YDR039C	0.85235
231	YJR047C	0.85229
232	YNR053C	0.85227
233	YER057C	0.85226
234	YDR394W	0.85193
235	YDR002W	0.85192
236	YHR110W	0.8519
237	YML018C	0.85185
238	YHR106W	0.85171
239	YIL078W	0.85169
240	YDR139C	0.85169
241	YJL121C	0.85133
242	YEL051W	0.85132
243	YLL026W	0.85128
244	YEL077C	0.85126
245	YOL158C	0.85125
246	YOL094C	0.85109
247	YJL001W	0.85099
248	YLR466W	0.85095
249	YDL097C	0.85086
250	YDR540C	0.85076
251	YML001W	0.85064
252	YCR098C	0.85057
253	YIR036C	0.85053
254	YER074W-A	0.85044
255	YGL001C	0.85042
256	YLR170C	0.85034
257	YLR200W	0.85023
258	YDR519W	0.85016
259	YJL213W	0.85013
260	YEL063C	0.8501
261	YML123C	0.8501
262	YJR159W	0.84993
263	YGR253C	0.84992
264	YOR159C	0.84979
265	YGL048C	0.84975
266	YAL064W-B	0.8497
267	YDR276C	0.84958
268	YGL167C	0.84942
269	YOR153W	0.84925
270	YHR128W	0.84922
271	YDR536W	0.84913
272	YLL028W	0.8491
273	YOR347C	0.84903
274	YBR296C	0.84896
275	YER023W	0.84894
276	YDR038C	0.8489
277	YNL006W	0.84888
278	YDR196C	0.84886
279	YJL196C	0.84878
280	YGR281W	0.84871
281	YOR348C	0.84868
282	YGR208W	0.84853
283	YPR080W	0.84802
284	YNL255C	0.84796
285	YBL113C	0.84795
286	YLR303W	0.84779
287	YDL246C	0.84775
288	YER179W	0.84764
289	YOR197W	0.84757
290	YDL188C	0.84746
291	YGR207C	0.84731
292	YMR260C	0.8472
293	YPR138C	0.84676
294	YAL061W	0.84675
295	YJR058C	0.84663
296	YLR258W	0.84661
297	YOR270C	0.84656
298	YGR040W	0.8465
299	YBL102W	0.84634
300	YDR091C	0.8462
301	YGR234W	0.84618
302	YNL288W	0.84609
303	YDR406W	0.84608
304	YML085C	0.84592
