rank	yeast_gene	cosine
1	YER072W	0.95716
2	YFL066C	0.95462
3	YGL008C	0.94857
4	YPL036W	0.94823
5	YIL143C	0.94754
6	YPR204W	0.94689
7	YMR109W	0.94641
8	YKR059W	0.94474
9	YJL108C	0.94341
10	YOR257W	0.94324
11	YLR113W	0.94283
12	YER148W	0.94237
13	YER177W	0.94189
14	YPR165W	0.94165
15	YKL190W	0.94149
16	YEL077C	0.94085
17	YLR229C	0.94065
18	YJR065C	0.94036
19	YNL290W	0.9398
20	YPL266W	0.93933
21	YGL225W	0.9393
22	YFL026W	0.93927
23	YKL129C	0.93925
24	YDR099W	0.93924
25	YGR252W	0.93909
26	YFL039C	0.93865
27	YDR129C	0.93836
28	YEL013W	0.93807
29	YOR204W	0.93782
30	YNL006W	0.93767
31	YJL050W	0.93767
32	YLR466W	0.93715
33	YDR021W	0.93696
34	YER025W	0.93632
35	YHR218W-A	0.93615
36	YBL112C	0.93615
37	YER039C	0.93591
38	YDR091C	0.93473
39	YOR046C	0.9345
40	YPR182W	0.93412
41	YPR016C	0.93395
42	YKL146W	0.93388
43	YKL196C	0.93354
44	YOR270C	0.93322
45	YHR128W	0.93307
46	YER171W	0.93278
47	YPL119C	0.93256
48	YEL027W	0.9321
49	YGL255W	0.93184
50	YOR061W	0.9318
51	YNL112W	0.9318
52	YBL026W	0.93149
53	YNR053C	0.93147
54	YBR164C	0.9314
55	YDL192W	0.93116
56	YBL016W	0.93062
57	YHL016C	0.93037
58	YDL137W	0.93037
59	YML012W	0.93025
60	YJL014W	0.93021
61	YER081W	0.93008
62	YEL051W	0.92979
63	YPL218W	0.92936
64	YCR047C	0.92898
65	YBL075C	0.92847
66	YNL189W	0.92808
67	YCL009C	0.92787
68	YDR339C	0.9278
69	YDL166C	0.9277
70	YCR009C	0.92768
71	YPR173C	0.92744
72	YMR290C	0.92739
73	YPL203W	0.92697
74	YDL006W	0.92663
75	YOR197W	0.92658
76	YGR210C	0.92649
77	YAL005C	0.9264
78	YHR030C	0.92566
79	YOR378W	0.92555
80	YGL120C	0.92476
81	YDL126C	0.92472
82	YGR231C	0.92468
83	YGL091C	0.9246
84	YLL024C	0.92405
85	YBR154C	0.92399
86	YHL047C	0.92372
87	YOL094C	0.9237
88	YHR218W	0.92355
89	YJL164C	0.92343
90	YBR080C	0.92329
91	YHR092C	0.92328
92	YOR327C	0.9231
93	YMR034C	0.92307
94	YJR007W	0.92307
95	YIL074C	0.92304
96	YEL031W	0.92293
97	YNL209W	0.9229
98	YKR002W	0.92273
99	YBR082C	0.92252
100	YHL040C	0.92247
101	YKL218C	0.92233
102	YOL021C	0.92224
103	YMR015C	0.92221
104	YFL058W	0.92211
105	YHR200W	0.92207
106	YER103W	0.92196
107	YJR156C	0.92194
108	YDL001W	0.92193
109	YDR343C	0.92188
110	YNL090W	0.92186
111	YNL332W	0.92185
112	YDL229W	0.92178
113	YCR010C	0.9216
114	YAL026C	0.9216
115	YDL244W	0.92159
116	YDR345C	0.92157
117	YDR342C	0.92157
118	YER069W	0.92146
119	YBL030C	0.92139
120	YGL210W	0.9213
121	YJL034W	0.92119
122	YER125W	0.92112
123	YER020W	0.9211
124	YER190W	0.921
125	YNL191W	0.92097
126	YBR160W	0.9209
127	YLL067C	0.92089
128	YOL038W	0.92022
129	YLR234W	0.92022
130	YDR059C	0.92017
131	YPL199C	0.91982
132	YML102W	0.91941
133	YML018C	0.9193
134	YBR187W	0.91927
135	YCR098C	0.91922
136	YHR096C	0.91868
137	YDR375C	0.91867
138	YPL086C	0.91854
139	YER031C	0.91854
140	YPL235W	0.91845
141	YLR081W	0.91823
142	YOR094W	0.91816
143	YEL034W	0.91794
144	YER052C	0.9179
145	YKL104C	0.91788
146	YJL012C	0.91783
147	YDL047W	0.9176
148	YPL093W	0.91754
149	YBR114W	0.91746
150	YOR293W	0.9174
151	YHR094C	0.91701
152	YBR296C	0.91692
153	YOR224C	0.91662
154	YBR143C	0.91658
155	YMR146C	0.91658
156	YMR230W	0.91652
157	YLR175W	0.9165
158	YML069W	0.91646
159	YKR039W	0.91642
160	YER060W-A	0.91641
161	YNL288W	0.91638
162	YJL214W	0.91631
163	YNL098C	0.9163
164	YBR106W	0.91588
165	YLR438C-A	0.91586
166	YGL062W	0.91558
167	YJR153W	0.91552
168	YCR057C	0.9155
169	YGR218W	0.91542
170	YBR085W	0.91539
171	YDR373W	0.91534
172	YOL133W	0.91524
173	YPL094C	0.91523
174	YPL129W	0.9152
175	YML123C	0.91519
176	YHR110W	0.91519
177	YPR183W	0.91518
178	YOR157C	0.91508
179	YGR105W	0.91501
180	YKL024C	0.91493
181	YLL050C	0.91481
182	YGL011C	0.91474
183	YGR132C	0.9147
184	YOR153W	0.91446
185	YNR002C	0.91443
186	YER107C	0.91432
187	YGR282C	0.91417
188	YBR241C	0.91404
189	YDL140C	0.91401
190	YPL245W	0.91375
191	YLR130C	0.91374
192	YGR040W	0.91368
193	YER133W	0.91367
194	YIL177C	0.91347
195	YAL030W	0.91339
196	YBR218C	0.91332
