rank	yeast_gene	cosine
1	YBR241C	0.94878
2	YML018C	0.94426
3	YIL170W	0.94264
4	YPL264C	0.94201
5	YER039C	0.94111
6	YJL214W	0.94102
7	YHR094C	0.94056
8	YER119C	0.94043
9	YMR011W	0.94016
10	YFL011W	0.93976
11	YJL219W	0.93885
12	YOL156W	0.93858
13	YNL270C	0.93827
14	YFL055W	0.93818
15	YNR072W	0.93806
16	YDR536W	0.93802
17	YLR081W	0.93776
18	YBR164C	0.93733
19	YEL069C	0.93729
20	YEL063C	0.93616
21	YHR096C	0.93604
22	YDL006W	0.93572
23	YDL245C	0.9357
24	YEL064C	0.93557
25	YNL268W	0.93537
26	YDR345C	0.93533
27	YJR158W	0.93532
28	YFL038C	0.93467
29	YMR034C	0.93458
30	YDL137W	0.93447
31	YGL225W	0.93423
32	YHR092C	0.93387
33	YGR191W	0.93384
34	YIL121W	0.93328
35	YDL128W	0.93264
36	YOR378W	0.93253
37	YCL025C	0.93165
38	YMR279C	0.9313
39	YDR497C	0.93122
40	YKR039W	0.93069
41	YDR046C	0.93064
42	YDL047W	0.93064
43	YER133W	0.93041
44	YDR040C	0.93033
45	YPR183W	0.93012
46	YOR094W	0.93001
47	YDR342C	0.92989
48	YDR039C	0.9298
49	YGR055W	0.92975
50	YLL028W	0.92966
51	YDR038C	0.92955
52	YKL166C	0.9293
53	YDR343C	0.92892
54	YJL108C	0.92883
55	YLR034C	0.92836
56	YNL090W	0.92835
57	YDL134C	0.9282
58	YHL040C	0.92793
59	YOR348C	0.92792
60	YHL047C	0.92767
61	YML116W	0.92733
62	YNR055C	0.92728
63	YGR224W	0.92695
64	YBR008C	0.92682
65	YER185W	0.92671
66	YPL274W	0.92661
67	YJL164C	0.92644
68	YKR105C	0.92634
69	YPL031C	0.92631
70	YGL167C	0.92611
71	YBR068C	0.92601
72	YIL120W	0.9259
73	YOL075C	0.92581
74	YDR075W	0.92567
75	YGR138C	0.92549
76	YJR124C	0.92535
77	YDR135C	0.92528
78	YOL103W	0.92517
79	YPL265W	0.92506
80	YPR138C	0.92468
81	YPL203W	0.92447
82	YDR508C	0.9244
83	YOR257W	0.9241
84	YDR196C	0.92402
85	YKL146W	0.92399
86	YLL061W	0.92396
87	YPL246C	0.92365
88	YBR187W	0.92361
89	YDL210W	0.92327
90	YCR098C	0.92326
91	YDL192W	0.92301
92	YLR130C	0.92246
93	YIL088C	0.92246
94	YNR070W	0.92238
