rank	yeast_gene	cosine
1	YOR292C	0.96204
2	YOR301W	0.95977
3	YNL339C	0.9581
4	YDR545W	0.95799
5	YLR467W	0.95799
6	YOR396W	0.95799
7	YPL283C	0.9579
8	YGR296W	0.95789
9	YGL208W	0.95631
10	YPL153C	0.95549
11	YER190W	0.95528
12	YJL225C	0.95496
13	YMR080C	0.95482
14	YIL177C	0.95472
15	YBL105C	0.95469
16	YIL047C	0.95429
17	YGR092W	0.95313
18	YHR218W	0.95282
19	YNL161W	0.95217
20	YML133C	0.95213
21	YDR498C	0.95136
22	YJL093C	0.95117
23	YKR088C	0.95109
24	YNL095C	0.95093
25	YLL066C	0.95076
26	YLR137W	0.95054
27	YCR048W	0.9505
28	YMR306W	0.95033
29	YHR032W	0.94989
30	YOR351C	0.94958
31	YFR048W	0.94942
32	YPR111W	0.9493
33	YPL194W	0.94901
34	YER176W	0.94889
35	YBL111C	0.94886
36	YLR108C	0.94856
37	YLR466W	0.94847
38	YDR436W	0.94828
39	YJR001W	0.94807
40	YIL030C	0.94788
41	YHR132C	0.9477
42	YLR019W	0.94768
43	YLL067C	0.94745
44	YBR043C	0.94741
45	YIR026C	0.94733
46	YGL140C	0.94725
47	YHR205W	0.94722
48	YNR019W	0.94681
49	YAL022C	0.94669
50	YIL151C	0.94664
51	YOL075C	0.94656
52	YKR063C	0.94646
53	YOR087W	0.94631
54	YNL102W	0.94617
55	YKR050W	0.94615
56	YBR274W	0.94573
57	YAR018C	0.94567
58	YER027C	0.94565
59	YDR477W	0.94551
60	YKL039W	0.94541
61	YMR288W	0.94513
62	YHL017W	0.9451
63	YLR452C	0.94498
64	YOL113W	0.94488
65	YDR292C	0.94479
66	YDR135C	0.94432
67	YLR318W	0.94431
68	YJR161C	0.94421
69	YMR218C	0.94412
70	YER116C	0.94409
71	YOL013C	0.94393
72	YFL028C	0.94386
73	YGL053W	0.94329
74	YBR235W	0.94325
75	YNL321W	0.94317
76	YHR031C	0.94314
77	YOR079C	0.94313
78	YEL077C	0.94304
79	YKL222C	0.94302
80	YDL057W	0.94281
81	YBR287W	0.94279
82	YAR023C	0.94277
83	YFL050C	0.9426
84	YML031W	0.9425
85	YDR264C	0.94235
86	YJL134W	0.94235
87	YPR019W	0.94234
88	YBR073W	0.9422
89	YGL006W	0.94212
90	YOR213C	0.94201
91	YLR241W	0.94192
92	YGL216W	0.94173
93	YCR073C	0.94167
94	YPL221W	0.94163
95	YOL068C	0.94161
96	YOL130W	0.94153
97	YDL105W	0.94151
98	YMR001C	0.94149
99	YCR106W	0.94127
100	YNL275W	0.9411
101	YFR028C	0.94107
102	YKR053C	0.94082
103	YLR362W	0.94082
104	YNR011C	0.94075
105	YGR004W	0.94072
106	YDL248W	0.94061
107	YBR141C	0.94057
108	YPL112C	0.94048
109	YJL072C	0.9404
110	YHL003C	0.94037
111	YDR490C	0.94035
112	YHR178W	0.94023
113	YGL139W	0.94017
114	YHR005C	0.94014
115	YLL010C	0.94012
116	YDR514C	0.94011
117	YMR162C	0.94002
118	YPR186C	0.93998
119	YKL126W	0.93998
120	YPR157W	0.93997
121	YNL299W	0.93979
122	YGL179C	0.93947
123	YHL019C	0.93945
124	YDR517W	0.93941
125	YOR034C	0.93941
126	YOL065C	0.93936
127	YNL223W	0.93935
128	YGR271W	0.93933
129	YOR155C	0.93926
130	YJL025W	0.93915
131	YLR080W	0.93914
132	YKR086W	0.9388
133	YLR412W	0.93875
134	YML038C	0.93858
135	YBR295W	0.93856
136	YJR046W	0.93846
137	YJR040W	0.93839
138	YJL129C	0.93836
139	YPL122C	0.93832
140	YCR096C	0.93828
141	YDL017W	0.93814
142	YOR304W	0.93809
143	YIL088C	0.93808
144	YJR084W	0.93807
145	YBR105C	0.93806
146	YOL009C	0.93783
147	YGL201C	0.93767
148	YKR001C	0.93764
149	YPL204W	0.93744
150	YHR151C	0.93744
151	YMR268C	0.93739
152	YLL001W	0.93734
153	YLR072W	0.93733
154	YBR202W	0.93718
155	YCR061W	0.93718
156	YLR152C	0.93715
157	YLR386W	0.93697
158	YFL062W	0.93697
159	YER026C	0.93687
160	YDR372C	0.93687
161	YIL068C	0.93687
162	YOR172W	0.9368
163	YJL082W	0.93677
164	YKR051W	0.93658
165	YLR383W	0.93645
166	YDR265W	0.93643
167	YPL236C	0.93642
168	YML068W	0.93633
169	YNL294C	0.93633
170	YOL018C	0.93624
171	YGR141W	0.93621
172	YDL042C	0.93611
173	YLR443W	0.93601
174	YLR020C	0.93601
175	YLR410W	0.93598
176	YGR217W	0.93591
177	YNL260C	0.93591
178	YOL146W	0.93583
179	YNR075W	0.93568
180	YDR067C	0.93568
181	YNL116W	0.93564
182	YPL164C	0.93563
183	YDR386W	0.93562
184	YLR426W	0.93554
185	YOR299W	0.93553
186	YCL008C	0.93548
187	YPL082C	0.93547
188	YGL045W	0.9354
189	YGL163C	0.93536
190	YCR011C	0.93534
191	YML065W	0.93528
192	YDR479C	0.93524
193	YDR093W	0.93506
194	YOL132W	0.93503
195	YMR078C	0.93501
196	YIL131C	0.935
197	YLL043W	0.93498
198	YML077W	0.93492
199	YLL012W	0.9349
200	YOR358W	0.93479
201	YER013W	0.93476
202	YBR302C	0.93471
203	YML132W	0.93471
204	YPL006W	0.93464
205	YNL083W	0.93461
206	YDL007W	0.9346
207	YCR023C	0.93458
208	YBR062C	0.93456
209	YOR092W	0.93452
210	YER140W	0.93439
211	YLR451W	0.93434
212	YBR023C	0.9343
213	YDL193W	0.93424
214	YER098W	0.93419
215	YDL101C	0.93416
216	YLL006W	0.93414
217	YHR207C	0.9341
218	YOR118W	0.93409
219	YLR248W	0.93404
220	YIL120W	0.93404
221	YGR026W	0.93399
222	YHR118C	0.93399
