target_id	target_family	membership_sources	uniprot_entries	gene_aliases	protein_name	protein_length	keywords	is_calibration_control	ranking_bonus
ACKR1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q16570	DARC;FY;GPD	Atypical chemokine receptor 1 (Duffy antigen receptor for chemokines) (Duffy antigen/chemokine receptor) (Duffy blood group antigen) (Fy glycoprotein) (GpFy) (Glycoprotein D) (Plasmodium vivax receptor) (CD antigen CD234)	336		False	0.0
ACKR2	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O00590	CCBP2;CCR10;CMKBR9;D6	Atypical chemokine receptor 2 (C-C chemokine receptor D6) (Chemokine receptor CCR-10) (Chemokine receptor CCR-9) (Chemokine-binding protein 2) (Chemokine-binding protein D6)	384		False	0.0
ACKR3	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P25106	CMKOR1;CXCR7;GPR159;RDC1	Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G protein-coupled receptor 159) (G protein-coupled receptor RDC1 homolog) (RDC-1)	362		False	0.0
ACKR4	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9NPB9	CCBP2;CCR11;CCRL1;VSHK1	Atypical chemokine receptor 4 (C-C chemokine receptor type 11) (C-C CKR-11) (CC-CKR-11) (CCR-11) (CC chemokine receptor-like 1) (CCRL1) (CCX CKR)	350		False	0.0
ADCYAP1R1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P41586		Pituitary adenylate cyclase-activating polypeptide type I receptor (PAC1 receptor) (PAC1R) (PACAP type I receptor) (PACAP-R-1) (PACAP-R1)	468		False	0.0
ADGRA1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q86SQ6	GPR123;KIAA1828	Adhesion G protein-coupled receptor A1 (G protein-coupled receptor 123)	560		False	0.0
ADGRA2	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q96PE1	GPR124;KIAA1531;TEM5	Adhesion G protein-coupled receptor A2 (G protein-coupled receptor 124) (Tumor endothelial marker 5)	1338		False	0.0
ADGRA3	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8IWK6	GPR125;UNQ556/PRO1113	Adhesion G protein-coupled receptor A3 (G protein-coupled receptor 125)	1321		False	0.0
ADGRB1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O14514	BAI1	Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]	1584		False	0.0
ADGRB2	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O60241	BAI2	Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2)	1585		False	0.0
ADGRB3	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O60242	BAI3;KIAA0550	Adhesion G protein-coupled receptor B3 (Brain-specific angiogenesis inhibitor 3)	1522		False	0.0
ADGRD1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q6QNK2	GPR133;PGR25	Adhesion G protein-coupled receptor D1 (G protein-coupled receptor 133) (G protein-coupled receptor PGR25) [Cleaved into: Adhesion G protein-coupled receptor D1, N-terminal fragment (ADGRD1 N-terminal fragment); Adhesion G protein-coupled receptor D1, C-terminal fragment (ADGRD1 C-terminal fragment)]	874		False	0.0
ADGRD2	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q7Z7M1	GPR144;PGR24	Adhesion G protein-coupled receptor D2 (G protein-coupled receptor 144) (G protein-coupled receptor PGR24)	963		False	0.0
ADGRE1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q14246	EMR1;TM7LN3	Adhesion G protein-coupled receptor E1 (EGF-like module receptor 1) (EGF-like module-containing mucin-like hormone receptor-like 1) (EMR1 hormone receptor)	886		False	0.0
