rank	yeast_gene	cosine
1	YPL218W	0.91808
2	YDL192W	0.91076
3	YBR241C	0.90879
4	YDL137W	0.90815
5	YPL203W	0.90625
6	YKR059W	0.90359
7	YLR229C	0.90295
8	YER072W	0.90221
9	YKL190W	0.90155
10	YPR165W	0.9013
11	YBR164C	0.89969
12	YDR345C	0.89795
13	YGL008C	0.89775
14	YJL108C	0.89661
15	YGL256W	0.89659
16	YHR092C	0.89523
17	YPR183W	0.89451
18	YJL164C	0.89386
19	YHR094C	0.89262
20	YBL112C	0.89247
21	YHR218W-A	0.89247
22	YPL036W	0.89208
23	YFL039C	0.89196
24	YPR182W	0.89181
25	YLR234W	0.89141
26	YDR343C	0.8913
27	YDR342C	0.89078
28	YDL047W	0.88965
29	YOR257W	0.88941
30	YGR105W	0.88935
31	YDL006W	0.88897
32	YNL189W	0.8885
33	YLR081W	0.88739
34	YMR011W	0.88672
35	YHL047C	0.88662
36	YMR034C	0.88543
37	YFL011W	0.88523
38	YJL214W	0.8851
39	YDL126C	0.88494
40	YLR113W	0.88476
41	YLR147C	0.88471
42	YBR109C	0.88384
43	YBR160W	0.88381
44	YMR290C	0.88366
45	YBR261C	0.88348
46	YOR094W	0.88319
47	YMR109W	0.88319
48	YIL170W	0.88308
49	YOR089C	0.88302
50	YHR096C	0.88297
51	YER133W	0.88248
52	YOR378W	0.88238
53	YDR021W	0.88202
54	YNL112W	0.88199
55	YKL024C	0.88191
56	YNL090W	0.88179
57	YPR204W	0.88173
58	YDL245C	0.88162
59	YDR373W	0.88097
60	YPR192W	0.88089
61	YJR158W	0.88064
62	YOR204W	0.88005
63	YOL156W	0.87977
64	YDL128W	0.87976
65	YGL225W	0.87931
66	YDL134C	0.87905
67	YDL084W	0.87877
68	YNL290W	0.8787
69	YNR072W	0.87854
70	YER039C	0.8781
71	YHL040C	0.87782
72	YFL038C	0.87764
73	YPL266W	0.87757
74	YAL020C	0.87734
75	YDR155C	0.87729
76	YEL069C	0.87719
77	YJL219W	0.87712
78	YER009W	0.87689
79	YDL229W	0.87681
80	YFL055W	0.87674
81	YGL058W	0.8766
82	YNL209W	0.87634
83	YMR015C	0.87616
84	YDR075W	0.876
85	YOR046C	0.87592
86	YDL166C	0.87556
87	YLR466W	0.8753
88	YJL167W	0.87488
89	YPL031C	0.87459
90	YHR030C	0.87447
91	YPL234C	0.87438
92	YOR185C	0.87428
93	YER125W	0.87427
94	YLR293C	0.87391
95	YML012W	0.87384
96	YGL255W	0.8738
97	YKR039W	0.8736
98	YER060W-A	0.87356
99	YBR082C	0.87311
100	YBR187W	0.87302
101	YLL053C	0.87293
102	YBL016W	0.87281
103	YAR002C-A	0.87261
104	YML018C	0.87241
105	YPR113W	0.87225
106	YLR438C-A	0.87174
107	YMR079W	0.87167
108	YEL077C	0.87154
109	YOR122C	0.87138
110	YJL014W	0.8713
111	YGR123C	0.8713
112	YDR196C	0.87082
113	YDL108W	0.87061
114	YER119C	0.8703
115	YDR040C	0.86986
116	YFL066C	0.86963
117	YBL075C	0.8694
118	YLL060C	0.86933
119	YMR292W	0.8692
120	YLL024C	0.86906
121	YKL196C	0.86893
122	YGR218W	0.86884
123	YMR222C	0.86869
124	YLR347C	0.86861
125	YGR231C	0.86834
126	YAL005C	0.86831
127	YPL119C	0.86814
128	YNL135C	0.86765
129	YER177W	0.8676
130	YER020W	0.86724
131	YGR282C	0.86696
132	YFL058W	0.8669
133	YGR281W	0.86678
134	YPL264C	0.86667
135	YDR039C	0.8665
136	Q0130	0.86645
137	YDR536W	0.86633
138	YDL244W	0.8663
139	YCR010C	0.86623
140	YHR128W	0.8662
141	YHR070W	0.8662
142	YLL028W	0.86612
143	YER060W	0.86611
144	YNL010W	0.86608
145	YNL332W	0.86605
146	YER103W	0.86604
147	YDL055C	0.86584
148	YER190W	0.86555
149	YJL034W	0.86545
150	YNL098C	0.86531
151	YDR059C	0.86524
152	YNL268W	0.86516
153	YPL058C	0.86512
154	YJR156C	0.86486
155	YKL129C	0.86471
156	YDR129C	0.86408
157	YCR098C	0.86399
158	YEL027W	0.86396
159	YDR404C	0.8639
160	YDR038C	0.86364
161	YDR185C	0.86362
162	YLL050C	0.8636
163	YKL218C	0.86348
164	YPR052C	0.86328
165	YGR252W	0.86323
166	YBL026W	0.86308
167	YHR200W	0.86294
168	YPL246C	0.86273
169	YDR092W	0.86267
170	YOR161C	0.86265
171	YKL166C	0.86262
172	YMR246W	0.86236
173	YER031C	0.86236
174	YHR169W	0.86231
175	YER056C	0.86231
176	YIL121W	0.86231
177	YGL167C	0.86225
178	YBR089C-A	0.86224
179	YOL038W	0.86213
180	YCL025C	0.86204
181	YCR009C	0.86194
182	YGL120C	0.86184
183	YER148W	0.86177
184	YHL016C	0.86162
185	YML102W	0.86158
186	YDR424C	0.86143
187	YPR173C	0.86113
188	YGL054C	0.8611
189	YDL188C	0.86106
190	YEL063C	0.86096
191	YKR002W	0.86053
192	YJL050W	0.86047
193	YJL196C	0.86044
194	YGR040W	0.86018
195	YOL075C	0.86017
196	YHR018C	0.86002
197	YER159C	0.85989
198	YOL094C	0.85974
199	YGL210W	0.8597
200	YER036C	0.85951
201	YHR110W	0.85925
202	YHL050C	0.85893
203	YML123C	0.85856
204	YNL270C	0.85844
205	YOL021C	0.85834
206	YPL061W	0.85823
207	YIL148W	0.85817
208	YKR094C	0.85817
209	YDR099W	0.85809
210	YGR138C	0.85783
211	YGR152C	0.85777
212	YAL026C	0.8576
213	YGL001C	0.85756
214	YNR002C	0.85754
215	YDR226W	0.85746
216	YBL102W	0.85738
217	YJL001W	0.8572
218	YEL066W	0.8572
219	YPR138C	0.85717
220	YIR036C	0.85692
221	YGR208W	0.85689
222	YNR055C	0.85688
223	YDL064W	0.85686
224	YDL097C	0.85671
225	YPL106C	0.85663
226	YPL051W	0.8565
227	YDL029W	0.85647
228	YER107C	0.8563
229	YOL158C	0.85628
230	YLR168C	0.85621
231	YNL093W	0.85596
232	YJR058C	0.85585
233	YOR348C	0.85579
234	YBR008C	0.85555
235	YHR007C	0.85547
236	YNL006W	0.85546
237	YLR170C	0.85542
238	YCR047C	0.85536
239	YDR519W	0.85527
240	YLL067C	0.85525
241	YOR197W	0.85521
242	YGL253W	0.85515
243	YJR065C	0.85513
244	YNL288W	0.85507
245	YDR540C	0.85506
246	YGR055W	0.85468
247	YJR105W	0.85467
248	YER026C	0.85466
249	YCR020C-A	0.85454
250	YDR353W	0.85446
251	YJR124C	0.85445
252	YMR300C	0.85444
253	YJL026W	0.85423
254	YOL143C	0.85418
255	YDL160C	0.854
256	YBR252W	0.85382
257	YNL142W	0.85369
258	YBR296C	0.85345
259	YMR279C	0.85345
260	YGR191W	0.85344
261	YBR106W	0.85332
262	YBL113C	0.85328
263	YBL071W-A	0.85328
264	YDL022W	0.85316
265	YDL100C	0.85293
266	YGL070C	0.85292
267	YBR080C	0.85285
268	YML001W	0.85282
269	YGL091C	0.85279
270	YOR153W	0.85273
271	YER166W	0.85271
272	YOR270C	0.85268
273	YFL005W	0.85264
274	YGR211W	0.85256
275	YBL030C	0.85256
276	YDR046C	0.85254
277	YDR341C	0.85245
278	YOR224C	0.85235
279	YKL033W-A	0.85235
280	YML069W	0.85222
281	YDR406W	0.85219
282	YHL003C	0.85207
283	YDR002W	0.85205
284	YPR069C	0.85198
285	YNL014W	0.85196
286	YOL162W	0.85187
287	YLR249W	0.85152
288	YHR106W	0.85129
289	YER081W	0.85124
290	YBR169C	0.85103
291	YNR053C	0.85103
292	YLL026W	0.85092
293	YPL275W	0.8509
294	YDL222C	0.85081
295	YAL038W	0.8508
296	YOR061W	0.8507
297	YHR218W	0.85068
298	YGL087C	0.8506
299	YDR328C	0.85056
300	YEL026W	0.85051
301	YIL177C	0.85038
302	YEL051W	0.85014
303	YJL225C	0.84997
304	YOR317W	0.84987
305	YDR454C	0.84982
306	YPL017C	0.84975
307	YBR154C	0.84965
308	YLR034C	0.84952
309	YDR510W	0.84947
310	YKL146W	0.84931
311	YLR193C	0.84927
312	YEL031W	0.84925
313	YDR091C	0.84919
314	YNR073C	0.84904
315	YEL070W	0.84904
316	YNL113W	0.84899
317	YNL244C	0.84894
318	YFL045C	0.84892
319	YHR065C	0.84884
320	YLR397C	0.8486
321	YDR135C	0.84858
322	YFR053C	0.84858
323	YER089C	0.84853
324	YFL017W-A	0.84845
325	YDR497C	0.84835
326	YOR381W	0.84834
327	YGR210C	0.84831
328	YPL244C	0.84806
329	YOR396W	0.84797
330	YLR467W	0.84797
331	YDR545W	0.84797
332	YER019W	0.84785
333	YBL021C	0.84775
334	YDR139C	0.84769
335	YGL200C	0.84759
336	YGR060W	0.84756
337	YML124C	0.84744
338	YEL046C	0.84739
339	YJL213W	0.84733
340	YLL066C	0.8473
341	YML085C	0.8473
342	YIL120W	0.84727
343	YNL255C	0.84719
344	YMR276W	0.84719
345	YDR508C	0.84715
346	YDL168W	0.84715
347	YKL104C	0.84712
348	YLR058C	0.84706
349	YOR362C	0.84705
350	YGL011C	0.8467
351	YDR339C	0.84667
352	YHR057C	0.84665
353	YER023W	0.84661
354	YPR051W	0.84655
355	YDR394W	0.84652
356	YLR130C	0.84651
357	YPL129W	0.84639
358	YGL063W	0.84627
359	YDR011W	0.84612
360	YER099C	0.84611
361	YML022W	0.84603
362	YGR121C	0.84597
363	YER171W	0.84593
364	YAL061W	0.84583
365	YMR056C	0.8456
366	YGL048C	0.84546
367	YGR248W	0.8454
368	YOR187W	0.84531
369	YNL339C	0.84531
370	YPL283C	0.84525
371	YIL143C	0.84522
372	YGR296W	0.8452
373	YEL037C	0.84516
374	YIL078W	0.84498
375	YNL307C	0.84491
376	YDL125C	0.84475
377	YDL230W	0.84475
378	YPR145W	0.84474
379	YCR059C	0.84469
380	YER095W	0.84463
