rank	yeast_gene	cosine
1	YBR241C	0.92073
2	YLR229C	0.92051
3	YDL137W	0.91981
4	YDL192W	0.91881
5	YPL218W	0.91736
6	YPR165W	0.91676
7	YKR059W	0.91627
8	YBR164C	0.91444
9	YDR345C	0.91365
10	YPL203W	0.91349
11	YHR092C	0.91187
12	YHR094C	0.91145
13	YDL006W	0.90996
14	YJL108C	0.90969
15	YMR011W	0.90857
16	YDR343C	0.90849
17	YDR342C	0.90839
18	YFL011W	0.90771
19	YKL190W	0.90735
20	YPR183W	0.90722
21	YLR081W	0.90712
22	YOR378W	0.9068
23	YIL170W	0.90671
24	YJL214W	0.90618
25	YJL164C	0.90606
26	YFL039C	0.90592
27	YER072W	0.90582
28	YGL008C	0.90488
29	YOR257W	0.90465
30	YGL256W	0.90412
31	YDL047W	0.904
32	YHR096C	0.90286
33	YNL090W	0.90217
34	YDL245C	0.90212
35	YER133W	0.90211
36	YER039C	0.90191
37	YPL036W	0.9014
38	YNR072W	0.9014
39	YDR021W	0.90118
40	YOL156W	0.90117
41	YJR158W	0.90107
42	YEL069C	0.90017
43	YHL047C	0.89999
44	YJL219W	0.89979
45	YLR113W	0.89965
46	YGL225W	0.89884
47	YMR034C	0.8986
48	YOR094W	0.89844
49	YBR160W	0.89751
50	YBL112C	0.89714
51	YHR218W-A	0.89714
52	YFL055W	0.8964
53	YPR182W	0.89619
54	YMR109W	0.89608
55	YFL038C	0.89583
56	YML018C	0.8957
57	YNL189W	0.89554
58	YDL128W	0.89505
59	YKL024C	0.8946
60	YHL040C	0.89436
61	YNL290W	0.89384
62	YDL134C	0.89379
63	YDR075W	0.89347
64	YPR204W	0.89239
65	YER119C	0.89218
66	YDR536W	0.89204
67	YBL016W	0.89195
68	YMR290C	0.8916
69	YMR015C	0.8913
70	YOR089C	0.8913
71	YJL167W	0.89035
72	YKR039W	0.89035
73	YHR128W	0.8899
74	YPL031C	0.88983
75	YPL264C	0.88966
76	YBR082C	0.88963
77	YDR373W	0.88911
78	YNL112W	0.889
79	YGL255W	0.8888
80	YLR466W	0.88811
81	YER009W	0.88811
82	YDL126C	0.88796
83	YLR234W	0.88763
84	YDR040C	0.88728
85	YDR196C	0.88676
86	YOR204W	0.88657
87	YFL066C	0.88645
88	YHR030C	0.88631
89	YPR192W	0.8863
90	YEL077C	0.88627
91	YCR098C	0.88621
92	YER060W-A	0.88618
93	YOR046C	0.88582
94	YPL234C	0.88573
95	YPL266W	0.88552
96	YDR155C	0.88518
97	YDR039C	0.88482
98	YDL108W	0.88475
99	YNL268W	0.88447
100	YBR187W	0.88442
101	YER125W	0.88437
102	YMR079W	0.88431
103	YKL166C	0.88423
104	YGR105W	0.88421
105	YKL218C	0.88417
106	YDL166C	0.88341
107	YIL121W	0.88304
108	YEL063C	0.88293
109	YGL167C	0.8829
110	YBR109C	0.88286
111	YDR038C	0.88275
112	YLR438C-A	0.88247
113	YLL028W	0.88217
114	YNL270C	0.88198
115	YHL016C	0.88189
116	YGR040W	0.88153
117	YKL129C	0.88149
118	YDR059C	0.88145
119	YER060W	0.88091
120	YOL094C	0.88084
121	YCL025C	0.88067
122	YGR123C	0.88031
123	YNL209W	0.88026
124	YBR261C	0.88008
125	YER031C	0.88005
126	YEL027W	0.88004
127	YGR252W	0.8798
128	YFL058W	0.8797
129	YPR113W	0.87968
130	YDL244W	0.87968
131	YDL229W	0.87958
132	YGL210W	0.87948
133	YPL246C	0.87945
134	YPL119C	0.87941
135	YDL188C	0.8794
136	YBR008C	0.87914
137	YDR404C	0.87914
138	YER020W	0.87908
139	YNL332W	0.87903
140	YNL010W	0.879
141	YML123C	0.87897
142	YJR156C	0.87884
143	YER177W	0.87877
144	YER056C	0.8787
145	YML012W	0.87843
146	YBL075C	0.87828
147	YGR282C	0.87823
148	YPR138C	0.87805
149	YGR281W	0.87796
150	YKL196C	0.87777
151	YMR246W	0.87769
152	YNR055C	0.87708
153	YJL014W	0.87703
154	YGR152C	0.87694
155	YJR065C	0.87675
156	YAL026C	0.87667
157	YLL060C	0.8766
158	YOL038W	0.87658
159	YOR185C	0.87651
160	YPL058C	0.87651
161	YLR347C	0.87644
162	YER190W	0.87633
163	YER081W	0.87614
164	YBL026W	0.87593
165	YAL005C	0.87587
166	Q0130	0.87585
167	YGR191W	0.87567
168	YDL084W	0.87563
169	YNL098C	0.87548
170	YMR279C	0.87531
171	YCR010C	0.87526
172	YOL075C	0.87517
173	YDR129C	0.87512
174	YOL162W	0.87476
175	YDR497C	0.87475
176	YNL006W	0.87472
177	YGR218W	0.87467
178	YGL001C	0.87458
179	YLL050C	0.87456
180	YHR106W	0.87445
181	YOR061W	0.87438
182	YGR055W	0.87437
183	YLL024C	0.8743
184	YGL058W	0.87419
185	YGR138C	0.87416
186	YDL055C	0.87393
187	YHR007C	0.87387
188	YPL051W	0.87387
189	YDR099W	0.87386
190	YOR348C	0.87371
191	YHR018C	0.87353
192	YOL158C	0.87352
193	YLR293C	0.87349
194	YPR173C	0.87346
195	YJL050W	0.87307
196	YML001W	0.87307
197	YIL148W	0.87301
198	YKR094C	0.87301
199	YER148W	0.87295
200	YDR092W	0.87293
201	YJL001W	0.87293
202	YGL120C	0.8728
203	YER026C	0.87279
204	YDR519W	0.87278
205	YKR002W	0.87263
206	YLR034C	0.87259
207	YFL005W	0.87238
208	YKL146W	0.87238
209	YLL053C	0.87211
210	YJR124C	0.8721
211	YLR147C	0.87209
212	YMR292W	0.87194
213	YAR002C-A	0.87191
214	YGL087C	0.87181
215	YOR161C	0.87169
216	YDR341C	0.87159
217	YNL135C	0.87157
218	YKL033W-A	0.87156
219	YDR353W	0.87149
220	YNR002C	0.87148
221	YOR153W	0.87145
222	YPL061W	0.87144
223	YOR122C	0.87143
224	YJL034W	0.8714
225	YER103W	0.87139
226	YNL093W	0.87137
227	YDR046C	0.87132
228	YHR218W	0.87129
229	YCR009C	0.87127
230	YDR406W	0.87113
231	YLL067C	0.8711
232	YOR197W	0.8709
233	YOL021C	0.87084
234	YAL020C	0.87069
235	YEL065W	0.87068
236	YCR047C	0.87048
237	YBR080C	0.87041
238	YGR208W	0.87031
239	YNL142W	0.87017
240	YPR052C	0.87004
241	YGR231C	0.86996
242	YIL120W	0.86987
243	YHR070W	0.86981
244	YOL103W	0.86914
245	YFL017W-A	0.86914
246	YEL064C	0.86896
247	YOR317W	0.86876
248	YHL050C	0.86862
249	YBR296C	0.86839
250	YLR397C	0.86833
251	YEL031W	0.8683
252	YFL026W	0.86827
253	YHR110W	0.86807
254	YDR091C	0.86798
255	YGL253W	0.86793
256	YKL104C	0.86791
257	YDR135C	0.86789
258	YLR130C	0.86773
259	YJL213W	0.86769
260	YDL160C	0.86738
261	YDR011W	0.8672
262	YDR540C	0.86716
263	YDL097C	0.86716
264	YGR121C	0.8671
265	YGL091C	0.867
266	YER171W	0.86671
267	YMR222C	0.86655
268	YEL013W	0.86613
269	YIL177C	0.86607
270	YDR508C	0.86595
271	YMR300C	0.86585
272	YLR170C	0.86572
273	YJL225C	0.86563
274	YHR200W	0.86555
275	YPR051W	0.86554
276	YIR036C	0.86544
277	YDR328C	0.86534
278	YDL100C	0.86533
279	YPR069C	0.86519
280	YDR185C	0.86504
281	YHR032W	0.86495
282	YHR057C	0.86487
283	YOR270C	0.86485
284	YDL125C	0.86485
285	YOR157C	0.86483
286	YER099C	0.86483
287	YER089C	0.8648
288	YDL168W	0.86476
289	YDR454C	0.86465
290	YEL046C	0.86449
291	YER019W	0.86442
292	YEL066W	0.86432
293	YPL244C	0.86401
294	YDR375C	0.86386
295	YOR380W	0.86382
296	YKR105C	0.86378
297	YER090W	0.86377
298	YBR126C	0.86373
299	YIL009W	0.86367
300	YML102W	0.86365
301	YDL029W	0.86361
302	YLL066C	0.86352
303	YBL030C	0.86347
304	YOR273C	0.86346
305	YLR058C	0.86337
306	YOL122C	0.86335
307	YJR105W	0.86332
308	YFL045C	0.8633
309	YER052C	0.86321
310	YJR068W	0.86312
311	YER166W	0.86294
312	YJL026W	0.86292
313	YGR060W	0.8629
314	YER185W	0.86284
315	YDL001W	0.86259
316	YGR224W	0.86258
317	YDR424C	0.86255
318	YBR243C	0.86254
319	YHL003C	0.86245
320	YJL196C	0.86233
321	YBR089C-A	0.8622
322	YFR053C	0.86199
323	YNL288W	0.86195
324	YER012W	0.86191
325	YML133C	0.86189
326	YDL210W	0.86187
327	YMR056C	0.86164
328	YLR193C	0.86162
329	YDR226W	0.86161
330	YDL064W	0.86152
331	YBR154C	0.86146
332	YOR388C	0.86144
333	YDL022W	0.8614
334	YGR210C	0.86134
335	YIL143C	0.8613
336	YNR070W	0.86129
337	YCR028C	0.86122
338	YBR298C	0.86121
339	YPR145W	0.86103
340	YIL074C	0.861
341	YGL011C	0.86098
342	YLR303W	0.86092
343	YLR467W	0.86087
344	YDR545W	0.86087
345	YOR396W	0.86087
346	YER094C	0.86087
347	YAL061W	0.86068
348	YER159C	0.86063
349	YDR139C	0.86058
350	YJR058C	0.86051
351	YJR152W	0.86047
352	YBL113C	0.86047
353	YDL164C	0.86043
354	YIL116W	0.86018
355	YBR043C	0.86013
356	YPL106C	0.86002
357	YOR381W	0.85985
358	YOL151W	0.85974
359	YNL274C	0.85959
360	YML069W	0.85954
361	YOR131C	0.85949
362	YPL154C	0.85948
363	YBR085W	0.85944
364	YDR456W	0.85934
365	YOL143C	0.85905
366	YML022W	0.85899
367	YBR169C	0.85896
368	YJR095W	0.85894
369	YER036C	0.85884
370	YOR347C	0.85879
371	YKL216W	0.85877
372	YER057C	0.8587
373	YKR093W	0.85867
374	YNL014W	0.85865
375	YAL038W	0.85859
376	YDL222C	0.85853
377	YCL073C	0.85842
378	YPL274W	0.8584
379	YGL200C	0.85835
380	YPR156C	0.85822
381	YBR252W	0.85821
382	YPL275W	0.85821
383	YNR032W	0.85799
384	YPL259C	0.85797
385	YGL054C	0.8579
386	YIL003W	0.8579
387	YNL339C	0.85783
388	YPL283C	0.85774
389	YGR296W	0.8577
390	YOL030W	0.85769
391	YDR090C	0.85765
392	YBR019C	0.85756
393	YKR106W	0.85738
394	YMR226C	0.85733
395	YKR080W	0.85726
396	YML116W	0.85723
397	YBL071W-A	0.85704
398	YLR237W	0.8569
399	YNL113W	0.85689
400	YHR050W	0.8568
401	YLR168C	0.85655
402	YIR042C	0.85655
403	YOR362C	0.85647
404	YBL111C	0.85645
405	YGR248W	0.85643
406	YOR328W	0.8564
407	YMR243C	0.85632
408	YGR124W	0.8562
409	YLR249W	0.8562
410	YLR092W	0.85614
411	YJR153W	0.85607
412	YHL011C	0.85604
413	YBR068C	0.85602
414	YJR073C	0.85602
415	YHR065C	0.85595
416	YER107C	0.85588
417	YAL060W	0.85588
418	YGR211W	0.85579
419	YER023W	0.85574
420	YPR016C	0.85572
421	YGR132C	0.85567
422	YHR005C	0.85557
423	YMR146C	0.85549
424	YHR026W	0.85546
425	YBR287W	0.85541
426	YBL068W	0.85513
427	YMR071C	0.85508
428	YDR510W	0.85507
429	YCR020C-A	0.85497
430	YPL175W	0.85495
431	YDL230W	0.85493
432	YDR002W	0.85492
433	YDR394W	0.85489
434	YDR384C	0.85475
435	YBR222C	0.85475
436	YMR080C	0.85474
437	YEL058W	0.85474
438	YAL023C	0.85474
439	YER055C	0.85473
440	YGR213C	0.85468
441	YJR045C	0.85468
442	YHR135C	0.85463
443	YNR053C	0.85458
444	YJL121C	0.85457
445	YNL307C	0.85456
446	YPL265W	0.85456
447	YIL118W	0.85451
448	YIR028W	0.8545
449	YGL047W	0.85443
450	YHR169W	0.85443
451	YNL202W	0.85439
452	YLR011W	0.85439
453	YLL026W	0.85434
454	YNL339W-A	0.85434
455	YER190C-A	0.85434
456	YGR296C-A	0.85434
457	YML133W-A	0.85434
458	YPL283W-A	0.85434
459	YEL026W	0.85429
460	YLL061W	0.85424
461	YOR326W	0.85423
462	YMR271C	0.85423
463	YMR221C	0.8542
464	YHR163W	0.85405
465	YEL030W	0.85404
466	YLL063C	0.85404
467	YKL217W	0.85398
468	YDL052C	0.85385
469	YER062C	0.85384
470	YGL048C	0.85378
471	YML124C	0.85378
472	YER025W	0.85377
473	YGL070C	0.85377
474	YBR034C	0.85359
475	YER145C	0.85349
476	YOR187W	0.85339
477	YKL046C	0.85335
478	YJR001W	0.85334
479	YDR339C	0.85332
480	YCR059C	0.8533
481	YOR224C	0.85322
482	YNL275W	0.85286
483	YGR253C	0.85269
484	YBL036C	0.85264
485	YGL002W	0.85261
486	YIL048W	0.85247
487	YDL182W	0.85245
488	YNL095C	0.85243
489	YBR106W	0.85243
490	YJR049C	0.85242
491	YBL041W	0.85236
492	YBR114W	0.85232
493	YFR014C	0.8523
494	YCL069W	0.85228
495	YPR103W	0.85221
496	YEL051W	0.852
497	YDR541C	0.85197
498	YCL040W	0.85197
499	YOR283W	0.85188
500	YPL129W	0.85187
501	YNL330C	0.85187
502	YML085C	0.85181
503	YEL070W	0.85175
504	YNR073C	0.85175
505	YER165W	0.8517
506	YPL017C	0.85166
507	YDR304C	0.85158
508	YIL088C	0.85155
509	YER086W	0.85149
510	YLR438W	0.85139
511	YIL053W	0.85137
512	YER178W	0.85111
513	YNL044W	0.85101
514	YKL145W	0.85086
515	YIL043C	0.85086
516	YNL255C	0.85086
517	YJL055W	0.85082
518	YOR117W	0.8508
519	YPL199C	0.8508
520	YPL276W	0.85076
521	YLR213C	0.85055
522	YOL163W	0.8505
523	YJL030W	0.85049
524	YGR267C	0.85047
525	YBR294W	0.85031
526	YGL062W	0.85025
527	YBL078C	0.85025
528	YKL001C	0.85024
529	YKR053C	0.85021
530	YBL102W	0.85006
531	YML057W	0.84986
532	YML106W	0.84986
533	YGR175C	0.84981
534	YLL039C	0.84979
535	YGL012W	0.84972
536	YFL056C	0.84969
537	YAL064C-A	0.84969
538	YDL102W	0.84961
539	YLR348C	0.84961
540	YOL132W	0.84956
541	YOR126C	0.84954
542	YNR060W	0.84948
543	YJL094C	0.84947
