rank	yeast_gene	cosine
1	YHR030C	0.96478
2	YHL003C	0.96117
3	YDR196C	0.96096
4	YNL288W	0.96056
5	YBR243C	0.95983
6	YJR124C	0.95904
7	YMR034C	0.95892
8	YDL128W	0.9588
9	YIL121W	0.95859
10	YPL203W	0.95846
11	YPL031C	0.95807
12	YBR241C	0.95798
13	YCR028C	0.95796
14	YDR135C	0.95791
15	YER119C	0.95786
16	YHL047C	0.95746
17	YDR375C	0.95733
18	YDL108W	0.95683
19	YHL040C	0.95638
20	YGR040W	0.95638
21	YNL275W	0.95599
22	YBR160W	0.95578
23	YAL026C	0.95557
24	YML018C	0.95549
25	YGR281W	0.95531
26	YKL146W	0.95501
27	YER026C	0.95478
28	YHR032W	0.95426
29	YIL120W	0.95414
30	YOL075C	0.95409
31	YPR113W	0.95395
32	YOR257W	0.95386
33	YJL164C	0.95362
34	YBL016W	0.95318
35	YNR055C	0.95313
36	YER019W	0.95292
37	YLR113W	0.95277
38	YER125W	0.95274
39	YBR187W	0.95266
40	YNL095C	0.95262
41	YOL122C	0.95253
42	YER171W	0.95207
43	YKR053C	0.95203
44	YKL166C	0.95157
45	YKL104C	0.95109
46	YJR001W	0.95078
47	YLR034C	0.95062
48	YJL108C	0.9506
49	YDL001W	0.95058
50	YER020W	0.95024
51	YGL120C	0.95021
52	YGR152C	0.95017
53	YBR043C	0.95011
54	YPL244C	0.9501
55	YOL021C	0.95006
56	YBR235W	0.95001
57	YER039C	0.94997
58	YLR466W	0.94991
59	YMR221C	0.94984
60	YPL175W	0.94974
61	YLR168C	0.94957
62	YER133W	0.94937
63	YLR005W	0.94921
64	YHR132C	0.94915
65	YGL002W	0.94914
66	YDR040C	0.94905
67	YPR183W	0.949
68	YHR050W	0.94899
69	YPL221W	0.94894
70	YCR048W	0.94889
71	YFR018C	0.94883
72	YDR039C	0.94878
73	YHR135C	0.94843
74	YPR051W	0.94837
75	YOL162W	0.94834
76	YDR038C	0.94816
77	YGR197C	0.948
78	YER190W	0.9479
79	YLR268W	0.94776
80	YPL264C	0.94767
81	YGR218W	0.94766
82	YER145C	0.94755
83	YGR138C	0.94754
84	YMR109W	0.94745
85	YKR002W	0.9473
86	YEL031W	0.94727
87	YIR028W	0.9472
88	YIR022W	0.94682
89	YCL073C	0.94678
90	YBL082C	0.94674
91	YPL259C	0.94671
92	YNR048W	0.94656
93	YOL158C	0.9465
94	YBR080C	0.94644
95	YHR110W	0.94638
96	YDL052C	0.94637
97	YPL246C	0.94629
98	YDL134C	0.94622
99	YHR005C	0.94622
100	YKR106W	0.94616
101	YOR092W	0.94613
102	YEL064C	0.94612
103	YMR015C	0.94608
104	YGL047W	0.94596
105	YGL167C	0.94578
106	YOR273C	0.94576
107	YDL057W	0.9457
108	YKR068C	0.94567
109	YLR170C	0.94549
110	YNR057C	0.94548
111	YLL028W	0.94546
112	YER166W	0.94546
113	YPL058C	0.94534
114	YJL134W	0.94527
115	YDL097C	0.94527
116	YGL139W	0.94523
117	YLR193C	0.94516
118	YLR397C	0.94508
119	YGR055W	0.94497
120	YOR084W	0.94494
121	YPL006W	0.9449
122	YIL048W	0.94485
123	YOR380W	0.94483
124	YKL078W	0.94473
125	YDR373W	0.94462
126	YOL132W	0.94456
127	YDR185C	0.94443
128	YDL188C	0.94435
129	YDR406W	0.9443
130	YNL125C	0.94399
131	YDL100C	0.94394
132	YEL065W	0.94394
133	YCL025C	0.94373
134	YAR035W	0.94364
135	YDR404C	0.94361
136	YBR038W	0.94361
137	YKL039W	0.94359
138	YOR270C	0.94358
139	YOR326W	0.94349
140	YFR028C	0.94347
141	YJR015W	0.94342
142	YNL290W	0.94342
143	YER090W	0.94334
144	YOL103W	0.94326
145	YJR058C	0.94324
146	YDR536W	0.94322
147	YDR011W	0.94317
148	YDL160C	0.94314
149	YDR328C	0.94293
150	YMR301C	0.94283
151	YDL102W	0.9427
152	YBL105C	0.94269
153	YEL077C	0.94266
154	YER089C	0.94261
155	YOR087W	0.9426
156	YNL093W	0.94259
157	YKL008C	0.94248
158	YBR287W	0.94238
159	YCR009C	0.94237
160	YLR426W	0.94235
161	YNL154C	0.94233
162	YOR396W	0.94227
163	YDR545W	0.94227
164	YLR467W	0.94227
165	YMR080C	0.94224
166	YAL023C	0.9422
167	YPL204W	0.94209
168	YIR026C	0.94193
169	YIL001W	0.94171
170	YNL270C	0.9417
171	YDR508C	0.94165
172	YHR190W	0.94161
173	YDR093W	0.9416
174	YKR050W	0.94152
175	YDR092W	0.94151
176	YDR074W	0.9415
177	YLR234W	0.94149
178	YIL109C	0.94146
179	YDR021W	0.9414
180	YOL038W	0.94132
181	YGR065C	0.94131
182	YGL012W	0.94121
183	YDL164C	0.94117
184	YNR070W	0.94111
185	YDR090C	0.94107
186	YOR328W	0.94104
187	YBR021W	0.9407
188	YGR028W	0.94069
189	YAR002C-A	0.94056
190	YLR241W	0.94055
191	YER012W	0.94055
192	YHR200W	0.94046
193	YCR047C	0.94038
194	YJR049C	0.94034
195	YGR124W	0.94031
196	YJL225C	0.94029
197	YGL201C	0.94027
198	YIL177C	0.94022
199	YBR164C	0.9402
200	YHL017W	0.94019
201	YHR218W	0.94018
202	YGR163W	0.94017
203	YBR202W	0.94008
204	YER143W	0.94001
205	YKL027W	0.93996
206	YGL163C	0.93994
207	YJL198W	0.93979
208	YDL047W	0.93973
209	YJR152W	0.93969
210	YLR291C	0.93964
211	YMR271C	0.93945
212	YNL339C	0.9394
213	YGR191W	0.93939
214	YKL190W	0.93937
215	YBR159W	0.93936
216	YPL283C	0.93925
217	YGR296W	0.93923
218	YMR279C	0.93922
219	YMR224C	0.93919
220	YNL090W	0.93919
221	YDR075W	0.93918
222	YHL016C	0.9391
223	YGL200C	0.93908
224	YJL196C	0.93905
225	YOR197W	0.93902
226	YCR027C	0.93897
227	YDL006W	0.93894
228	YDR497C	0.93891
229	YAL053W	0.9389
230	YBR296C	0.9388
231	YLR438C-A	0.93879
232	YBR220C	0.93875
233	YNL268W	0.93872
234	YHR144C	0.93853
235	YHR007C	0.93839
236	YNL189W	0.93838
237	YLR243W	0.93837
238	YKR026C	0.9383
239	YHR094C	0.93827
240	YOR153W	0.93824
241	YJL214W	0.93821
242	YPR145W	0.93818
243	YLL067C	0.93818
244	YLR188W	0.93805
245	YML012W	0.93805
246	YGR105W	0.93803
247	YKL129C	0.93802
248	YHR026W	0.93796
249	YGL119W	0.9379
250	YJL024C	0.93788
251	YMR290C	0.93785
252	YPR019W	0.93783
253	YOR061W	0.93767
254	YBR137W	0.93763
255	YKR093W	0.93762
256	YML057W	0.93761
257	YGR267C	0.93761
258	YGL130W	0.93749
259	YLR137W	0.93744
260	YGL186C	0.9374
261	YIL143C	0.93739
262	YGL006W	0.93727
263	YNR013C	0.93726
264	YDR438W	0.93724
