rank	yeast_gene	cosine
1	YCR011C	0.98656
2	YOR087W	0.98331
3	YGL006W	0.98122
4	YJR001W	0.97978
5	YAL026C	0.97948
6	YDR093W	0.97921
7	YNR019W	0.97814
8	YNL095C	0.97796
9	YPL006W	0.97784
10	YOL075C	0.97697
11	YGR281W	0.97686
12	YDR135C	0.97686
13	YLR152C	0.97681
14	YAL029C	0.97668
15	YDR264C	0.9764
16	YBR295W	0.97621
17	YBR235W	0.97575
18	YDL001W	0.9756
19	YMR080C	0.97558
20	YOR326W	0.9754
21	YMR162C	0.97532
22	YPL153C	0.97532
23	YCR037C	0.97506
24	YOL112W	0.97472
25	YKR050W	0.97465
26	YBR023C	0.97442
27	YPR019W	0.97423
28	YIR026C	0.97406
29	YKL126W	0.97399
30	YKL039W	0.97398
31	YGL201C	0.97398
32	YER166W	0.97394
33	YOL122C	0.97377
34	YIL001W	0.97373
35	YGR100W	0.97357
36	YGR092W	0.9733
37	YDR038C	0.97327
38	YLR241W	0.97327
39	YER026C	0.97326
40	YBR043C	0.97325
41	YOL130W	0.97321
42	YAL022C	0.97316
43	YDR039C	0.97308
44	YOR092W	0.97281
45	YHR005C	0.97271
46	YJL198W	0.9725
47	YEL041W	0.97216
48	YPL221W	0.9721
49	YPR111W	0.97202
50	YLR398C	0.97187
51	YNL125C	0.97181
52	YGR197C	0.97172
53	YLR092W	0.97164
54	YER013W	0.97154
55	YFL050C	0.97151
56	YNR011C	0.97144
57	YJR072C	0.97143
58	YMR054W	0.97138
59	YKL078W	0.97134
60	YHR032W	0.97132
61	YDR040C	0.97116
62	YPL122C	0.97111
63	YLR189C	0.97105
64	YDR452W	0.97104
65	YPR003C	0.971
66	YDR490C	0.97082
67	YHR031C	0.97073
68	YLR138W	0.97066
69	YEL064C	0.9706
70	YGL139W	0.9705
71	YKL166C	0.97041
72	YLR410W	0.97031
73	YJR049C	0.97016
74	YDR456W	0.97012
75	YOL137W	0.9701
76	YBL105C	0.97001
77	YOR011W	0.97001
78	YFR048W	0.96999
79	YBR073W	0.96988
80	YCR023C	0.96985
81	YJL094C	0.96967
82	YHL017W	0.96967
83	YBR245C	0.96953
84	YOL016C	0.96948
85	YOR101W	0.96931
86	YOR351C	0.96931
87	YBR038W	0.96913
88	YIL088C	0.96911
89	YGR125W	0.96901
90	YBR080C	0.96899
91	YGR217W	0.96887
92	YER176W	0.96883
93	YJL093C	0.96873
94	YFR031C	0.96865
95	YDL007W	0.96859
96	YNR013C	0.96857
97	YNL329C	0.96852
98	YBR294W	0.96838
99	YGL140C	0.96833
100	YGR271W	0.96831
101	YKR001C	0.96829
102	YOR172W	0.96813
103	YEL031W	0.96801
104	YNL021W	0.96796
105	YJR032W	0.9678
106	YHR132C	0.96774
107	YDR170C	0.96764
108	YIR002C	0.9676
109	YDR291W	0.96758
110	YJL134W	0.96749
111	YBL056W	0.96745
112	YKL135C	0.96744
113	YHL003C	0.96741
114	YMR285C	0.96741
115	YGR004W	0.96741
116	YLR014C	0.96738
117	YKL197C	0.96738
118	YOR034C	0.96735
119	YOR250C	0.96731
120	YDR074W	0.96731
121	YLR277C	0.9673
122	YLR467W	0.96728
123	YDR545W	0.96728
124	YOR396W	0.96728
125	YPL204W	0.96724
126	YIL068C	0.96723
127	YLR411W	0.96712
128	YOR304W	0.96709
129	YGL017W	0.96707
130	YIL048W	0.96705
131	YLR451W	0.96698
132	YLR324W	0.96696
133	YER089C	0.96695
134	YFR028C	0.96694
135	YOR291W	0.96677
136	YLR345W	0.96671
137	YHR050W	0.9667
138	YBL111C	0.96667
139	YLR137W	0.96665
140	YKL146W	0.96659
141	YER164W	0.96658
142	YHR030C	0.96652
143	YNL339C	0.96651
144	YGR296W	0.96645
145	YMR138W	0.96645
146	YPL283C	0.96644
147	YPL208W	0.96637
148	YNL223W	0.96628
149	YBR202W	0.96627
150	YDR477W	0.9661
151	YOL065C	0.96607
152	YDR243C	0.96606
153	YJR040W	0.96604
154	YLR086W	0.96604
155	YFL042C	0.96602
156	YLL015W	0.96602
157	YFR021W	0.96602
158	YPL082C	0.966
159	YMR001C	0.96599
160	YOL103W	0.96586
161	YNL192W	0.96582
162	YAL053W	0.96574
163	YHR012W	0.96569
164	YCR045C	0.96566
165	YER172C	0.96565
166	YLL048C	0.96558
167	YML038C	0.96555
168	YDL194W	0.96548
169	YFL008W	0.96543
170	YCR048W	0.96538
171	YLR220W	0.96529
172	YMR288W	0.96528
173	YKR088C	0.96525
174	YLR397C	0.96523
175	YML018C	0.9652
176	YDR270W	0.96515
177	YIL014W	0.96514
178	YOR165W	0.9651
179	YOR109W	0.96509
180	YKL161C	0.96504
181	YIL013C	0.96499
182	YMR266W	0.96495
183	YGR152C	0.96487
184	YNL207W	0.96483
185	YBL011W	0.96477
186	YMR101C	0.96467
187	YGR040W	0.96465
188	YBR198C	0.96462
189	YJL225C	0.96457
190	YHL036W	0.96448
191	YJL128C	0.96448
192	YIL177C	0.96444
193	YLR343W	0.96443
194	YBR287W	0.96436
195	YDR522C	0.9643
196	YBL017C	0.9643
197	YIL147C	0.9643
198	YBR264C	0.96425
199	YLR386W	0.96416
200	YML133C	0.96415
201	YKR053C	0.96413
202	YDR292C	0.96411
203	YMR304W	0.9641
204	YOL132W	0.96409
205	YHR178W	0.96391
206	YIL047C	0.96388
207	YMR196W	0.96387
208	YBL023C	0.96386
209	YNL099C	0.96386
210	YGL163C	0.96381
211	YIL120W	0.96381
212	YAR018C	0.9638
213	YOR357C	0.96375
214	YNL101W	0.96374
215	YAR042W	0.96373
216	YOR162C	0.9637
