rank	yeast_gene	cosine
1	YFL066C	0.93534
2	YER072W	0.9336
3	YAL064C-A	0.92238
4	YEL027W	0.9195
5	YGL008C	0.91599
6	YPL036W	0.91027
7	YLR229C	0.90284
8	YPR165W	0.90098
9	YER177W	0.89903
10	YPR016C	0.89483
11	YER025W	0.89407
12	YER148W	0.89279
13	YKR059W	0.8925
14	YNL006W	0.89086
15	YPR204W	0.89051
16	YFL039C	0.89031
17	YEL013W	0.88998
18	YOR293W	0.88868
19	YLR167W	0.88738
20	YDR099W	0.88678
21	YIL148W	0.88664
22	YKR094C	0.88664
23	YDR091C	0.88556
24	YEL034W	0.88432
25	YPL266W	0.88407
26	YNR032C-A	0.88405
27	YJL108C	0.88385
28	YMR230W	0.88377
29	YDR129C	0.88146
30	YIL143C	0.88139
31	YFL026W	0.88078
32	YGL225W	0.88072
33	YDL192W	0.88058
34	YJL190C	0.88009
35	YJR065C	0.88004
36	YPL086C	0.87997
37	YHR128W	0.8796
38	YKL190W	0.87941
39	YLR367W	0.87776
40	YKL218C	0.87772
41	YGL091C	0.87708
42	YHR213W	0.87699
43	YAR062W	0.87699
44	YHR218W-A	0.87683
45	YBL112C	0.87683
46	YPR182W	0.87629
47	YGR252W	0.87628
48	YLL024C	0.87608
49	YEL026W	0.876
50	YBL026W	0.87599
51	YAL005C	0.87508
52	YMR109W	0.8749
53	YOR378W	0.87453
54	YDL229W	0.87403
55	YEL077C	0.87385
56	YGL255W	0.87353
57	YKL196C	0.87337
58	YNL209W	0.87335
59	YFL058W	0.87269
60	YNR053C	0.87231
61	YPL218W	0.87229
62	YNL332W	0.87214
63	YDL137W	0.87171
64	YDR021W	0.87105
65	YJR156C	0.87081
66	YJR153W	0.87066
67	YDL244W	0.87065
68	YOR046C	0.8705
69	YNL290W	0.87045
70	YER103W	0.86991
71	YER081W	0.86973
72	YLR113W	0.86952
73	YJR047C	0.86906
74	YER069W	0.86891
75	YEL051W	0.86891
76	YER039C	0.86881
77	YBL075C	0.86809
78	YGR210C	0.86805
79	YBR164C	0.86782
80	YJR007W	0.86771
81	YOR204W	0.86771
82	YLL050C	0.86755
83	YKL129C	0.86724
84	YJL050W	0.86719
85	YOR122C	0.8669
86	YLL039C	0.86677
87	YGR282C	0.86652
88	YOR257W	0.86575
