rank	yeast_gene	cosine
1	YKL219W	0.97566
2	YGL053W	0.97482
3	YDL248W	0.97409
4	YJR161C	0.97404
5	YGL146C	0.97369
6	YNR075W	0.97341
7	YOR292C	0.97268
8	YCR007C	0.9711
9	YFL062W	0.97083
10	YAR028W	0.9706
11	YBR240C	0.97054
12	YNL294C	0.97049
13	YBR036C	0.96996
14	YAR031W	0.96986
15	YLR368W	0.96981
16	YML132W	0.96927
17	YBR302C	0.96927
18	YOR299W	0.96921
19	YDR126W	0.96802
20	YCL002C	0.96775
21	YIL047C	0.9674
22	YNL336W	0.96731
23	YAR027W	0.96722
24	YGL263W	0.9672
25	YMR019W	0.96718
26	YML031W	0.96705
27	YNL080C	0.96673
28	YOL013C	0.96672
29	YAR033W	0.96662
30	YAR023C	0.96649
31	YIL009C-A	0.96592
32	YLL043W	0.96582
33	YPL144W	0.9658
34	YMR168C	0.96538
35	YLR246W	0.96532
36	YJL100W	0.96523
37	YHL048W	0.96513
38	YGL051W	0.96484
39	YHR022C	0.96484
40	YOR301W	0.96471
41	YGL140C	0.96469
42	YDR213W	0.96459
43	YFR029W	0.96435
44	YKL203C	0.96415
45	YGL179C	0.96401
46	YNL165W	0.96385
47	YIL024C	0.96378
48	YLR233C	0.96373
49	YKL198C	0.9637
50	YGR295C	0.96362
51	YLR019W	0.96321
52	YLR443W	0.96297
53	YIL151C	0.96289
54	YNL083W	0.96283
55	YHL044W	0.9628
56	YGL254W	0.96264
57	YER118C	0.96261
58	YML066C	0.96251
59	YNL038W	0.96207
60	YOL116W	0.96175
61	YDR436W	0.96172
62	YDR179W-A	0.96162
63	YMR291W	0.96161
64	YIL132C	0.96155
65	YLR392C	0.96137
66	YGL216W	0.96131
67	YLR228C	0.96126
68	YLR054C	0.96116
69	YMR133W	0.96113
70	YJR046W	0.961
71	YGR122W	0.96097
72	YOR363C	0.96093
73	YJR127C	0.96091
74	YNL304W	0.96089
75	YDL231C	0.96088
76	YCR106W	0.96057
77	YOL048C	0.96056
78	YNL204C	0.9605
79	YDR206W	0.96034
80	YDR372C	0.96026
81	YDR302W	0.96025
82	YHR133C	0.96019
83	YOR079C	0.96017
84	YOR385W	0.9601
85	YDR245W	0.95995
86	YOL047C	0.9598
87	YJR066W	0.95976
88	YOR080W	0.95973
89	YJL156C	0.95971
90	YDR119W	0.95966
91	YLR362W	0.9595
92	YHR178W	0.95949
93	YLR266C	0.95948
94	YIR014W	0.95931
95	YAL022C	0.95922
96	YKL222C	0.95918
97	YML088W	0.95911
98	YHR105W	0.9591
99	YNL116W	0.95904
100	YBR040W	0.95898
101	YHL027W	0.9589
102	YOL053W	0.9588
103	YHL043W	0.9588
104	YGR216C	0.95878
105	YKR064W	0.95864
106	YNL326C	0.95861
107	YOR060C	0.9586
108	YGL134W	0.95856
109	YGR068C	0.95851
110	YNR068C	0.9585
111	YGR066C	0.95842
112	YLL017W	0.9584
113	YBR150C	0.95827
114	YDR122W	0.95802
115	YPR015C	0.95798
116	YER184C	0.95798
117	YHR078W	0.95797
118	YPL039W	0.95788
119	YOR107W	0.95775
120	YDR517W	0.95751
121	YDR367W	0.9574
122	YOR156C	0.95739
123	YJL146W	0.95734
124	YDL214C	0.95696
125	YER113C	0.95691
126	YIL131C	0.95684
127	YNL236W	0.95683
128	YMR306W	0.95674
129	YMR063W	0.9567
130	YPL038W	0.95668
131	YLR350W	0.95661
132	YBR033W	0.9566
133	YLR096W	0.95659
134	YJL053W	0.95658
135	YFL029C	0.95656
136	YGR263C	0.95654
137	YMR258C	0.9565
138	YDR081C	0.95646
139	YNL161W	0.95639
140	YIL017C	0.95636
141	YIL147C	0.9563
142	YJL093C	0.95624
143	YKL047W	0.95623
144	YCR079W	0.9562
145	YOR373W	0.95612
146	YIR011C	0.95608
147	YDL146W	0.95607
148	YDR423C	0.95602
149	YBR128C	0.956
150	YCR091W	0.95598
151	YAR019C	0.95593
152	YNR061C	0.95593
153	YLL016W	0.95591
154	YLR265C	0.95582
155	YAL037W	0.95572
156	YJR090C	0.95564
157	YCL056C	0.95561
158	YMR126C	0.95554
159	YKL034W	0.95551
160	YIL090W	0.95546
161	YBR284W	0.95545
162	YOL044W	0.95543
163	YGR052W	0.9554
164	YOL101C	0.95538
165	YML099C	0.95537
