rank	yeast_gene	cosine
1	YEL027W	0.94169
2	YER025W	0.9406
3	YLR229C	0.93962
4	YFL066C	0.93373
5	YPL086C	0.93331
6	YDR091C	0.93314
7	YPR165W	0.92907
8	YNL006W	0.92907
9	YER072W	0.92844
10	YPR016C	0.92451
11	YAL064C-A	0.92431
12	YEL026W	0.92407
13	YFL039C	0.92209
14	YOR378W	0.9218
15	YKR059W	0.92154
16	YNR032C-A	0.92054
17	YJR065C	0.91962
18	YPL266W	0.91706
19	YBL026W	0.91452
20	YGL008C	0.91292
21	YPL036W	0.91103
22	YHR128W	0.90982
23	YGR252W	0.90944
24	YLR359W	0.90759
25	YGL225W	0.90693
26	YKL218C	0.90665
27	YEL013W	0.90646
28	YOL094C	0.90619
29	YLR175W	0.90513
30	YNR053C	0.90418
31	YER148W	0.90404
32	YJR007W	0.90238
33	YBR143C	0.90232
34	YLL050C	0.90191
35	YER069W	0.90168
36	YER081W	0.90136
37	YER177W	0.90125
38	YLR113W	0.90001
39	YDR343C	0.89974
40	YJL190C	0.89921
41	YOR061W	0.89891
42	YIL143C	0.89881
43	YIL074C	0.89869
44	YDR342C	0.89867
45	YNL290W	0.89855
46	YLL024C	0.89826
47	YAL005C	0.89702
48	YLR167W	0.8969
49	YDR129C	0.89655
50	YOR046C	0.89648
51	YBL030C	0.89588
52	YER178W	0.89581
53	YLR367W	0.89549
54	YGL255W	0.89543
55	YPR182W	0.89498
56	YHR092C	0.89447
57	YMR303C	0.89431
58	YDL192W	0.89431
59	YJL108C	0.89396
60	YBL016W	0.8939
61	YDR021W	0.89375
62	YOL086C	0.89336
63	YER039C	0.89333
64	YDR353W	0.8924
65	YJL050W	0.89232
66	YDR345C	0.89187
67	YER103W	0.89101
68	YMR109W	0.89086
69	YDR099W	0.89022
70	YGL091C	0.89021
71	YDL229W	0.8895
72	YNL209W	0.88937
73	YKL196C	0.88928
74	YLL018C	0.88883
75	YJL026W	0.88865
76	YKL152C	0.88847
77	YER009W	0.88794
78	YJL213W	0.88769
79	YLR044C	0.88711
80	YHR096C	0.88691
81	YNL244C	0.88636
82	YLR134W	0.88627
83	YOR257W	0.88615
84	YMR146C	0.88588
85	YBL075C	0.88587
86	YDL137W	0.88517
87	YFL026W	0.88512
88	YER094C	0.88466
89	YCL017C	0.88466
90	YGL256W	0.88465
91	YMR011W	0.88411
92	YNL191W	0.88396
93	YDL168W	0.88376
94	YHL016C	0.88342
95	YKL129C	0.88335
96	YGR210C	0.88329
97	YDL006W	0.8828
98	YMR290C	0.88256
99	YBR249C	0.88253
100	YNL104C	0.88238
101	YDR341C	0.88235
102	YLR081W	0.88184
103	YJR148W	0.88143
104	YBR085W	0.8806
105	YBR164C	0.88053
106	YHR094C	0.88039
107	YFL045C	0.8798
108	YHR018C	0.87861
109	YNL189W	0.87803
110	YFL011W	0.87802
111	YAL038W	0.87784
112	YDR339C	0.87774
113	YJL014W	0.87728
114	YDR155C	0.87715
115	YMR108W	0.87676
116	YDL055C	0.87674
117	YNL090W	0.87653
118	YBL112C	0.87653
119	YHR218W-A	0.87653
120	YLR303W	0.8765
121	YIL142W	0.87642
122	YOR293W	0.87639
123	YJL214W	0.87628
124	YEL034W	0.87601
125	YDL245C	0.87601
126	YBR160W	0.87592
127	YDR540C	0.8759
128	YKL190W	0.87537
129	YIL148W	0.87533
130	YKR094C	0.87533
131	YER007C-A	0.87533
132	YDL166C	0.875
133	YHR106W	0.87477
134	YJR158W	0.87425
135	YIL170W	0.87414
136	YDL126C	0.87381
137	YJR159W	0.87373
138	YLR438W	0.8737
139	YEL069C	0.8736
140	YFL017W-A	0.87325
141	YOR327C	0.87322
142	YOL156W	0.87321
143	YDL246C	0.87292
144	YNR072W	0.87237
145	YJL219W	0.87227
146	YER171W	0.87226
147	YDL047W	0.87204
148	YKL148C	0.87198
149	YNL112W	0.87181
150	YJL034W	0.87181
151	YJL164C	0.87114
152	YMR260C	0.87107
153	YCR047C	0.87102
154	YDR454C	0.871
155	YOL133W	0.87095
156	YPR033C	0.87094
157	YBR145W	0.8706
158	YFL058W	0.87054
159	YHR213W	0.8703
160	YAR062W	0.8703
161	YOR204W	0.87012
162	YGL062W	0.87002
163	YNL332W	0.86997
164	YMR143W	0.86991
165	YDL083C	0.86991
166	YMR230W	0.8699
167	YEL051W	0.86989
168	YDR059C	0.86952
169	YPL203W	0.86947
170	YJL045W	0.86937
171	YOR153W	0.86906
172	YJR156C	0.869
173	YLR438C-A	0.86898
174	YPR173C	0.86893
175	YJR153W	0.86857
176	YKR039W	0.86849
177	YDL244W	0.86831
178	YOR108W	0.86817
179	YNL135C	0.86816
180	YJR068W	0.86814
181	YBR082C	0.86797
182	YKL024C	0.86786
183	YDR075W	0.86679
184	YER055C	0.86677
185	YGL210W	0.86671
186	YPL028W	0.8663
187	YCR057C	0.86589
188	YCR012W	0.86558
189	YDR232W	0.8655
190	YHR208W	0.86539
191	YGL011C	0.86532
192	YGR087C	0.86473
193	YLR208W	0.86457
194	YER031C	0.86447
195	YLR028C	0.86423
196	YCR098C	0.86416
197	YHL047C	0.86397
198	YKR080W	0.86332
199	YGR231C	0.86317
200	YKL146W	0.86317
201	YBR114W	0.86313
202	YML012W	0.8631
203	YER052C	0.86304
204	YER060W-A	0.86298
205	YOR347C	0.86293
206	YPR204W	0.86277
207	YHR007C	0.86246
208	YHL040C	0.86229
209	YBL091C	0.86206
210	YPL220W	0.86206
211	YGL135W	0.86206
212	YPR052C	0.86185
213	YBR218C	0.86184
214	YEL042W	0.8618
215	YPL218W	0.86168
216	YGR040W	0.86136
217	YGR132C	0.86127
218	YMR015C	0.86116
219	YCR010C	0.86105
220	YER179W	0.86099
221	YJR047C	0.86074
222	YLR200W	0.86068
223	YDR536W	0.86068
224	YBR154C	0.86068
225	YBR252W	0.86068
226	YGR085C	0.86066
227	YJR077C	0.86065
228	YMR246W	0.86036
229	YPR102C	0.86033
230	YKL216W	0.86012
231	YBR089C-A	0.85998
232	YMR120C	0.85987
233	YPL106C	0.85966
234	YOL143C	0.85944
235	YIL078W	0.85941
236	YOR270C	0.85928
237	YOL021C	0.85927
238	YLL039C	0.85926
239	YBL071W-A	0.85908
240	YLR147C	0.85904
241	YNR026C	0.85878
242	YOR122C	0.85875
243	YDR226W	0.85868
244	YJL167W	0.85852
245	YEL021W	0.85832
