systematic	common	uniprot	seq_len
	DYNC1H1	Q14204	4646
	CENPF	P49454	3114
	FRYL	O94915	3013
	SRRM2	Q9UQ35	2752
	TPR	P12270	2363
	IQGAP2	Q13576	1575
	ABCC1	P33527	1531
	TOP2A	P11388	1531
	EIF3A	Q14152	1382
	CLUH	O75153	1309
	PLCG2	P16885	1265
	EIF5B	O60841	1220
	AFF1	P51825	1210
	MYO1E	Q12965	1108
	SMARCC1	Q92922	1105
	SLC4A4	Q9Y6R1	1079
	DDX46	Q7L014	1031
	NEDD4L	Q96PU5	975
	EXOC4	Q96A65	974
	SRRM1	Q8IYB3	904
	OSBPL3	Q9H4L5	887
	DDX24	Q9GZR7	859
	EXOC6B	Q9Y2D4	811
	BRD2	P25440	801
	SLC26A3	P40879	764
	HSP90AA1	P07900	732
	PICALM	Q13492	652
	SLC2A13	Q96QE2	648
	PABPC1	P11940	636
	PLS1	Q14651	629
	SLC27A6	Q9Y2P4	619
	PAPSS2	O95340	614
	NOP56	O00567	594
	HSPD1	P10809	573
	FGGY	Q96C11	551
	NOP58	Q9Y2X3	529
	TBC1D22A	Q8WUA7	517
	UGP2	Q16851	508
	CYP3A5	P20815	502
	ETNK1	Q9HBU6	452
	HNRNPDL	O14979	420
	CDC37	Q16543	378
	LUC7L	Q9NQ29	371
	GNAQ	P50148	359
	EEF1D	P29692	281
	EIF6	P56537	245
	VTI1A	Q96AJ9	217
	MOB3B	Q86TA1	216
	TIMM23B	Q5SRD1	188
	DHFR	P00374	187
	UBA52	P62987	128
