rank	yeast_gene	cosine
1	YPL218W	0.92508
2	YDL192W	0.92424
3	YDL137W	0.92175
4	YBR241C	0.91708
5	YBR164C	0.91568
6	YKR059W	0.91535
7	YPL203W	0.91534
8	YLR229C	0.91481
9	YFL039C	0.91093
10	YPR165W	0.91061
11	YJL108C	0.91003
12	YGL256W	0.90897
13	YDR345C	0.90865
14	YKL190W	0.90845
15	YGL008C	0.90674
16	YER072W	0.90577
17	YHR092C	0.90556
18	YPL036W	0.90344
19	YDL047W	0.90336
20	YHR094C	0.90331
21	YJL164C	0.90314
22	YNL189W	0.90302
23	YPR183W	0.90244
24	YDR343C	0.90143
25	YDR342C	0.90086
26	YOR094W	0.8998
27	YHL047C	0.89908
28	YJL214W	0.89828
29	YDL126C	0.89799
30	YPR192W	0.8979
31	YLR081W	0.89783
32	YNL090W	0.89743
33	YLR234W	0.89723
34	YDR373W	0.89702
35	YPR182W	0.89691
36	YMR011W	0.89681
37	YBR109C	0.89676
38	YKL024C	0.89676
39	YMR034C	0.89642
40	YDR155C	0.89598
41	YBR160W	0.89573
42	YLR113W	0.89572
43	YDL006W	0.89563
44	YOR257W	0.89517
45	YOR089C	0.89489
46	YGR105W	0.89424
47	YHR096C	0.89418
48	YFL011W	0.89361
49	YDL229W	0.89355
50	YDL245C	0.89338
51	YOR378W	0.89333
52	YMR109W	0.89322
53	YNL209W	0.89315
54	YJR158W	0.89287
55	YIL170W	0.89249
56	YDL134C	0.89222
57	YNL112W	0.892
58	YBR261C	0.89185
59	YDL084W	0.89159
60	YMR290C	0.89126
61	YLR147C	0.89121
62	YDR021W	0.89116
63	YOL156W	0.89092
64	YGL225W	0.89072
65	YER133W	0.89069
66	YFL038C	0.8902
67	YHL040C	0.89018
68	YNR072W	0.8901
69	YER009W	0.88971
70	YBL112C	0.88964
71	YHR218W-A	0.88964
72	YLL053C	0.88929
73	YEL069C	0.88908
74	YGL255W	0.88882
75	YKR039W	0.88871
76	YDR075W	0.88871
77	YGL058W	0.88864
78	YMR079W	0.88863
79	YJL219W	0.88846
80	YPR204W	0.88793
81	YER060W-A	0.88778
82	YPL266W	0.8876
83	YJL167W	0.88729
84	YOR204W	0.88707
85	YPL031C	0.88696
86	YDL108W	0.88685
87	YBR082C	0.8868
88	YPR113W	0.88653
89	YNL290W	0.88633
90	YBL075C	0.88618
91	YOR185C	0.88606
92	YBL016W	0.886
93	YOR046C	0.88592
94	YLR293C	0.8858
95	YLL024C	0.88567
96	YGR123C	0.88542
97	YDL166C	0.8854
98	YHR030C	0.88539
99	YER177W	0.88523
100	YPL234C	0.88507
101	YAL005C	0.88506
102	YDL128W	0.88485
103	YNL135C	0.88473
104	YFL055W	0.88433
105	YAL020C	0.88425
106	YER125W	0.884
107	YOR122C	0.88396
108	YCR010C	0.88378
109	YER039C	0.88361
110	YER103W	0.88321
111	YBR187W	0.88308
112	YER020W	0.88296
113	YDR040C	0.88273
114	YML012W	0.88228
115	YGR218W	0.8819
116	YNL268W	0.88184
117	YML018C	0.88172
118	YER060W	0.88157
119	YER031C	0.88155
120	YJL034W	0.88124
121	YKL196C	0.88124
122	YKL218C	0.88104
123	YDL055C	0.88088
124	YPL058C	0.88085
125	YMR015C	0.88083
126	YLL060C	0.88038
127	YNL098C	0.88021
128	YLR347C	0.88019
129	YJL014W	0.87999
130	YDR059C	0.87984
131	YAR002C-A	0.87983
132	YDR039C	0.87949
133	YEL027W	0.87893
134	YMR246W	0.87887
135	YDR536W	0.87876
136	YPL061W	0.87871
137	YLL050C	0.87861
138	YMR292W	0.8786
139	YGR282C	0.8786
140	YMR222C	0.87839
141	YGL210W	0.87837
142	YGR231C	0.87837
143	YKL129C	0.87812
144	YLR438C-A	0.87812
145	YER056C	0.87806
146	YLL028W	0.87769
147	YLR466W	0.87707
148	YDR129C	0.877
149	YOR161C	0.87698
150	YEL063C	0.87691
151	YFL058W	0.87687
152	YHL016C	0.87686
153	YDR038C	0.87679
154	YDR196C	0.87672
155	YER119C	0.87669
156	YDR185C	0.87659
157	YGL167C	0.87658
158	YGR252W	0.87643
159	YEL077C	0.87632
160	YCR098C	0.87604
161	YDL244W	0.87603
162	YNL332W	0.87586
163	YDR226W	0.87581
164	YPR173C	0.87558
165	YPL119C	0.87558
166	YHR128W	0.87537
167	YJR065C	0.87523
168	YDR404C	0.87519
169	YDR424C	0.87517
170	YDR099W	0.87515
171	YJR156C	0.87508
172	YDL029W	0.875
173	YDL188C	0.87497
174	YHR018C	0.87496
175	YBL026W	0.87482
176	YKL166C	0.87474
177	YGL054C	0.87471
178	YML123C	0.87468
179	YNL010W	0.87454
180	YEL066W	0.87449
181	YHR070W	0.87433
182	YHR200W	0.87432
