rank	yeast_gene	cosine
1	YNR032C-A	0.92282
2	YDL192W	0.92216
3	YIL148W	0.92199
4	YKR094C	0.92199
5	YAL064C-A	0.92141
6	YPL036W	0.9198
7	YGL008C	0.91823
8	YKR059W	0.91671
9	YDL137W	0.91663
10	YPR204W	0.9152
11	YBR164C	0.91382
12	YER072W	0.91313
13	YKL190W	0.91296
14	YHL050C	0.91158
15	YLR229C	0.91135
16	YPL218W	0.91019
17	YFL039C	0.90833
18	YOR094W	0.90721
19	YFL066C	0.9066
20	YER177W	0.90504
21	YPR165W	0.90502
22	YGL225W	0.90263
23	YFL058W	0.90217
24	YEL013W	0.90208
25	YHR092C	0.90194
26	YGL255W	0.90186
27	YNL332W	0.9018
28	YDR540C	0.90168
29	YLR293C	0.90078
30	YEL077C	0.90058
31	YDR345C	0.90046
32	YJR156C	0.90013
33	YOR185C	0.9001
34	YDL244W	0.89963
35	YJL214W	0.89946
36	YJR065C	0.89839
37	YDR343C	0.89839
38	YCR010C	0.89806
39	YHL047C	0.89795
40	YNL090W	0.89784
41	YDR342C	0.89761
42	YLL067C	0.8976
43	YOR061W	0.89748
44	YDL055C	0.89732
45	YDR021W	0.89714
46	YFL026W	0.89672
47	YDL245C	0.89647
48	YOR378W	0.89633
49	YDL229W	0.8962
50	YJR158W	0.89612
51	YNL209W	0.89584
52	YBR241C	0.89509
53	YNL014W	0.89486
54	YHL016C	0.8947
55	YLR113W	0.89448
56	YHR094C	0.89406
57	YHR218W	0.89381
58	YCR098C	0.89362
59	YLR249W	0.89361
60	YDR129C	0.89351
61	YMR034C	0.89319
62	YGL087C	0.89309
63	YDL126C	0.89306
64	YKL129C	0.89298
65	YMR146C	0.8927
66	YHR096C	0.89268
67	YLR081W	0.89263
68	YNL142W	0.89259
69	YBL112C	0.89217
70	YHR218W-A	0.89217
71	YDR099W	0.89194
72	YEL069C	0.89166
73	YNL006W	0.89138
74	YPR192W	0.89114
75	YLR466W	0.89067
76	YER060W-A	0.89062
77	YNR072W	0.89049
78	YLL066C	0.89027
79	YGL091C	0.89012
80	YGL210W	0.88964
81	YNL189W	0.88942
82	YMR011W	0.88934
83	YDL006W	0.88917
84	YML133C	0.889
85	YEL066W	0.88881
86	YMR015C	0.88875
87	YDL047W	0.88852
88	YPR182W	0.88847
89	YER031C	0.88831
90	YPR138C	0.88802
91	YPR035W	0.88798
92	YAL038W	0.88791
93	YBL111C	0.88773
94	YKR039W	0.88754
95	YHL040C	0.88737
96	YOR046C	0.88696
97	YOL156W	0.88682
98	YER148W	0.8866
99	YDR373W	0.88652
100	YMR109W	0.8865
101	YDL084W	0.88647
102	YML123C	0.88643
103	YGR121C	0.88605
104	YDL166C	0.88575
105	YPR062W	0.88556
106	Q0275	0.88556
107	YMR116C	0.88547
108	YML001W	0.88542
109	YJL001W	0.88536
110	YOR024W	0.88532
111	YPL051W	0.88529
112	YDL182W	0.88522
113	YJL034W	0.8851
114	YJL050W	0.88466
115	YER056C	0.88458
116	YNR002C	0.88455
117	YFL011W	0.88433
118	YJL219W	0.8842
119	YBR054W	0.88412
120	YOR270C	0.88376
121	YML018C	0.88362
122	YFR053C	0.88361
123	YDL222C	0.88354
124	YER060W	0.88349
125	YDL064W	0.88332
126	YKL217W	0.88307
127	YDR033W	0.8827
128	YBL030C	0.88266
129	YGL253W	0.88262
130	YPR173C	0.88261
131	YOR204W	0.88246
132	YIL177C	0.88243
133	YNL098C	0.88236
134	YBR080C	0.88231
135	YKL218C	0.88226
136	YBL016W	0.88223
137	YNR026C	0.88217
138	YMR290C	0.882
139	YER039C	0.88181
140	YJL225C	0.88172
141	YNL330C	0.88159
142	YLR167W	0.88156
143	YOR224C	0.88152
144	YER190W	0.88141
145	YKL024C	0.88139
146	YJL108C	0.88126
147	YOR293W	0.88118
148	YHR057C	0.88114
149	YIL170W	0.88105
150	YPR086W	0.88082
151	YOL133W	0.88073
152	YBL026W	0.88073
153	YOR161C	0.88072
154	YGR282C	0.88055
155	YBR296C	0.88009
156	YER081W	0.88005
157	YLL024C	0.87981
158	YKL196C	0.87974
159	YMR246W	0.87972
