rank	yeast_gene	cosine
1	YER072W	0.96158
2	YLR229C	0.96134
3	YKR059W	0.96018
4	YPR165W	0.95813
5	YLR113W	0.95803
6	YGL225W	0.95723
7	YOR378W	0.95668
8	YGL008C	0.95617
9	YPL036W	0.95612
10	YNL006W	0.95585
11	YNL290W	0.952
12	YFL039C	0.95166
13	YBL016W	0.95111
14	YPL266W	0.95107
15	YHR092C	0.95036
16	YDR343C	0.95025
17	YJR065C	0.95019
18	YMR109W	0.95006
19	YDR342C	0.94985
20	YDR345C	0.94939
21	YFL066C	0.94817
22	YGR252W	0.94783
23	YJL108C	0.94746
24	YER039C	0.94726
25	YOR061W	0.94724
26	YOR046C	0.94704
27	YIL143C	0.94697
28	YDR021W	0.94682
29	YOR257W	0.94671
30	YGL255W	0.9467
31	YDR129C	0.94631
32	YBL026W	0.94586
33	YDR091C	0.94518
34	YJL050W	0.945
35	YHR096C	0.94493
36	YHL016C	0.94471
37	YPR182W	0.94446
38	YER177W	0.94434
39	YLR081W	0.94415
40	YHL047C	0.94406
41	YHR094C	0.94394
42	YMR290C	0.94391
43	YER081W	0.94352
44	YER025W	0.94348
45	YBR160W	0.94291
46	YPL203W	0.94278
47	YDL192W	0.9424
48	YFL026W	0.94235
49	YER148W	0.94222
50	YKL129C	0.9421
51	YHL040C	0.94195
52	YJL214W	0.94163
53	YOL094C	0.94135
54	YBL030C	0.9411
55	YNL189W	0.94061
56	YMR011W	0.94043
57	YEL027W	0.94034
58	YBR164C	0.94021
59	YHR128W	0.94012
60	YKL196C	0.94009
61	YDL137W	0.94009
62	YBL075C	0.94003
63	YDL245C	0.94002
64	YDR099W	0.94
65	YKL190W	0.93982
66	YAL005C	0.93906
67	YEL013W	0.93904
68	YJR158W	0.93903
69	YFL011W	0.93862
70	YIL074C	0.93804
71	YJL164C	0.93789
72	YOL156W	0.93788
73	YEL069C	0.93782
74	YLL024C	0.93761
75	YOR204W	0.93745
76	YNR072W	0.93739
77	YNL112W	0.93732
78	YPR016C	0.93727
79	YNL090W	0.93716
80	YDL166C	0.93706
81	YJL219W	0.93689
82	YDL006W	0.93685
83	YKL146W	0.93655
84	YKL218C	0.93643
85	YNL209W	0.93637
86	YER103W	0.9361
87	YPL218W	0.93575
88	YMR015C	0.93575
89	YPR173C	0.93564
90	YDL229W	0.93531
91	YER171W	0.93482
92	YCR098C	0.93476
93	YIL170W	0.93451
94	YKR039W	0.93439
95	YBR085W	0.93414
96	YDL126C	0.93404
97	YNR053C	0.93388
98	YGR231C	0.93348
99	YHR030C	0.9332
100	YPL086C	0.93306
101	YML012W	0.93286
102	YPL119C	0.93224
103	YJL014W	0.93222
104	YBL112C	0.9322
105	YHR218W-A	0.9322
106	YHR007C	0.932
107	YFL058W	0.93188
108	YNL332W	0.93155
109	YJR156C	0.93137
110	YOR270C	0.93132
111	YJL034W	0.93126
112	YDL244W	0.9311
113	YPR204W	0.93109
114	YBR241C	0.93092
115	YMR146C	0.9309
116	YGR210C	0.93084
117	YDL047W	0.93066
118	YML018C	0.93064
119	YOR153W	0.93059
120	YDR536W	0.93043
121	YER060W-A	0.93036
122	YGR040W	0.93034
123	YML123C	0.93014
124	YKL024C	0.93009
125	YKR002W	0.92954
126	YER069W	0.92951
127	YCR010C	0.92921
128	YCR047C	0.92921
129	YMR034C	0.92884
130	YER178W	0.92849
131	YEL031W	0.92848
132	YGL091C	0.9284
133	YJR007W	0.92788
134	YDR341C	0.92768
135	YGL210W	0.92764
136	YOL021C	0.92759
137	YGL256W	0.92714
138	YOR094W	0.92712
139	YJL213W	0.92706
140	YER107C	0.92687
141	YDR406W	0.92671
142	YER031C	0.92661
143	YBR082C	0.92647
144	YLL050C	0.92624
145	YDR339C	0.9262
146	YJR068W	0.92617
147	YBR080C	0.92596
148	YPR183W	0.92575
149	YMR246W	0.92573
150	YER052C	0.92568
151	YER056C	0.92562
152	YLR438C-A	0.92554
153	YGL062W	0.92516
154	YFL055W	0.92513
155	YDR059C	0.925
156	YCL017C	0.92495
157	YEL051W	0.92482
158	YMR056C	0.9246
159	YEL077C	0.92459
160	YLR359W	0.92453
161	YDR075W	0.9245
162	YMR079W	0.9245
163	YLR466W	0.92445
164	YEL065W	0.9244
165	YNL268W	0.9242
166	YCL009C	0.92413
167	YGR132C	0.92408
168	YJL026W	0.92398
169	YBR187W	0.92393
170	YMR108W	0.92381
171	YGR123C	0.92374
172	YBR143C	0.92366
173	YDL168W	0.92364
174	YER060W	0.92348
175	YLR234W	0.92324
176	YCR057C	0.92309
177	YAL026C	0.923
178	YNL191W	0.92293
179	YKR080W	0.92284
180	YOL162W	0.92281
181	YDL055C	0.92263
182	YDL001W	0.92258
183	YFL017W-A	0.92252
184	YLL018C	0.92248
185	YJL167W	0.9224
186	YER009W	0.92215
187	YNL014W	0.92205
188	YBR218C	0.92205
189	YNL098C	0.92203
190	YDR155C	0.92197
191	YGR218W	0.92189
192	YGL120C	0.92177
193	YBR298C	0.92162
194	YBR296C	0.92141
195	YER133W	0.92133
196	YDL084W	0.92132
197	YDR373W	0.92116
198	YFL045C	0.92112
199	YJR153W	0.92109
200	YOR197W	0.92093
201	YPR138C	0.92091
202	YBL091C	0.92088
203	YPL058C	0.92076
204	YER020W	0.92071
205	YDR232W	0.92067
206	YOL133W	0.92067
207	YML001W	0.92064
208	YLR175W	0.92053
209	YPR113W	0.92049
210	YBR114W	0.92048
211	YOR327C	0.92047
212	YOL038W	0.92047
213	YCR009C	0.92036
214	YNL010W	0.92006
215	YML102W	0.91993
216	YLR130C	0.91993
217	YEL063C	0.91992
218	YKL104C	0.91983
219	YHR200W	0.91982
220	YER055C	0.91973
221	YGL011C	0.9196
222	YNR002C	0.91958
223	YFL038C	0.91929
224	YJR045C	0.91914
225	YDL097C	0.91895
226	YLR058C	0.91892
227	YEL026W	0.91889
228	YLR249W	0.91883
229	YHR018C	0.91872
230	YAL038W	0.91844
231	YOR185C	0.91835
232	YDR353W	0.91817
233	YOR347C	0.91812
234	YGR152C	0.91812
235	YPL106C	0.91808
236	YJR049C	0.91795
237	YBL078C	0.91794
238	YDR540C	0.91781
239	YNL104C	0.91769
240	YML069W	0.91768
241	YNL330C	0.91764
242	YHR106W	0.91758
243	YBR154C	0.91754
244	YJL012C	0.91754
245	YLR134W	0.91751
246	YFR053C	0.91719
247	YDL108W	0.91711
248	YJR095W	0.91693
249	YKL216W	0.91676
250	YER012W	0.91669
251	YLR293C	0.91662
252	YOR157C	0.91646
253	YNR032C-A	0.91639
254	YNL142W	0.9163
255	YIL078W	0.91604
256	YGL167C	0.91601
257	YER125W	0.9159
258	YBR169C	0.91586
259	YPL234C	0.91584
260	YDR001C	0.91579
261	YBR222C	0.91562
262	YDR011W	0.91561
263	YDR196C	0.91554
264	YMR300C	0.9155
265	YBL022C	0.91541
266	YDL222C	0.91541
267	YBR261C	0.91538
268	YDR238C	0.91536
269	YDL134C	0.91536
270	YML008C	0.91534
271	YJR077C	0.91521
272	YGL253W	0.91517
273	YNL270C	0.91494
274	YLR303W	0.91488
275	YIL009W	0.91483
276	YKL148C	0.91471
277	YBR126C	0.9147
278	YPL093W	0.91441
