rank	yeast_gene	cosine
1	YDL137W	0.9393
2	YDL192W	0.9388
3	YBR164C	0.9342
4	YBR241C	0.93345
5	YFL039C	0.93082
6	YKR059W	0.92977
7	YLR229C	0.92971
8	YDR345C	0.92946
9	YPL218W	0.92725
10	YHR092C	0.92698
11	YPR165W	0.92688
12	YHR094C	0.92648
13	YJL108C	0.92603
14	YDR343C	0.9235
15	YPL203W	0.92338
16	YDR342C	0.92326
17	YDL047W	0.92319
18	YJL214W	0.92288
19	YMR011W	0.92234
20	YLR081W	0.92173
21	YOR094W	0.9207
22	YOR378W	0.92052
23	YKL190W	0.92042
24	YHR096C	0.91998
25	YGL256W	0.91969
26	YDL006W	0.91948
27	YFL011W	0.91885
28	YPR183W	0.91876
29	YIL170W	0.91876
30	YGL225W	0.91852
31	YDL245C	0.91806
32	YNL090W	0.91801
33	YJR158W	0.91763
34	YHL047C	0.91757
35	YNL189W	0.91755
36	YKL024C	0.91751
37	YOL156W	0.91675
38	YJL164C	0.91666
39	YKR039W	0.91583
40	YMR034C	0.91562
41	YNR072W	0.91552
42	YEL069C	0.91484
43	YDR373W	0.91465
44	YJL219W	0.91455
45	YGL255W	0.9145
46	YFL038C	0.91423
47	YER009W	0.91393
48	YPL036W	0.91361
49	YGL008C	0.91334
50	YER072W	0.91304
51	YOR257W	0.91218
52	YLR113W	0.91182
53	YFL055W	0.91171
54	YER039C	0.91152
55	YBR160W	0.91135
56	YHL040C	0.91125
57	YPR192W	0.91122
58	YDL134C	0.91075
59	YDR075W	0.91068
60	YER060W-A	0.9102
61	YML018C	0.90965
62	YMR079W	0.9093
63	YNL268W	0.9093
64	YER133W	0.90867
65	YJL167W	0.9085
66	YDR021W	0.90814
67	YOR089C	0.90739
68	YPR182W	0.90673
69	YEL063C	0.90665
70	YDR155C	0.90645
71	YBR109C	0.90637
72	YDL126C	0.90631
73	YMR109W	0.90625
74	YER060W	0.90599
75	YDR536W	0.90598
76	YBL016W	0.90594
77	YBR082C	0.90524
78	YER031C	0.90495
79	YBR187W	0.90494
80	YNL112W	0.90486
81	YPL234C	0.90437
82	YER056C	0.90427
83	YNL290W	0.90402
84	YCR010C	0.90399
85	YGL210W	0.9038
86	YDL108W	0.90374
87	YKL218C	0.90369
88	YMR246W	0.90365
89	YDR040C	0.90363
90	YPL058C	0.90346
91	YPL031C	0.90317
92	YPL266W	0.90308
93	YJR065C	0.90299
94	YHL016C	0.90293
95	YMR015C	0.90286
96	YDL128W	0.90283
97	YNL270C	0.90267
98	YNL209W	0.90203
99	YHR128W	0.90195
100	YMR290C	0.90179
101	YPR113W	0.90178
102	YER177W	0.90149
103	YDR059C	0.90147
104	YDL229W	0.90146
105	YDR039C	0.90144
106	YPR138C	0.90133
107	YGR123C	0.90123
108	YDL166C	0.90122
109	YNL142W	0.90096
110	YCR098C	0.90088
111	YBL075C	0.90085
112	YOR348C	0.90077
113	YER119C	0.9005
114	YER125W	0.89987
115	YLR234W	0.89964
116	YEL027W	0.89948
117	YOR204W	0.89943
118	YER020W	0.89942
119	YDR038C	0.89938
120	YAL005C	0.89896
121	YOL094C	0.89884
122	YLL028W	0.89858
123	YCL025C	0.89845
124	YML001W	0.89843
125	YLL050C	0.89842
126	YOR153W	0.89839
127	YKL196C	0.89835
128	YGR282C	0.89823
129	YGL001C	0.89816
130	YPL051W	0.89814
131	YGL167C	0.89811
132	YDR196C	0.89807
133	YPL061W	0.89804
134	YOR046C	0.89788
135	YBR261C	0.89779
136	YLL024C	0.89775
137	YGR105W	0.89769
138	YNR002C	0.89766
139	YHR030C	0.89762
140	YLR347C	0.89745
141	YML012W	0.8974
142	YNL135C	0.89737
143	YGR191W	0.8972
144	YML123C	0.89685
145	YKL166C	0.89683
146	YOR161C	0.89656
147	YBL112C	0.89648
148	YHR218W-A	0.89648
149	YGR252W	0.89634
150	YPR204W	0.89634
151	YMR279C	0.89612
152	YDR406W	0.89608
153	YOL158C	0.89606
154	YDR519W	0.89598
155	YLL053C	0.8959
156	YDR046C	0.89585
157	YNL010W	0.89558
158	YER103W	0.89556
159	YKL129C	0.89544
160	YDR099W	0.89538
161	YJL001W	0.89538
162	YNL098C	0.89535
163	YFL005W	0.8951
164	YDL188C	0.895
165	YPL264C	0.89496
166	YDR129C	0.89466
167	YGR218W	0.89455
168	YDL084W	0.89436
169	YBL026W	0.89435
170	YGR121C	0.89432
171	YHR106W	0.89432
172	YMR292W	0.89419
173	YGR040W	0.89413
174	YJL034W	0.89399
175	YDL055C	0.89363
176	YOR197W	0.89357
177	YLR130C	0.89349
178	YPR173C	0.89342
179	YAL026C	0.89296
180	YHR057C	0.89286
181	YIL121W	0.89277
182	YGL253W	0.89251
183	YDR353W	0.89244
184	YDL168W	0.89232
185	YHR007C	0.89219
186	YFL045C	0.89212
187	YBL030C	0.89203
188	YOR317W	0.89193
189	YGR055W	0.89193
190	YDR404C	0.89168
191	YJL014W	0.89168
192	YBR296C	0.89157
193	YPL119C	0.89157
194	YGR281W	0.89127
195	YJL050W	0.89119
196	YGR138C	0.89111
197	YER081W	0.89095
198	YJL213W	0.89091
199	YOR061W	0.89087
200	YLR438C-A	0.89083
201	YKL033W-A	0.89077
202	YKR002W	0.89076
203	YPL246C	0.89063
204	YKL146W	0.8906
205	YOR185C	0.89057
206	YDR011W	0.89046
207	YGL058W	0.89031
208	YHR018C	0.89025
209	YOL038W	0.8902
210	YOR122C	0.89014
211	YAL038W	0.89002
212	YDR454C	0.89002
213	YEL046C	0.88999
214	YJR105W	0.88998
215	YLR466W	0.88971
216	YFL058W	0.88971
217	YJL026W	0.88967
218	YER057C	0.88965
219	YPR069C	0.88962
220	YBR085W	0.88912
221	YLR034C	0.88898
222	YDL244W	0.88897
223	YAL020C	0.88883
224	YNL332W	0.88877
225	YLR293C	0.88877
226	YGR231C	0.88869
227	YDR341C	0.88864
228	YJR156C	0.88857
229	YAR002C-A	0.88853
230	YDR092W	0.88851
231	YNL006W	0.88845
232	YEL077C	0.88845
233	YBR298C	0.88839
234	YMR300C	0.88834
235	YEL066W	0.88818
236	YER185W	0.88814
237	YDR185C	0.88809
238	YHR110W	0.8879
239	YGR060W	0.88775
240	YLL060C	0.88772
241	YJR124C	0.88771
242	YDR226W	0.88766
243	YDR497C	0.88765
244	YOL075C	0.88763
245	YGL087C	0.88762
246	YNR055C	0.88756
247	YDL029W	0.88751
248	YGR208W	0.88748
249	YLR147C	0.88748
250	YLR303W	0.88742
251	YAL061W	0.88734
252	YFR053C	0.88723
253	YGL091C	0.88695
254	YEL064C	0.88682
255	YMR056C	0.88656
256	YEL031W	0.88643
257	YNL274C	0.88639
258	YDL022W	0.88637
259	YIL009W	0.8861
260	YPL106C	0.88608
261	YDR508C	0.88592
262	YFL066C	0.88587
263	YHR200W	0.88582
264	YGR152C	0.88582
265	YLR170C	0.88572
266	YER026C	0.88557
267	YOR381W	0.88552
268	YDL097C	0.88545
269	YOR157C	0.88541
270	YIR036C	0.88525
271	YOR347C	0.88504
272	Q0130	0.88485
273	YBR008C	0.88481
274	YOL162W	0.88479
275	YEL065W	0.88473
276	YDL100C	0.88454
277	YOR270C	0.88422
278	YMR222C	0.8842
279	YLR397C	0.88419
280	YNL093W	0.88417
281	YOL151W	0.88416
282	YGL120C	0.88406
283	YOR388C	0.88404
284	YBR080C	0.88397
285	YBR169C	0.88387
286	YJR045C	0.8837
287	YLR237W	0.88356
288	YHR070W	0.88343
289	YNR070W	0.88333
290	YDR091C	0.88312
291	YFL026W	0.88311
292	YER052C	0.88305
293	YDR424C	0.88299
294	YCR009C	0.88295
295	YLR058C	0.88282
296	YPL154C	0.8828
297	YER089C	0.88275
298	YGL011C	0.88244
