rank	yeast_gene	cosine
1	YER190W	0.95552
2	YLR466W	0.954
3	YEL077C	0.95141
4	YIL177C	0.95066
5	YJL225C	0.95064
6	YDR545W	0.95033
7	YLR467W	0.95033
8	YOR396W	0.95033
9	YNL339C	0.94967
10	YPL283C	0.94958
11	YGR296W	0.94956
12	YHR218W	0.94907
13	YLL067C	0.94883
14	YLL066C	0.94801
15	YML133C	0.94789
16	YMR034C	0.94682
17	YPL221W	0.94672
18	YNL095C	0.94488
19	YHL003C	0.94394
20	YPR204W	0.94242
21	YDL222C	0.94164
22	YPL246C	0.94121
23	YKL039W	0.94094
24	YHL050C	0.94082
25	YCR048W	0.94073
26	YBL111C	0.94062
27	YHR175W	0.93986
28	YGL139W	0.93982
29	YJR124C	0.93974
30	YHL017W	0.9396
31	YER125W	0.93909
32	YNL275W	0.93894
33	YOL075C	0.93884
34	YER119C	0.93861
35	YPL092W	0.93832
36	YOL122C	0.93829
37	YHR142W	0.93815
38	YMR288W	0.93806
39	YJR001W	0.93788
40	YDR040C	0.93744
41	YNL288W	0.93743
42	YNL194C	0.93711
43	YER145C	0.93691
44	YHR030C	0.93628
45	YGR032W	0.93614
46	YDR375C	0.93606
47	YKR053C	0.93606
48	YDR039C	0.93604
49	YDR038C	0.93601
50	YBR241C	0.9359
51	YBR243C	0.93589
52	YBR235W	0.93581
53	YMR071C	0.93556
54	YOR087W	0.93507
55	YLR342W	0.93476
56	YDR135C	0.93468
57	YML052W	0.93443
58	YGL087C	0.93436
59	YBR080C	0.93396
60	YER019W	0.93396
61	YAL053W	0.9338
62	YDL057W	0.93365
63	YHR132C	0.93357
64	YPR082C	0.93354
65	YHR026W	0.93346
66	YCR061W	0.93331
67	YNR048W	0.93323
68	YLR447C	0.93319
69	YBR295W	0.93315
70	YDL128W	0.93298
71	YPL245W	0.93295
72	YJL196C	0.9327
73	YML018C	0.9326
74	YER026C	0.93259
75	YHL047C	0.93255
76	YNL305C	0.9323
77	YCR009C	0.93222
78	YMR080C	0.93215
79	YFR015C	0.93183
80	YIR026C	0.93153
81	YOR092W	0.93152
82	YDL160C	0.93151
83	YOR155C	0.93139
84	YOR292C	0.93132
85	YOR161C	0.93127
86	YDR456W	0.93108
87	YMR306W	0.93091
88	YOL129W	0.93072
89	YJR112W-A	0.93052
90	YNL093W	0.93048
91	YIR028W	0.93041
92	YGL208W	0.93019
93	YAR023C	0.93019
94	YDR328C	0.93017
95	YBL040C	0.93004
96	YLR168C	0.92995
97	YPR113W	0.92977
98	YHL040C	0.92976
99	YDR090C	0.92966
100	YGR152C	0.92964
101	YLR034C	0.92956
102	YNR055C	0.9295
103	YNL237W	0.92945
104	YLR411W	0.92943
105	YKR088C	0.92942
106	YGL120C	0.92931
107	YGR281W	0.92925
108	YAL026C	0.92895
109	YJL134W	0.92894
110	YDL007W	0.92893
111	YIL121W	0.9289
112	YLR152C	0.92871
113	YBL021C	0.92869
114	YOR380W	0.92832
115	YDL123W	0.92831
116	YGR105W	0.92827
117	YHR032W	0.92826
118	YAL022C	0.92803
119	YHR050W	0.92795
120	YNR019W	0.92791
121	YOL132W	0.9279
122	YLR241W	0.92764
123	YDL018C	0.9276
124	YER166W	0.92749
125	YDR384C	0.92748
126	YLR326W	0.92745
127	YKL190W	0.92744
128	YIL120W	0.92743
129	YLR213C	0.92742
130	YDR411C	0.9273
131	YPL031C	0.92728
132	YER133W	0.92724
133	YEL064C	0.92712
134	YGL002W	0.92711
135	YER090W	0.9271
136	YGR197C	0.92709
137	YPL206C	0.92705
138	YKL104C	0.92698
139	YLR258W	0.92689
140	YOL158C	0.92688
141	YGL167C	0.92684
142	YDR196C	0.92677
143	YHR135C	0.92677
144	YPR103W	0.92669
145	YDR264C	0.92664
146	YJR084W	0.92656
147	YMR054W	0.92655
148	YBL105C	0.92642
149	YNL323W	0.92639
150	YOR381W	0.92628
151	YER020W	0.92619
152	YKL146W	0.92614
153	YNL125C	0.92609
154	YMR221C	0.92606
155	YIL047C	0.92592
156	YOR079C	0.92586
157	YOR339C	0.9257
158	YBR287W	0.92569
159	YDR508C	0.9255
160	YBR220C	0.92549
161	YLR137W	0.92523
162	YFR018C	0.92523
163	YAL009W	0.92499
164	YGL163C	0.92499
165	YJR015W	0.92498
166	YOR013W	0.92495
167	YDR093W	0.92491
168	YGL186C	0.92485
169	YHR005C	0.92477
170	YCL073C	0.92477
171	YIL001W	0.92475
172	YKR051W	0.92469
173	YHL026C	0.92468
174	YGR138C	0.92467
175	YPL218W	0.92459
