acc	pocket	inchikey	target_gene	affinity
O15554_6D42	3	VNFPBHJOKIVQEB-UHFFFAOYSA-N	KCNN4	-4.3
O95069_af2	3	SVJMLYUFVDMUHP-UHFFFAOYSA-N	KCNK2	-5.2
P08172_5ZKC	3	KKZJGLLVHKMTCM-UHFFFAOYSA-N	CHRM2	-5.0
P08173_7TRP	3	BYBLEWFAAKGYCD-UHFFFAOYSA-N	CHRM4	-4.9
P08173_7TRP	3	KKZJGLLVHKMTCM-UHFFFAOYSA-N	CHRM4	-5.6
P08173_7TRP	3	NKANXQFJJICGDU-QPLCGJKRSA-N	CHRM4	-4.1
P08913_6KUX	3	NKANXQFJJICGDU-QPLCGJKRSA-N	ADRA2A	-6.4
P0DMS8_8X17	3	RZTAMFZIAATZDJ-UHFFFAOYSA-N	ADORA3	-5.5
P11229_6ZFZ	3	BYBLEWFAAKGYCD-UHFFFAOYSA-N	CHRM1	-5.7
P11229_6ZFZ	3	KKZJGLLVHKMTCM-UHFFFAOYSA-N	CHRM1	-5.5
P11229_6ZFZ	3	NKANXQFJJICGDU-QPLCGJKRSA-N	CHRM1	-6.3
P14416_5AER	3	QOYHHIBFXOOADH-UHFFFAOYSA-N	DRD2	-6.6
P14416_5AER	3	LNEPOXFFQSENCJ-UHFFFAOYSA-N	DRD2	-6.0
P16473_2XWT	3	MJIHNNLFOKEZEW-UHFFFAOYSA-N	TSHR	-7.9
P18089_af2	3	LNEPOXFFQSENCJ-UHFFFAOYSA-N	ADRA2B	-5.6
P18089_6K41	3	QOYHHIBFXOOADH-UHFFFAOYSA-N	ADRA2B	-7.6
P18825_af2	3	LNEPOXFFQSENCJ-UHFFFAOYSA-N	ADRA2C	-3.6
P18825_6KUW	3	QOYHHIBFXOOADH-UHFFFAOYSA-N	ADRA2C	-6.3
P20309_8EA0	3	BYBLEWFAAKGYCD-UHFFFAOYSA-N	CHRM3	-6.1
P20309_8EA0	3	NKANXQFJJICGDU-QPLCGJKRSA-N	CHRM3	-4.7
P21728_af2	2	LNEPOXFFQSENCJ-UHFFFAOYSA-N	DRD1	-8.3
P21917_5WIU	3	LNEPOXFFQSENCJ-UHFFFAOYSA-N	DRD4	-8.0
P21918_af2	3	LNEPOXFFQSENCJ-UHFFFAOYSA-N	DRD5	-7.2
P25100_af2	2	LNEPOXFFQSENCJ-UHFFFAOYSA-N	ADRA1D	-6.7
P25929_5ZBQ	3	KKZJGLLVHKMTCM-UHFFFAOYSA-N	NPY1R	-5.8
P28223_6WH4	3	LNEPOXFFQSENCJ-UHFFFAOYSA-N	HTR2A	-7.2
P28223_7WC8	3	QOYHHIBFXOOADH-UHFFFAOYSA-N	HTR2A	-8.4
P28223_7WC8	3	ZEUITGRIYCTCEM-KRWDZBQOSA-N	HTR2A	-5.6
P28335_9UGL	3	NKANXQFJJICGDU-QPLCGJKRSA-N	HTR2C	-7.4
P34969_af2	2	LNEPOXFFQSENCJ-UHFFFAOYSA-N	HTR7	-7.0
P35348_8THK	3	LNEPOXFFQSENCJ-UHFFFAOYSA-N	ADRA1A	-7.7
P35367_8YN2	3	QOYHHIBFXOOADH-UHFFFAOYSA-N	HRH1	-6.5
P35367_8YN2	3	LNEPOXFFQSENCJ-UHFFFAOYSA-N	HRH1	-5.5
P35372_8Y72	3	VNFPBHJOKIVQEB-UHFFFAOYSA-N	OPRM1	-4.7
P35372_9PA2	3	LNEPOXFFQSENCJ-UHFFFAOYSA-N	OPRM1	-7.8
P35462_7CMV	3	QOYHHIBFXOOADH-UHFFFAOYSA-N	DRD3	-11.0
P35462_7CMV	3	LNEPOXFFQSENCJ-UHFFFAOYSA-N	DRD3	-8.9
P35462_7CMV	3	VNFPBHJOKIVQEB-UHFFFAOYSA-N	DRD3	-7.1
P35462_7CMV	3	NKANXQFJJICGDU-QPLCGJKRSA-N	DRD3	-9.0
P37088_6WTH	3	NIOHELZQFBGCEO-UHFFFAOYSA-N	SCNN1A	-8.5
P41146_23OI	3	QOYHHIBFXOOADH-UHFFFAOYSA-N	OPRL1	-10.4
P41595_4IB4	3	QOYHHIBFXOOADH-UHFFFAOYSA-N	HTR2B	-8.3
P41595_4IB4	3	LNEPOXFFQSENCJ-UHFFFAOYSA-N	HTR2B	-7.3
Q12809_4HQA	3	QOYHHIBFXOOADH-UHFFFAOYSA-N	KCNH2	-6.3
Q12809_4HQA	3	LNEPOXFFQSENCJ-UHFFFAOYSA-N	KCNH2	-6.4
Q12809_4HQA	3	NKANXQFJJICGDU-QPLCGJKRSA-N	KCNH2	-5.1
Q13936_2F3Y	3	VNFPBHJOKIVQEB-UHFFFAOYSA-N	CACNA1C	-4.6
Q14330_af2	2	YLEARPUNMCCKMP-DOFZRALJSA-N	GPR18	-4.8
Q9UL62_9RRF	3	VCCRNZQBSJXYJD-UHFFFAOYSA-N	TRPC5	-7.5
