rank	yeast_gene	cosine
1	YKL190W	0.97265
2	YKR059W	0.96745
3	YPL266W	0.9668
4	YPR182W	0.96645
5	YER072W	0.96592
6	YER148W	0.96537
7	YER177W	0.96391
8	YGR252W	0.96271
9	YMR109W	0.96232
10	YLR229C	0.96182
11	YDR129C	0.96132
12	YBL026W	0.96128
13	YNR053C	0.96095
14	YKL196C	0.96067
15	YPR165W	0.96026
16	YOR046C	0.95952
17	YNL189W	0.95948
18	YIL143C	0.95933
19	YJL050W	0.95909
20	YOR257W	0.959
21	YFL066C	0.9589
22	YGL008C	0.9587
23	YKL129C	0.95854
24	YPL036W	0.958
25	YOR204W	0.95771
26	YLR113W	0.95765
27	YEL051W	0.95748
28	YDR099W	0.95712
29	YDL166C	0.95598
30	YPR204W	0.95571
31	YDL126C	0.95546
32	YMR290C	0.95515
33	YDL192W	0.9551
34	YNL112W	0.95444
35	YBL112C	0.95373
36	YHR218W-A	0.95373
37	YFL039C	0.9537
38	YBR164C	0.95321
39	YOL133W	0.95309
40	YPR173C	0.95275
41	YNL006W	0.95274
42	YDR021W	0.95271
43	YDR339C	0.95259
44	YNL290W	0.95225
45	YPL218W	0.95179
46	YNL209W	0.9516
47	YDL229W	0.95123
48	YGL091C	0.9512
49	YEL034W	0.95106
50	YLL024C	0.95095
51	YDR091C	0.95085
52	YJR065C	0.95081
53	YAL005C	0.95054
54	YDL137W	0.95053
55	YER025W	0.95022
56	YDR373W	0.94992
57	YDR510W	0.94976
58	YHR200W	0.9497
59	YPL119C	0.9496
60	YJL014W	0.94923
61	YML102W	0.94908
62	YBR154C	0.94897
63	YGR210C	0.94885
64	YBL075C	0.9487
65	YER103W	0.94844
66	YJL034W	0.94795
67	YGR231C	0.94792
68	YOR061W	0.94752
69	YLR293C	0.94748
70	YPL203W	0.94739
71	YOR185C	0.94734
72	YML012W	0.94719
73	YNL255C	0.94714
74	YJR007W	0.94697
75	YNL014W	0.94614
76	YER107C	0.94609
77	YBL071W-A	0.94571
78	YNL064C	0.94567
79	YPL129W	0.94552
80	YOR224C	0.94551
81	YLR249W	0.94545
82	YLR200W	0.94527
83	YLR147C	0.94508
84	YGL070C	0.94488
85	YJL164C	0.94484
86	YPL093W	0.94481
87	YOR293W	0.94425
88	YEL077C	0.94422
89	YBR109C	0.94409
90	YNL244C	0.94381
91	YPR052C	0.94372
92	YMR230W	0.94366
93	YOR270C	0.94359
94	YDL084W	0.9435
95	YOR094W	0.94348
96	YFL058W	0.94345
97	YGR211W	0.94341
98	YBL016W	0.94338
99	YBR089C-A	0.94325
100	YLR438C-A	0.9432
101	YBR143C	0.94311
102	YMR260C	0.94304
103	YNL332W	0.943
104	YKL024C	0.94293
105	YMR146C	0.9429
106	YOL038W	0.94268
107	YJL026W	0.94247
108	YLR234W	0.94244
109	YDR540C	0.94239
110	YML069W	0.94234
111	YNL090W	0.94231
112	YJR156C	0.94226
113	YBL078C	0.9422
114	YCR047C	0.94214
115	YDL244W	0.94208
116	YLL050C	0.94183
117	YER081W	0.94158
118	YMR236W	0.94153
119	YGL011C	0.94131
120	YFL017W-A	0.9413
121	YHR030C	0.94121
122	YBR106W	0.94112
123	YNL098C	0.94088
124	YDL055C	0.94069
125	YDR059C	0.94043
126	YER159C	0.94036
127	YPL106C	0.9403
128	YDR238C	0.94021
129	YKR002W	0.94019
130	YBR160W	0.94
131	YCR057C	0.93993
132	YBR082C	0.93989
133	YLR466W	0.93986
134	YJR047C	0.93975
135	YJL030W	0.93962
136	YHR128W	0.93961
137	YCR009C	0.9395
138	YGR218W	0.93946
139	YNR003C	0.93915
140	YCL009C	0.93903
141	YEL013W	0.93897
142	YLL018C	0.93892
143	YGL210W	0.93889
144	YBL091C	0.93866
145	YBR261C	0.93861
146	YIL078W	0.93811
147	YER031C	0.93789
148	YGL255W	0.93788
149	YER171W	0.93763
150	YOL094C	0.93751
151	YPL237W	0.93748
152	YDR002W	0.93729
153	YER165W	0.93726
154	YPR041W	0.93717
155	YPL199C	0.9371
156	YOR327C	0.93689
157	YBR080C	0.93683
158	YPR016C	0.9367
159	YPL086C	0.93656
160	YNL113W	0.93644
161	YLR186W	0.93642
162	YNR032C-A	0.93622
163	YGL062W	0.93601
164	YGL225W	0.93592
165	YJR025C	0.93584
166	YDL006W	0.93584
167	YHR070W	0.93581
168	YGL120C	0.93574
169	YDL047W	0.93574
170	YDR185C	0.93535
171	YMR015C	0.93521
172	YAR002C-A	0.93512
173	YDR341C	0.93501
174	YOL021C	0.93501
175	YER020W	0.93486
176	YCR010C	0.93459
177	YOR159C	0.93454
178	YEL026W	0.93452
179	YFL045C	0.93415
180	YIL074C	0.9341
181	YLR175W	0.93394
182	YPL235W	0.93392
183	YEL066W	0.93389
184	YMR079W	0.93388
185	YJR045C	0.9337
186	YNL135C	0.93366
187	YDL097C	0.93364
188	YOR089C	0.93361
189	YMR300C	0.93348
190	YGL099W	0.93343
191	YGL256W	0.93338
192	YOL143C	0.93336
193	YKL218C	0.93309
194	YOR122C	0.9329
195	YDR424C	0.93284
196	YFR004W	0.93281
197	YGR123C	0.93281
198	YPR086W	0.93254
199	YER036C	0.93247
200	YML001W	0.93227
201	YHR148W	0.93219
202	YJL012C	0.93214
203	YHR110W	0.93214
204	YBR169C	0.9321
205	YKR080W	0.93192
206	YOR157C	0.9319
207	YNL010W	0.9319
208	YPR183W	0.93183
209	YDL140C	0.93157
210	YLR330W	0.93151
211	YML008C	0.93147
212	YOR197W	0.93145
213	YER125W	0.9314
214	YAL038W	0.93131
215	YHR092C	0.93124
216	YER009W	0.93118
217	YDR172W	0.93115
218	YLR170C	0.931
219	YDR155C	0.93093
220	YFR053C	0.93093
221	YGR132C	0.93089
222	YGL078C	0.93088
223	YBR218C	0.93086
224	YDR353W	0.93064
225	YBR252W	0.93059
226	YHL016C	0.93057
227	YLR167W	0.93053
228	YER178W	0.93029
229	YJL001W	0.93022
230	YBR121C	0.9302
231	YNL330C	0.93007
232	YLR289W	0.93005
233	YJL108C	0.93004
234	YER007C-A	0.92995
235	YDR404C	0.92993
236	YDL014W	0.92989
237	YOR027W	0.92983
238	YIL148W	0.92977
239	YKR094C	0.92977
240	YDR388W	0.92974
241	YHR170W	0.92974
242	YGL253W	0.92968
243	YER095W	0.92964
244	YOR298C-A	0.92962
245	YBL030C	0.92961
246	YNL241C	0.92959
247	YER012W	0.92958
248	YEL031W	0.92953
249	YDR345C	0.92935
250	YDL022W	0.92932
251	YMR246W	0.92927
252	YDR343C	0.92926
253	YGL087C	0.9292
254	YDL208W	0.92911
255	YDR023W	0.92905
256	YPL245W	0.92893
257	YLR208W	0.92891
258	YLR258W	0.92887
259	YGR105W	0.92875
