rank	yeast_gene	cosine
1	YBR241C	0.9256
2	YPL203W	0.92196
3	YPL218W	0.92003
4	YJL108C	0.91855
5	YBR164C	0.91843
6	YDL137W	0.91833
7	YLR229C	0.91816
8	YDL192W	0.91624
9	YDR345C	0.91559
10	YGL256W	0.91517
11	YPR183W	0.91503
12	YJL164C	0.91436
13	YPR165W	0.91372
14	YHR094C	0.91324
15	YKR059W	0.9132
16	YHR092C	0.91258
17	YMR011W	0.90937
18	YDR343C	0.90887
19	YDR342C	0.9088
20	YLR081W	0.90859
21	YIL170W	0.90823
22	YJL214W	0.90804
23	YFL039C	0.90775
24	YFL011W	0.90766
25	YDL047W	0.90641
26	YOR257W	0.90608
27	YDL006W	0.90561
28	YDL128W	0.90494
29	YBR160W	0.90458
30	YKL024C	0.90455
31	YHR096C	0.90392
32	YNL090W	0.90392
33	YOR378W	0.9039
34	YJL167W	0.90379
35	YOL156W	0.90368
36	YNL189W	0.90359
37	YDL245C	0.90356
38	YER133W	0.90345
39	YNR072W	0.90318
40	YJR158W	0.90295
41	YHL047C	0.90283
42	YJL219W	0.90272
43	YLR113W	0.9023
44	YMR034C	0.90218
45	YER039C	0.9017
46	YEL069C	0.90164
47	YPL031C	0.90162
48	YOR094W	0.9016
49	YKL190W	0.90156
50	YGL008C	0.90081
51	YDL134C	0.90078
52	YMR109W	0.90065
53	YGL225W	0.90058
54	YFL038C	0.90047
55	YOR089C	0.89916
56	YPL036W	0.89883
57	YBR082C	0.89857
58	YFL055W	0.89843
59	YHL040C	0.89829
60	YDR155C	0.89806
61	YMR079W	0.89799
62	YER009W	0.89754
63	YDR021W	0.89751
64	YER072W	0.89735
65	YDR373W	0.897
66	YPR182W	0.89683
67	YLR234W	0.89629
68	YDR075W	0.89628
69	YDR536W	0.89619
70	YPR192W	0.89619
71	YBL016W	0.89612
72	YDL108W	0.89602
73	YKR039W	0.89598
74	YER119C	0.89561
75	YNL290W	0.89556
76	YPL234C	0.89527
77	YMR290C	0.89486
78	YDR196C	0.89463
79	YNL112W	0.89446
80	YML018C	0.89381
81	YLL028W	0.89377
82	YBR187W	0.89365
83	YPL264C	0.89344
84	YNL268W	0.89338
85	YPR113W	0.89294
86	YDR040C	0.89286
87	YHR030C	0.89274
88	YGR105W	0.89238
89	YGR123C	0.89235
90	YDL126C	0.89174
91	YBR261C	0.89164
92	YGL167C	0.89164
93	YBR109C	0.89134
94	YER060W-A	0.89104
95	YKL166C	0.89076
96	YEL063C	0.89071
97	YMR015C	0.89057
98	YER020W	0.89037
99	YIL121W	0.89008
100	YDR039C	0.89005
101	YDR059C	0.88984
102	YNL270C	0.88969
103	YGL255W	0.88954
104	YLR347C	0.88918
105	YHR128W	0.88907
106	YKL218C	0.88898
107	YOR046C	0.88895
108	YER125W	0.88894
109	YBR008C	0.88829
110	YLL060C	0.88823
111	YDR038C	0.88795
112	YGR218W	0.88777
113	YBL075C	0.88767
114	YCL025C	0.88759
115	YHR018C	0.88741
116	YOR204W	0.88734
117	YER060W	0.88722
118	YPL266W	0.88718
119	YGR138C	0.88684
120	YMR246W	0.88672
121	YLR438C-A	0.88652
122	YCR098C	0.8863
123	YOL094C	0.88628
124	YDL188C	0.88626
125	YER031C	0.88612
126	YHR218W-A	0.88594
127	YBL112C	0.88594
128	YDR092W	0.88582
129	YGR040W	0.88575
130	YLL053C	0.88571
131	YDL166C	0.88557
132	YNL209W	0.88529
133	YGR281W	0.88507
134	YPL058C	0.88497
135	YML123C	0.88481
136	YJL014W	0.88463
137	YER056C	0.8846
138	YAL005C	0.88454
139	YHL016C	0.8844
140	YDL229W	0.8843
141	YNR055C	0.88428
142	YLL050C	0.88424
143	YGL001C	0.88382
144	YOR348C	0.88371
145	YKL129C	0.88365
146	YDR404C	0.88333
147	YGR252W	0.8833
148	YGL210W	0.88312
149	YNL010W	0.88294
150	YGR191W	0.88294
151	YKL196C	0.88277
152	YLR147C	0.88277
153	YGR208W	0.88255
