rank	yeast_gene	cosine
1	YBR241C	0.91629
2	YHR030C	0.91442
3	YLR466W	0.91348
4	YHL003C	0.91087
5	YIL121W	0.91061
6	YDL128W	0.91004
7	YCR028C	0.90954
8	YNR055C	0.90947
9	YER119C	0.90921
10	YER190W	0.90914
11	YCR048W	0.9091
12	YPL203W	0.90897
13	YPL246C	0.9081
14	YMR034C	0.90755
15	YEL077C	0.90741
16	YPR113W	0.90734
17	YNL275W	0.90726
18	YMR015C	0.90699
19	YHR135C	0.90642
20	YER039C	0.90594
21	YNL288W	0.90577
22	YPL218W	0.90554
23	YIL120W	0.9053
24	YHL047C	0.90486
25	YOL162W	0.90468
26	YPL031C	0.90454
27	YLR168C	0.90446
28	YDL222C	0.90433
29	YOR257W	0.90425
30	YHR032W	0.90408
31	YNR057C	0.90408
32	YCR009C	0.90386
33	YPL244C	0.90372
34	YJL196C	0.90364
35	YHL040C	0.9036
36	YJR124C	0.90348
37	YDR196C	0.9027
38	YGR105W	0.90168
39	YLR113W	0.90162
40	YJL225C	0.90111
41	YIL177C	0.90097
42	YJL164C	0.90095
43	YGR281W	0.90067
44	YLR467W	0.90036
45	YOR396W	0.90036
46	YDR545W	0.90036
47	YPL264C	0.90015
48	YPR183W	0.89969
49	YKR053C	0.89958
50	YBR243C	0.89928
51	YDL052C	0.89913
52	YOL103W	0.89892
53	YOL075C	0.89891
54	YPR204W	0.8989
55	YDL160C	0.89886
56	YOR084W	0.89855
57	YBR043C	0.89843
58	YNL154C	0.89825
59	YMR109W	0.89818
60	YGR138C	0.89803
61	YMR271C	0.89794
62	YBL082C	0.89794
63	YLL067C	0.89783
64	YBL102W	0.89778
65	YDR375C	0.89761
66	YNL339C	0.89744
67	YER026C	0.89729
68	YPL283C	0.89717
69	YGR296W	0.89714
70	YGR152C	0.89697
71	YOR273C	0.89688
72	YJR001W	0.89666
73	YER125W	0.89659
74	YKL146W	0.89656
75	YER004W	0.89632
76	YML018C	0.89596
77	YBR160W	0.89575
78	YBL112C	0.89542
79	YHR218W-A	0.89542
80	YER019W	0.89502
81	YBL105C	0.89494
82	YBR187W	0.89483
83	YHR218W	0.89479
84	YJL108C	0.89472
85	YAR035W	0.8946
86	YLR426W	0.89457
87	YNL095C	0.89449
88	YCR047C	0.89449
89	YPL221W	0.89445
90	YMR221C	0.89438
91	YLL028W	0.89415
92	YGL126W	0.89404
93	YAR002C-A	0.894
94	YLL060C	0.89393
95	YLR193C	0.89377
96	YDR135C	0.89348
97	YDR040C	0.89315
98	YLL066C	0.89311
99	YKL008C	0.89292
100	YKL027W	0.89284
101	YFR018C	0.8928
102	YGL047W	0.89273
103	YML133C	0.8927
104	YGR040W	0.89266
105	YLR291C	0.89263
106	YOL021C	0.89259
107	YGR065C	0.89236
108	YIR028W	0.89234
109	YBR008C	0.89222
110	YDL108W	0.89215
111	YMR080C	0.89209
112	YLR234W	0.89179
113	YNL125C	0.89171
114	YMR301C	0.8917
115	YML123C	0.89164
116	YBR080C	0.89157
117	YBR159W	0.89154
118	YDR039C	0.89138
119	YGR197C	0.89129
120	YPL067C	0.89125
121	YBL016W	0.89116
122	YER159C	0.89108
123	YDR185C	0.89106
124	YMR290C	0.89104
125	YER020W	0.8909
126	YDR038C	0.89089
127	YDL057W	0.89086
128	YGR055W	0.89079
129	YCR098C	0.89073
130	YOR204W	0.89068
131	YDR536W	0.89052
132	YGL225W	0.89036
133	YLL055W	0.89022
134	YHR094C	0.89019
135	YGL139W	0.89009
136	YLR005W	0.89008
137	YPL119C	0.89003
138	YCL025C	0.89003
139	YMR197C	0.89
140	YKR068C	0.88996
141	YBR235W	0.88985
142	YLR081W	0.88978
143	YPL010W	0.88975
144	YGL120C	0.8897
145	YJL134W	0.88969
146	YAL053W	0.88952
147	YNL290W	0.88939
148	YDR402C	0.88938
149	YLR034C	0.88933
150	YOL158C	0.88928
151	YJR116W	0.88922
152	YCR060W	0.88922
153	YHR189W	0.88917
154	YJL214W	0.88893
155	YNR072W	0.88869
156	YKR105C	0.8885
157	YDR497C	0.88848
158	YHR200W	0.88846
159	YDR328C	0.88845
160	YKL190W	0.88845
161	YFL011W	0.8883
162	YOR092W	0.88829
163	YDR438W	0.88828
164	YHR132C	0.88818
