rank	yeast_gene	cosine
1	YBR241C	0.93397
2	YDL137W	0.92454
3	YPL218W	0.92363
4	YBR164C	0.92254
5	YPL203W	0.92208
6	YDL192W	0.92079
7	YPR183W	0.91674
8	YDL047W	0.91478
9	YJL108C	0.91442
10	YJL164C	0.91435
11	YDR345C	0.91392
12	YMR034C	0.91388
13	YHR094C	0.91322
14	YKR059W	0.91196
15	YKL190W	0.9118
16	YHR092C	0.9111
17	YDL006W	0.9111
18	YOR094W	0.91075
19	YDL134C	0.91052
20	YDL128W	0.9101
21	YJL214W	0.90983
22	YER133W	0.90983
23	YLR081W	0.90844
24	YHL047C	0.90842
25	YMR011W	0.90787
26	YDR373W	0.90774
27	YFL038C	0.90755
28	YIL170W	0.90706
29	YLR229C	0.90703
30	YFL011W	0.90687
31	YNL090W	0.90669
32	YPL031C	0.9066
33	YOR089C	0.90631
34	YPR165W	0.90616
35	YPR192W	0.90584
36	YER119C	0.90577
37	YDR040C	0.90565
38	YOR257W	0.90557
39	YDR342C	0.90551
40	YML018C	0.90544
41	YDR343C	0.9054
42	YKL024C	0.9053
43	YNL189W	0.90514
44	YGL256W	0.90478
45	YDL245C	0.90467
46	YOL156W	0.90444
47	YHR096C	0.90427
48	YJR158W	0.9042
49	YNR072W	0.90392
50	YBR160W	0.90386
51	YFL055W	0.90373
52	YDR075W	0.90364
53	YLL028W	0.90325
54	YFL039C	0.90307
55	YDR039C	0.90306
56	YJL219W	0.90289
57	YEL069C	0.9027
58	YDL108W	0.90265
59	YER125W	0.90217
60	YPL264C	0.90199
61	YHL040C	0.90189
62	YER039C	0.90165
63	YOL075C	0.90138
64	YDR038C	0.90121
65	YBR187W	0.90121
66	YLR113W	0.90111
67	YKR039W	0.90018
68	YDR196C	0.89994
69	YNL268W	0.89955
70	YGL225W	0.89949
71	YJL167W	0.89926
72	YGR281W	0.89917
73	YER020W	0.89912
74	YPR113W	0.89909
75	YDR021W	0.89886
76	YGR105W	0.89882
77	YHR030C	0.8986
78	YLR234W	0.89827
79	YIL121W	0.89815
80	YMR109W	0.89795
81	YGL008C	0.8979
82	YMR079W	0.89786
83	YGL167C	0.89786
84	YKL166C	0.89762
85	YDR536W	0.89756
86	YBR109C	0.89752
87	YGR138C	0.89751
88	YPL036W	0.89731
89	YDL188C	0.89724
90	YOR378W	0.89692
91	YLL053C	0.89687
92	YCL025C	0.89677
93	YEL063C	0.89623
94	YNL270C	0.89578
95	YGR123C	0.89528
96	YDL126C	0.89526
97	YER072W	0.89518
98	YNL112W	0.89509
99	YMR015C	0.8949
100	YJR124C	0.89485
101	YGL255W	0.89459
102	YPL058C	0.89453
103	YLR347C	0.8945
104	YER060W-A	0.89436
105	YBR082C	0.89414
106	YMR292W	0.89408
107	YBL016W	0.89401
108	YPL246C	0.89388
109	YPL234C	0.89387
110	YPR182W	0.8938
111	YMR290C	0.89354
112	YOR348C	0.89343
113	YNR055C	0.89334
114	YNL290W	0.89307
115	YGL058W	0.89304
116	YPL051W	0.89275
117	YBL112C	0.89237
118	YHR218W-A	0.89237
119	YPR204W	0.89214
120	YER009W	0.89198
121	YER060W	0.89198
122	YGR191W	0.89197
123	YOR161C	0.89193
124	YAL026C	0.89191
125	YNL093W	0.8919
126	YDR135C	0.89189
127	YOR204W	0.89187
128	YLR466W	0.89184
129	YER031C	0.89178
130	YJL196C	0.89167
131	YGR055W	0.89148
132	YOL158C	0.89135
133	YGR218W	0.89094
134	YDR046C	0.8908
135	YDR092W	0.89063
136	YNL098C	0.89059
137	YBR261C	0.89043
138	YER026C	0.89022
139	YGL210W	0.89014
140	YDR519W	0.88997
141	YMR246W	0.88992
142	YLL060C	0.88971
143	YGR040W	0.88931
144	YDR456W	0.88911
145	YCR098C	0.88906
146	YMR279C	0.88904
147	YDL166C	0.88902
148	YBR008C	0.88901
149	YER056C	0.88898
150	YDR404C	0.88896
151	YLR034C	0.8888
152	YEL077C	0.88863
153	YDR155C	0.88831
154	YDR497C	0.88827
155	YEL064C	0.88771
156	YPR138C	0.88771
157	YAR002C-A	0.88699
158	YDR059C	0.88683
159	YML012W	0.88676
160	YDR508C	0.88673
161	YMR222C	0.88658
162	YIL120W	0.8865
163	YAL020C	0.88648
164	YHL003C	0.88645
165	YJR058C	0.88637
166	YML001W	0.8862
167	YGR152C	0.88616
168	YCR010C	0.88611
169	YER185W	0.88607
170	YKR105C	0.88605
171	YLR438C-A	0.88601
172	YNL010W	0.88593
173	YER190W	0.88589
174	YFL005W	0.88585
175	YNR002C	0.88583
176	YPL119C	0.88573
177	YOR197W	0.88557
178	YDL029W	0.88548
179	YDL084W	0.88536
180	YML123C	0.88525
181	YGR208W	0.88516
182	YHL016C	0.88514
183	YKL129C	0.88511
184	YGR224W	0.88509
185	YDL100C	0.88506
186	YOR046C	0.88504
187	YHR110W	0.88502
188	YKR002W	0.88495
189	YOL103W	0.88486
190	YOL038W	0.88483
191	YLR170C	0.88477
192	YOR317W	0.8847
193	YGR282C	0.88445
194	YOR185C	0.88442
195	YGL001C	0.88434
196	YGL120C	0.88422
197	YOR381W	0.88414
198	YNL142W	0.8841
199	YOR273C	0.88404
