rank	yeast_gene	cosine
1	YDL047W	0.97728
2	YDR373W	0.97479
3	YNL090W	0.97373
4	YBR164C	0.97272
5	YOR094W	0.97265
6	YDR075W	0.97142
7	YDL134C	0.96944
8	YAL026C	0.96943
9	YPL058C	0.9691
10	YDL137W	0.96882
11	YER125W	0.96846
12	YPL051W	0.96821
13	YNL189W	0.96813
14	YKL190W	0.9675
15	YGL210W	0.96747
16	YML001W	0.96726
17	YDR039C	0.96673
18	YDR040C	0.9666
19	YPR173C	0.96654
20	YDL006W	0.96641
21	YDR519W	0.96641
22	YDL166C	0.96614
23	YLR113W	0.96607
24	YMR034C	0.96596
25	YJL050W	0.96594
26	YBR160W	0.96594
27	YPL203W	0.96593
28	YKR059W	0.96582
29	YDL108W	0.96569
30	YHL047C	0.96567
31	YNL330C	0.96554
32	YKL024C	0.96551
33	YER020W	0.96544
34	YDR038C	0.96539
35	YBL016W	0.96534
36	YOR153W	0.96524
37	YKR002W	0.96512
38	YJL164C	0.96496
39	YLR130C	0.9648
40	YKL129C	0.96462
41	YDL188C	0.96448
42	YGL255W	0.9643
43	YDR406W	0.96422
44	YBR080C	0.96416
45	YHR030C	0.9641
46	YGL087C	0.96407
47	YOR157C	0.96402
48	YER133W	0.96395
49	YER166W	0.96385
50	YBR241C	0.96372
51	YFL038C	0.96371
52	YER031C	0.96361
53	YKL166C	0.96347
54	YDR404C	0.96337
55	YMR079W	0.96328
56	YOL038W	0.96328
57	YJL001W	0.96308
58	YMR300C	0.96293
59	YEL031W	0.96292
60	YHR110W	0.96277
61	YDR021W	0.96275
62	YGR040W	0.96269
63	YDL192W	0.96268
64	YOR270C	0.96267
65	YER052C	0.96257
66	YFL005W	0.96251
67	YJR065C	0.96242
68	YLR397C	0.96232
69	YIL009W	0.96227
70	YDR011W	0.96219
71	YKR039W	0.96204
72	YHL040C	0.96202
73	YMR109W	0.96189
74	YHR057C	0.96185
75	YNL268W	0.96176
76	YGL167C	0.96172
77	YMR246W	0.96152
78	YGL120C	0.96131
79	YOR061W	0.96129
80	YKL146W	0.96128
81	YDL001W	0.96119
82	YDR196C	0.96109
83	YNR002C	0.96101
84	YJL214W	0.96093
85	YGR123C	0.96086
86	YNL098C	0.96078
87	YML018C	0.96066
88	YKL104C	0.96052
89	YIL003W	0.96042
90	YER089C	0.96033
91	YLR170C	0.96024
92	YJL055W	0.96021
93	YPL031C	0.9602
94	YBR187W	0.96005
95	YOL122C	0.96003
96	YPL119C	0.96001
97	YOR197W	0.9599
98	YBR038W	0.95987
99	YGR281W	0.95955
100	YGL200C	0.9595
101	YLR092W	0.95938
102	YOR257W	0.95936
103	YOR317W	0.95934
104	YBR296C	0.95934
105	YNL290W	0.95929
106	YOR283W	0.95895
107	YGL253W	0.95884
108	YPR183W	0.95875
109	YDL097C	0.95864
110	YEL063C	0.95864
111	YOR089C	0.95852
112	YDL029W	0.95852
113	YFL039C	0.9585
114	YPR103W	0.95845
115	YOR381W	0.95844
116	YEL030W	0.95842
117	YDL126C	0.9584
118	YGR218W	0.95827
119	YHR094C	0.95822
120	YAL023C	0.95811
121	YOR348C	0.9581
122	YLR433C	0.95798
123	YBR126C	0.95796
124	YCR010C	0.95791
125	YJR049C	0.95789
126	YER171W	0.95774
127	YGR152C	0.9576
128	YLR081W	0.95753
129	YDL102W	0.95751
130	YGR252W	0.95749
131	YDR185C	0.95747
132	YIL143C	0.95747
133	YFR053C	0.95742
134	YKL220C	0.95731
135	YOL158C	0.95717
136	YOL084W	0.95715
137	YFL056C	0.9571
138	YHR096C	0.957
139	YNL112W	0.95694
140	YEL046C	0.95694
141	YHR092C	0.95691
142	YGR132C	0.95689
143	YKL078W	0.95681
144	YML012W	0.95673
145	YOR328W	0.9566
146	YJR158W	0.95659
147	YDR345C	0.95658
148	YPL175W	0.95656
149	YDL245C	0.95655
150	YJL034W	0.95633
151	YGL091C	0.95619
152	YMR015C	0.95615
153	YDR046C	0.95609
154	YBR034C	0.95602
155	YOR321W	0.95599
156	YOR204W	0.9559
157	YGL002W	0.95581
158	YEL069C	0.95578
159	YOR339C	0.95577
160	YDR129C	0.95562
161	YNL288W	0.95557
162	YHL016C	0.95555
163	YJL198W	0.9554
164	YJR143C	0.9553
165	YKR080W	0.95529
166	YBR169C	0.95528
167	YOL156W	0.95522
168	YNR072W	0.95519
169	YDL164C	0.95513
170	YDL022W	0.9551
171	YMR290C	0.95504
172	YML124C	0.95503
173	YDR516C	0.95487
174	YJL035C	0.95485
175	YCR073W-A	0.95471
176	YDR001C	0.95471
177	YDR092W	0.9547
178	YNL270C	0.95466
179	YEL058W	0.9546
180	YPR138C	0.95457
181	YDR093W	0.95451
182	YDR294C	0.95444
183	YER086W	0.95442
184	YJL012C	0.95435
185	YBR295W	0.95431
186	YNL010W	0.95428
187	YPR192W	0.95423
188	YDL230W	0.9541
189	YNL142W	0.95404
190	YER026C	0.95404
191	YDL100C	0.95397
192	YDR099W	0.95391
193	YBL075C	0.95386
194	YAL061W	0.9536
195	YJL219W	0.9536
196	YCL040W	0.95358
197	YBR294W	0.95356
198	YNL093W	0.95336
199	YDR536W	0.95325
200	YNR060W	0.95322
201	YPR113W	0.95321
202	YGL011C	0.95321
203	YKR026C	0.95315
204	YPR165W	0.9531
205	YGR121C	0.95304
206	YHR128W	0.95297
207	YMR266W	0.95288
208	YBR298C	0.95287
209	YHR007C	0.95279
210	YOL094C	0.95273
211	YJR068W	0.95272
212	YGR191W	0.95267
213	YDL095W	0.9526
214	YCL025C	0.95233
215	YBR019C	0.95232
216	YDR508C	0.95229
217	YOR362C	0.95221
218	YDL064W	0.95218
219	YLR229C	0.95217
220	YOL066C	0.95215
221	YJL218W	0.95215
