rank	yeast_gene	cosine
1	YIL048W	0.96995
2	YBR235W	0.96826
3	YBR287W	0.9679
4	YBR043C	0.96728
5	YML018C	0.96711
6	YMR080C	0.9669
7	YIL088C	0.96653
8	YPL050C	0.96623
9	YOL068C	0.96359
10	YLL063C	0.96291
11	YIL035C	0.96272
12	YER119C	0.96189
13	YHL036W	0.96166
14	YNL329C	0.96126
15	YJR001W	0.96124
16	YNL095C	0.96097
17	YBR114W	0.9607
18	YOR380W	0.96067
19	YOR316C	0.96017
20	YEL064C	0.96004
21	YNR013C	0.96001
22	YMR221C	0.95957
23	YKL146W	0.95955
24	YHR132C	0.9593
25	YHR218W	0.95927
26	YEL065W	0.95892
27	YHR032W	0.95884
28	YPL264C	0.95869
29	YLR152C	0.95868
30	YMR243C	0.95837
31	YPR003C	0.95827
32	YBR294W	0.95792
33	YFL026W	0.95764
34	YGR010W	0.9576
35	YDR375C	0.95758
36	YOR092W	0.95747
37	YDR402C	0.95738
38	YLR092W	0.95728
39	YKR050W	0.95721
40	YPL175W	0.95721
41	YCR008W	0.95719
42	YNL021W	0.95709
43	YOL132W	0.95702
44	YGR125W	0.95694
45	YDL001W	0.95658
46	YER039C	0.95657
47	YIL120W	0.95645
48	YOR351C	0.95596
49	YNL125C	0.95592
50	YOL137W	0.95591
51	YPL236C	0.95557
52	YPL204W	0.95547
53	YKL166C	0.95532
54	YEL060C	0.9551
55	YBL111C	0.95496
56	YGL077C	0.95487
57	YJR107W	0.95483
58	YLR307W	0.9548
59	YDL006W	0.95469
60	YGL006W	0.95465
61	YLR328W	0.95465
62	YIL121W	0.95435
63	YML064C	0.95405
64	YEL013W	0.95388
65	YEL036C	0.95387
66	YLR241W	0.95378
67	YDR135C	0.95372
68	YDR331W	0.95352
69	YGR028W	0.95344
70	YDR497C	0.95342
71	YAL026C	0.9534
72	YBR132C	0.95333
73	YOL103W	0.95324
74	YCR011C	0.95318
75	YLR034C	0.95312
76	YPL221W	0.95286
77	YML038C	0.95272
78	YDR536W	0.95262
79	YOR326W	0.95253
80	YEL041W	0.95244
81	YBR295W	0.95227
82	YOL122C	0.95226
83	YER133W	0.95225
84	YJL134W	0.95224
85	YHR144C	0.95221
86	YJL128C	0.95219
87	YGR040W	0.95206
88	YMR253C	0.95185
89	YER052C	0.95181
90	YER026C	0.95177
91	YBL089W	0.95173
92	YMR084W	0.95165
93	YDR522C	0.95157
94	YJR049C	0.95139
95	YOL119C	0.95136
96	YDR109C	0.95104
97	YNL099C	0.95102
98	YMR138W	0.95099
99	YPL227C	0.95096
100	YIL166C	0.95088
101	YOR241W	0.95088
102	YLR466W	0.95087
103	YLR137W	0.95084
104	YKL126W	0.95074
105	YBR080C	0.95066
106	YPL208W	0.95063
107	YOL112W	0.95055
