rank	yeast_gene	cosine
1	YPL218W	0.87045
2	YGL008C	0.86983
3	YPL203W	0.86504
4	YER072W	0.8644
5	YHR189W	0.86085
6	YMR109W	0.85912
7	YPL036W	0.85873
8	YLR234W	0.85781
9	YPR182W	0.85768
10	YLR229C	0.85701
11	YMR290C	0.85689
12	YGR105W	0.85608
13	YCR047C	0.85481
14	YLR113W	0.85447
15	YOR046C	0.85413
16	YBL112C	0.85305
17	YHR218W-A	0.85305
18	YJL164C	0.85202
19	YOR257W	0.85174
20	YJL108C	0.84997
21	YPR165W	0.84928
22	YHR030C	0.84889
23	YER148W	0.84877
24	YDL244W	0.84867
25	YNL290W	0.84844
26	YHR169W	0.84844
27	YGL256W	0.84833
28	YDR021W	0.84728
29	YFL058W	0.84722
30	YJR156C	0.8469
31	YNL332W	0.84682
32	YKR059W	0.8466
33	YLR147C	0.84625
34	YLL060C	0.846
35	YDR339C	0.84534
36	YPL129W	0.84513
37	YOR204W	0.84509
38	YJL014W	0.84498
39	YBR160W	0.84478
40	YOL021C	0.84453
41	YPR204W	0.84429
42	YBR089C-A	0.84415
43	YOR224C	0.84369
44	YNL112W	0.84283
45	YPR183W	0.84255
46	YBR261C	0.84251
47	YPR052C	0.84241
48	YLR438C-A	0.84163
49	YGL120C	0.84147
50	YNR057C	0.84094
51	YLL026W	0.84084
52	YBL016W	0.84072
53	YCR060W	0.84018
54	YLR466W	0.84011
55	YBR241C	0.84011
56	YHR135C	0.83917
57	YNL113W	0.83905
58	YCR009C	0.83899
59	YEL077C	0.83807
60	YDR155C	0.83807
61	YGR231C	0.83764
62	YFL066C	0.83665
63	YDL128W	0.83661
64	YKL129C	0.83634
65	YNL209W	0.83626
66	YBR082C	0.83611
67	YDL229W	0.83586
68	YDL126C	0.83583
69	YKL190W	0.83572
70	YPL067C	0.83567
71	YDL084W	0.83562
72	YHR070W	0.83516
73	YDR345C	0.83509
74	YHR092C	0.83507
75	YEL051W	0.83499
76	YOL143C	0.83485
77	YHL047C	0.83479
78	YPL266W	0.8347
79	YPL119C	0.83464
80	YLL039C	0.83461
81	YGL058W	0.8345
82	YMR015C	0.83447
83	YGR296C-A	0.83423
84	YNL339W-A	0.83423
85	YML133W-A	0.83423
86	YER190C-A	0.83423
87	YPL283W-A	0.83423
88	YMR271C	0.8342
89	YBL075C	0.83416
90	YER004W	0.83404
91	YDR343C	0.83346
92	YOR122C	0.83341
93	YMR095C	0.83297
94	YDR342C	0.83295
95	YMR214W	0.83293
96	YDL160C	0.8326
97	YPL031C	0.83256
98	YDR424C	0.83209
99	YPR113W	0.83206
100	YHL040C	0.83199
101	YER039C	0.8318
102	YAL005C	0.83143
103	YHR089C	0.83143
104	YNR053C	0.83128
105	YNL189W	0.83124
106	YOR185C	0.83123
107	YER133W	0.83116
108	YHR018C	0.83082
109	YHR065C	0.83076
110	YLL024C	0.83044
111	YGR252W	0.82994
112	YDL014W	0.82994
113	YGR210C	0.82982
114	YMR222C	0.82962
115	YBL003C	0.82948
116	YER103W	0.82937
117	YHR200W	0.82921
118	YDR225W	0.82911
119	YHR094C	0.82905
120	YDR129C	0.82898
121	YGR123C	0.82897
122	YDL166C	0.82893
123	YLR293C	0.82851
124	YDR375C	0.82826
125	YLR081W	0.82823
126	YAR002C-A	0.82799
127	YML106W	0.82775
128	YGR218W	0.82765
129	YJL167W	0.82746
130	YKL196C	0.82741
131	YBR164C	0.8274
132	YOL162W	0.82729
133	YBL113C	0.82727
134	YKL104C	0.82705
135	YJL217W	0.82685
136	YOR187W	0.82642
137	YML102W	0.82633
138	YGL062W	0.8263
139	YOL097C	0.82627
140	YER190W	0.82625
141	YBR218C	0.82618
142	YDR196C	0.82615
