rank	yeast_gene	cosine
1	YFL066C	0.958
2	YHR128W	0.95712
3	YEL013W	0.95353
4	YLR229C	0.95175
5	YPR165W	0.94967
6	YOR378W	0.94929
7	YPR016C	0.94667
8	YDR091C	0.94652
9	YNL006W	0.94612
10	YER081W	0.94561
11	YER039C	0.94511
12	YGR252W	0.94361
13	YOR257W	0.9432
14	YIL074C	0.94297
15	YDL006W	0.94256
16	YIL143C	0.94179
17	YKR059W	0.9415
18	YER069W	0.94142
19	YDR021W	0.94122
20	YNL290W	0.94067
21	YER025W	0.94027
22	YJR065C	0.93973
23	YOL094C	0.93966
24	YFL026W	0.93954
25	YNL191W	0.93896
26	YLR113W	0.93879
27	YPL086C	0.93802
28	YGL225W	0.93786
29	YOR061W	0.93775
30	YBR114W	0.93709
31	YER072W	0.9367
32	YMR109W	0.93528
33	YCR047C	0.93399
34	YBL016W	0.93337
35	YPL266W	0.9332
36	YBL026W	0.93175
37	YDR342C	0.93169
38	YDR343C	0.93125
39	YFL011W	0.93122
40	YKL129C	0.93075
41	YHR092C	0.93055
42	YMR011W	0.93048
43	YDR341C	0.93009
44	YER171W	0.92984
45	YER094C	0.92973
46	YHR096C	0.92968
47	YCL017C	0.92956
48	YEL027W	0.92936
49	YFL039C	0.92916
50	YLR081W	0.92869
51	YDL001W	0.92864
52	YJL050W	0.92863
53	YEL042W	0.92729
54	YDR345C	0.92687
55	YKL218C	0.92684
56	YHR094C	0.92664
57	YKL146W	0.92659
58	YER052C	0.92643
59	YJR068W	0.92625
60	YML018C	0.92603
61	YER148W	0.92577
62	YPL036W	0.92558
63	YMR015C	0.92542
64	YIL170W	0.92532
65	YNL090W	0.92531
66	YER133W	0.92523
67	YGL008C	0.92517
68	YLR359W	0.9251
69	YJL219W	0.92477
70	YAL064C-A	0.92435
71	YJR007W	0.92417
72	YEL069C	0.92414
73	YGL255W	0.92407
74	YOL156W	0.92397
75	YJL214W	0.92388
76	YNR072W	0.92385
77	YHL016C	0.92368
78	YIL048W	0.92338
79	YDR099W	0.92321
80	YLR328W	0.92302
81	YOR046C	0.92262
82	YDR536W	0.92226
83	YEL077C	0.92219
84	YHR007C	0.92207
85	YDL245C	0.92199
86	YDR129C	0.92165
87	YPR182W	0.92159
88	YJL164C	0.9215
89	YPL050C	0.92137
90	YDR075W	0.92115
91	YCR098C	0.92105
92	YLR175W	0.92103
93	YLR466W	0.92096
94	YPR204W	0.92078
95	YJL108C	0.92054
96	YFL017W-A	0.92029
97	YGR040W	0.92018
98	YHR213W	0.92018
99	YAR062W	0.92018
100	YJR158W	0.92009
101	YGL091C	0.91998
102	YDL047W	0.91976
103	YBL112C	0.91974
