rank	yeast_gene	cosine
1	YBR241C	0.94611
2	YDL137W	0.93811
3	YHR094C	0.9369
4	YIL170W	0.9358
5	YBR164C	0.93566
6	YMR011W	0.93549
7	YFL055W	0.93542
8	YDR345C	0.93476
9	YJL214W	0.93473
10	YFL011W	0.93312
11	YHR092C	0.93267
12	YLR081W	0.9325
13	YOL156W	0.93171
14	YHR096C	0.93163
15	YJL219W	0.93075
16	YDL192W	0.93035
17	YMR034C	0.9301
18	YNR072W	0.92978
19	YDL245C	0.92947
20	YPR183W	0.92941
21	YKR039W	0.92933
22	YJR158W	0.92913
23	YDR342C	0.92877
24	YEL069C	0.92865
25	YEL063C	0.92834
26	YDL006W	0.92828
27	YNL268W	0.92827
28	YDR343C	0.92825
29	YER039C	0.92798
30	YML018C	0.92795
31	YFL038C	0.92795
32	YPL264C	0.92717
33	YGL225W	0.92695
34	YJL108C	0.92695
35	YNL270C	0.92695
36	YER119C	0.92661
37	YDR536W	0.92621
38	YOR378W	0.92582
39	YOR094W	0.92571
40	YDL047W	0.92515
41	YCL025C	0.92478
42	YDL128W	0.92416
43	YGR191W	0.9237
44	YDR046C	0.92304
45	YHL047C	0.92259
46	YDR040C	0.9218
47	YOR348C	0.92136
48	YKL024C	0.92105
49	YHL040C	0.92071
50	YPR138C	0.92061
51	YLL028W	0.9205
52	YNL090W	0.92024
53	YDR039C	0.92024
54	YFL039C	0.91983
55	YDL134C	0.91965
56	YGR055W	0.91951
57	YMR279C	0.91947
58	YJL167W	0.91947
59	YDR038C	0.91929
60	YGL255W	0.91897
61	YPL203W	0.91857
62	YKR059W	0.9185
63	YJL164C	0.91845
64	YBR187W	0.91821
65	YIL121W	0.91789
66	YER133W	0.91788
67	YER060W-A	0.91782
68	YER060W	0.91767
69	YPL218W	0.9175
70	YER009W	0.91705
71	YER056C	0.91683
72	YCR098C	0.91676
73	YPR165W	0.91665
74	YDR075W	0.91652
75	YEL064C	0.91638
76	YOR257W	0.91626
77	YDR373W	0.91553
78	YMR015C	0.91545
79	YNR055C	0.91524
80	YPL246C	0.91507
81	YNL142W	0.91496
82	YLR229C	0.91483
83	YDR497C	0.91483
84	YGL167C	0.91428
85	YBR008C	0.91428
86	YER185W	0.91418
87	YDR508C	0.91399
88	YMR079W	0.91384
89	YGR121C	0.91377
90	YDR196C	0.91352
91	YGR138C	0.91328
92	YOL075C	0.91317
93	YPL274W	0.91314
94	YPR192W	0.91309
95	YLR034C	0.91303
96	YPL031C	0.91295
97	YKL190W	0.91263
98	YMR246W	0.91262
99	YBR068C	0.91255
100	YLR130C	0.91223
101	YPL058C	0.91211
102	YNL189W	0.91209
103	YGL256W	0.9119
104	YPL051W	0.91177
105	YJR124C	0.91167
106	YKL166C	0.91159
107	YPL234C	0.91155
108	YOL158C	0.91145
109	YGL210W	0.91129
110	YHL016C	0.91129
111	YER031C	0.91122
112	YGL001C	0.91095
113	YGR224W	0.91074
114	YOR317W	0.91053
115	YDL210W	0.91037
116	YDR011W	0.91029
117	YGR060W	0.91026
118	YPR113W	0.91011
119	YOR089C	0.91002
120	YER026C	0.90996
121	YKR105C	0.90986
122	YML116W	0.90971
123	YOR153W	0.90964
124	YML123C	0.90962
125	YDR406W	0.90958
126	YFL005W	0.90946
127	YML001W	0.90937
128	YER125W	0.90921
129	YLL061W	0.90915
130	YLR113W	0.90907
131	YNR070W	0.90903
132	YNR002C	0.90892
133	YDL108W	0.90884
134	YGR281W	0.90878
135	YBR160W	0.90872
136	YBR082C	0.90869
137	YDR135C	0.90864
138	YPL265W	0.90849
139	YHR128W	0.90841
140	YGR213C	0.90831
141	YDL188C	0.9083
142	YOR161C	0.90792
143	YER020W	0.90771
144	YIL120W	0.90751
145	YDR519W	0.9073
146	YAL026C	0.9071
147	YOL103W	0.90697
148	YDR021W	0.90674
149	YKL146W	0.90649
150	YJL001W	0.90645
151	YBL016W	0.90611
152	YLR347C	0.90602
153	YGR282C	0.90585
154	YHR007C	0.90582
155	YDR456W	0.90564
156	YEL065W	0.90539
157	YBR296C	0.90523
158	YOL122C	0.9052
159	YCR010C	0.90489
160	YDR090C	0.90488
161	YDR059C	0.9048
162	YNL290W	0.90475
