rank	yeast_gene	cosine
1	YFL066C	0.96436
2	YPR016C	0.94517
3	YEL013W	0.94228
4	YHR128W	0.94208
5	YFL026W	0.94163
6	YER069W	0.94074
7	YHR213W	0.93785
8	YAR062W	0.93785
9	YNL191W	0.93658
10	YER081W	0.93513
11	YNL006W	0.93278
12	YIL143C	0.93242
13	YER039C	0.93193
14	YER072W	0.93171
15	YIL074C	0.9312
16	YDR091C	0.93101
17	YER025W	0.9296
18	YAL064C-A	0.92878
19	YDR099W	0.9282
20	YGL225W	0.92775
21	YGR252W	0.92752
22	YEL077C	0.92671
23	YPR204W	0.92649
24	YOR257W	0.92624
25	YEL027W	0.92611
26	YCR047C	0.92589
27	YER171W	0.92537
28	YPR165W	0.92464
29	YLR229C	0.92355
30	YMR109W	0.92329
31	YJR065C	0.92327
32	YER177W	0.92311
33	YHL016C	0.92275
34	YPL050C	0.92257
35	YBL026W	0.92248
36	YJL108C	0.92235
37	YLR466W	0.92229
38	YER148W	0.92178
39	YKL218C	0.92151
40	YBL112C	0.92139
41	YHR218W-A	0.92139
42	YKL146W	0.92111
43	YOR061W	0.92101
44	YNL290W	0.92093
45	YDR129C	0.92091
46	YPL086C	0.92058
47	YPL266W	0.91991
48	YOR327C	0.91975
49	YKL129C	0.91968
50	YPL036W	0.91898
51	YJR007W	0.91878
52	YDL006W	0.91876
53	YOR378W	0.91819
54	YKR059W	0.91803
55	YBR154C	0.91787
56	YDR021W	0.91782
57	YHR211W	0.91767
58	YGL008C	0.91748
59	YLR175W	0.91739
60	YBR114W	0.91719
61	YGR210C	0.91717
62	YKL196C	0.91676
63	YBR082C	0.91639
64	YLR113W	0.91628
65	YER007C-A	0.91596
66	YDR341C	0.91591
67	YER052C	0.91588
68	YDR059C	0.91562
69	YER055C	0.91523
70	YGL255W	0.91493
71	YDR001C	0.91401
72	YGL091C	0.91395
73	YDR375C	0.91382
74	YLR375W	0.91379
75	YJL050W	0.91334
76	YEL042W	0.91327
77	YNL066W	0.91304
78	YEL031W	0.91224
79	YIL142W	0.91216
80	YJL012C	0.91209
81	YKL190W	0.91204
82	YER094C	0.91199
83	YOR270C	0.91198
84	YAR050W	0.91198
85	YIL048W	0.91197
86	YBL041W	0.91192
87	YHR218W	0.91186
88	YOR197W	0.91176
89	YPL235W	0.9114
90	YCL009C	0.91124
91	YMR120C	0.91116
92	YJR153W	0.91107
93	YLR359W	0.91097
94	YPL094C	0.91081
95	YNR026C	0.91081
96	YLR028C	0.91058
97	YMR015C	0.91049
98	YDR339C	0.91042
99	YCR098C	0.91039
100	YPR182W	0.91033
101	YCL017C	0.91011
102	YER012W	0.9101
103	YJL014W	0.90968
104	YKR080W	0.90966
105	YFL039C	0.90965
106	YJR156C	0.90961
107	YGR229C	0.9096
108	YAL030W	0.90956
109	YBR164C	0.90934
110	YOL094C	0.90929
111	YAL063C	0.90924
112	YKR042W	0.90892
113	YNR053C	0.90879
114	YDL244W	0.90873
115	YFL058W	0.90842
116	YGL011C	0.90842
117	YPR138C	0.90839
118	YCR009C	0.90837
119	YDL001W	0.90831
120	YNL332W	0.9083
121	YOR157C	0.90789
122	YJL213W	0.90779
123	YDR540C	0.90748
124	YGR267C	0.9072
125	YFL017W-A	0.90712
126	YOR046C	0.90712
127	YOR204W	0.90707
128	YNL132W	0.90694
129	YJL116C	0.9069
130	YOL038W	0.90679
131	YER178W	0.90662
132	YGL087C	0.90649
133	YEL065W	0.90627
134	YBL016W	0.90624
135	YML018C	0.90621
136	YDL166C	0.90613
137	YPL119C	0.90589
138	YML012W	0.90588
139	YBR235W	0.90583
140	YLR330W	0.90581
141	YLR328W	0.90568
142	YMR146C	0.90529
143	YLL050C	0.90526
144	YGR132C	0.90512
145	YBR080C	0.90509
146	YOL162W	0.90499
147	YOR006C	0.90484
148	YOL021C	0.90452
149	YHR106W	0.90444
150	YGR282C	0.90428
151	YIL123W	0.90417
152	YBR143C	0.90409
153	YGL062W	0.90407
154	YFL055W	0.90392
155	YKL104C	0.90385
156	YOL030W	0.9038
157	YBR218C	0.9035
158	YBL022C	0.90315
159	YHR007C	0.90286
160	YDL137W	0.90285
161	YFR047C	0.90263
162	YPL221W	0.9024
163	YDR448W	0.90227
164	YPL129W	0.9022
165	YOR092W	0.90212
166	YLR005W	0.90209
167	YPL199C	0.90169
168	YNL090W	0.90156
169	YJL128C	0.90154
170	YGL210W	0.90145
171	YEL036C	0.90136
172	YOR153W	0.90105
173	Q0130	0.90101
174	YGR286C	0.90092
175	YPR183W	0.90091
176	YML069W	0.90075
177	YLR130C	0.90073
178	YPR173C	0.90049
179	YLL063C	0.90049
180	YER056C	0.90047
181	YER060W-A	0.90043
182	YMR034C	0.90038
183	YJR148W	0.90034
184	YER145C	0.90012
185	YCR008W	0.89989
186	YDR342C	0.89988
187	YJR068W	0.89987
188	YHL040C	0.89987
189	YKR039W	0.89984
190	YDR232W	0.89981
191	YNL123W	0.89977
192	YDR343C	0.89962
193	YBR296C	0.8996
194	YPR194C	0.89957
195	YKR002W	0.89949
196	YDR353W	0.89945
197	YGR121C	0.89937
198	YAL026C	0.89929
199	YNL112W	0.89928
200	YGL115W	0.89926
201	YJL001W	0.89918
202	YCR010C	0.89915
203	YIL020C	0.89915
204	YDL192W	0.89903
205	YBL078C	0.89894
206	YML123C	0.8989
207	YLR355C	0.89877
208	YBR106W	0.89877
209	YBL111C	0.89859
210	YPL093W	0.89852
211	YNR002C	0.89848
212	YBR001C	0.89841
213	YNL189W	0.89836
214	YHR092C	0.89835
215	YEL051W	0.89824
216	YOR202W	0.89824
217	YKL001C	0.89819
218	YDR158W	0.89807
219	YLL067C	0.89806
220	YNL277W	0.89806
221	YDR406W	0.89805
222	YBL091C	0.89804
223	YOL066C	0.89797
224	YMR221C	0.89788
225	YER190W	0.89783
226	YLR055C	0.89771
227	YMR305C	0.8977
228	YHR096C	0.89768
229	YMR236W	0.89767
230	YNL044W	0.89751
231	YER009W	0.89745
232	YOL133W	0.89727
233	YPL234C	0.89724
234	YMR307W	0.89724
235	YDR536W	0.89716
236	YDL102W	0.89676
237	YNL010W	0.89667
238	YLR081W	0.89655
239	YKR102W	0.89647
240	YMR243C	0.89642
241	YKL210W	0.89638
242	YMR244W	0.89637
243	YLR172C	0.89614
244	YJL143W	0.89611
245	YLR058C	0.8961
246	YLL018C	0.89607
247	YDL210W	0.89607
248	YER070W	0.89594
249	YHR208W	0.8959
250	YLR120C	0.89589
251	YLR438W	0.89585
252	YEL011W	0.89582
253	YMR290C	0.89558
254	YMR011W	0.89558
255	YHR200W	0.89546
256	YKL024C	0.89546
257	YLR092W	0.89543
258	YOL132W	0.89539
259	YKR038C	0.89527
260	YJL045W	0.89527
261	YNL095C	0.89525
262	YML001W	0.89507
263	YBL075C	0.89504
264	YER031C	0.89486
265	YER060W	0.89482
266	YCR057C	0.8948
267	YFL011W	0.89472
268	YMR080C	0.89471
269	YLR420W	0.89458
270	YBR249C	0.89457
271	YHR018C	0.89457
272	YOR094W	0.89454
273	YBR126C	0.89445
274	YLR034C	0.89434
275	YLR121C	0.89425
276	YDR196C	0.89414
277	YMR008C	0.89413
278	YBR287W	0.89411
279	YAL005C	0.89404
280	YDR345C	0.89404
281	YJL214W	0.89404
282	YDR023W	0.894
283	YEL040W	0.89393
284	YHL047C	0.89391
285	YOR326W	0.89386
286	YGR185C	0.89381
287	YCR073W-A	0.89379
288	YPR033C	0.89377
289	YKL216W	0.89374
290	YKL148C	0.89373
291	YPR035W	0.89367
292	YHR094C	0.89366
293	YFL045C	0.89365
294	YBR294W	0.89358
295	YMR241W	0.89339
296	YDL182W	0.89338
297	YBR187W	0.89332
298	YIL066C	0.89316
299	YLR193C	0.8931
300	YJL167W	0.89308
301	YML064C	0.89302
302	YGL120C	0.89301
303	YOR293W	0.89299
304	YNL142W	0.8929
305	YJL219W	0.89286
306	YOR108W	0.89284
307	YJR095W	0.8928
308	YDR011W	0.89275
309	YFL038C	0.89268
310	YDL201W	0.89263
311	YBR170C	0.89262
312	YDL164C	0.89261
313	YGR040W	0.89254
314	YLR268W	0.89249
315	YIL035C	0.89247
316	YGL139W	0.89216
317	YGL167C	0.89216
318	YDL140C	0.89214
319	YEL069C	0.89213
320	YOR004W	0.89204
321	YGR010W	0.89194
322	YGR279C	0.89189
323	YPL175W	0.89185
324	YNR072W	0.89181
325	YLR289W	0.89181
326	YOL156W	0.89164
327	YIL170W	0.89147
328	YOR128C	0.89144
329	YIL177C	0.89134
330	YBR196C	0.89131
331	YML008C	0.89119
332	YBR034C	0.89116
333	YHR074W	0.89113
334	YEL060C	0.89112
335	YDL245C	0.89087
336	YJL164C	0.89081
337	YGR152C	0.89078
338	YDR304C	0.8907
339	YJR025C	0.89067
340	YMR300C	0.89066
341	YLR286C	0.89065
342	YJL225C	0.89064
343	YML133C	0.89062
344	YLL066C	0.89052
345	YJR049C	0.89046
346	YMR215W	0.89046
347	YIL003W	0.89046
348	YNR003C	0.89045
349	YCR068W	0.89037
350	YML106W	0.89032
351	YDR234W	0.89032
352	YER133W	0.89027
353	YNL241C	0.89022
354	YMR230W	0.89016
355	YEL063C	0.89016
356	YNR032C-A	0.89011
357	YKR068C	0.89009
358	YAL023C	0.89008
359	YLR438C-A	0.89006
360	YJL008C	0.89004
361	YLR186W	0.89
362	YBL030C	0.88999
363	YER099C	0.88981
364	YOL097C	0.8898
365	YNL268W	0.88978
366	YDR075W	0.88975
367	YHR110W	0.8897
368	YLR060W	0.88969
369	YOR380W	0.88967
370	YBR085W	0.88955
371	YLR213C	0.88952
372	YJL218W	0.88951
373	YLR244C	0.88949
374	YPL259C	0.88947
375	YNR013C	0.88943
376	YER125W	0.88939
377	YOR328W	0.88936
378	YJR158W	0.88933
379	YEL034W	0.88914
380	YDL100C	0.88912
381	YKR013W	0.88901
382	YNL113W	0.88893
383	YDL037C	0.88893
384	YNL270C	0.88889
385	YBL036C	0.88888
386	YPL276W	0.8888
387	YDL086W	0.88875
388	YGR231C	0.88874
389	YPL169C	0.88873
390	YDL131W	0.88871
391	YDL168W	0.8886
392	YDR090C	0.88858
393	YHR030C	0.88853
394	YDL047W	0.88843
395	YJL030W	0.8884
396	YPL245W	0.88828
397	YLL024C	0.88826
398	YER020W	0.88821
399	YDL055C	0.88821
400	YGL148W	0.88816
401	YKL035W	0.88807
402	YBR222C	0.888
403	YJL055W	0.88797
404	YNL104C	0.88794
405	YPR081C	0.88786
406	YBR160W	0.88776
407	YKL033W-A	0.88772
408	YER086W	0.88764
409	YBR256C	0.88754
410	YLR397C	0.88753
411	YPR052C	0.88753
412	YMR246W	0.88749
413	YNL222W	0.88735
414	YPR110C	0.88733
