rank	yeast_gene	cosine
1	YPR204W	0.94143
2	YEL077C	0.93525
3	YMR230W	0.9326
4	YOR224C	0.93243
5	YOR293W	0.93068
6	YFL066C	0.9303
7	YLR466W	0.93026
8	YLR186W	0.9293
9	YHR218W-A	0.92891
10	YBL112C	0.92891
11	YKL013C	0.92808
12	YER072W	0.92796
13	YPL235W	0.92563
14	YDL140C	0.92541
15	YER148W	0.92468
16	YEL051W	0.92418
17	YPL094C	0.92287
18	YDR339C	0.92222
19	YHR170W	0.92218
20	YPL245W	0.92198
21	YGR105W	0.92164
22	YDL014W	0.92154
23	YGL008C	0.92094
24	YBR154C	0.92024
25	YPL129W	0.92008
26	YBR106W	0.91987
27	YER074W-A	0.91965
28	YHR148W	0.91949
29	YCR009C	0.91824
30	YJL030W	0.91811
31	YKL190W	0.91794
32	YPL036W	0.91752
33	YML102W	0.91615
34	YER190W	0.91586
35	YIL143C	0.91542
36	YCR047C	0.91516
37	YOR270C	0.91509
38	YDR190C	0.9149
39	YGR210C	0.91444
40	YHR200W	0.9142
41	YBL078C	0.91415
42	YJL014W	0.91413
43	YGR020C	0.9138
44	YMR109W	0.91347
45	YAR002C-A	0.91346
46	YMR236W	0.9134
47	YLR258W	0.91306
48	YPL218W	0.91304
49	YLL067C	0.91265
50	YDR540C	0.91235
51	YPL093W	0.91221
52	YNL332W	0.91166
53	YDL244W	0.91162
54	YFL058W	0.9116
55	YKR097W	0.91159
56	YJR156C	0.91139
57	YHR218W	0.9111
58	YOR151C	0.91076
59	YNL064C	0.91062
60	YHL050C	0.91042
61	YEL034W	0.91033
62	YML012W	0.90985
63	YDR129C	0.90912
64	YBL003C	0.90856
65	YER177W	0.90854
66	YPR182W	0.90849
67	YOR204W	0.9084
68	YDR225W	0.90838
69	YER159C	0.90835
70	YKL129C	0.90815
71	YPR041W	0.9081
72	YIL177C	0.90701
73	YGL120C	0.90683
74	YDR172W	0.9068
75	YJL225C	0.90676
76	YGR267C	0.90664
77	YCL009C	0.90661
78	YDR224C	0.90628
79	YNL113W	0.90625
80	YKL196C	0.9061
81	YHL015W	0.90604
82	YLL066C	0.90601
83	YNR053C	0.90566
84	YOL110W	0.90563
85	YDR099W	0.90563
86	YOL005C	0.90553
87	YDR167W	0.9055
88	YPL237W	0.90526
89	YJR014W	0.90491
90	YGR231C	0.90485
91	YHR089C	0.90447
92	YML133C	0.90411
93	YKL002W	0.90396
94	YDL222C	0.90395
95	YPL199C	0.90392
96	YBR127C	0.90367
97	YLR234W	0.90332
98	YOL129W	0.9032
99	YGR207C	0.90312
100	YBL021C	0.9028
101	YPL221W	0.90277
102	YBL113C	0.90269
103	YJL136C	0.90268
104	YBL002W	0.90251
105	YOL038W	0.9024
106	YDL166C	0.90239
107	YDR238C	0.90238
108	YML069W	0.9022
109	YDR545W	0.90217
110	YLR467W	0.90217
111	YOR396W	0.90217
112	YLR326W	0.90208
113	YPL119C	0.90174
114	YOR046C	0.9017
115	YGL091C	0.90155
116	YFR015C	0.90147
117	YLR074C	0.90146
118	YDR502C	0.90139
119	YBR054W	0.9013
120	YNL132W	0.90111
121	YHR110W	0.90109
122	YNL255C	0.90107
123	YBR080C	0.90103
124	YBR170C	0.90098
125	YJL050W	0.9009
126	YNR003C	0.90078
127	YOR006C	0.90063
128	YKL059C	0.90045
129	YNL075W	0.89996
130	YGL062W	0.89982
131	YJL108C	0.89981
132	YNL339C	0.89974
133	YPL283C	0.89971
134	YGR296W	0.8997
135	YLR180W	0.89969
136	YER171W	0.89956
137	YDR375C	0.8994
138	YLL026W	0.89917
139	YDR424C	0.899
140	Q0130	0.89897
141	YGL054C	0.89887
142	YHR107C	0.89886
143	YGR245C	0.89881
144	YGR252W	0.89872
145	YKR068C	0.89871
146	YOL097C	0.89866
147	YOL012C	0.89855
148	YLR168C	0.89845
149	YDR388W	0.8983
150	YOR257W	0.8983
151	YJR047C	0.89828
