rank	yeast_gene	cosine
1	YFL026W	0.96941
2	YEL013W	0.96814
3	YER039C	0.95495
4	YFL066C	0.95157
5	YGL225W	0.95073
6	YOR061W	0.95038
7	YOR378W	0.9491
8	YML018C	0.94577
9	YIL074C	0.94283
10	YHL016C	0.94208
11	YNR026C	0.94145
12	YER081W	0.94142
13	YKL146W	0.9414
14	YER069W	0.94103
15	YCR098C	0.94083
16	YHR218W	0.93816
17	YEL065W	0.93716
18	YNL006W	0.93693
19	YLR092W	0.93653
20	YER052C	0.936
21	YIL035C	0.93461
22	YDR021W	0.93426
23	YBR294W	0.93392
24	YEL069C	0.93372
25	YBL111C	0.93353
26	YDR536W	0.93349
27	YMR243C	0.93305
28	YJR065C	0.93303
29	YJL214W	0.93286
30	YNR072W	0.93261
31	YHR096C	0.93248
32	YEL042W	0.93239
33	YPR138C	0.93188
34	YIL048W	0.93181
35	YMR015C	0.93159
36	YDL006W	0.93158
37	YJL219W	0.93123
38	YDL245C	0.93117
39	YGL255W	0.93097
40	YIL143C	0.93092
41	YLL063C	0.93072
42	YFL011W	0.93061
43	YLR113W	0.93058
44	YDL210W	0.93052
45	YLR081W	0.93037
46	YMR011W	0.93019
47	YOL156W	0.93009
48	YJR158W	0.9299
49	YBL016W	0.92963
50	YOL162W	0.92961
51	YBR235W	0.92937
52	YHR128W	0.92917
53	YIL170W	0.92913
54	YPR016C	0.92907
55	YEL031W	0.92849
56	YHL040C	0.92846
57	YDR001C	0.92843
58	YBR114W	0.92831
59	YHR092C	0.9283
60	YDR342C	0.92808
61	YEL077C	0.92803
62	YGL077C	0.92799
63	YGR121C	0.92787
64	YPL050C	0.92743
65	YDR343C	0.92729
66	YOR257W	0.92703
67	YNL191W	0.92698
68	YHR094C	0.9268
69	YBR080C	0.92666
70	YGL115W	0.92656
71	YML064C	0.92649
72	YCR008W	0.92639
73	YKR059W	0.92629
74	YDL001W	0.92617
75	YFL055W	0.92615
76	YAL064C-A	0.92595
77	YOR380W	0.92546
78	YHL047C	0.92538
79	YMR221C	0.92515
80	YNL290W	0.92507
81	YLR466W	0.92487
82	YER171W	0.92482
83	YLR130C	0.92479
84	YOR092W	0.92423
85	YBR287W	0.92406
86	YNL125C	0.92402
87	YAR062W	0.92382
88	YHR213W	0.92382
89	YML123C	0.92363
90	YDR345C	0.92352
91	YGR040W	0.92343
92	YLR152C	0.92322
93	YMR146C	0.92291
94	YLR229C	0.92268
95	YHR007C	0.9221
96	YKL129C	0.92174
97	YFL017W-A	0.92173
98	YCL017C	0.92168
99	YPL036W	0.92153
100	YJL128C	0.9215
101	YGL087C	0.92147
102	YMR034C	0.9214
103	YKR039W	0.92104
104	YNL095C	0.92091
105	YPR204W	0.9205
106	YER072W	0.92021
107	YGR252W	0.92018
108	YOR270C	0.92011
109	YBR001C	0.91981
110	YPR165W	0.9198
111	YNL123W	0.91973
112	YBR043C	0.91929
113	YAL026C	0.91926
114	YBR222C	0.91923
115	YPL221W	0.91909
116	YLR034C	0.91908
117	YBR132C	0.91868
118	YMR279C	0.91865
119	YOL066C	0.91863
120	YOR241W	0.91844
121	YPL175W	0.91833
122	YPL246C	0.91808
123	YJR001W	0.91803
124	YNL090W	0.91797
125	YIL088C	0.91795
126	YOR153W	0.91755
127	YDR540C	0.91743
128	YNL270C	0.9173
129	YEL063C	0.91724
130	YER119C	0.91718
131	YKR080W	0.91703
132	YEL064C	0.91702
133	YBR164C	0.91688
134	YGL210W	0.91683
135	YJL198W	0.91677
136	YML001W	0.91662
137	YBL026W	0.91654
138	YJL050W	0.91653
139	YCR047C	0.9165
140	YJR049C	0.91645
141	YHL036W	0.9164
142	YMR080C	0.9162
143	YLL067C	0.91607
144	YJR156C	0.91595
145	YBR296C	0.91594
146	YER056C	0.91594
147	YGL008C	0.91569
148	YOL122C	0.91567
149	YLR375W	0.91555
150	YNL329C	0.91553
151	YGR055W	0.9155
152	YDR099W	0.91549
153	YNR013C	0.91548
154	YOL094C	0.91536
