rank	yeast_gene	cosine
1	YFL066C	0.95115
2	YLR229C	0.935
3	YAL064C-A	0.92936
4	YER072W	0.92823
5	YBL026W	0.92703
6	YPR016C	0.92674
7	YOR378W	0.92562
8	YDR091C	0.92502
9	YEL013W	0.92369
10	YPR165W	0.92256
11	YKR059W	0.92254
12	YNL006W	0.92218
13	YHR128W	0.9221
14	YER039C	0.92111
15	YER025W	0.92103
16	YGL008C	0.91971
17	YOR061W	0.91919
18	YER081W	0.9191
19	YGL225W	0.91871
20	YPL036W	0.91785
21	YFL026W	0.91621
22	YGR252W	0.91613
23	YIL143C	0.91567
24	YDR540C	0.91541
25	YPL266W	0.91531
26	YER148W	0.91408
27	YEL027W	0.91403
28	YPL086C	0.91333
29	YDR021W	0.91322
30	YIL074C	0.913
31	YLR113W	0.91273
32	YBL112C	0.91229
33	YHR218W-A	0.91229
34	YOR257W	0.91203
35	YJR065C	0.91152
36	YER069W	0.91124
37	YPR182W	0.91035
38	YNR032C-A	0.90851
39	YJL108C	0.90784
40	YPR204W	0.9078
41	YMR109W	0.90767
42	YFL017W-A	0.90752
43	YHL016C	0.90703
44	YNL290W	0.90663
45	YBL016W	0.90641
46	YCR047C	0.90598
47	YFL039C	0.90564
48	YKL129C	0.90471
49	YKL218C	0.90425
50	YOR046C	0.90398
51	YDL006W	0.90387
52	YKL190W	0.90378
53	YGL091C	0.90282
54	YGL255W	0.90242
55	YDR343C	0.90229
56	YEL077C	0.90228
57	YNR053C	0.90224
58	YDR342C	0.90209
59	YNL191W	0.90204
60	YMR015C	0.90147
61	YDR129C	0.90093
62	YHR092C	0.90072
63	YNL332W	0.90053
64	YFL058W	0.9005
65	YOL094C	0.9005
66	YJL050W	0.90043
67	YJR156C	0.9003
68	YJR007W	0.90022
69	YDL244W	0.8996
70	YDR339C	0.89922
71	YDR341C	0.89919
72	YHR213W	0.89904
73	YAR062W	0.89904
74	YER094C	0.89827
75	YER177W	0.89791
76	YJL213W	0.89763
77	YMR290C	0.89752
78	YDR345C	0.8975
79	YBR164C	0.89747
80	YLR466W	0.89744
81	YGR210C	0.89734
82	YER171W	0.89681
83	YEL026W	0.89664
84	YLR359W	0.89569
85	YMR146C	0.89554
86	YDR099W	0.89516
87	YHR096C	0.89508
88	YMR011W	0.89491
89	YCR098C	0.89479
90	YKL196C	0.89445
91	YLR081W	0.89412
92	YLR175W	0.89381
93	YFL011W	0.89377
94	YDL192W	0.89327
95	YHR218W	0.89325
96	YBR143C	0.89275
97	YHR094C	0.89273
98	YJL214W	0.89246
99	YKL146W	0.89229
100	YBR154C	0.89211
101	YER007C-A	0.89188
102	YNL090W	0.89175
103	YDL166C	0.89154
104	YDL245C	0.89142
105	YCL017C	0.89108
106	YHR007C	0.89094
107	YDL137W	0.8909
108	YGR040W	0.89083
109	YJL164C	0.89065
110	YIL170W	0.89059
111	YML018C	0.89039
112	YEL031W	0.89035
113	YER055C	0.89033
114	YHL040C	0.89025
115	YEL069C	0.89016
116	YNR072W	0.89016
117	YHL047C	0.89014
118	YER178W	0.88999
119	YLR438C-A	0.88995
120	YJR158W	0.88984
121	YBR114W	0.88951
122	YER052C	0.8895
123	YBR160W	0.88941
124	YOL162W	0.88915
125	YGL256W	0.88907
126	YJL219W	0.889
127	YLL018C	0.889
128	YOL156W	0.88898
129	YNL189W	0.88837
130	YJL014W	0.88793
131	YPR183W	0.88775
132	YOR153W	0.88767
133	YOR270C	0.88765
134	YDR353W	0.8873
135	YER012W	0.88713
136	YEL065W	0.88687
137	YKR080W	0.8863
138	YHR018C	0.88623
139	YNR026C	0.8862
140	YER009W	0.88611
141	YOR204W	0.88599
142	YPL203W	0.88591
143	YDL001W	0.88587
144	YDR536W	0.88572
145	YGL011C	0.8857
146	YOR293W	0.8854
147	YPR138C	0.88531
148	YLL050C	0.88523
149	YGL062W	0.88449
150	YBR082C	0.88444
151	YFL055W	0.88428
152	YKR039W	0.88407
153	YIL148W	0.88407
154	YKR094C	0.88407
155	YPR173C	0.88396
156	YEL042W	0.88391
157	YBL030C	0.88384
158	YEL051W	0.88383
159	YHR106W	0.88373
160	YDL047W	0.88363
161	YOL038W	0.8834
162	YIL142W	0.88301
163	YER060W-A	0.88279
164	YBR080C	0.8827
165	YOL133W	0.88218
166	YDR059C	0.88216
167	YER133W	0.88205
168	YDR406W	0.8819
169	YDL055C	0.88188
170	YGR132C	0.88183
171	YOL021C	0.88183
172	YMR230W	0.88177
173	YAL005C	0.88174
174	YDL168W	0.8817
175	YCR057C	0.88134
176	YBL041W	0.88129
177	YHR030C	0.88127
178	YML123C	0.88111
179	YML012W	0.88095
180	YGL115W	0.88094
181	YBR218C	0.88083
182	YKL024C	0.88079
183	YKL104C	0.88075
184	YPL119C	0.88064
185	YBL091C	0.8806
186	YJR153W	0.8805
187	YFL045C	0.88048
188	YPL218W	0.88038
189	YBL111C	0.88032
190	YDR001C	0.88032
191	YOR327C	0.88029
192	YLL024C	0.88021
193	YNL209W	0.8802
194	YGR231C	0.88019
195	YOR094W	0.87987
196	YJR068W	0.87981
197	YLR028C	0.87976
198	YJL190C	0.87971
199	YNL112W	0.87971
200	YDR075W	0.87963
201	YKR002W	0.8796
202	YLR134W	0.87956
203	YKL216W	0.8792
204	YJL026W	0.87911
205	YMR034C	0.8791
206	YJL012C	0.87892
207	YAL026C	0.87882
208	YDL229W	0.8787
209	YLL067C	0.87861
210	YER056C	0.87856
211	YPL050C	0.87841
212	YCL009C	0.87836
213	YBL075C	0.87832
214	YKL033W-A	0.87832
215	YGL087C	0.87761
216	YOL066C	0.87747
217	YDL126C	0.87725
218	YLL063C	0.87723
219	YLR167W	0.87722
220	YNL010W	0.87719
221	YLR367W	0.87716
222	YNL104C	0.87708
223	YGR121C	0.87706
224	YJL001W	0.87701
225	YLR330W	0.87694
226	YNL244C	0.87688
227	YIL035C	0.87683
228	YJL167W	0.8768
229	YJR025C	0.87654
230	YDR375C	0.87647
231	YIL048W	0.87643
232	YGL210W	0.87629
233	YBR085W	0.87627
234	YOR157C	0.87624
235	YPL235W	0.87593
236	YLR044C	0.87569
237	YDR232W	0.87554
238	YPR033C	0.87545
239	YMR120C	0.87542
240	YER103W	0.8754
241	YMR303C	0.87527
242	YBR249C	0.87492
243	YLR328W	0.87483
244	YJR148W	0.87475
245	YMR246W	0.87459
246	YER190W	0.87458
247	YLR438W	0.87456
248	YER060W	0.87453
249	YLR058C	0.87442
250	YBL078C	0.87434
251	YLR303W	0.87431
252	YKL148C	0.87421
253	YMR108W	0.87416
254	YGR282C	0.87407
255	YHR211W	0.87407
256	YOR108W	0.87374
257	YJL045W	0.87371
258	YOR347C	0.8736
259	YDR011W	0.87351
260	YCR010C	0.87332
261	YBL022C	0.87313
262	YEL034W	0.87291
263	Q0130	0.87279
264	YOR224C	0.87274
265	YGR286C	0.87274
266	YOL086C	0.8727
267	YML069W	0.87254
268	YOL151W	0.87252
269	YNL277W	0.87242
270	YNL123W	0.87241
271	YLR092W	0.87216
272	YLR420W	0.87184
273	YJL034W	0.87176
274	YPL129W	0.87175
275	YDR454C	0.87158
276	YPR052C	0.87156
277	YOR197W	0.87143
278	YMR079W	0.87134
279	YDL182W	0.87126
280	YNL014W	0.87122
281	YBR222C	0.8712
282	YDR155C	0.87117
283	YER031C	0.87105
284	YKL001C	0.8709
285	YIL020C	0.87085
286	YOL143C	0.87077
287	YIL116W	0.87063
288	YML001W	0.87059
289	YAR050W	0.87046
290	YEL063C	0.87033
291	YPL093W	0.87022
292	YKR038C	0.87021
293	YBR241C	0.87021
294	YBL071W-A	0.87009
295	YMR300C	0.87005
296	YAL038W	0.8698
297	YBR296C	0.86971
298	YNL132W	0.8697
299	YLR249W	0.86969
300	YLL066C	0.86963
301	YDR404C	0.86957
302	YOR202W	0.86945
303	YDR373W	0.86939
304	YJR049C	0.86937
305	YNL142W	0.86919
306	YML133C	0.86913
307	YDR023W	0.86905
308	YBR298C	0.86892
309	YIL177C	0.86885
310	YLR130C	0.86876
311	YFR047C	0.86861
312	YFL038C	0.86849
313	YLR208W	0.86833
314	YOR328W	0.86822
315	YML102W	0.8682
316	YLR005W	0.86817
317	YJL225C	0.86811
318	YPL058C	0.86806
319	YLR289W	0.86797
320	YIL003W	0.86797
321	YBR196C	0.86794
322	YOR185C	0.86786
323	YNR003C	0.86786
324	YNL268W	0.86784
325	YLR193C	0.86783
326	YGL120C	0.86778
327	YPL175W	0.86775
328	YOR323C	0.8677
329	YDR196C	0.86769
330	YFR044C	0.86768
331	YMR236W	0.86767
332	YNL270C	0.86765
333	YCR009C	0.86756
334	YGR152C	0.86755
335	YBR106W	0.86749
336	YOR380W	0.86745
337	YPL234C	0.86741
338	YLR244C	0.86739
339	YKL166C	0.86728
340	YHR200W	0.86709
341	YFR053C	0.86706
342	YCR073W-A	0.867
343	YLR293C	0.86696
344	YLR355C	0.86695
345	YPL276W	0.86694
346	YDL086W	0.86689
347	YEL066W	0.86676
348	YKR042W	0.86676
349	YOL030W	0.86659
350	YGR185C	0.86647
351	YDR304C	0.86636
352	YIR042C	0.86634
353	YAL063C	0.86622
354	YBR294W	0.8662
355	YMR243C	0.86615
356	YGL001C	0.86613
357	YBR145W	0.8661
358	YPR035W	0.86606
359	YGR267C	0.866
360	YGR087C	0.86592
361	YDL210W	0.8659
362	YHR208W	0.86583
363	YGL253W	0.86567
364	YML008C	0.86552
365	YGL167C	0.86538
366	YBR126C	0.86537
367	YNR002C	0.8653
368	YIL009W	0.86525
369	YHR110W	0.86523
370	YGR218W	0.86518
371	YAL030W	0.86505
372	YEL021W	0.86501
373	YNL066W	0.86499
374	YMR241W	0.86498
375	YNL241C	0.86491
376	YHR148W	0.86488
377	YEL046C	0.86487
378	YLR433C	0.86483
379	YJR095W	0.86479
380	YJL033W	0.86462
381	YBR187W	0.86448
382	YBR235W	0.86441
383	YBR089C-A	0.86436
384	YHL050C	0.86412
385	YDL134C	0.86394
386	YLR186W	0.86389
387	YPR110C	0.8638
388	YPL245W	0.86374
389	YJL128C	0.86363
390	YNL202W	0.86355
391	YJL030W	0.86352
392	YDR158W	0.8635
393	YOR159C	0.86349
394	YOL097C	0.86348
395	YPL094C	0.86341
396	YMR260C	0.86339
397	YJL008C	0.86333
398	YGR010W	0.86329
399	YNL255C	0.86321
400	YDL102W	0.86315
401	YKL210W	0.86313
402	YOR092W	0.86303
403	YDR238C	0.86303
404	YLR172C	0.863
405	YDL201W	0.86283
406	YPL259C	0.86279
407	YER107C	0.8627
408	YAR073W	0.86258
409	YML064C	0.86257
410	YHR057C	0.86248
411	YMR205C	0.86246
412	YLR034C	0.86245
413	YMR307W	0.86236
414	YHR070W	0.8623
415	YMR221C	0.86203
416	YGL077C	0.86195
417	YDL164C	0.86183
418	YIL078W	0.86183
419	YGR123C	0.86177
420	YLR200W	0.86168
421	YKL152C	0.86164
422	YOR326W	0.86152
423	YDR510W	0.86143
424	YJR159W	0.86136
425	YBR121C	0.8611
426	YDL246C	0.861
427	YNL330C	0.861
428	YJL055W	0.86096
429	YPL246C	0.86086
430	YPR051W	0.86079
431	YDL108W	0.86078
432	YGL070C	0.86074
433	YMR056C	0.86073
434	YPL028W	0.86069
435	YDL208W	0.86068
436	YDL125C	0.86063
437	YNL098C	0.86046
438	YMR143W	0.86043
439	YDL083C	0.86043
440	YBR261C	0.86043
441	YMR080C	0.8604
442	YER119C	0.8604
443	YPL106C	0.86038
444	YOR388C	0.86032
445	YER020W	0.86029
446	YCR008W	0.86024
447	YBR286W	0.86022
448	YDL131W	0.8602
449	YLR213C	0.8602
450	YOR396W	0.86019
451	YDR545W	0.86019
452	YLR467W	0.86019
453	YLR147C	0.86019
454	YMR279C	0.85991
455	YNL095C	0.85988
456	YDL097C	0.85973
457	YLR397C	0.85973
458	YOR317W	0.85972
459	YNL113W	0.85946
460	YNL331C	0.8594
461	YLR153C	0.85939
462	YPL061W	0.85926
463	YAL023C	0.85886
464	YGR211W	0.85881
465	YAL060W	0.85874
466	YJL121C	0.8586
467	YDL243C	0.85859
468	YMR058W	0.85858
469	YPL221W	0.85849
470	YNL135C	0.85846
471	YDL100C	0.85845
472	YER165W	0.85843
473	YGR229C	0.85842
474	YLR277C	0.85831
475	YOR006C	0.85811
476	YLR170C	0.8581
477	YPR062W	0.85807
478	YFL056C	0.85803
479	YJL116C	0.85792
480	YGR191W	0.8579
481	YNL064C	0.85789
482	YBR252W	0.85783
483	YDR002W	0.85776
484	YCL025C	0.85776
485	YLR234W	0.85765
486	YPR103W	0.85764
487	YDR039C	0.85754
488	YBR001C	0.8575
489	YER166W	0.85741
490	YBL036C	0.8573
491	YEL011W	0.8573
492	YFL005W	0.85729
493	YDL022W	0.85724
494	YPR194C	0.85714
495	YGR055W	0.85709
496	YBR287W	0.85708
497	YOR004W	0.85706
498	YDL084W	0.85705
499	YAR002C-A	0.85698
500	YJL218W	0.85688
501	YJR077C	0.85685
502	YDR040C	0.85683
503	YLR195C	0.85678
504	YNL125C	0.85673
505	YLR121C	0.85667
506	YPL281C	0.85663
507	YOR393W	0.85663
508	YLR060W	0.85656
509	YNR070W	0.85653
510	YLL056C	0.85644
511	YLR055C	0.85639
512	YER099C	0.85633
513	YJR045C	0.85631
514	YEL060C	0.85609
515	YNR034W	0.85597
516	YFR055W	0.85593
517	YGR043C	0.85591
518	YJL198W	0.85584
519	YER145C	0.85582
520	YDR037W	0.8558
521	YMR008C	0.85578
522	YKL113C	0.85578
523	YKR102W	0.85577
524	YMR202W	0.85567
525	YPL051W	0.85565
526	YER159C	0.85561
527	YDR448W	0.8556
528	YDR038C	0.85558
529	YJR160C	0.85547
530	YDR185C	0.85547
531	YER057C	0.85543
532	YJR105W	0.85542
533	YHL011C	0.8554
534	YML057W	0.85534
535	YNL339C	0.85528
536	YDR519W	0.85526
537	YPL283C	0.85523
538	YGR296W	0.85522
539	YGR020C	0.85514
540	YJL217W	0.85507
541	YMR323W	0.85506
542	YOR128C	0.85504
543	YER125W	0.85502
544	YNL231C	0.85486
545	YPL237W	0.85485
546	YHR019C	0.85484
547	YDL014W	0.85467
548	YBR127C	0.85467
549	YDL140C	0.85467
550	YHR074W	0.85462
551	YBR043C	0.85458
552	YPR069C	0.85455
553	YLR158C	0.85442
554	YLR160C	0.85442
555	YLR155C	0.85442
