rank	yeast_gene	cosine
1	YER072W	0.95149
2	YER148W	0.9479
3	YGL008C	0.94706
4	YLR229C	0.94655
5	YPL266W	0.94419
6	YMR109W	0.94219
7	YFL066C	0.94183
8	YKR059W	0.93996
9	YPL036W	0.9397
10	YPR165W	0.93888
11	YDR339C	0.93879
12	YPR182W	0.93874
13	YNR053C	0.93798
14	YDR091C	0.93513
15	YGR252W	0.93432
16	YHR218W-A	0.93425
17	YBL112C	0.93425
18	YOR257W	0.93419
19	YOR046C	0.93414
20	YER025W	0.93338
21	YNL290W	0.93325
22	YLR113W	0.93318
23	YBL026W	0.93279
24	YEL051W	0.93248
25	YMR290C	0.93223
26	YDR021W	0.93209
27	YIL143C	0.93072
28	YKL190W	0.92958
29	YKL129C	0.9295
30	YCR047C	0.92945
31	YNL006W	0.92925
32	YDR129C	0.92902
33	YJL014W	0.929
34	YKL196C	0.92803
35	YPR016C	0.92699
36	YPR204W	0.92692
37	YPL203W	0.9264
38	YPL218W	0.92538
39	YHR128W	0.92536
40	YJL108C	0.92492
41	YER177W	0.92478
42	YJL050W	0.92451
43	YOR204W	0.92447
44	YNL112W	0.92404
45	YEL026W	0.92379
46	YGR210C	0.9237
47	YPL129W	0.92222
48	YEL034W	0.92183
49	YBL016W	0.92182
50	YBR154C	0.92178
51	YEL027W	0.92159
52	YBR082C	0.92124
53	YHR148W	0.92081
54	YJR007W	0.92067
55	YLR234W	0.92046
56	YMR230W	0.92045
57	YOR293W	0.92044
58	YNL189W	0.92033
59	YFL039C	0.92027
60	YLR147C	0.92016
61	YOR224C	0.92015
62	YAL005C	0.91997
63	YNL244C	0.91978
64	YFL058W	0.91974
65	YDL166C	0.91974
66	YDL244W	0.91964
67	YKL218C	0.9196
68	YNL332W	0.91939
69	YDR099W	0.91934
70	YJR156C	0.91933
71	YLR367W	0.91932
72	YBR143C	0.91923
73	YOL021C	0.91919
74	YER081W	0.91914
75	YLL024C	0.91896
76	YBL075C	0.91862
77	YDL126C	0.91852
78	YPR052C	0.91845
79	YGL256W	0.9184
80	YNL209W	0.91821
81	YJL190C	0.91801
82	YBR160W	0.918
83	YLR438C-A	0.91787
84	YGL091C	0.91781
85	YDL229W	0.9177
86	YEL077C	0.91733
87	YER171W	0.91718
88	YHR018C	0.91713
89	YBR089C-A	0.91675
90	YJL164C	0.91657
91	YGL062W	0.9164
92	YOR061W	0.91603
93	YGR231C	0.91597
94	YER103W	0.91583
95	YPL119C	0.91578
96	YBL078C	0.91565
97	YBR164C	0.91542
98	YOL094C	0.91485
99	YPL235W	0.91484
100	YGL120C	0.91467
101	YPR173C	0.91446
102	YLR466W	0.91392
103	YLL050C	0.9138
104	YDR059C	0.91376
105	YML102W	0.91374
106	YDL192W	0.91363
107	YDR510W	0.91361
108	YBR218C	0.91314
109	YMR260C	0.9131
110	YCL009C	0.91303
111	YHR070W	0.91284
112	YPL086C	0.91277
113	YOL143C	0.91275
114	YCR009C	0.91273
115	YHR200W	0.91248
116	YDL006W	0.91244
117	YHR030C	0.91199
118	YDR155C	0.91189
119	YLR175W	0.91184
120	YER007C-A	0.91167
121	YDL055C	0.91162
122	YDL014W	0.9115
123	YNL090W	0.91133
124	YJR065C	0.91124
125	YER107C	0.91116
126	YPR183W	0.91091
127	YJL034W	0.91073
128	YML069W	0.91063
129	YGL225W	0.91037
130	YML012W	0.90996
131	YKR002W	0.90984
132	YJL026W	0.90965
133	YNL113W	0.90963
134	YBR261C	0.90957
135	YDL137W	0.90942
136	YOR122C	0.90902
137	YNL064C	0.90865
138	YLL018C	0.90851
139	YPL093W	0.90842
140	YOL038W	0.90837
141	YKL104C	0.90822
142	YEL013W	0.90785
143	YDR353W	0.90776
144	YBR252W	0.90768
145	YHR170W	0.90763
146	YMR236W	0.9075
147	YDR540C	0.90743
148	YER178W	0.90714
149	YFL017W-A	0.90712
150	YJR047C	0.90708
151	YIL074C	0.90702
152	YLL039C	0.9069
153	YHL016C	0.90669
154	YER055C	0.90651
155	YOR378W	0.90625
156	YDR341C	0.90597
157	YER039C	0.90587
158	YGR105W	0.9058
159	YOR185C	0.90557
160	YLR359W	0.90557
161	YGL070C	0.90556
162	YLR186W	0.90555
163	YER133W	0.90541
164	YDR375C	0.90516
165	YOR270C	0.90473
166	YOR202W	0.90464
167	YDL084W	0.90418
168	YPL199C	0.90417
169	YGR218W	0.90415
170	YGR267C	0.9041
171	YLR293C	0.90401
172	YJL213W	0.90398
173	YDL047W	0.90382
174	YGL255W	0.90379
175	YLR289W	0.90376
176	YOL133W	0.90369
177	YMR015C	0.90366
178	YLR028C	0.9036
179	YDR424C	0.90342
180	YOL097C	0.90339
181	YCR057C	0.90334
182	YKL024C	0.90327
183	YJL030W	0.9031
184	YNL191W	0.90306
185	YGR020C	0.90302
186	YHR092C	0.903
187	YHR106W	0.90299
188	YER012W	0.90291
189	YBR080C	0.90283
190	YKL216W	0.90281
191	YHL047C	0.90275
192	YBL091C	0.90262
193	YMR146C	0.90259
194	YHL040C	0.90227
195	YOR298C-A	0.90222
196	YDR343C	0.90206
197	YDR404C	0.9018
198	YBL071W-A	0.90172
199	YDR238C	0.90167
200	YHR089C	0.90155
201	YDR342C	0.90144
202	YOR327C	0.9011
203	YDR345C	0.90107
204	YJL167W	0.90107
205	YLR005W	0.90106
206	YGR211W	0.90073
207	YJL217W	0.90057
208	YER069W	0.90021
209	YBR114W	0.90014
210	YDR158W	0.90009
211	YBL030C	0.90008
212	YNL014W	0.9
213	YGR040W	0.89998
214	YLR258W	0.89996
215	YBR106W	0.8999
216	YER099C	0.89988
217	YFL026W	0.8996
218	YLR249W	0.89938
219	YPL245W	0.89935
220	YNL255C	0.89933
221	YJL012C	0.89929
222	YDR002W	0.89927
223	YMR300C	0.89919
224	YGR085C	0.89915
225	YKL146W	0.89907
226	YNL010W	0.89899
227	YJR153W	0.89893
228	YGR123C	0.89891
229	YDL208W	0.89889
230	YPL259C	0.89884
231	YDR075W	0.89874
232	YPL106C	0.89871
233	YKR094C	0.89869
234	YIL148W	0.89869
235	YKL013C	0.89864
236	YKR038C	0.89854
237	YHR169W	0.89839
238	YKR080W	0.89827
239	YDR373W	0.89818
240	YMR120C	0.89815
241	YDR023W	0.89813
242	YNL135C	0.89809
243	YIL078W	0.89801
244	YOR094W	0.898
245	YOR004W	0.89799
246	YIL142W	0.89792
247	YAR002C-A	0.89785
248	YOR197W	0.8978
249	YFL045C	0.8978
250	YHR065C	0.89752
251	YEL031W	0.89742
252	YJR068W	0.89733
253	YMR143W	0.89713
254	YDL083C	0.89713
255	YGL011C	0.89711
256	YDL160C	0.89702
257	YBL024W	0.89697
258	YLR200W	0.89683
259	YLR167W	0.89652
260	YOR006C	0.89649
261	YPL234C	0.89644
262	YPR102C	0.89642
263	YHR135C	0.89642
264	YDL140C	0.89638
265	YER159C	0.89628
266	YJR025C	0.89617
267	YMR079W	0.89607
268	YKL001C	0.89599
269	YMR034C	0.89598
270	YGR152C	0.89591
271	YHR007C	0.8957
272	YER020W	0.89566
273	YDL097C	0.89561
274	YDR190C	0.8954
275	Q0130	0.89528
276	YBR249C	0.89524
277	YOR089C	0.89518
278	YBR109C	0.89509
279	YDR185C	0.89492
280	YBL003C	0.89486
281	YNR003C	0.89485
282	YLL026W	0.89482
283	YDL022W	0.89481
284	YCR010C	0.8948
285	YDR225W	0.89464
286	YAL030W	0.89457
287	YOL005C	0.89454
288	YLR081W	0.89445
289	YGL099W	0.89442
290	YNL132W	0.89429
291	YDL182W	0.89427
292	YPR080W	0.89426
293	YER190W	0.89423
294	YER125W	0.89412
295	YGR185C	0.8941
296	YCR098C	0.89394
297	YOR187W	0.8939
298	YBR196C	0.8938
299	YDR448W	0.8938
300	YJL008C	0.89372
301	YHR094C	0.89371
302	YDR196C	0.8936
303	YAL026C	0.89352
304	YGL167C	0.89349
305	YNL241C	0.89312
306	YJL033W	0.89296
307	YNL288W	0.89282
308	YHR218W	0.89282
309	YPR113W	0.89273
310	YDL001W	0.89271
311	YML085C	0.89266
312	YLR193C	0.89265
313	YDR092W	0.89262
314	YPR041W	0.8926
315	YDL201W	0.89244
316	YGR207C	0.89241
317	YML123C	0.8924
318	YBR169C	0.89224
319	YLR058C	0.89218
320	YGL210W	0.89203
321	YBL068W	0.89201
322	YPL094C	0.89199
323	YFR053C	0.89193
324	YNL098C	0.89189
325	YDL102W	0.89186
326	YGR132C	0.89181
327	YOL162W	0.89175
328	YER036C	0.89164
329	YER060W-A	0.8915
330	YGR282C	0.89146
331	YER052C	0.89128
332	YLR170C	0.89126
333	YER031C	0.89118
334	YIL003W	0.89117
335	YMR246W	0.89111
336	YML124C	0.89108
337	YPL031C	0.89097
338	YLL067C	0.89093
339	YER165W	0.89082
340	YGL253W	0.89071
341	YER009W	0.89066
342	YOR157C	0.89065
343	YLR195C	0.89062
344	YDR454C	0.89062
345	YGL058W	0.89052
346	YPL061W	0.89047
347	YML057W	0.89028
348	YGR208W	0.89024
349	YKR039W	0.89018
350	YDL108W	0.89014
351	YJL214W	0.88992
352	YLL060C	0.88986
353	YHL011C	0.88975
354	YHR096C	0.88974
355	YPL043W	0.88966
356	YDL134C	0.88955
357	YDR172W	0.88953
358	YDL164C	0.88948
359	YBR187W	0.88946
360	YOR153W	0.88932
361	YAL038W	0.88918
362	YPL237W	0.88915
363	YPR110C	0.889
364	YLR397C	0.88894
365	YJL136C	0.88887
366	YNL339W-A	0.88883
367	YML133W-A	0.88883
368	YER190C-A	0.88883
369	YGR296C-A	0.88883
370	YPL283W-A	0.88883
371	YOR347C	0.88883
372	YMR011W	0.88872
373	YER095W	0.88864
374	YEL066W	0.88864
375	YDL100C	0.8886
376	YKL113C	0.88859
377	YBR085W	0.88857
378	YJR045C	0.88856
379	YEL011W	0.88853
380	YGL078C	0.88853
381	YFL011W	0.88846
382	YBR121C	0.88827
383	YML008C	0.8882
384	YDL245C	0.88817
385	YDR300C	0.88803
386	YDR406W	0.88796
387	YBR241C	0.88787
388	YKR068C	0.88777
389	YJR069C	0.88775
390	YGL048C	0.88773
391	YKL035W	0.88772
392	YOR159C	0.88765
393	YHR110W	0.88765
394	YER094C	0.88764
395	YFL038C	0.88751
396	YHL015W	0.88746
397	YDL222C	0.88731
398	YOR259C	0.88722
399	YGL087C	0.88717
400	YKL117W	0.88716
401	YEL058W	0.88709
402	YML106W	0.88707
403	YBL113C	0.88685
404	YDR226W	0.88676
405	YIR042C	0.88674
406	YBR126C	0.88673
407	YJR158W	0.8867
408	YFR015C	0.88669
409	YDL168W	0.88669
410	YOL030W	0.88667
411	YBL022C	0.88664
412	YKL002W	0.88659
413	YLR438W	0.88638
414	YNR072W	0.88632
415	YDR447C	0.88622
416	YEL069C	0.88621
417	YLR330W	0.886
418	YPR069C	0.88583
419	YLR134W	0.88572
420	YAL064C-A	0.88566
421	YBR296C	0.88564
422	YOR027W	0.88557
423	YKL152C	0.88549
424	YNR032C-A	0.88547
425	YOL066C	0.88544
426	YKR057W	0.88535
427	YIL177C	0.88522
428	YFR014C	0.88521
429	YGL135W	0.8852
430	YPL220W	0.8852
431	YHR019C	0.88518
432	YOL156W	0.8851
433	YJL219W	0.88504
434	YAR073W	0.885
435	YML024W	0.885
436	YHR107C	0.88475
437	YEL065W	0.88474
438	YJL225C	0.88471
439	YNL330C	0.8847
440	YMR226C	0.88464
441	YPR033C	0.88462
442	YJR105W	0.88462
443	YCL010C	0.88459
444	YJL001W	0.88454
445	YLR074C	0.88453
446	YMR203W	0.88446
447	YBR127C	0.88433
448	YNR073C	0.88431
449	YEL070W	0.88431
450	YLR433C	0.8843
451	YCL017C	0.88423
452	YNR002C	0.88406
453	YDR394W	0.88405
454	YDR304C	0.88396
455	YOR323C	0.88383
456	YLR328W	0.88381
457	YGL211W	0.88376
458	YJL111W	0.88371
459	YJR014W	0.88369
460	YAL020C	0.88368
461	YLR168C	0.88367
462	YHR203C	0.88366
463	YJR145C	0.88366
464	YKL166C	0.88364
465	YKL148C	0.8836
466	YDL064W	0.88354
467	YJL121C	0.8835
468	YGR253C	0.88346
469	YNL259C	0.88339
470	YEL021W	0.8833
471	YER056C	0.8832
472	YLR153C	0.88306
473	YPR145W	0.88302
474	YOR128C	0.88302
475	YOR217W	0.88301
476	YDR388W	0.88301
477	YEL030W	0.88299
478	YOR362C	0.88297
479	YIL170W	0.88293
480	YJR095W	0.88276
481	YOR117W	0.88274
482	YER086W	0.88271
483	YLR044C	0.88266
484	YMR307W	0.88265
485	YFL055W	0.88263
486	YDR536W	0.8826
487	YGR256W	0.88258
488	YMR222C	0.8825
489	YDR392W	0.88246
490	YNL075W	0.88228
491	YER089C	0.88228
492	YMR271C	0.88226
493	YER060W	0.88223
494	YDL128W	0.8822
495	YPR181C	0.88214
496	YFR004W	0.88213
497	YLR208W	0.88212
498	YMR116C	0.882
499	YPL175W	0.88192
