rank	yeast_gene	cosine
1	YGL126W	0.94891
2	YDR488C	0.94116
3	YLR342W	0.93909
4	YOL086W-A	0.93543
5	YGR032W	0.93494
6	YJL210W	0.93453
7	YJL065C	0.93274
8	YJR084W	0.93085
9	YIL106W	0.93081
10	YHR189W	0.92991
11	YKL086W	0.92745
12	YOL110W	0.92722
13	YPL067C	0.92664
14	YMR069W	0.92615
15	YLR145W	0.92614
16	YCR048W	0.92539
17	YLR141W	0.92514
18	YHL006C	0.92499
19	YBL102W	0.92345
20	YOR077W	0.92284
21	YOL006C	0.92209
22	YOR039W	0.92137
23	YCR060W	0.92125
24	YOR103C	0.92098
25	YGL019W	0.92061
26	YGL212W	0.92054
27	YER190W	0.92046
28	YBR162W-A	0.91973
29	YML098W	0.91939
30	YMR214W	0.91937
31	YMR263W	0.91916
32	YMR180C	0.91845
33	YNL339C	0.91815
34	YOR213C	0.91809
35	YPL283C	0.91805
36	YDR374W-A	0.91805
37	YGR296W	0.91803
38	YFR018C	0.91788
39	YHR219W	0.91743
40	YHL050C	0.91702
41	YLR467W	0.91689
42	YDR545W	0.91689
43	YOR396W	0.91689
44	YJL225C	0.91564
45	YIL177C	0.91514
46	YER180C-A	0.91484
47	YBL021C	0.91469
48	YHL003C	0.9146
49	YHR040W	0.91434
50	YBR112C	0.91422
51	YCR076C	0.91403
52	YNL326C	0.91393
53	YMR306W	0.9138
54	YDL018C	0.91338
55	YGL020C	0.91318
56	YER018C	0.91311
57	YGL063W	0.91292
58	YNL148C	0.9128
59	YLL026W	0.91244
60	YBR202W	0.91242
61	YIR013C	0.91238
62	YPL017C	0.91233
63	YLR258W	0.91149
64	YOR036W	0.9112
65	YLL066C	0.9111
66	YOL147C	0.91106
67	YLR065C	0.91103
68	YLR466W	0.91066
69	YLR168C	0.91062
70	YLL067C	0.91038
71	YCL036W	0.91022
72	YHL017W	0.91018
73	YDL087C	0.90988
74	YJL196C	0.90981
75	YPL245W	0.90979
76	YER087C-B	0.90972
77	YBR204C	0.90957
78	YML133C	0.90932
79	YML101C	0.90931
80	YOL018C	0.90927
81	YMR161W	0.90921
82	YGR105W	0.90903
83	YPR010C	0.9087
84	YHR191C	0.90828
85	YGL198W	0.90799
86	YDR313C	0.9076
87	YNL323W	0.90755
88	YGR074W	0.90734
89	YKL039W	0.9073
90	YBL113C	0.90721
91	YKL207W	0.9072
92	YLL022C	0.90716
93	YOR253W	0.90714
94	YGR245C	0.90704
95	YJR010C-A	0.90703
96	YEL077C	0.90693
97	YNL288W	0.90686
98	YHL042W	0.90669
99	YHL018W	0.90649
100	YKL145W	0.90648
101	YNL211C	0.90633
102	YAL009W	0.90617
103	YPR082C	0.90602
104	YCR024C-A	0.90602
105	YIR004W	0.90584
106	YFR015C	0.90581
107	YEL032W	0.90572
108	YGR026W	0.90569
109	YDL057W	0.90568
110	YIR015W	0.90567
111	YLR447C	0.90562
112	YML068W	0.90557
113	YFR051C	0.90548
114	YGL130W	0.90532
115	YER166W	0.90528
116	YBL082C	0.90495
117	YPR037C	0.90486
118	YOR301W	0.90467
119	YHR034C	0.90454
120	YNL086W	0.90451
121	YNL305C	0.90449
122	YGL163C	0.90442
123	YNR048W	0.90435
124	YGL054C	0.9043
125	YPL213W	0.90408
126	YJL151C	0.90408
127	YNL307C	0.90404
128	YPL217C	0.90391
129	YIL047C	0.90391
130	YGL208W	0.90366
131	YEL017C-A	0.90352
132	YDR394W	0.90345
133	YFL016C	0.90331
134	YHR107C	0.90317
135	YOR145C	0.90315
136	YDR093W	0.90315
137	YAR002C-A	0.90288
138	YGL120C	0.90274
139	YGR063C	0.90271
140	YOR117W	0.9027
141	YDL140C	0.90225
142	YAR023C	0.90224
143	YDR411C	0.90191
144	YPR204W	0.90183
145	YMR042W	0.90174
146	YJR074W	0.90164
147	YNL007C	0.9016
148	YGR058W	0.90157
149	YMR054W	0.90148
150	YMR264W	0.90139
151	YBR236C	0.90135
152	YDL072C	0.9011
153	YAL039C	0.90103
154	YIR026C	0.90094
155	YNL282W	0.90091
156	YMR197C	0.90087
157	YMR112C	0.90075
158	YBL023C	0.90073
159	YKL212W	0.90062
160	YDR084C	0.90058
161	YOR207C	0.90051
162	YMR310C	0.90044
163	YGR029W	0.90023
164	YLR007W	0.90014
165	YPR088C	0.90002
166	YLR326W	0.89996
167	YER159C	0.8999
168	YKR035W-A	0.89983
169	YFL028C	0.89972
170	YBL018C	0.89969
171	YDL053C	0.89963
172	YLR292C	0.89962
173	YDL123W	0.89958
174	YOR084W	0.89949
175	YJR050W	0.8989
176	YDR482C	0.89879
177	YER029C	0.89869
178	YDR167W	0.89868
179	YGL058W	0.89843
180	YLR186W	0.89837
181	YLR378C	0.89826
182	YDL007W	0.89824
183	YGL043W	0.89809
184	YPR093C	0.89806
185	YOL146W	0.89795
186	YHR030C	0.89784
187	YKL186C	0.89783
188	YJL124C	0.89773
189	YMR040W	0.89773
190	YNL024C	0.89763
191	YGL010W	0.89757
192	YLR012C	0.8975
193	YJL030W	0.89748
194	YER147C	0.89733
195	YCL010C	0.89732
196	YOL062C	0.89718
197	YPL233W	0.89715
198	YER074W-A	0.89715
199	YMR043W	0.8971
200	YGL201C	0.897
201	YER153C	0.89672
202	YOR048C	0.89665
203	YDL212W	0.89664
204	YKL059C	0.89664
205	YEL044W	0.89663
206	YDR392W	0.8965
207	YHR169W	0.89649
208	YIL021W	0.89647
209	YKL084W	0.89647
210	YER125W	0.89639
211	YPL221W	0.89638
212	YBR210W	0.89625
213	YJR133W	0.8962
214	YOR358W	0.89615
215	YOL072W	0.89608
216	YNR057C	0.896
217	YJL072C	0.89597
218	YGR203W	0.89597
219	YLR234W	0.89587
220	YOR295W	0.89583
221	YJR058C	0.8958
222	YKR040C	0.89578
223	YML010W	0.89574
224	YMR288W	0.89571
225	YLR411W	0.89569
226	YAR075W	0.89547
227	YKL214C	0.8954
228	YDR468C	0.89527
229	YKL095W	0.89495
230	YPL047W	0.89494
231	YGR092W	0.89485
232	YPL042C	0.89482
233	YHL026C	0.89477
234	YOR155C	0.89471
235	YHR218W	0.89469
236	YFL037W	0.89458
237	YOL129W	0.89456
238	YOR341W	0.89452
239	YLR026C	0.89446
240	YML085C	0.89439
241	YGR283C	0.89435
242	YDL160C-A	0.89431
243	YOR224C	0.89429
244	YLR019W	0.89427
245	YBR023C	0.8942
246	YHR041C	0.89412
247	YHR142W	0.89407
248	YNL328C	0.89403
249	YHR175W	0.894
250	YER019C-A	0.89394
251	YGL002W	0.89377
252	YPL094C	0.89376
253	YLR022C	0.89375
254	YBL091C-A	0.89362
255	YNR011C	0.8934
256	YMR089C	0.89337
257	YMR127C	0.89331
258	YJR112W	0.89327
259	YHR127W	0.89322
260	YCR020C-A	0.89321
261	YDL160C	0.89307
262	YGR271W	0.89295
263	YHR181W	0.89286
264	YLR108C	0.89285
265	YKL065C	0.89284
266	YDR056C	0.89276
267	YDL145C	0.89271
268	YML077W	0.89263
269	YOL005C	0.89252
270	YCL033C	0.89241
271	YDL222C	0.89241
272	YER034W	0.89227
273	YLR078C	0.89225
274	YDR265W	0.89225
275	YKR041W	0.89216
276	YOR087W	0.89216
277	YGL181W	0.89209
278	YIL154C	0.89209
279	YOR116C	0.89201
280	YDR399W	0.89198
281	YDL031W	0.89179
282	YNL240C	0.89174
283	YLR437C	0.89172
284	YDR188W	0.8917
285	YGR281W	0.89167
286	YOR261C	0.89166
287	YFR032C	0.89157
288	YDL165W	0.89145
289	YGR088W	0.89144
290	YML124C	0.89142
291	YOR303W	0.89141
292	YLR276C	0.89139
293	YBR228W	0.89134
