rank	yeast_gene	cosine
1	YLR229C	0.92411
2	YPR165W	0.91824
3	YER072W	0.91729
4	YFL066C	0.91577
5	YLR113W	0.91577
6	YNL006W	0.91508
7	YKR059W	0.91094
8	YNL290W	0.90883
9	YGL008C	0.90854
10	YER025W	0.90708
11	YOR378W	0.90457
12	YBL016W	0.90451
13	YPL036W	0.90398
14	YIL143C	0.90314
15	YDR021W	0.9031
16	YOR046C	0.9031
17	YPR016C	0.90287
18	YMR109W	0.90269
19	YCR047C	0.9018
20	YOR257W	0.90167
21	YPL266W	0.90165
22	YDR091C	0.90138
23	YER039C	0.9007
24	YER148W	0.90036
25	YEL013W	0.90031
26	YPL203W	0.89969
27	YMR290C	0.89846
28	YPR182W	0.89791
29	YGL225W	0.89757
30	YGR252W	0.89698
31	YOR061W	0.89608
32	YOL094C	0.89526
33	YDR343C	0.89444
34	YDR342C	0.89405
35	YBL026W	0.89346
36	YJL164C	0.89308
37	YHR092C	0.89302
38	YNR053C	0.89301
39	YHR218W-A	0.89281
40	YBL112C	0.89281
41	YBR160W	0.89258
42	YJR065C	0.89235
43	YJL050W	0.89191
44	YER081W	0.89141
45	YFL039C	0.8912
46	YDR345C	0.89056
47	YKL129C	0.88989
48	YEL027W	0.88986
49	YHR128W	0.88915
50	YJL108C	0.88909
51	YFL026W	0.8886
52	YDL006W	0.88734
53	YLR081W	0.88652
54	YOR204W	0.88627
55	YHR030C	0.8862
56	YDR129C	0.88617
57	YDR339C	0.88592
58	YHR096C	0.88588
59	YER177W	0.88462
60	YPR204W	0.88449
61	YHR094C	0.88406
62	YPL086C	0.88396
63	YFL011W	0.88382
64	YLR438C-A	0.88358
65	YIL074C	0.88347
66	YMR011W	0.88289
67	YOL021C	0.88285
68	YGR040W	0.88257
69	YER069W	0.88213
70	YAL005C	0.88154
71	YJR007W	0.8811
72	YNL112W	0.88065
73	YBL075C	0.88054
74	YLL024C	0.88047
75	YDR099W	0.88024
76	YPL119C	0.88017
77	YEL026W	0.87999
78	YER171W	0.87992
79	YBL030C	0.87982
80	YGR210C	0.87954
81	YDL245C	0.87927
82	YJL214W	0.87926
83	YEL069C	0.87923
84	YNL090W	0.87913
85	YNR072W	0.87911
86	YKL190W	0.87888
87	YPL218W	0.87876
88	YJL219W	0.87862
89	YJL014W	0.87859
90	YKL146W	0.87828
91	YIL170W	0.87825
92	YEL077C	0.87819
93	YOL156W	0.87816
94	YNL209W	0.87771
95	YLR466W	0.87744
96	YJR158W	0.8773
97	YKL218C	0.87701
98	YER103W	0.87701
99	YDL229W	0.8768
100	YPR173C	0.87665
101	YEL051W	0.87661
102	YDL192W	0.87641
103	YDL126C	0.87639
104	YKL196C	0.8763
105	YFL058W	0.87615
106	YDL244W	0.87602
107	YJR156C	0.87598
108	YNL332W	0.87597
109	YHL047C	0.8756
110	YCL009C	0.87538
111	YBR164C	0.87532
112	YMR015C	0.87503
113	YNL189W	0.875
114	YLR175W	0.87495
115	YJR068W	0.87481
116	YGL255W	0.87449
117	YBR114W	0.87441
118	YGR152C	0.8742
119	YHL016C	0.87409
120	YHL040C	0.87398
121	YFL017W-A	0.87392
122	YDL001W	0.87373
123	YDL166C	0.87349
124	YER133W	0.87274
125	YDL137W	0.8725
126	YMR146C	0.87228
127	YLR359W	0.87184
128	YBR143C	0.87164
129	YGR231C	0.87154
130	YML018C	0.87151
131	YDR536W	0.87084
132	YGL120C	0.87036
133	YCR057C	0.87028
134	YNL191W	0.86984
135	YKR002W	0.86934
136	YGL256W	0.86906
137	YBR085W	0.86873
138	YJL034W	0.86862
139	YHR218W	0.86853
140	YER178W	0.86848
141	YKL104C	0.86835
142	YDL047W	0.86812
143	YGL091C	0.8678
144	YLR234W	0.86763
145	YPR052C	0.86713
146	YBR241C	0.86712
147	YCR098C	0.86709
148	YHR135C	0.86691
149	YDR341C	0.86672
150	YBR082C	0.8666
151	YOR270C	0.86642
152	YCL017C	0.86606
153	YLL018C	0.86604
154	YHR007C	0.866
155	YJR049C	0.86593
156	YPL129W	0.86593
157	YBR080C	0.86584
158	YML012W	0.86578
159	YGL062W	0.86573
160	YDR075W	0.86562
161	YEL031W	0.86549
162	YBL022C	0.86547
163	YOR185C	0.86511
164	YDR540C	0.86501
165	YDL084W	0.86499
166	YLL050C	0.8649
167	YER055C	0.86473
168	YBR089C-A	0.86446
169	YPR183W	0.86421
170	YLR293C	0.86398
171	YOL162W	0.86391
172	YNL098C	0.86389
173	YJL033W	0.86352
174	YBR218C	0.8635
175	YML069W	0.86337
176	YLR147C	0.86306
177	YLR328W	0.86291
178	YDR375C	0.86285
179	YEL065W	0.86251
180	YBR154C	0.8625
181	YLL039C	0.86238
182	YOR293W	0.86212
183	YHR018C	0.86209
184	YHR148W	0.86193
185	YGL210W	0.86164
186	YJR095W	0.86157
187	YJL213W	0.86151
188	YOL038W	0.8613
189	YAL026C	0.8612
190	YMR056C	0.86118
191	YER052C	0.86117
192	YGR218W	0.86111
193	YIL048W	0.86111
194	YOL066C	0.86094
195	YIL148W	0.86092
196	YKR094C	0.86092
197	YML102W	0.86091
198	YER107C	0.86076
199	YKL166C	0.86074
200	YKL024C	0.86062
201	YDR059C	0.86058
202	YMR230W	0.86055
203	YEL034W	0.86048
204	YER031C	0.86039
205	YGR123C	0.86036
206	YMR108W	0.86021
207	YER007C-A	0.8601
208	YBL091C	0.86009
209	YML123C	0.85993
210	YCR009C	0.85993
211	YDR196C	0.85991
212	YLR005W	0.85991
213	YJL026W	0.85979
214	YDL097C	0.85926
215	YDL055C	0.85921
216	YDR155C	0.85894
217	YDR404C	0.85891
218	YER190W	0.85885
219	YOR327C	0.85856
220	YPL031C	0.8582
221	YNL244C	0.85814
222	YPL093W	0.8581
223	YER020W	0.85797
224	YKR080W	0.85795
225	YOL143C	0.85776
226	YDR353W	0.85762
227	YBR043C	0.8576
228	YNR032C-A	0.85747
229	YIL142W	0.85731
230	YLL067C	0.85729
231	YLR367W	0.85723
232	YJL190C	0.85699
233	YPL204W	0.85692
234	YKL216W	0.85686
235	YLR330W	0.85685
236	YJL012C	0.85684
237	YNL154C	0.85682
238	YNL132W	0.8566
239	YNR003C	0.85653
240	YMR079W	0.85652
241	YBL078C	0.85638
242	YER009W	0.85636
243	YGL115W	0.8563
244	YFL038C	0.85626
245	YOR202W	0.85616
246	YHR065C	0.85615
247	YKR039W	0.85606
248	YOR197W	0.85589
249	YAL064C-A	0.85587
250	YOR153W	0.85587
251	YHR200W	0.85586
252	YNL014W	0.85585
253	YPL259C	0.85584
254	YJL167W	0.85574
255	YKL148C	0.85565
256	YGR286C	0.85551
257	YDL102W	0.85545
258	YGL099W	0.8554
259	YDL168W	0.85528
260	YGR132C	0.85523
261	YFL055W	0.85522
262	YOR094W	0.85511
263	YDR232W	0.85502
264	YOR224C	0.85502
265	YNL113W	0.85491
266	YML057W	0.85484
267	YHR106W	0.85456
268	YLR289W	0.85456
269	YJL128C	0.85453
270	YDL160C	0.8544
271	YOR004W	0.85435
272	YBL111C	0.85428
273	YDL134C	0.85425
274	YER012W	0.8542
275	YMR034C	0.85395
276	YIL035C	0.85391
277	YMR246W	0.85387
278	YBR126C	0.85383
279	YDR406W	0.85382
280	YDL108W	0.85379
281	YLR249W	0.85374
282	YPL235W	0.85367
283	YBR187W	0.85349
284	YLR277C	0.85346
285	YGL167C	0.85325
286	YLR397C	0.85314
287	YER094C	0.85303
288	YKR038C	0.85302
289	YHR070W	0.85255
290	YLR055C	0.85248
291	YDR238C	0.85238
292	YOR326W	0.85236
293	YMR236W	0.85215
294	YJL045W	0.85194
295	YER125W	0.85189
296	YMR260C	0.85187
297	YMR241W	0.8516
298	YOL133W	0.85151
299	YLR200W	0.85129
300	YNL288W	0.85126
301	YPL175W	0.85104
302	YMR080C	0.85103
303	YPL106C	0.851
304	YJR153W	0.85079
305	YIL177C	0.85078
306	YBR222C	0.85046
307	YLR438W	0.85045
308	YDR510W	0.85044
309	YML064C	0.85021
310	YJL225C	0.85019
311	YNL277W	0.85016
312	YML001W	0.85015
313	YBR235W	0.8498
314	YNL010W	0.84962
315	YGL011C	0.84957
316	YOR089C	0.84955
317	YIL116W	0.84939
318	YOR157C	0.84933
319	YJR045C	0.84925
320	YIL121W	0.84905
321	YGR185C	0.84905
322	YGR211W	0.84894
323	YDL128W	0.84878
324	YPL043W	0.84876
325	YLR433C	0.84871
326	YDL201W	0.8487
327	YLL066C	0.84861
328	YPL245W	0.8485
329	YER060W-A	0.84846
330	YBR261C	0.84829
331	YAL030W	0.84826
332	YOR347C	0.84823
333	YGR267C	0.84805
334	YJL030W	0.84804
335	YNL064C	0.84797
336	YBR252W	0.84777
337	YHR170W	0.84768
338	YBR169C	0.84747
339	YDL164C	0.84738
340	YPR033C	0.8473
341	YPL199C	0.84726
342	YOL097C	0.84724
343	YOR187W	0.84721
344	YML133C	0.84713
345	YGR105W	0.84705
346	YLR193C	0.84703
347	YBR249C	0.84697
348	YCR010C	0.84696
349	YGL070C	0.84691
350	YNR026C	0.84656
351	YOR122C	0.84654
352	YJR077C	0.84623
353	YMR243C	0.84599
354	YNL268W	0.84593
355	YGL119W	0.84589
356	YPL050C	0.84571
357	YDR373W	0.84567
358	YLR208W	0.84566
359	YER119C	0.84563
360	YDL052C	0.84562
361	YPL234C	0.84559
362	YER165W	0.84558
363	YGL078C	0.84532
364	YLR028C	0.8453
365	YFL045C	0.84526
366	YDR001C	0.84522
367	YDR448W	0.84519
368	YER089C	0.84506
369	YLR167W	0.84491
370	YEL042W	0.84473
371	YLR130C	0.84453
372	YKL001C	0.84453
373	YIL009W	0.84446
374	YOR006C	0.84442
375	YFR014C	0.8444
376	YDL222C	0.8443
377	YDL188C	0.84426
378	YPL244C	0.84423
379	YLR134W	0.84419
380	YAL038W	0.84409
381	YBR298C	0.84401
382	YDR545W	0.84393
383	YOR396W	0.84393
384	YLR467W	0.84393
385	YER099C	0.84385
386	YOR317W	0.84383
387	YDR185C	0.84379
388	YER159C	0.84343
389	YNL125C	0.84342
390	YDL182W	0.8434
391	YJR047C	0.84339
392	YNL255C	0.84338
393	YLR058C	0.84337
394	YPR113W	0.84323
395	YER166W	0.84322
396	YLR186W	0.8432
397	YJL008C	0.84319
398	YPR051W	0.84318
399	YNL135C	0.84317
400	YIL078W	0.84315
401	YPL264C	0.84314
402	YCR008W	0.84304
403	YNL104C	0.84301
404	YLR375W	0.84292
405	YEL030W	0.84282
406	YOR092W	0.84281
407	YKL033W-A	0.84281
408	YDL100C	0.84276
409	YIL003W	0.84254
410	YLR258W	0.84249
411	YDR039C	0.84246
412	YLR303W	0.84239
413	YCL010C	0.84239
414	YDR040C	0.84238
415	YPL283W-A	0.84237
416	YNL339W-A	0.84237
417	YML133W-A	0.84237
418	YER190C-A	0.84237
419	YGR296C-A	0.84237
420	YGL201C	0.84236
421	YER056C	0.8423
422	YBR296C	0.84223
423	YFR053C	0.84199
424	YGL087C	0.84195
425	YEL063C	0.84189
426	YMR120C	0.84186
427	YOL086C	0.84173
428	YBR008C	0.84171
429	YOL151W	0.84168
430	YMR205C	0.84159
431	YFL005W	0.84158
432	YNL270C	0.84154
433	YBL024W	0.84145
434	YGR010W	0.84143
435	YBL041W	0.84138
436	YPL169C	0.84138
437	YMR303C	0.84134
438	YDL208W	0.84131
439	YDR011W	0.84125
440	YER036C	0.8412
441	YLR092W	0.84117
442	YNL202W	0.8411
