rank	yeast_gene	cosine
1	YPL094C	0.95876
2	YLR466W	0.95625
3	YEL077C	0.95565
4	YPR204W	0.95181
5	YCR009C	0.95009
6	YDL140C	0.94848
7	YPL221W	0.94839
8	YOR270C	0.94839
9	YER190W	0.9482
10	YOL129W	0.94703
11	YGR105W	0.94683
12	YLR186W	0.94643
13	YPL245W	0.94619
14	YBR106W	0.94549
15	YAR002C-A	0.94546
16	YAL009W	0.94381
17	YLR326W	0.94363
18	YKL013C	0.94348
19	YHR110W	0.94339
20	YPL235W	0.94282
21	YJL030W	0.94252
22	YBR170C	0.94247
23	YDL212W	0.94214
24	YBR154C	0.94156
25	YOR103C	0.94156
26	YLR168C	0.94153
27	YER145C	0.94134
28	YGL002W	0.94122
29	YHR200W	0.94108
30	YNL323W	0.94092
31	YMR034C	0.94082
32	YML012W	0.94062
33	YLL067C	0.94035
34	YGL139W	0.93989
35	YHR218W	0.93937
36	YLR467W	0.93932
37	YDR545W	0.93932
38	YOR396W	0.93932
39	YAL039C	0.93927
40	YDL222C	0.93902
41	YKR068C	0.93882
42	YGR267C	0.93857
43	YKR097W	0.93853
44	YKL190W	0.93839
45	YBR296C	0.93832
46	YHR218W-A	0.9381
47	YBL112C	0.9381
48	YIL177C	0.93809
49	YJL225C	0.93801
50	YLR268W	0.93778
51	YPR113W	0.93764
52	YNL288W	0.93763
53	YAL042W	0.93761
54	YER159C	0.93749
55	YBR080C	0.93714
56	YOR224C	0.93707
57	YLL066C	0.93698
58	YMR236W	0.93697
59	YDR375C	0.93692
60	YER074W-A	0.93691
61	YCR068W	0.93688
62	YNL339C	0.93681
63	YPL283C	0.93678
64	YGR296W	0.93677
65	YOL110W	0.93662
66	YNL044W	0.93661
67	YNR048W	0.93626
68	YDR397C	0.93622
69	YPL199C	0.9361
70	YML133C	0.93592
71	YKL039W	0.93572
72	YML124C	0.93547
73	YKL059C	0.93528
74	YDR167W	0.93526
75	YBL078C	0.93511
76	YNL095C	0.93499
77	YDR033W	0.93486
78	YLR258W	0.93451
79	YOL038W	0.9345
80	YGL120C	0.93442
81	YNR020C	0.93434
82	YOR151C	0.93431
83	YMR292W	0.93422
84	YIL143C	0.93421
85	YCL009C	0.93413
86	YMR054W	0.93412
87	YBL102W	0.93411
88	YGL208W	0.93393
89	YFR015C	0.93385
90	YPR088C	0.93366
91	YML085C	0.93347
92	YEL051W	0.93345
93	YBR054W	0.93329
94	YML102W	0.93319
95	YEL031W	0.93316
96	YLR005W	0.93313
97	YNL132W	0.93309
98	YMR123W	0.93309
99	YGR004W	0.93309
100	YGL087C	0.93309
101	YNR002C	0.93293
102	YKL002W	0.93279
103	YHR107C	0.9327
104	YPL129W	0.93269
105	YJL014W	0.93268
106	YGL054C	0.93247
107	YER171W	0.93217
108	YGL200C	0.93213
109	YER012W	0.93202
110	YDR185C	0.93191
111	YDR392W	0.93186
112	YOR039W	0.93186
113	YPR041W	0.93176
114	YCR047C	0.93169
115	YMR109W	0.93163
116	YPR103W	0.93161
117	YOR074C	0.93156
118	YOR161C	0.93155
119	YLR342W	0.93138
120	YOR092W	0.931
121	YLR447C	0.93074
122	YHL050C	0.93074
123	YBL029C-A	0.9307
124	YER125W	0.93068
125	YHR170W	0.93065
126	YGR032W	0.93062
127	YDR388W	0.93056
128	YNL113W	0.93043
129	YOR362C	0.93039
130	YOR006C	0.9303
131	YBL021C	0.9303
132	YBL057C	0.93023
133	YGL130W	0.93021
134	YMR071C	0.93018
135	YBR038W	0.93013
136	YNR003C	0.93003
137	YHL017W	0.92998
138	YBL111C	0.9299
139	YGR210C	0.9298
140	YCL010C	0.92966
141	YJL012C	0.92964
142	YPL050C	0.92957
143	YCR021C	0.92953
144	YPL093W	0.92946
145	YJL171C	0.92937
146	YLR324W	0.92933
147	YPL119C	0.92926
148	YBR235W	0.92921
149	YMR015C	0.92913
150	YGR231C	0.92912
151	YJR073C	0.92909
152	YNR046W	0.92909
153	YKL129C	0.92902
154	YHR181W	0.92902
155	YGL011C	0.92901
156	YOR204W	0.92871
157	YFL026W	0.92867
158	YOL122C	0.92862
159	YAL053W	0.9286
160	YOR155C	0.9286
161	YCR010C	0.9285
162	YLR170C	0.92846
163	YER166W	0.92839
164	YIL065C	0.92831
