rank	yeast_gene	cosine
1	YBR241C	0.94026
2	YPL264C	0.92944
3	YDL128W	0.92796
4	YHR094C	0.92753
5	YIL170W	0.92719
6	YFL011W	0.92588
7	YMR011W	0.92541
8	YER119C	0.92541
9	YER039C	0.92437
10	YDL006W	0.92413
11	YPR183W	0.92406
12	YFL055W	0.92403
13	YDL137W	0.92386
14	YDR345C	0.92364
15	YJL214W	0.92344
16	YML018C	0.92332
17	YBR164C	0.92303
18	YLR081W	0.92296
19	YJL108C	0.92269
20	YHR092C	0.92124
21	YMR034C	0.9209
22	YOL156W	0.92086
23	YJL219W	0.92061
24	YNR072W	0.9199
25	YPL203W	0.91986
26	YER133W	0.9195
27	YHR096C	0.91915
28	YDR536W	0.91829
29	YEL069C	0.91829
30	YFL038C	0.91822
31	YDL245C	0.91774
32	YOR378W	0.91751
33	YDR342C	0.91737
34	YJL164C	0.91731
35	YJR158W	0.91704
36	YBR008C	0.91696
37	YDL047W	0.91682
38	YDR343C	0.91665
39	YOR257W	0.91663
40	YIL121W	0.91663
41	YNL270C	0.91612
42	YLL028W	0.91611
43	YDL134C	0.91588
44	YDL192W	0.91489
45	YCL025C	0.91464
46	YDR040C	0.91436
47	YGL225W	0.91427
48	YEL063C	0.91415
49	YDR196C	0.914
50	YNL268W	0.91382
51	YPL031C	0.9132
52	YHL047C	0.91308
53	YNR055C	0.91275
54	YDR039C	0.91256
55	YNL090W	0.91241
56	YHL040C	0.91228
57	YDR038C	0.91169
58	YJL167W	0.91167
59	YGR191W	0.91146
60	YKR039W	0.91138
61	YKL166C	0.91129
62	YPR165W	0.91111
63	YBR187W	0.91106
64	YOL075C	0.91083
65	YLR229C	0.91074
66	YDR075W	0.91044
67	YOR094W	0.91037
68	YPL218W	0.91032
69	YGL167C	0.90976
70	YGR138C	0.90947
71	YDR497C	0.909
72	YKR059W	0.90895
73	YEL064C	0.90891
74	YKL024C	0.90851
75	YGR055W	0.90829
76	YPL246C	0.90828
77	YDR046C	0.90785
78	YIL120W	0.90763
79	YJR124C	0.90732
80	YMR279C	0.90719
81	YDR135C	0.90717
82	YOR348C	0.90706
83	YMR015C	0.90698
84	YBR160W	0.90674
85	YER026C	0.90654
86	YHR032W	0.90654
87	YOL103W	0.9063
88	YDL188C	0.90606
89	YLR034C	0.90603
90	YKR105C	0.90586
91	YLR113W	0.90567
92	YER125W	0.90555
93	YFL039C	0.90527
94	YPL234C	0.9049
95	YCR098C	0.90488
96	YKL190W	0.90464
97	YDL108W	0.90455
98	YGR281W	0.90415
99	YPR138C	0.90409
100	YBR082C	0.90392
101	YDR373W	0.90387
102	YDR508C	0.90381
103	YDR021W	0.90359
104	YGL256W	0.90348
105	YHR128W	0.90325
106	YOR089C	0.90296
107	YGR224W	0.90287
108	YER060W	0.90228
109	YBL016W	0.90212
110	YER060W-A	0.90207
111	YOR273C	0.90196
112	YAL026C	0.90161
113	YMR079W	0.90154
114	YMR109W	0.9012
115	YPL274W	0.9011
116	YPR113W	0.90107
117	YNL189W	0.90101
118	YKL146W	0.90096
119	YNL290W	0.90074
120	YER020W	0.90063
121	YGL255W	0.90057
122	YER056C	0.90035
123	YBR243C	0.90032
124	YPR192W	0.90032
125	YER185W	0.90023
126	YGR040W	0.90008
127	YNL093W	0.90003
128	YLL061W	0.89999
129	YER009W	0.89982
130	YNR070W	0.8997
131	YBR068C	0.89969
132	YEL065W	0.89935
133	YHR030C	0.89895
134	YML123C	0.89883
135	YOR317W	0.89881
136	YPR156C	0.8987
137	YOL158C	0.89826
138	YML116W	0.89816
139	YDR011W	0.89814
140	YHL016C	0.89802
141	YPL244C	0.89793
142	YOL162W	0.89791
143	YDR406W	0.89788
144	YLR466W	0.89783
145	YPL058C	0.8978
146	YGR060W	0.89762
147	YDL210W	0.89751
148	YOR197W	0.8973
149	YBR043C	0.897
150	YGR152C	0.89685
151	YGL210W	0.89676
152	YOL122C	0.89665
153	YLR130C	0.89649
154	YFL005W	0.89645
155	YDR456W	0.89641
156	YGL001C	0.8964
157	YER031C	0.89631
158	YIL088C	0.89618
159	YBR287W	0.89615
160	YPL051W	0.89609
161	YCL069W	0.89606
162	YDR059C	0.89598
163	YLR347C	0.89588
164	YMR246W	0.89585
165	YCR028C	0.89583
166	YHR007C	0.8957
167	YER090W	0.89563
168	YPL265W	0.89534
169	YDL100C	0.89529
170	YER019W	0.89521
171	YOR153W	0.895
172	YHR048W	0.89497
173	YNL010W	0.89488
174	YDR519W	0.89478
175	YKR093W	0.89472
176	YOR380W	0.89454
177	YDR090C	0.89428
178	YCL073C	0.89424
179	YIL118W	0.89421
180	YGR123C	0.89411
181	YGR121C	0.89407
182	YOL163W	0.89402
183	YKR106W	0.89387
184	YOR161C	0.89383
185	YOL094C	0.89369
186	YHR050W	0.89324
187	YNL112W	0.89322
188	YHL003C	0.89314
189	YGR260W	0.89309
190	YML001W	0.89308
191	YNL142W	0.89306
192	YJR152W	0.893
193	YPR051W	0.89299
194	YDR092W	0.89299
195	YEL077C	0.89287
196	YGR213C	0.89283
197	YLR397C	0.89265
198	YHR026W	0.8926
199	YNR002C	0.89256
200	YKR053C	0.89206
201	YMR243C	0.89199
202	YMR292W	0.89185
203	YNL275W	0.89183
204	YGR282C	0.8918
205	YOL002C	0.8918
206	YPL036W	0.89156
207	YMR221C	0.89156
208	YGL087C	0.89136
209	YER089C	0.8912
210	YBR126C	0.89116
211	YEL031W	0.89114
212	YDL125C	0.89096
213	YJR001W	0.89086
214	YGR208W	0.89085
215	YOR328W	0.89083
216	YKL218C	0.89062
217	YDR404C	0.89056
218	YDR438W	0.89051
219	YER081W	0.89029
220	YGL008C	0.89026
221	YOR131C	0.8902
222	YIL116W	0.89019
223	YDR375C	0.89011
224	YKL033W-A	0.89009
225	YGL077C	0.89006
226	YIR028W	0.88991
227	YNR032W	0.88984
228	YPR145W	0.88971
229	YBR296C	0.88964
230	YGL012W	0.88957
231	YDL164C	0.88941
232	YGR124W	0.88932
233	YMR290C	0.8892
234	YOR204W	0.88915
235	YJL001W	0.88905
236	YIL048W	0.88904
237	YHR218W-A	0.88903
238	YBL112C	0.88903
239	YER072W	0.88901
240	YER190W	0.88894
241	YJL196C	0.88889
242	YPR204W	0.88884
243	YPR182W	0.88843
244	YLR234W	0.88841
245	YNL098C	0.88825
246	YJL134W	0.88816
247	YFL026W	0.88815
248	YIL009W	0.88811
249	YOL038W	0.88808
250	YDL166C	0.88806
251	YMR138W	0.88804
252	Q0130	0.88803
253	YBR298C	0.88802
254	YLL060C	0.888
255	YJR015W	0.88799
256	YNL130C	0.88797
257	YEL046C	0.88793
258	YLL063C	0.88782
259	YGL047W	0.88768
260	YKL129C	0.88767
261	YAL023C	0.88763
262	YOR381W	0.88762
263	YPL119C	0.88762
264	YDR270W	0.88762
265	YCR009C	0.88761
266	YLR092W	0.88757
267	YLR237W	0.88754
268	YDL052C	0.88746
269	YDR328C	0.88737
270	YKL046C	0.88729
271	YOL092W	0.88727
272	YKL104C	0.88725
273	YHR106W	0.88718
274	YHR132C	0.8871
275	YKR002W	0.88706
276	YGR105W	0.88701
277	YBL089W	0.887
278	YPL154C	0.88699
279	YER171W	0.88694
280	YOR192C	0.88694
281	YGR218W	0.88685
282	YBR080C	0.88673
283	YMR058W	0.8867
284	YLR438C-A	0.88657
285	YHL036W	0.88653
286	YDR341C	0.88648
287	YMR071C	0.88613
288	YBR294W	0.88597
289	YML012W	0.88594
290	YBR034C	0.88592
291	YER052C	0.88571
292	YLR004C	0.88557
293	YOL132W	0.88553
294	YLL055W	0.88546
295	YCR010C	0.88542
296	YHR110W	0.88534
297	YJR068W	0.88528
298	YDR384C	0.88509
299	YML022W	0.88506
300	YDL001W	0.88506
301	YGL186C	0.88506
302	YOR071C	0.88496
303	YJR095W	0.8849
304	YNL288W	0.88489
305	YHR123W	0.88482
306	YNL095C	0.88481
307	YLR193C	0.8848
308	YBR069C	0.88476
309	YOL021C	0.88468
310	YGR252W	0.88468
311	YOR306C	0.88465
312	YOR388C	0.88455
313	YJR065C	0.88455
314	YDL160C	0.88437
315	YHR175W	0.88435
316	YNL274C	0.88422
317	YHR057C	0.88421
318	YPL061W	0.88413
319	YHR005C	0.88412
320	YBR109C	0.88411
321	YOL119C	0.88403
322	YLL053C	0.88395
323	YER145C	0.8839
324	YBR132C	0.88382
325	YOL020W	0.88366
326	YER099C	0.88358
327	YJR073C	0.88347
328	YOR126C	0.88339
329	YLR170C	0.88339
330	YDR402C	0.88338
331	YOR326W	0.88337
332	YPL175W	0.88335
333	YGL120C	0.88318
334	YMR056C	0.88288
335	YNL044W	0.8827
336	YGL006W	0.88269
337	YDR155C	0.8826
338	YMR080C	0.88258
339	YDL097C	0.88258
340	YPL259C	0.88252
341	YOL137W	0.88248
342	YOR157C	0.88245
343	YBL042C	0.88239
344	YOR092W	0.88221
345	YER094C	0.8822
346	YIR036C	0.88216
347	YJR058C	0.8821
348	YMR301C	0.88202
349	YNL125C	0.88199
350	YPR194C	0.88196
351	YDL126C	0.88195
352	YLR251W	0.88188
353	YMR238W	0.88183
354	YOR061W	0.88183
355	YGR197C	0.88177
356	YOL030W	0.88173
357	YCL074W	0.8817
358	YBR235W	0.88164
359	YBR019C	0.88161
360	YHR018C	0.88156
361	YGR065C	0.88149
362	YBR021W	0.88149
363	YPR069C	0.88143
364	YGL200C	0.8813
365	YOR046C	0.88115
366	YHR135C	0.88113
367	YER166W	0.88109
368	YDR099W	0.88102
369	YJL213W	0.88089
370	YNL065W	0.88089
371	YGR248W	0.88088
372	YNR060W	0.88073
373	YPR173C	0.88063
374	YMR253C	0.88062
375	YJR160C	0.88039
376	YGL253W	0.88039
377	YLL067C	0.8802
