rank	yeast_gene	cosine
1	YOR366W	0.95898
2	YIR044C	0.9582
3	YCL046W	0.95754
4	YBL012C	0.95619
5	YGR269W	0.95498
6	YLR106C	0.95444
7	YBL006C	0.95145
8	R0020C	0.95089
9	YIR020C	0.95067
10	YGL014C-A	0.95037
11	YBR298C-A	0.95036
12	YAR060C	0.95029
13	YHR212C	0.95029
14	YKL102C	0.9502
15	YAL045C	0.95019
16	YGL118C	0.94988
17	YCL007C	0.94932
18	YMR135W-A	0.9491
19	YHR070C-A	0.94905
20	YKR101W	0.94886
21	YOL038C-A	0.94868
22	YMR184W	0.94809
23	YLR361C-A	0.94777
24	YJL222W-A	0.94715
25	YIL174W	0.94715
26	YGR206W	0.94684
27	YDL163W	0.94666
28	YDR491C	0.94651
29	YIL012W	0.94637
30	YAL034C-B	0.94626
31	YER085C	0.94625
32	YFL021C-A	0.9461
33	YDR344C	0.94579
34	YKL036C	0.94561
35	YGL052W	0.94551
36	YLR140W	0.94551
37	YDR442W	0.9454
38	YDR118W-A	0.94536
39	YDR525W	0.94532
40	YLR125W	0.94487
41	YCR085W	0.94487
42	YHR213W-A	0.94477
43	YKL058W	0.94474
44	YGL121C	0.94471
45	YBL044W	0.94456
46	YBL083C	0.94436
47	YIL156W-A	0.94418
48	YHL045W	0.94403
49	YJL067W	0.94403
50	YDR509W	0.94358
51	YER115C	0.94328
52	YLR123C	0.94311
53	YML031C-A	0.94301
54	YDR521W	0.94293
55	YHR139C-A	0.94266
56	YHR071C-A	0.94249
57	YLR154W-B	0.94236
58	YPL080C	0.9423
59	YER172C-A	0.94227
60	YCR025C	0.94224
61	YGR137W	0.94214
62	YBR296C-A	0.94179
63	YMR105W-A	0.94174
64	YBR103C-A	0.94156
65	YJL152W	0.9415
66	YGR291C	0.94144
67	YNR035C	0.94141
68	YNL146C-A	0.94136
69	YKR033C	0.9412
70	YPR130C	0.94097
71	YCL054W-A	0.94093
72	YLR296W	0.94087
73	YPL108W	0.94083
74	YOR225W	0.94078
75	YHR073W-A	0.9407
76	YAR070C	0.94067
77	YDR252W	0.94067
78	YDR327W	0.94047
79	YPL062W	0.94046
80	YIR043C	0.94046
81	YML058W-A	0.94031
82	R0040C	0.93999
83	YAR064W	0.93991
84	YKL076C	0.93977
85	YJR107C-A	0.93975
86	YDR220C	0.93974
87	YCR081C-A	0.93973
88	YHR214C-E	0.93947
89	YAR019W-A	0.93935
