rank	yeast_gene	cosine
1	YOR378W	0.95651
2	YER039C	0.93984
3	YGL225W	0.93884
4	YLR229C	0.93699
5	YIL170W	0.93051
6	YHL016C	0.92934
7	YFL011W	0.92849
8	YMR011W	0.92846
9	YHR128W	0.9277
10	YHR094C	0.92672
11	YJL108C	0.92648
12	YDR342C	0.92568
13	YJL214W	0.92558
14	YOR061W	0.92555
15	YHL040C	0.92535
16	YDR343C	0.92519
17	YHR092C	0.92465
18	YDR345C	0.92436
19	YEL065W	0.92394
20	YER081W	0.92393
21	YLR081W	0.92388
22	YNR072W	0.92384
23	YPR165W	0.92374
24	YKR059W	0.92361
25	YEL069C	0.92323
26	YHR096C	0.92301
27	YHL047C	0.92285
28	YDL245C	0.92279
29	YJL219W	0.92276
30	YOL156W	0.92258
31	YBL016W	0.92213
32	YJR158W	0.92186
33	YFL055W	0.92156
34	YML018C	0.9214
35	YDR536W	0.92074
36	YKL218C	0.92022
37	YBL026W	0.92017
38	YPR138C	0.92012
39	YDL006W	0.91968
40	YOL162W	0.91906
41	YGL255W	0.91856
42	YFL026W	0.91854
43	YIL074C	0.9183
44	YCR098C	0.91802
45	YOR257W	0.91698
46	YKR039W	0.91647
47	YFL039C	0.91645
48	YLR113W	0.91609
49	YNL006W	0.91586
50	YDR021W	0.91573
51	YOL094C	0.91489
52	YHR007C	0.91484
53	YEL063C	0.91446
54	YNL270C	0.91444
55	YBR164C	0.91407
56	YMR015C	0.91386
57	YFL066C	0.91376
58	YNL090W	0.91345
59	YER060W-A	0.9129
60	YJL213W	0.91282
61	YER056C	0.9124
62	YDL137W	0.91227
63	YJR065C	0.91215
64	YEL027W	0.9121
65	YEL013W	0.91193
66	YER060W	0.91178
67	YMR279C	0.9116
68	YDR091C	0.91158
69	YGR121C	0.91145
70	YGL077C	0.91103
71	YOR153W	0.91097
72	YER094C	0.91065
73	YBR160W	0.91061
74	YKL146W	0.91056
75	YGR040W	0.90978
76	YNL268W	0.90968
77	YNL290W	0.90965
78	YMR034C	0.90917
79	YPR183W	0.90894
80	YPR016C	0.90894
81	YBR241C	0.90877
82	YDR406W	0.90816
83	YML123C	0.90792
84	YPL266W	0.90775
85	YER119C	0.90766
86	YLL063C	0.90754
87	YFL017W-A	0.90752
88	YDR341C	0.90745
89	YGR252W	0.90739
90	YDL192W	0.90738
91	YER072W	0.9069
92	YDL210W	0.9067
93	YJL167W	0.90609
94	YCL017C	0.9057
95	YNL142W	0.90478
96	YDL047W	0.9047
97	YPL036W	0.9046
98	YBR298C	0.90421
99	YGR191W	0.90419
100	YGL008C	0.90367
101	YDL168W	0.90339
102	YPL264C	0.90312
103	YER171W	0.903
104	YPL086C	0.90283
105	YGL256W	0.90277
106	YER009W	0.90273
107	YDR011W	0.90238
108	YER133W	0.90211
109	YMR109W	0.90186
110	YML116W	0.90163
111	YNL191W	0.9016
112	YGL001C	0.9015
113	YOR094W	0.90143
114	YKL033W-A	0.90139
115	YER052C	0.90112
116	YAL064C-A	0.90103
117	YDR075W	0.90088
118	YLR359W	0.90058
119	YKL190W	0.90046
120	YBR132C	0.90029
121	YLR034C	0.90027
122	YIL116W	0.90008
123	YEL064C	0.8998
124	YKL024C	0.89977
125	YBR082C	0.89977
126	YPL203W	0.89921
127	YOR328W	0.89912
128	YJL164C	0.89896
129	YHR106W	0.89887
130	YOL158C	0.89887
131	YIL121W	0.89879
132	YJR160C	0.89868
133	YBR085W	0.89865
134	YER069W	0.89845
135	YPR182W	0.89841
136	YMR246W	0.8984
137	YOR348C	0.89804
138	YNR070W	0.89798
139	YBR222C	0.89788
140	YGR055W	0.89772
141	YLR438W	0.89767
142	YCL025C	0.89766
143	YNL189W	0.89745
144	YKR080W	0.89739
145	YMR243C	0.89724
146	YKL129C	0.89715
147	YLR092W	0.89698
148	YGL115W	0.89693
149	YEL031W	0.89686
150	YNL202W	0.89683
151	YMR221C	0.89679
152	YPL175W	0.89666
153	YPL246C	0.89659
154	YCL073C	0.8964
155	YNL010W	0.89629
156	YER012W	0.89619
157	YKR106W	0.89584
158	YMR108W	0.8957
159	YJR095W	0.8956
160	YJR148W	0.89559
161	YDR046C	0.89556
162	YDR059C	0.89546
