rank	yeast_gene	cosine
1	YIL120W	0.98219
2	YOL103W	0.98158
3	YEL064C	0.98153
4	YIL121W	0.98121
5	YDR135C	0.97943
6	YDR497C	0.97938
7	YKR105C	0.97861
8	YBR043C	0.97861
9	YER119C	0.97837
10	YHR032W	0.97797
11	YGR224W	0.97792
12	YJR001W	0.97728
13	YGR138C	0.97718
14	YOR273C	0.97677
15	YML018C	0.97609
16	YIL088C	0.97597
17	YPR156C	0.97595
18	YOL075C	0.9751
19	YCL069W	0.97471
20	YNR055C	0.97461
21	YNL065W	0.97426
22	YER026C	0.97415
23	YPL264C	0.97406
24	YLL028W	0.97367
25	YOL137W	0.97351
26	YDR038C	0.97286
27	YJR124C	0.9728
28	YCR023C	0.97235
29	YKL166C	0.97216
30	YDR039C	0.97183
31	YOL122C	0.97179
32	YBR180W	0.97166
33	YBL089W	0.97165
34	YDL138W	0.97148
35	YGL006W	0.9713
36	YDR040C	0.97095
37	YDR508C	0.97087
38	YKR053C	0.97079
39	YKR106W	0.97076
40	YDR438W	0.97072
41	YBR241C	0.97071
42	YCL073C	0.97069
43	YBR069C	0.97068
44	YPR003C	0.97065
45	YHR050W	0.97005
46	YNL125C	0.96985
47	YML116W	0.96953
48	YOR306C	0.96951
49	YOL092W	0.96947
50	YMR138W	0.96934
51	YGR260W	0.96927
52	YDR456W	0.9692
53	YLR034C	0.96918
54	YLR241W	0.96916
55	YDR536W	0.96892
56	YDL194W	0.96856
57	YBR235W	0.96832
58	YBR068C	0.9683
59	YCR011C	0.96819
60	YPL265W	0.96815
61	YBR220C	0.96805
62	YOL002C	0.96765
63	YGR055W	0.96755
64	YGR191W	0.96744
65	YOR101W	0.96739
66	YCR028C	0.96735
67	YJL134W	0.96734
68	YML038C	0.96733
69	YPL031C	0.96709
70	YPL274W	0.96708
71	YLL061W	0.96701
72	YAL022C	0.96692
73	YMR279C	0.96686
74	YMR221C	0.96684
75	YNL095C	0.96679
76	YHL036W	0.9667
77	YDL128W	0.96662
78	YOL020W	0.96631
79	YBR287W	0.96613
80	YAL067C	0.96582
81	YNL270C	0.9658
82	YJR040W	0.96579
83	YKR093W	0.96572
84	YAL026C	0.9657
85	YDR270W	0.96569
86	YHL003C	0.96569
