rank	yeast_gene	cosine
1	YBR241C	0.93181
2	YDL137W	0.93015
3	YBR164C	0.92742
4	YDL192W	0.92725
5	YDR345C	0.92542
6	YHR094C	0.92379
7	YJL108C	0.92354
8	YHR092C	0.92285
9	YMR011W	0.92139
10	YLR229C	0.92094
11	YKR059W	0.92063
12	YJL214W	0.9204
13	YIL170W	0.91976
14	YLR081W	0.91932
15	YDR342C	0.91927
16	YDR343C	0.91924
17	YFL039C	0.91902
18	YFL011W	0.91846
19	YPL203W	0.91836
20	YOR378W	0.91833
21	YPL218W	0.91832
22	YPR165W	0.91789
23	YHR096C	0.91745
24	YPR183W	0.91728
25	YDL047W	0.91701
26	YDL006W	0.91631
27	YOL156W	0.91571
28	YGL225W	0.91546
29	YDL245C	0.91538
30	YER039C	0.91536
31	YJR158W	0.91483
32	YJL164C	0.9148
33	YNR072W	0.91443
34	YJL219W	0.91434
35	YEL069C	0.91345
36	YGL256W	0.9129
37	YOR094W	0.91269
38	YFL055W	0.91259
39	YMR034C	0.91215
40	YHL047C	0.91164
41	YKL024C	0.91101
42	YFL038C	0.91086
43	YML018C	0.91076
44	YNL090W	0.91052
45	YOR257W	0.91038
46	YKR039W	0.91024
47	YKL190W	0.9098
48	YER133W	0.90863
49	YER009W	0.90847
50	YDL134C	0.90782
51	YNL189W	0.90778
52	YDR536W	0.90738
53	YJL167W	0.90693
54	YHL040C	0.90682
55	YGL255W	0.90679
56	YDR075W	0.9066
57	YNL268W	0.90636
58	YBR160W	0.90615
59	YLR113W	0.90594
60	YDR373W	0.90571
61	YDL128W	0.90548
62	YEL063C	0.90499
63	YER119C	0.90395
64	YPL036W	0.90363
65	YPL264C	0.90358
66	YER060W-A	0.9035
67	YNL270C	0.90341
68	YMR079W	0.90323
69	YDR021W	0.90322
70	YGL008C	0.90266
71	YBR187W	0.90219
72	YER072W	0.90205
73	YBL016W	0.90159
74	YDR040C	0.90157
75	YPR192W	0.90107
76	YPL031C	0.90074
77	YPL234C	0.90069
78	YER060W	0.90021
79	YMR015C	0.90013
80	YOR089C	0.90003
81	YMR109W	0.89991
82	YDR039C	0.89961
83	YDL108W	0.89938
84	YNL290W	0.89931
85	YHR128W	0.89905
86	YER056C	0.8989
87	YCL025C	0.89886
88	YLL028W	0.89861
89	YCR098C	0.89844
90	YDR038C	0.89787
91	YDR196C	0.89784
92	YBR082C	0.89774
93	YER031C	0.89765
94	YPL058C	0.89752
95	YHL016C	0.89742
96	YPR138C	0.89733
97	YGR191W	0.89731
98	YMR246W	0.89716
99	YPR182W	0.89709
100	YGL167C	0.89689
101	YOR348C	0.89664
102	YKL166C	0.89661
103	YGL210W	0.89638
104	YIL121W	0.89618
105	YDR155C	0.89574
106	YMR279C	0.89563
107	YNL112W	0.89558
108	YPR113W	0.89555
109	YGR123C	0.8954
110	YKL218C	0.89534
111	YER020W	0.89488
112	YOL094C	0.89481
113	YBR109C	0.89468
114	YDR046C	0.89438
115	YMR290C	0.89428
116	YJR065C	0.89423
117	YDL126C	0.89404
118	YOR153W	0.89399
119	YHR030C	0.89395
120	YER125W	0.89371
121	YLR347C	0.89359
122	YGR055W	0.89357
123	YGL001C	0.89341
124	YDL188C	0.89323
125	YGR040W	0.89292
126	YDR406W	0.89289
127	YML123C	0.89279
128	YDR059C	0.89257
129	YNL142W	0.89256
130	YPL051W	0.89243
131	YAL026C	0.89227
132	YGR282C	0.89198
133	YML001W	0.8919
134	YCR010C	0.89185
135	YGR281W	0.89178
136	YNR055C	0.89175
137	YBR008C	0.89164
138	YOL158C	0.8915
139	YGR138C	0.89147
140	YOL075C	0.89105
141	YDL166C	0.891
142	YPL266W	0.89078
143	YEL027W	0.89059
144	YDR497C	0.89031
145	YOR204W	0.89027
146	YPL246C	0.89025
147	YLR034C	0.89023
148	YLR234W	0.89022
149	YOR046C	0.88998
150	YGR121C	0.88955
151	YBL112C	0.8895
152	YHR218W-A	0.8895
153	YLR130C	0.88932
154	YNR002C	0.88931
155	YOR317W	0.88922
156	YDR011W	0.88922
157	YGR252W	0.88921
158	YFL005W	0.88919
159	YBL075C	0.88908
160	YEL064C	0.88896
161	YLL050C	0.88891
162	YML012W	0.88876
163	YJR124C	0.88876
164	YKL146W	0.88867
165	YHR007C	0.88863
166	YGR218W	0.88854
167	YOR161C	0.88826
168	YNL010W	0.8882
169	YER177W	0.88801
170	YJL001W	0.88797
171	YMR292W	0.88779
172	YDR519W	0.88778
173	YGR105W	0.8877
174	YKL129C	0.88763
175	YOR197W	0.88757
176	YPL061W	0.88752
177	YER026C	0.88734
178	YLR438C-A	0.88723
179	YHR106W	0.88722
180	YGR060W	0.88715
