rank	yeast_gene	cosine
1	YHR169W	0.93733
2	YGR214W	0.93592
3	YLR048W	0.93487
4	YJR047C	0.93228
5	YLR293C	0.92912
6	YDL084W	0.9291
7	YDL014W	0.92875
8	YHR143W-A	0.92636
9	YLR061W	0.92585
10	YMR186W	0.92545
11	YNL148C	0.92541
12	YNL064C	0.92512
13	YER095W	0.92477
14	YEL034W	0.92454
15	YDR381W	0.92441
16	YPR080W	0.92247
17	YPL240C	0.92237
18	YDR418W	0.92134
19	YEL054C	0.92134
20	YOR185C	0.92077
21	YLR147C	0.9191
22	YHR021C	0.91895
23	YHR193C	0.91864
24	YOR224C	0.91829
25	YOR020C	0.91809
26	YBL003C	0.91808
27	YBR089C-A	0.91792
28	YDR225W	0.91768
29	YNL185C	0.91742
30	YDL126C	0.91628
31	YHL033C	0.91549
32	YFL034C-A	0.91482
33	YMR116C	0.9148
34	YPR163C	0.91429
35	YDL229W	0.91401
36	YGL058W	0.91378
37	YPL127C	0.91348
38	YLR249W	0.91336
39	YNL255C	0.91298
40	YJR014W	0.91268
41	YMR260C	0.91262
42	YAL064W-B	0.91261
43	YLL045C	0.91106
44	YNL209W	0.91048
45	YGL211W	0.91029
46	YDR429C	0.9101
47	YLR043C	0.90993
48	YOR096W	0.90983
49	YML102W	0.90979
50	YKL156W	0.90977
51	YDR224C	0.9096
52	YDR510W	0.9093
53	YBL002W	0.9085
54	YPL218W	0.90822
55	YLR340W	0.90759
56	YLR234W	0.90751
57	YNL067W	0.90744
58	YBR010W	0.90735
59	YER036C	0.90725
60	YDR086C	0.90714
61	YEL037C	0.90707
62	YDR172W	0.90707
63	YDR002W	0.90705
64	YGR207C	0.90699
65	YGL147C	0.90675
66	YKL160W	0.90652
67	YLR074C	0.90618
68	YPR041W	0.90611
69	YNL014W	0.90495
70	YLL008W	0.90487
71	YOR133W	0.9046
72	YPL037C	0.90425
73	YKL086W	0.90407
74	YPL237W	0.90397
75	YBR252W	0.90396
76	YLR448W	0.90377
77	YPL131W	0.90355
78	YGL070C	0.9035
79	YOL005C	0.90338
80	YOR204W	0.90329
81	YMR230W	0.90312
82	YGL078C	0.90296
83	YBR261C	0.90239
84	YGL123W	0.90234
85	YPR204W	0.90223
86	YOR259C	0.90196
87	YOL039W	0.90184
88	YOR369C	0.90176
89	YOL121C	0.9014
90	YGR211W	0.90138
91	YPL043W	0.90122
92	YPL081W	0.90098
93	YOR293W	0.90089
94	YJL034W	0.90087
95	YPL106C	0.90082
96	YAL003W	0.90068
97	YER074W	0.90008
98	YIL069C	0.90008
99	YPL067C	0.89995
100	YJL191W	0.89978
101	YNL302C	0.89972
102	YLL026W	0.89963
103	YHR203C	0.89932
104	YJR145C	0.89932
105	YGL008C	0.89926
106	YLR258W	0.89924
107	YPL129W	0.89917
108	YPR182W	0.89866
