rank	yeast_gene	cosine
1	YPL218W	0.88715
2	YLR147C	0.87709
3	YGR105W	0.86752
4	YGL008C	0.86727
5	YLR234W	0.86601
6	YGL256W	0.86597
7	YHR169W	0.86429
8	YER072W	0.86382
9	YDR155C	0.86298
10	YBR261C	0.85906
11	YDL229W	0.85798
12	YJL108C	0.85727
13	YPL036W	0.85704
14	YPL203W	0.85691
15	YOR122C	0.85638
16	YDL192W	0.85565
17	YNL209W	0.85525
18	YDL084W	0.85481
19	YGL058W	0.85315
20	YLR229C	0.85175
21	YLL053C	0.85118
22	YPR182W	0.85085
23	YDL126C	0.85043
24	YKR059W	0.84909
25	YBR109C	0.84624
26	YHR189W	0.84461
27	YPR165W	0.84441
28	YLL024C	0.84419
29	YDL137W	0.84375
30	YEL026W	0.84347
31	YBR252W	0.84304
32	YLR293C	0.84264
33	YKL190W	0.84262
34	YOR224C	0.84219
35	YNL135C	0.84169
36	YDR226W	0.84141
37	YBR164C	0.841
38	YNL189W	0.84097
39	YER103W	0.84083
40	YBR241C	0.84043
41	YER095W	0.84036
42	YPR192W	0.84007
43	YBR089C-A	0.83968
44	YMR222C	0.83964
45	YNR073C	0.83964
46	YEL070W	0.83964
47	YGL054C	0.83958
48	YAL005C	0.83928
49	YJL014W	0.83821
50	YAL020C	0.8381
51	YDR424C	0.83751
52	YFL039C	0.83664
53	YJL164C	0.83662
54	YMR290C	0.8365
55	YOR185C	0.83649
56	YGR231C	0.83571
57	YBL075C	0.83553
58	YPR183W	0.83547
59	YNL112W	0.83503
60	YBL112C	0.83481
61	YHR218W-A	0.83481
62	YAL064W-B	0.83475
63	YMR109W	0.83431
64	YLL060C	0.83428
65	YNL244C	0.83388
66	YGR214W	0.8336
67	YER074W-A	0.83358
68	YOR046C	0.83322
69	YCR012W	0.83268
70	YAR002C-A	0.83239
71	YOR089C	0.83227
72	YJL034W	0.83136
73	YLL026W	0.83086
74	YDL055C	0.83081
75	YOR204W	0.83014
76	YER148W	0.83009
77	YPL266W	0.82992
78	YDR345C	0.82968
79	YPL234C	0.82938
80	YJR047C	0.82909
81	YLR043C	0.82903
82	YOL143C	0.82879
83	YEL034W	0.82862
84	YPL106C	0.82856
85	YHR018C	0.82856
86	YPR113W	0.82837
87	YGR218W	0.82831
88	YBR160W	0.82831
89	YHR200W	0.82776
90	YPR052C	0.82774
91	YER036C	0.82768
92	YPL017C	0.82732
93	YEL027W	0.8273
94	YHR070W	0.82723
95	YDR086C	0.82662
96	YHL047C	0.82657
97	YML102W	0.8265
98	YPR080W	0.82609
99	YKL196C	0.82607
100	YLR338W	0.82605
101	YLR113W	0.82599
102	YER177W	0.82597
103	YKL024C	0.82584
104	YHR092C	0.82531
105	YLR048W	0.8251
106	YMR260C	0.82491
107	YEL051W	0.82479
108	YGR123C	0.82478
109	YML012W	0.82431
110	YPR204W	0.82418
111	YDL166C	0.8241
112	YLL050C	0.82409
113	YBR082C	0.82404
114	YDL047W	0.82356
115	YGL126W	0.82346
116	YDR510W	0.8231
117	YDR343C	0.82297
118	YER107C	0.82276
119	YDR373W	0.82253
120	YJL026W	0.82238
121	YPL067C	0.82232
122	Q0130	0.82197
123	YLR438C-A	0.82176
124	YBL071W-A	0.82156
125	YDR342C	0.82132
126	YDR185C	0.8213
127	YMR079W	0.82116
128	YBR106W	0.82083
129	YBL102W	0.8201
130	YGR234W	0.8199
131	YNR053C	0.81988
132	YGR207C	0.81969
133	YDL014W	0.81947
134	YMR292W	0.81944
135	YGL120C	0.81896
136	YPL283W-A	0.81888
137	YML133W-A	0.81888
138	YER190C-A	0.81888
139	YGR296C-A	0.81888
140	YNL339W-A	0.81888
141	YFL058W	0.81877
142	YEL066W	0.81864
143	YOR257W	0.81853
144	YHR030C	0.81849
145	YER060W-A	0.81839
146	YCR010C	0.81827
147	YER009W	0.81791
148	YJL167W	0.81776
149	YMR230W	0.81773
150	YNL290W	0.81761
151	YDL244W	0.81753
152	YNL332W	0.81733
153	YDR002W	0.81731
154	YHR094C	0.81693
155	YBL113C	0.81691
156	YDR129C	0.81687
157	YGL070C	0.81673
158	YDL029W	0.81636
159	YJR104C	0.81629
160	YDL064W	0.81621
161	YFL067W	0.81619
162	YCR060W	0.8161
163	YMR034C	0.81607
164	YMR116C	0.816
165	YGR282C	0.81593
166	YDR339C	0.81584
167	YOR094W	0.81568
168	YNL090W	0.81558
169	YOL005C	0.8155
170	YOR293W	0.8154
171	YDR021W	0.8154
172	YJR156C	0.81526
173	YGL211W	0.81521
174	YOR133W	0.81516
175	YDR092W	0.81515
176	YAL038W	0.81495
177	YLR340W	0.81492
178	YDL022W	0.81431
179	YLR347C	0.81423
180	YKL086W	0.81421
181	YKL218C	0.8142
182	YJR105W	0.81405
183	YLR258W	0.81395
184	YDR276C	0.81393
185	YPL129W	0.81374
186	YDL128W	0.81361
187	YGL135W	0.81353
188	YPL220W	0.81353
189	YPL061W	0.8132
190	YHL040C	0.81319
191	YHR203C	0.813
192	YJR145C	0.813
193	YDL108W	0.81293
194	YDR059C	0.81285
195	YDR353W	0.81278
196	YGR211W	0.81264
197	YBL030C	0.81242
198	YDL134C	0.81224
199	YNL064C	0.81223
200	YLR249W	0.812
201	YLL039C	0.81188
202	YML085C	0.81185
203	YER133W	0.81171
204	YJL052W	0.81151
205	YER020W	0.81117
206	YBL026W	0.81114
207	YGL063W	0.81084
208	YEL037C	0.81064
209	YBL016W	0.81046
210	YDR454C	0.81044
211	YLR081W	0.81043
212	YOL147C	0.8104
213	YGL255W	0.8103
214	YPL031C	0.81027
215	YBR187W	0.81021
216	YKR094C	0.80998
217	YIL148W	0.80998
218	YBR169C	0.80976
219	YOR096W	0.80954
220	YJR009C	0.8094
221	YKL152C	0.80923
222	YKL129C	0.80898
223	YLR367W	0.80898
224	YDR394W	0.80894
225	YOR020C	0.80894
226	YNL113W	0.80867
227	YER125W	0.80864
228	YOR187W	0.80858
229	YJL214W	0.80834
230	YBL003C	0.80757
231	YGR209C	0.8074
232	YER099C	0.80729
233	YNL185C	0.807
234	YGR020C	0.80686
235	YDR225W	0.80681
236	YJL159W	0.8068
237	YOL164W	0.80678
238	YGR252W	0.8067
