rank	yeast_gene	cosine
1	YPL218W	0.87395
2	YLR147C	0.8727
3	YHR169W	0.86682
4	YLR234W	0.86168
5	YGL008C	0.85966
6	YGR105W	0.8586
7	YDR155C	0.85426
8	YGL256W	0.8537
9	YDL084W	0.85173
10	YHR189W	0.85136
11	YER072W	0.85123
12	YDL229W	0.85119
13	YPL203W	0.8502
14	YPL036W	0.84958
15	YJL108C	0.84935
16	YBR261C	0.84915
17	YNL209W	0.84862
18	YGL058W	0.84583
19	YPR182W	0.84383
20	YDL126C	0.84322
21	YLL053C	0.84272
22	YOR224C	0.84049
23	YOR122C	0.84036
24	YLR229C	0.83955
25	YKR059W	0.83953
26	YER095W	0.83907
27	YDL192W	0.83749
28	YGR214W	0.83658
29	YLL024C	0.83613
30	YBR252W	0.83608
31	YEL026W	0.83586
32	YLR293C	0.83579
33	YJL014W	0.83434
34	YMR222C	0.83427
35	YMR290C	0.83371
36	YGL054C	0.83348
37	YER103W	0.83346
38	YGR231C	0.83277
39	YDR424C	0.83209
40	YEL070W	0.83178
41	YNR073C	0.83178
42	YBR109C	0.83175
43	YNL189W	0.83151
44	YAL005C	0.83141
45	YKL190W	0.83135
46	YJL164C	0.83116
47	YPR192W	0.83045
48	YDR226W	0.8302
49	YNL135C	0.83019
50	YAL020C	0.83002
51	YOR046C	0.82999
52	YOR185C	0.8297
53	YBR089C-A	0.82925
54	YLL026W	0.82922
55	YBL075C	0.82893
56	YAL064W-B	0.82856
57	YLR048W	0.82842
58	YPR165W	0.8283
59	YNL244C	0.82805
60	YLL060C	0.8278
61	YER148W	0.82763
62	YMR109W	0.82742
63	YNL112W	0.82733
64	YBR164C	0.82724
65	YBR241C	0.82717
66	YBL112C	0.8265
67	YHR218W-A	0.8265
68	YPL017C	0.82646
69	YER074W-A	0.82639
70	YER036C	0.82625
71	YLR338W	0.82608
72	YJL034W	0.82573
73	YDL137W	0.82553
74	YPR080W	0.82543
75	YPR183W	0.82512
76	YPL106C	0.82455
77	YAR002C-A	0.82446
78	YML102W	0.82427
79	YGR218W	0.82414
80	YDL055C	0.82406
81	YBR160W	0.82394
82	YOR204W	0.82376
83	YDR086C	0.82358
84	YPR113W	0.82335
85	YCR012W	0.82321
86	YOL143C	0.82299
87	YHR200W	0.82292
88	YMR260C	0.82273
89	YDL014W	0.82223
90	YJR047C	0.8218
91	YEL051W	0.82179
92	YPL266W	0.82145
93	YGR207C	0.82107
94	YHR018C	0.82105
95	YHR070W	0.82103
96	YFL039C	0.82055
97	YEL034W	0.82044
98	YGL126W	0.82039
99	YGR123C	0.82026
100	YOR089C	0.82026
101	YDR185C	0.81997
102	YPL067C	0.8195
103	YLR113W	0.8191
104	YHL047C	0.81893
105	YDR339C	0.8188
106	YGL211W	0.81845
107	YGL120C	0.81826
108	YNR053C	0.81816
109	YOL005C	0.81793
110	YER107C	0.81734
111	YLR438C-A	0.81733
112	YKL086W	0.81727
113	YPR204W	0.81724
114	YPR052C	0.81709
115	YDR510W	0.81684
116	YOR133W	0.81658
117	YDL166C	0.81613
118	YKL196C	0.81609
119	YPL234C	0.8158
120	YHR030C	0.81552
121	YGR296C-A	0.81546
122	YML133W-A	0.81546
123	YER190C-A	0.81546
124	YPL283W-A	0.81546
125	YNL339W-A	0.81546
126	YJL026W	0.81516
127	YDR373W	0.8151
128	YDR345C	0.81504
129	YKL024C	0.81493
130	YGL070C	0.81459
131	YHR203C	0.81458
132	YJR145C	0.81458
133	YBL113C	0.81416
134	YML012W	0.81413
135	YDL029W	0.81404
136	YMR230W	0.81403
137	YDL047W	0.81384
138	YMR079W	0.81378
139	YBR106W	0.81368
140	YGL063W	0.8136
141	YLR340W	0.81346
142	YFL067W	0.81335
143	YER177W	0.81298
144	YEL027W	0.81288
145	YBL071W-A	0.8128
146	YBR082C	0.81232
147	YBL102W	0.81219
148	YGR234W	0.81207
149	YNL290W	0.81173
150	YOR096W	0.81168
151	YGL135W	0.81168
152	YPL220W	0.81168
153	YLR258W	0.81153
154	YNL185C	0.81145
155	YFL058W	0.81142
156	YOR293W	0.81142
157	YHR092C	0.8114
158	YLL050C	0.81129
159	YEL066W	0.81092
160	YDL064W	0.8108
161	YNL064C	0.81057
162	YPL129W	0.81044
163	YMR292W	0.81037
164	YDL244W	0.81037
165	YLR043C	0.81034
166	YNL332W	0.8103
167	YDR129C	0.81029
168	YDR021W	0.8101
169	YDL108W	0.81003
170	YDL022W	0.80947
171	YHR065C	0.80935
172	YDR092W	0.80909
173	YDR343C	0.80899
174	YML085C	0.80878
175	YAL038W	0.80822
176	YJR156C	0.80822
177	YOR257W	0.8081
178	YLR249W	0.80809
179	YJL052W	0.80809
180	YBR169C	0.80793
181	YMR116C	0.8078
182	YLR367W	0.8077
183	Q0130	0.80756
184	YDR002W	0.80754
185	YDR342C	0.8074
186	YCR060W	0.80736
187	YGR020C	0.8073
188	YBL026W	0.80725
189	YOL147C	0.80721
190	YBL030C	0.80721
191	YBL016W	0.80718
192	YGR211W	0.80695
193	YJL167W	0.80685
194	YOR187W	0.80677
195	YCR010C	0.80653
196	YDR394W	0.80625
197	YER060W-A	0.80621
198	YOR259C	0.80613
199	YMR214W	0.80586
200	YHL040C	0.80579
201	YMR034C	0.80577
202	YNL090W	0.80572
203	YPR102C	0.80571
204	YNL075W	0.80557
205	YNL113W	0.80556
206	YBL003C	0.80546
207	YKL218C	0.80534
208	YLR347C	0.8053
209	YMR173W-A	0.80519
210	YGR085C	0.80509
211	YDL128W	0.80503
212	YPL031C	0.80501
213	YOR094W	0.80483
214	YDR225W	0.8048
215	YOL021C	0.80478
216	YJR009C	0.80473
217	YKL129C	0.80455
218	YJR105W	0.80444
219	YOR020C	0.8044
220	YER020W	0.80433
221	YOL164W	0.80422
222	YKR002W	0.8041
223	YER133W	0.80402
224	YPL061W	0.80387
225	YJL217W	0.80341
226	YGR210C	0.8032
227	YNL148C	0.80311
228	YJL030W	0.80294
229	YDL134C	0.80253
230	YML124C	0.80232
231	YBR187W	0.80231
232	YER099C	0.80231
233	YHR094C	0.80227
234	YJL190C	0.80186
235	YDR353W	0.8018
236	YPR173C	0.80165
237	YDR276C	0.80162
238	YIL078W	0.80159
239	YKL152C	0.80149
240	YER125W	0.80147
241	YJL159W	0.80144
242	YLL039C	0.80141
243	YGL255W	0.80129
244	YJR104C	0.80125
245	YEL054C	0.80122
246	YDR418W	0.80122
247	YJL111W	0.80117
248	YNL014W	0.80115
249	YLR168C	0.80112
250	YHR143W-A	0.80091
251	YJL196C	0.8009
252	YDR059C	0.80069
253	YPL119C	0.80055
254	YGL062W	0.80043
255	YKL216W	0.80039
256	YGR252W	0.80036
257	YJL050W	0.80027
258	YML069W	0.80026
259	YEL037C	0.80018
260	YDR404C	0.80017
261	YHR170W	0.80015
262	YMR186W	0.79965
263	YOR117W	0.79956
264	YDR454C	0.79939
265	YJR058C	0.79923
266	YER009W	0.79894
267	YBL024W	0.79892
268	YGR282C	0.79885
269	YER043C	0.79872
270	YDR238C	0.79858
271	YDR190C	0.79849
272	YKL013C	0.79848
273	YCR009C	0.79842
274	YKR057W	0.79828
275	YLR061W	0.79825
276	YDR075W	0.79803
277	YDL097C	0.79797
278	YKL145W	0.79785
279	YPL240C	0.79758
280	YJL121C	0.79749
281	YPR069C	0.79743
282	YGR253C	0.79733
283	YNL288W	0.79728
284	YGL048C	0.79728
285	YNL255C	0.79709
286	YMR300C	0.79704
287	YGR204W	0.79696
288	YNL096C	0.79696
289	YGR208W	0.79692
290	YDR381W	0.79683
291	YLR081W	0.7968
292	YOR159C	0.79675
293	YGL091C	0.79673
294	YDL160C	0.79665
295	YGL078C	0.79665
296	YER004W	0.79661
297	YJR074W	0.79661
298	YBR010W	0.79642
299	YJL136C	0.79636
300	YGL225W	0.79627
301	YFR018C	0.79618
302	YER146W	0.79617
303	YNL307C	0.79588
304	YKL207W	0.79576
305	YLR200W	0.79569
306	YJL214W	0.79561
307	YBR154C	0.79554
308	YNL098C	0.79547
309	YLR186W	0.79532
310	YLR466W	0.79526
311	YOR161C	0.79513
312	YKR094C	0.7951
313	YIL148W	0.7951
314	YJL191W	0.79508
315	YEL077C	0.79505
316	YJR069C	0.79482
317	YPL058C	0.79471
318	YDR099W	0.79458
319	YER159C	0.79454
320	YER060W	0.79441
321	YOL038W	0.79435
322	YBL021C	0.79428
323	YGL253W	0.79428
324	YER179W	0.79421
325	YLR170C	0.79392
326	YBR218C	0.79382
327	YOL097C	0.79376
328	YIR037W	0.79363
329	YHR174W	0.79351
330	YMR276W	0.79342
331	YBR143C	0.79342
332	YBL078C	0.79342
333	YHL050C	0.79336
334	YDR091C	0.79313
335	YBL068W	0.79312
336	YFL066C	0.79304
337	Q0275	0.79283
338	YKL067W	0.79276
339	YHL011C	0.7927
340	YDL245C	0.79267
341	YML022W	0.79267
342	YJR045C	0.79267
343	YER023W	0.79239
344	YJR158W	0.79235
345	YPL245W	0.79234
346	YMR095C	0.79219
347	YMR246W	0.79208
348	YGL167C	0.79198
349	YOL086W-A	0.79195
350	YGR209C	0.79172
351	YDR429C	0.79168
352	YDR540C	0.79167
353	YMR011W	0.79124
354	YDR300C	0.79124
355	YDL006W	0.79109
356	YPL211W	0.79106
357	YCR020C-A	0.79103
358	YHR096C	0.79079
359	YGR192C	0.79069
360	YHR110W	0.79061
361	YER025W	0.79047
362	YKL002W	0.7904
363	YDR158W	0.79028
364	YOR378W	0.79028
365	YKR039W	0.79026
366	YER166W	0.79022
367	YBR221C	0.79018
368	YOL110W	0.79015
369	YDL083C	0.78996
370	YMR143W	0.78996
371	YBR025C	0.78995
372	YDR139C	0.78979
373	YDL222C	0.78976
374	YFR053C	0.78966
375	YLL018C	0.78964
376	YKL164C	0.78964
377	YNL057W	0.78952
378	YCR031C	0.78949
379	YDR196C	0.78947
380	YEL021W	0.78946
381	YIR036C	0.78933
382	YER117W	0.78919
383	YBL087C	0.78919
384	YFL045C	0.78916
385	YPR041W	0.78915
386	YDR040C	0.789
387	YLR193C	0.78876
388	YHR107C	0.78859
389	YMR316C-B	0.78852
390	YGR281W	0.78848
391	YGR254W	0.78848
392	YOL139C	0.78844
393	YPR088C	0.78842
394	YHL016C	0.78815
395	YER056C	0.78809
396	YOR270C	0.78808
397	YMR183C	0.78804
398	YFL011W	0.788
399	YOR347C	0.78781
400	YCR047C	0.78772
401	YMR015C	0.7877
402	YHL003C	0.78746
403	YDR193W	0.78741
404	YFR014C	0.78739
405	YNR072W	0.78731
406	YDL100C	0.78701
407	YFL034C-A	0.78685
408	YJL213W	0.78682
409	YBR085W	0.78665
410	YMR236W	0.78657
411	YDR388W	0.78652
412	YOL156W	0.78648
413	YDL208W	0.78647
414	YOR362C	0.78647
415	YNR057C	0.7864
416	YIL170W	0.78639
417	YNL010W	0.78631
418	YER190W	0.78586
419	YDR023W	0.78582
420	YNR002C	0.7858
421	YEL069C	0.78578
422	YMR056C	0.78568
423	YJR025C	0.78557
424	YJR014W	0.78553
425	YPL235W	0.78549
426	YOL030W	0.78528
427	YHR106W	0.78521
428	YDL182W	0.78501
429	YJR153W	0.78497
430	YGL099W	0.78493
431	YLR378C	0.7849
432	YPL232W	0.78486
433	YHR010W	0.78483
434	YGR256W	0.78473
435	YNL067W	0.7847
436	YLR167W	0.78464
437	YMR226C	0.78463
438	YIR042C	0.78457
439	YOL058W	0.78454
440	YLR011W	0.78453
441	YMR271C	0.78449
442	YMR307W	0.78444
443	YDL087C	0.7844
444	YHR057C	0.78439
445	YLL028W	0.7843
446	YLL008W	0.7843
447	YMR203W	0.78428
448	YFL037W	0.78426
449	YDR039C	0.78419
450	YBR296C	0.78413
451	YER031C	0.78402
452	YJL219W	0.784
453	YFR015C	0.78387
454	YNL241C	0.78387
455	YKL104C	0.78387
456	YCR059C	0.78375
457	YGL234W	0.78368
458	YBR196C	0.78367
459	YGR040W	0.78363
460	YER174C	0.78342
461	YLR216C	0.7834
462	YGL137W	0.78335
463	YDL188C	0.78333
464	YPR163C	0.78333
465	YIL143C	0.78326
466	YOR298C-A	0.78325
467	YBL050W	0.78319
468	YNL055C	0.78317
469	YML123C	0.78308
470	YGR063C	0.78307
471	YHR148W	0.78307
472	YDR116C	0.78305
473	YER039C	0.78299
474	YPL259C	0.78295
475	YOR084W	0.78281
476	YGL200C	0.78278
477	YDR471W	0.78256
478	YHR128W	0.78242
479	YCL035C	0.78242
480	YLR058C	0.78236
481	YPL275W	0.78233
482	YOL158C	0.78231
483	YIL003W	0.78227
484	YIL021W	0.7822
485	YDR212W	0.78215
486	YDR172W	0.78213
487	YOR027W	0.78206
488	YGL043W	0.78205
489	YPL127C	0.78202
490	YOL094C	0.78199
491	YML024W	0.78199
492	YPL199C	0.78192
493	YHR193C	0.78188
494	YOR265W	0.78185
495	YDR447C	0.78168
496	YAL026C	0.78165
497	YGL147C	0.7815
498	YHR183W	0.78148
499	YDR258C	0.78146
500	YHL006C	0.78142
501	YGL106W	0.78135
502	YNL220W	0.7813
503	YNR050C	0.7813
504	YLR044C	0.78112
505	YFL055W	0.78101
506	YLR289W	0.781
507	YNL268W	0.78095
508	YOR202W	0.78082
509	YLR303W	0.78082
510	YOR197W	0.78078
511	YFL038C	0.78075
512	YLR134W	0.78074
513	YDR328C	0.78072
514	YNL006W	0.78069
515	YPL043W	0.78056
516	YBR249C	0.78056
517	YPR086W	0.78023
518	YER057C	0.78018
519	YKL009W	0.78008
520	YDR038C	0.78003
521	YAR007C	0.78001
522	YKL217W	0.77993
523	YDL168W	0.77987
524	YER171W	0.77976
525	YDR050C	0.77975
526	YGR185C	0.77972
527	YIL065C	0.77969
528	YLR397C	0.77965
529	YOL121C	0.77962
530	YPL237W	0.77951
531	YKR012C	0.77938
532	YOR055W	0.77924
533	YKL163W	0.77922
534	YJR017C	0.77922
535	YEL058W	0.77922
536	YER165W	0.77921
537	YOR323C	0.7792
538	YHR068W	0.77919
539	YER012W	0.77897
540	YOL162W	0.77894
541	YFR009W	0.77887
542	YHR163W	0.77885
543	YDL075W	0.77882
544	YMR197C	0.77882
545	YGR138C	0.77877
546	YPR062W	0.77873
547	YBL076C	0.7786
548	YDR224C	0.7786
549	YJR065C	0.7785
550	YML057W	0.77848
551	YEL020W-A	0.77838
552	YLL067C	0.7783
553	YIL165C	0.77827
554	YER089C	0.77827
555	YJR139C	0.77823
556	YHR019C	0.77815
557	YAR073W	0.77814
558	YLR153C	0.77807
559	YFL017W-A	0.77781
560	YNL330C	0.77779
561	YPL143W	0.77772
562	YJR073C	0.77762
563	YAL003W	0.77751
564	YHL033C	0.77715
565	YCR098C	0.77706
566	YPL013C	0.77697
567	YDL140C	0.77696
568	YDR341C	0.77676
569	YLR406C	0.77671
570	YIL043C	0.77648
571	YGL210W	0.77635
572	YPR181C	0.77633
573	YLR069C	0.77633
574	YOR234C	0.77629
575	YOL133W	0.77626
576	YJL210W	0.77613
577	YCR057C	0.77606
578	YJL079C	0.77583
579	YML101C	0.77581
580	YPR145W	0.77576
581	YBR080C	0.77573
582	YNL302C	0.77568
583	YER018C	0.77562
584	YDR297W	0.77556
585	YBR031W	0.77556
586	YCL033C	0.77536
587	YDR519W	0.77533
588	YGL011C	0.77529
589	YPL093W	0.77526
590	YLR259C	0.7752
591	YHR005C-A	0.77519
592	YOR381W	0.77517
593	YDR406W	0.77509
594	YDR450W	0.77507
595	YML026C	0.77507
596	YBR054W	0.77483
597	YAL061W	0.77481
598	YDR433W	0.77481
599	YPL131W	0.77475
600	YGR152C	0.77474
601	YLR074C	0.77472
602	YBL002W	0.77465
603	YGR180C	0.77462
604	YNR064C	0.77455
605	YDR012W	0.77454
606	YIL121W	0.77454
607	YBL091C	0.77452
608	YNL093W	0.77451
609	YCL040W	0.77442
610	YDR487C	0.77431
611	YOR153W	0.77425
612	YNL323W	0.77425
613	YLL045C	0.77421
614	YPL187W	0.77412
615	YDR536W	0.77402
616	Q0045	0.774
617	YER007C-A	0.77391
618	YDR045C	0.7739
619	YOL039W	0.77389
620	YNL007C	0.77386
621	YER119C	0.77381
622	YHR021C	0.7737
623	YBL091C-A	0.7737
624	YLR348C	0.77363
625	YPR051W	0.77361
626	YEL031W	0.77355
627	YOR150W	0.77351
628	YGL123W	0.77343
629	YBR159W	0.77341
630	YML106W	0.7733
631	YKL166C	0.77327
632	YPR016C	0.77323
633	YOR348C	0.77319
634	YNR003C	0.77307
635	YGL001C	0.77302
636	YHR135C	0.77294
637	YNL281W	0.77293
638	YLL018C-A	0.77286
639	YGR248W	0.77257
640	YIL177C	0.77251
641	YOL075C	0.77248
642	YJL225C	0.77237
643	YEL063C	0.77231
644	YKL117W	0.7723
645	YGL220W	0.77224
646	YDL051W	0.7722
647	YKL080W	0.77215
648	YHR219W	0.77212
649	YJR007W	0.77209
650	YER178W	0.77204
651	YLR448W	0.77186
652	YOR061W	0.77172
653	YGR267C	0.77171
654	YPL081W	0.77165
655	YLR028C	0.77151
656	YGR043C	0.77148
657	YLR157C	0.77147
658	YLR158C	0.77147
659	YLR155C	0.77147
660	YLR160C	0.77147
661	YDL164C	0.77147
662	YEL030W	0.77136
663	YBR243C	0.77136
664	YML094W	0.77128
665	YJL065C	0.77117
666	YDR488C	0.77111
667	YPR108W	0.77111
668	YGR203W	0.77091
669	YCL025C	0.77085
670	YPL051W	0.77084
671	YJL008C	0.77075
672	YJR159W	0.77066
673	YLR291C	0.77052
674	YNL178W	0.77037
675	YKL113C	0.77037
676	YEL046C	0.77032
677	YGR027C	0.77031
678	YDR304C	0.77027
679	YGR245C	0.77022
680	YER055C	0.77022
681	YJR124C	0.77021
682	YPR074C	0.77019
683	YGR279C	0.77018
684	YJL001W	0.77016
685	YNL142W	0.77014
686	YEL039C	0.76991
687	YNR055C	0.76978
688	YCR021C	0.76974
689	YGR132C	0.76964
690	YMR146C	0.76963
691	YER110C	0.76961
692	YOL012C	0.76957
693	YKL160W	0.76948
694	YKR040C	0.76944
695	YLR333C	0.76938
696	YKL220C	0.76936
697	YKL006W	0.76923
698	YKL156W	0.7692
699	YHR089C	0.76917
700	YER081W	0.76913
701	YOR375C	0.76903
702	YBR298C	0.76899
703	YAR035W	0.76897
704	YFL018C	0.76882
705	YKR081C	0.7688
706	YML098W	0.76871
707	YHR007C	0.7687
708	YDR384C	0.76867
709	YGL097W	0.76863
710	YER090W	0.76859
711	YOR317W	0.76857
712	YJR077C	0.76853
713	YCL009C	0.76839
714	YDL230W	0.76831
715	YHL001W	0.76826
716	YJR152W	0.76822
717	YOL084W	0.76818
718	YML018C	0.76787
719	YNL270C	0.76781
720	YDR375C	0.76767
721	YBL036C	0.76765
722	YDR033W	0.76756
723	YDL246C	0.76756
724	YML028W	0.76753
725	YGR173W	0.76751
726	YBR078W	0.76749
727	YLL066C	0.76728
728	YML008C	0.7672
729	YOR103C	0.76716
730	YPR110C	0.76713
731	YLR034C	0.7671
732	YPL028W	0.76703
733	YJR063W	0.76685
734	YGL030W	0.76681
735	YMR314W	0.76677
736	YEL038W	0.76666
737	YBR019C	0.76666
738	YBL082C	0.76664
739	YGL163C	0.76658
740	YMR205C	0.76649
741	YLR195C	0.76639
742	YGR060W	0.76637
743	YPR149W	0.76637
744	YKL146W	0.76625
745	YNL072W	0.76614
746	YPL244C	0.76611
747	YNL024C	0.76606
748	YPL246C	0.76593
749	YLR005W	0.76576
750	YBR223W-A	0.76551
751	YIL069C	0.76551
752	YER074W	0.76551
753	YKL046C	0.76548
754	YKL127W	0.76544
755	YDL135C	0.76527
756	YBR263W	0.76526
757	YKL001C	0.76524
758	YIL009W	0.76512
759	YFR004W	0.76511
760	YML001W	0.76506
761	YNL203C	0.76501
762	YCR048W	0.7648
763	YDR032C	0.76477
764	YOR396W	0.76473
765	YLR467W	0.76473
766	YDR545W	0.76473
767	YGL105W	0.76471
768	YGR131W	0.76459
769	YDR534C	0.76452
770	YBL099W	0.76445
771	YBR210W	0.76439
772	YGR124W	0.76437
773	YKL084W	0.76436
774	YBR008C	0.76426
775	YLR197W	0.76425
776	YPR028W	0.76421
777	YCR004C	0.76411
778	YGL002W	0.76407
779	YGL087C	0.76403
780	YNL274C	0.76394
781	YDR084C	0.7639
782	YKR080W	0.76387
783	YFL060C	0.76367
784	YIR019C	0.76363
785	YFL056C	0.76359
786	YLR326W	0.76343
787	YLR281C	0.76341
788	YER026C	0.76336
789	YMR305C	0.76324
790	YAL044W-A	0.76317
791	YJL033W	0.76311
792	YER143W	0.76295
793	YER019W	0.76292
794	YBR202W	0.7629
795	YML133C	0.76288
796	YKR038C	0.76287
797	YOR004W	0.76285
798	YDL081C	0.76283
799	YLR359W	0.76282
800	YLR180W	0.7628
801	YHR005C	0.76278
802	YDR382W	0.76273
803	YNL339C	0.7627
804	YCR028C	0.76264
805	YPL283C	0.76263
806	YLR243W	0.76263
807	YGR296W	0.76259
808	YML021C	0.76257
809	YLR433C	0.76236
810	YPR138C	0.76235
811	YOR157C	0.7623
812	YOR310C	0.76229
813	YJR048W	0.76228
814	YFL022C	0.76211
815	YGL245W	0.76196
816	YGL157W	0.76185
817	YBR038W	0.76179
818	YBR189W	0.76179
819	YML073C	0.76178
820	YOR126C	0.76167
821	YMR235C	0.76165
822	YLR344W	0.76156
823	YDR408C	0.76155
824	YFR051C	0.76153
825	YFR055W	0.76144
826	YLR237W	0.76144
827	YDR502C	0.76144
828	YPL015C	0.76143
829	YEL011W	0.76129
830	YGL221C	0.76129
831	YIL114C	0.76128
832	YPL154C	0.76122
833	YBR127C	0.76121
834	YOR036W	0.76119
835	YNR036C	0.76111
836	YAR050W	0.76111
837	YER145C	0.76111
838	YKL033W-A	0.76102
839	YBR121C	0.76097
840	YOL151W	0.76094
841	YMR069W	0.76089
842	YPL213W	0.76081
843	YMR120C	0.76065
844	YLR130C	0.76051
845	YIL145C	0.76046
846	YIR035C	0.76044
847	YGR022C	0.76027
848	YLR038C	0.76025
849	YBL015W	0.76014
850	YIR009W	0.76008
851	YMR217W	0.75994
852	YNL240C	0.75993
