rank	yeast_gene	cosine
1	YBR241C	0.96979
2	YPL203W	0.95947
3	YHR030C	0.95704
4	YPL218W	0.9539
5	YER125W	0.95375
6	YNL307C	0.95374
7	YDR040C	0.95353
8	YOL075C	0.95327
9	YDR039C	0.95228
10	YPL031C	0.95177
11	YGR281W	0.9516
12	YMR034C	0.95154
13	YDR038C	0.95094
14	YER020W	0.9503
15	YGR138C	0.94992
16	YHL003C	0.94951
17	YOR089C	0.94909
18	YHL047C	0.94906
19	YER166W	0.94848
20	YJL164C	0.94836
21	YDL134C	0.948
22	YNL098C	0.94716
23	YDL108W	0.94701
24	YDL029W	0.94699
25	YDR456W	0.94682
26	YKL145W	0.94681
27	YLL028W	0.94674
28	YNL093W	0.94635
29	YBR164C	0.94545
30	YJL196C	0.94536
31	YBR160W	0.94532
32	YOR117W	0.94531
33	YPR192W	0.94517
34	YPL051W	0.94483
35	YDL047W	0.94474
36	YDL160C	0.9444
37	YPL017C	0.94385
38	YML018C	0.94364
39	YER133W	0.94346
40	YLR113W	0.9434
41	YPR113W	0.94338
42	YOR094W	0.94325
43	YDR373W	0.94322
44	YKL190W	0.94312
45	YIL121W	0.94305
46	YAL026C	0.94275
47	YJR124C	0.94243
48	YDL188C	0.94235
49	YER026C	0.94234
50	YDR135C	0.94231
51	YER119C	0.94221
52	YGL120C	0.94219
53	YDL137W	0.94183
54	YGL058W	0.94173
55	YJL214W	0.94152
56	YGR152C	0.94141
57	YER190W	0.94141
58	YER089C	0.94124
59	YDR093W	0.94115
60	YBR080C	0.94114
61	YDL230W	0.94111
62	YOL158C	0.94111
63	YNL090W	0.9409
64	YDR394W	0.94081
65	YJR112W-A	0.94056
66	YKL166C	0.94047
67	YGL167C	0.94039
68	YNL288W	0.94033
69	YOR381W	0.94023
70	YDL097C	0.94021
71	YDL126C	0.9402
72	YBR187W	0.94014
73	YFR018C	0.94
74	YGR123C	0.93984
75	YFR014C	0.93969
76	YGR105W	0.93964
77	YOL122C	0.93962
78	YHR094C	0.93955
79	YHL040C	0.93951
80	YDL128W	0.93938
81	YOR084W	0.93931
82	YOR185C	0.93925
83	YLR397C	0.93886
84	YAL020C	0.93876
85	YLR081W	0.93851
86	YDR345C	0.93848
87	YHR110W	0.93848
88	YOL103W	0.93842
89	YPL119C	0.93839
90	YOL084W	0.93822
91	YFR015C	0.938
92	YJL094C	0.938
93	YOR273C	0.93789
94	YLR234W	0.93777
95	YDR196C	0.93774
96	YJR058C	0.93772
97	YDR185C	0.93749
98	YDL245C	0.93744
99	YJR158W	0.93738
100	YLR168C	0.93727
101	YHR092C	0.93722
102	YKL217W	0.93714
103	YDL006W	0.93704
104	YIL120W	0.9369
105	YOR161C	0.93686
106	YFL038C	0.93668
107	YER019W	0.93667
108	YNR032W	0.93667
109	YOR204W	0.93664
110	YEL069C	0.93651
111	YDR497C	0.93643
112	YDL192W	0.9364
113	YNR072W	0.93638
114	YLL067C	0.93622
115	YLR258W	0.93621
116	YLR466W	0.93617
117	YGR040W	0.93607
118	YPR156C	0.93604
119	YDR075W	0.93567
120	YDR545W	0.93564
121	YOR396W	0.93564
122	YLR467W	0.93564
123	YGR224W	0.93562
124	YNR055C	0.93561
125	YCR048W	0.93557
126	YNL339C	0.93549
127	YPL283C	0.93549
128	YGR296W	0.93549
129	YBL016W	0.93547
130	YDL222C	0.93543
131	YJR001W	0.93543
132	YGR218W	0.93539
133	YKL220C	0.93529
134	YAR002C-A	0.93523
135	YDL084W	0.93511
136	YPR173C	0.9351
137	YNL189W	0.9351
138	YOR087W	0.93509
139	YDR508C	0.93509
140	YMR290C	0.93493
141	YJL225C	0.93492
142	YIL177C	0.93491
143	YDR021W	0.93479
144	YOL156W	0.93469
145	YPR183W	0.93465
146	YPL246C	0.93454
147	YLL026W	0.93445
