rank	yeast_gene	cosine
1	YER072W	0.95917
2	YER148W	0.95892
3	YGL008C	0.95771
4	YMR109W	0.95734
5	YEL051W	0.9563
6	YOR224C	0.95614
7	YPL218W	0.9556
8	YPL036W	0.9543
9	YLR234W	0.95229
10	YPR182W	0.95174
11	YGR105W	0.9511
12	YJL014W	0.95088
13	YOR046C	0.95048
14	YDR339C	0.95017
15	YOR204W	0.94968
16	YGR231C	0.94944
17	YHR200W	0.94916
18	YDL126C	0.94882
19	YDR129C	0.94879
20	YMR290C	0.94852
21	YKL190W	0.9484
22	YKL129C	0.94831
23	YLR113W	0.94808
24	YGL120C	0.94792
25	YML102W	0.94772
26	YER177W	0.94768
27	YPR204W	0.94763
28	YLR258W	0.94749
29	YNL189W	0.94738
30	YNL209W	0.94722
31	YNL112W	0.94713
32	YPL129W	0.94712
33	YDL229W	0.94689
34	YKL196C	0.94676
35	YIL143C	0.94675
36	YKR059W	0.94654
37	YJL050W	0.94567
38	YPL203W	0.94552
39	YDL166C	0.94488
40	YPL266W	0.9447
41	YBL075C	0.9443
42	YJL034W	0.9443
43	YJL030W	0.94418
44	YNR053C	0.94396
45	YER107C	0.94379
46	YMR230W	0.94349
47	YDL084W	0.94315
48	YML012W	0.94311
49	YCR009C	0.943
50	YGR210C	0.94298
51	YDR424C	0.94298
52	YBL078C	0.94286
53	YNL064C	0.94268
54	YLR186W	0.94258
55	YHR030C	0.94257
56	YOR185C	0.94254
57	YEL034W	0.9425
58	YAR002C-A	0.94227
59	YPR173C	0.94223
60	YPL119C	0.94188
61	YDR099W	0.9415
62	YER103W	0.94148
63	YHR169W	0.94144
64	YBR154C	0.94139
65	YGR252W	0.94137
66	YNL113W	0.9413
67	YNL290W	0.94127
68	YOR293W	0.94123
69	YAL005C	0.94113
70	YLL024C	0.94108
71	YGR218W	0.94107
72	YDR238C	0.94091
73	YLR293C	0.94069
74	YOR270C	0.94068
75	YPL235W	0.94042
76	YOL005C	0.94042
77	YFL058W	0.94038
78	YLL026W	0.94033
79	YHR170W	0.94028
80	YNL332W	0.94003
81	YDL244W	0.93996
82	YDL014W	0.93985
83	YBR261C	0.93982
84	YJR156C	0.9396
85	YPL245W	0.93942
86	YDL140C	0.93916
87	YBL112C	0.93905
88	YHR218W-A	0.93905
89	YPL093W	0.93891
90	YGR211W	0.93887
91	YDR510W	0.93882
92	YOR257W	0.93872
93	YKR002W	0.93868
94	YEL077C	0.93835
95	YHR148W	0.93831
96	YDR021W	0.93826
97	YNL014W	0.93795
98	YLR249W	0.93754
99	YPR041W	0.93748
100	YCR047C	0.93733
101	YGL062W	0.93714
102	YLR147C	0.93701
103	YGL058W	0.93692
104	YER095W	0.93682
105	YDR185C	0.93654
106	YOL021C	0.93647
107	YMR236W	0.9364
108	YDR190C	0.93627
109	YBR164C	0.93623
110	YGL070C	0.9362
111	YCL009C	0.93608
112	YER036C	0.93598
113	YLR229C	0.93597
114	YLR466W	0.93586
115	YML069W	0.93579
116	YPL199C	0.93574
117	YHR107C	0.93571
118	YPL106C	0.93569
119	YBR106W	0.93531
120	YJL164C	0.93529
121	YJL108C	0.93493
122	YFR015C	0.93466
123	YER159C	0.93462
124	YPR165W	0.93447
125	YKL013C	0.93431
126	YOL143C	0.93421
127	YGR020C	0.9341
128	YBR218C	0.93409
129	YHR070W	0.93406
130	YJR047C	0.93404
131	YNL288W	0.93388
132	YGL211W	0.93386
133	YER020W	0.93363
134	YDL192W	0.93363
135	YBR160W	0.93344
136	YOR259C	0.93336
137	YML085C	0.93331
138	YGL099W	0.93316
139	YOL038W	0.93304
140	YBL016W	0.93299
141	YOR187W	0.9328
142	YHR065C	0.9324
143	YOL097C	0.93239
144	YPR113W	0.93238
145	YDL097C	0.93215
146	YGL091C	0.93213
147	YBR082C	0.9318
148	YDR172W	0.93163
149	YBL026W	0.9316
150	YLR289W	0.93158
151	YCR010C	0.93139
152	YBR169C	0.93132
153	YER171W	0.93125
154	YLR438C-A	0.93123
155	YDR394W	0.93123
156	YDL055C	0.93103
157	YOR122C	0.93102
158	YDR373W	0.93101
159	YCR057C	0.93092
160	YDR388W	0.9309
161	YML124C	0.93089
162	YDL222C	0.93086
163	YGR123C	0.93066
164	YBR080C	0.93065
165	YNL098C	0.93054
166	YBR252W	0.93048
167	YPL067C	0.93042
168	YDL160C	0.93033
169	YBL071W-A	0.93016
170	YDL022W	0.93007
171	YNR003C	0.93005
172	YER125W	0.92993
173	YDR155C	0.92992
174	YLR168C	0.92988
175	YGL048C	0.92988
176	YNL255C	0.92985
177	YBL091C	0.92982
178	YOR089C	0.9298
179	YOR117W	0.92979
180	YPL094C	0.92976
181	YBR089C-A	0.92963
182	YDL137W	0.92958
183	YHR110W	0.92956
184	YOR133W	0.92955
185	YDL064W	0.92919
186	YGR207C	0.92896
187	YFL066C	0.92891
188	YMR300C	0.92871
189	YKL002W	0.92863
190	YMR260C	0.92861
191	YPR052C	0.92849
192	YJL111W	0.92842
193	YHL047C	0.92833
194	YBL021C	0.92806
195	YBR143C	0.9277
196	YGL078C	0.92766
197	YPR183W	0.92762
198	YIL078W	0.92757
199	YBR109C	0.92748
200	YDR300C	0.92746
201	YBL024W	0.92745
202	YFL039C	0.92739
203	YPL237W	0.92724
204	YGR267C	0.92722
205	YKL104C	0.92707
206	YLR170C	0.92675
207	YNL090W	0.92671
208	YJR007W	0.92659
209	YNL006W	0.92657
210	YOR094W	0.92651
211	YOL133W	0.92647
212	YBL003C	0.92633
213	YDR225W	0.92629
214	YKL024C	0.92617
215	YDR059C	0.92607
216	YLR200W	0.92597
217	YDR091C	0.92596
218	YER166W	0.92595
219	YFR014C	0.92585
220	YMR222C	0.92583
221	YFR004W	0.92576
222	YJL026W	0.92573
223	YDR092W	0.92562
224	YMR034C	0.92559
225	YGL256W	0.92553
226	YER190W	0.92542
227	YDR404C	0.92531
228	YIL021W	0.92525
229	YFR053C	0.92523
230	YGR253C	0.92521
231	YOR362C	0.92518
232	YJR025C	0.92508
233	YPR086W	0.92508
234	YER074W-A	0.92508
235	YKL145W	0.92495
236	YER165W	0.92491
237	YJL008C	0.92474
238	YNL244C	0.92471
239	YGL253W	0.9247
240	YJR014W	0.92468
241	YER025W	0.92466
242	YPL240C	0.92466
243	YOR061W	0.92454
244	YMR214W	0.92454
245	YMR079W	0.92427
246	YLL067C	0.92406
247	YDL029W	0.92385
248	YMR015C	0.92381
249	YLL018C	0.92376
250	YJR045C	0.92369
251	YNL075W	0.92353
252	YJL012C	0.92352
253	YPL017C	0.92349
254	YLL060C	0.92341
255	YHL040C	0.92329
256	YGL255W	0.92324
257	YMR186W	0.92321
258	YNL148C	0.92318
259	YNL241C	0.92316
260	YGL011C	0.92316
261	YLR005W	0.92312
262	YDR167W	0.92311
263	YMR203W	0.92309
264	YMR146C	0.92292
265	YMR183C	0.92288
266	YHR189W	0.92284
267	YHL016C	0.92279
268	YDR375C	0.92267
269	YJL033W	0.92254
270	YFR009W	0.92253
271	YLR074C	0.92251
272	YHR068W	0.92233
273	YDR116C	0.92232
274	YOR004W	0.92226
275	YLR195C	0.92222
276	YJR065C	0.92218
277	YPR080W	0.92215
278	YPR192W	0.92213
279	YEL031W	0.9221
280	YOR197W	0.9221
281	YNL330C	0.92202
282	YDR258C	0.92199
283	YHL050C	0.92195
284	YLR193C	0.92195
285	YOR027W	0.92188
286	YBR127C	0.92186
287	YBR296C	0.92178
288	YDR023W	0.92175
289	YJR069C	0.9217
290	YDR212W	0.92167
291	YGL054C	0.92162
292	YHR135C	0.92162
293	YER012W	0.92161
294	YNR073C	0.92148
295	YEL070W	0.92148
296	YDL182W	0.92147
297	YGL043W	0.92141
298	YAL020C	0.9214
299	YKL216W	0.92139
300	YAL026C	0.92124
301	YPL232W	0.92115
302	YPR088C	0.92114
303	YNR002C	0.92106
304	YOL139C	0.92091
305	YNL010W	0.92087
306	YBR187W	0.92066
307	YGR204W	0.92065
308	YLR326W	0.9205
309	YOL110W	0.92049
310	YPL043W	0.92031
311	YBR054W	0.92012
312	YLR058C	0.92007
313	YDL087C	0.92003
314	YKR038C	0.91992
315	YDR540C	0.91989
316	YCL010C	0.91985
317	YHR019C	0.9198
318	YPR110C	0.9198
319	YER081W	0.9198
320	YER043C	0.91977
321	YER099C	0.91973
322	YNL132W	0.91971
