rank	yeast_gene	cosine
1	YHR030C	0.97018
2	YMR034C	0.96823
3	YHL003C	0.96742
4	YHL047C	0.96699
5	YNL288W	0.96658
6	YBR241C	0.96595
7	YDR196C	0.96565
8	YJR124C	0.96503
9	YHL040C	0.96491
10	YPR113W	0.96481
11	YDL108W	0.96448
12	YPL203W	0.96346
13	YPL031C	0.96333
14	YIL121W	0.963
15	YAL026C	0.96256
16	YKL146W	0.96252
17	YBR187W	0.96234
18	YBR160W	0.96214
19	YDL128W	0.962
20	YGR281W	0.9618
21	YER119C	0.96174
22	YBR243C	0.9611
23	YDR135C	0.96108
24	YOL122C	0.96087
25	YDR375C	0.96078
26	YGR040W	0.96073
27	YER125W	0.96054
28	YER026C	0.96035
29	YER019W	0.96023
30	YML018C	0.95989
31	YLR113W	0.95979
32	YCR028C	0.95937
33	YGL120C	0.95927
34	YBL016W	0.95923
35	YOL075C	0.95917
36	YER020W	0.95908
37	YNL095C	0.95867
38	YLR168C	0.95863
39	YJL164C	0.95853
40	YDR040C	0.95848
41	YNR055C	0.95826
42	YDR039C	0.95815
43	YGL002W	0.95804
44	YLR034C	0.95789
45	YPL058C	0.95776
46	YER171W	0.95769
47	YKL104C	0.95767
48	YOL158C	0.95758
49	YHR110W	0.95757
50	YOR257W	0.95754
51	YDR038C	0.95749
52	YEL031W	0.95749
53	YIL120W	0.95745
54	YPR183W	0.95719
55	YGR218W	0.95714
56	YKR002W	0.95707
57	YER145C	0.95695
58	YHR050W	0.95694
59	YPL221W	0.95681
60	YJL108C	0.9568
61	YPL244C	0.95674
62	YDR185C	0.95649
63	YFR018C	0.9562
64	YKR053C	0.95619
65	YBR080C	0.95608
66	YDR373W	0.95608
67	YLR466W	0.95601
68	YER166W	0.95595
69	YPL175W	0.95592
70	YOR270C	0.95582
71	YJR001W	0.95577
72	YGR138C	0.95558
73	YLR268W	0.95552
74	YOL021C	0.9555
75	YDL097C	0.95529
76	YIR028W	0.95515
77	YLR193C	0.9551
78	YNL275W	0.95509
79	YDL001W	0.95496
80	YMR015C	0.95489
81	YBR038W	0.95484
82	YKL166C	0.95484
83	YBR235W	0.95465
84	YOR084W	0.9545
85	YMR109W	0.95438
86	YER190W	0.95422
87	YDR406W	0.95415
88	YLR005W	0.95406
89	YCR048W	0.95404
90	YGR152C	0.95396
91	YGL167C	0.95394
92	YGR197C	0.95388
93	YHR032W	0.95387
94	YLL028W	0.95383
95	YOL162W	0.9538
96	YLR170C	0.95379
97	YCL073C	0.95369
98	YPL246C	0.95369
99	YIR022W	0.95364
100	YGR055W	0.95359
101	YLR397C	0.95349
102	YMR221C	0.95349
103	YOR092W	0.95341
104	YKL078W	0.95291
105	YKR106W	0.9529
106	YDR011W	0.9529
107	YAR002C-A	0.95279
108	YCL025C	0.95275
109	YBR296C	0.95273
110	YER039C	0.95254
111	YAL023C	0.95243
112	YNR048W	0.95236
113	YBR164C	0.95233
114	YNL125C	0.95227
115	YCR009C	0.95216
116	YGR065C	0.95197
117	YGL139W	0.95188
118	YGL200C	0.95187
119	YER089C	0.95186
120	YDL134C	0.95185
121	YGL047W	0.9518
122	YPR051W	0.95169
123	YEL064C	0.95167
124	YOR380W	0.95159
125	YKL039W	0.95157
126	YHR200W	0.95138
127	YDL057W	0.95131
128	YKR068C	0.95131
129	YHR135C	0.95125
130	YJR015W	0.9512
131	YOR381W	0.95112
132	YDL100C	0.95106
133	YHR132C	0.95103
134	YDR508C	0.95102
135	YDL160C	0.951
136	YDR093W	0.95079
137	YER133W	0.95078
138	YOR273C	0.95075
139	YDR090C	0.95073
140	YOR087W	0.95064
141	YDR404C	0.95061
142	YNL189W	0.95056
143	YBR043C	0.95053
144	YJL198W	0.95033
145	YDR536W	0.95029
146	YJR058C	0.95027
147	YGR105W	0.95025
148	YDL102W	0.95023
149	YDL052C	0.95023
150	YNL290W	0.95019
151	YLR234W	0.95013
152	YHL016C	0.95012
153	YML012W	0.95004
154	YHR005C	0.95003
155	YNL268W	0.94999
156	YNL270C	0.94995
157	YLR130C	0.94991
158	YPR192W	0.94986
159	YDR092W	0.94984
160	YOL038W	0.94983
161	YEL065W	0.94964
162	YJR152W	0.94962
163	YHR190W	0.94944
164	YOR153W	0.94942
165	YIL001W	0.94941
166	YOR328W	0.9494
167	YOR197W	0.94937
168	YEL077C	0.94933
169	YER090W	0.94928
170	YNL093W	0.94921
171	YPL006W	0.94911
172	YDL188C	0.94908
173	YDR074W	0.94905
174	YGR191W	0.94898
175	YJL196C	0.94896
176	YNL090W	0.94895
177	YBR159W	0.94894
178	YOR348C	0.94889
179	YOR326W	0.94885
180	YPL051W	0.94884
181	YJL134W	0.94879
182	YIL109C	0.94871
183	YDR545W	0.94865
184	YOR396W	0.94865
185	YLR467W	0.94865
186	YPL259C	0.94861
187	YAR035W	0.94855
188	YML124C	0.94855
189	YKR026C	0.94854
190	YBR021W	0.9485
191	YDL029W	0.94849
192	YNR070W	0.94849
193	YKL190W	0.94845
194	YGL012W	0.94842
195	YER012W	0.9484
196	YLR347C	0.94833
197	YJL214W	0.9483
198	YDR328C	0.94822
199	YMR054W	0.94817
200	YDL047W	0.94816
201	YBL082C	0.94805
202	YNR002C	0.94804
203	YMR079W	0.94804
