rank	yeast_gene	cosine
1	YOR378W	0.961
2	YER039C	0.95624
3	YFL011W	0.94721
4	YMR011W	0.94697
5	YGL225W	0.94682
6	YIL170W	0.94568
7	YHR096C	0.94495
8	YPR165W	0.9445
9	YLR229C	0.94373
10	YLR081W	0.94368
11	YFL026W	0.9431
12	YDR342C	0.94304
13	YHR094C	0.94292
14	YEL013W	0.94263
15	YJL219W	0.94232
16	YDR343C	0.94225
17	YHR092C	0.94167
18	YNR072W	0.94092
19	YOL156W	0.94091
20	YEL069C	0.94057
21	YHR128W	0.94027
22	YDR345C	0.94002
23	YJL214W	0.93985
24	YDR536W	0.93939
25	YDL006W	0.93875
26	YER081W	0.93767
27	YDL245C	0.93746
28	YML018C	0.93621
29	YJR158W	0.93588
30	YIL074C	0.93473
31	YJR065C	0.93434
32	YOR257W	0.93374
33	YLR113W	0.93348
34	YNL006W	0.93318
35	YOL094C	0.93274
36	YKL146W	0.93075
37	YBL016W	0.92981
38	YNL290W	0.92851
39	YFL039C	0.92849
40	YPR016C	0.92827
41	YCR098C	0.92806
42	YEL065W	0.92773
43	YDR021W	0.9272
44	YKR059W	0.92716
45	YFL066C	0.92715
46	YFL055W	0.92693
47	YER069W	0.92658
48	YOR061W	0.92626
49	YCL017C	0.92616
50	YMR243C	0.9247
51	YHL016C	0.92446
52	YNL090W	0.92368
53	YMR015C	0.92291
54	YIL048W	0.92242
55	YJL108C	0.92223
56	YBR043C	0.9222
57	YGR252W	0.92206
58	YMR109W	0.92201
59	YNL191W	0.92181
60	YBR114W	0.92171
61	YEL027W	0.92088
62	YHR007C	0.92077
63	YPL264C	0.92075
64	YGL077C	0.92062
65	YDL210W	0.92038
66	YGL255W	0.92022
67	YDR091C	0.91985
68	YEL042W	0.91969
69	YHL040C	0.91951
70	YKR039W	0.91882
71	YER052C	0.91866
72	YBR241C	0.91853
73	YGR040W	0.91836
74	YFL038C	0.91831
75	YJR068W	0.91814
76	YBR164C	0.91798
77	YJL164C	0.91783
78	YKL218C	0.91768
79	YDL001W	0.9176
80	YNL270C	0.9175
81	YDL137W	0.91742
82	YEL063C	0.91718
83	YJR095W	0.91702
84	YML123C	0.91697
85	YER094C	0.91696
86	YER133W	0.91689
87	YER072W	0.91592
88	YIL143C	0.91554
89	YER171W	0.91521
90	YDR099W	0.91517
91	YDR497C	0.91485
92	YER119C	0.91472
93	YNL268W	0.9147
94	YGL210W	0.91466
95	YDR341C	0.91465
96	YKL129C	0.91464
97	YHL047C	0.91459
98	YBR008C	0.91453
99	YER025W	0.91403
100	YIL116W	0.91386
101	YKL166C	0.91386
102	YOL162W	0.91328
103	YMR108W	0.91323
104	YPL086C	0.91308
105	YMR279C	0.91303
106	YBR160W	0.913
107	YLR092W	0.91288
108	YJR148W	0.91271
109	YOR153W	0.91231
110	YBR294W	0.91231
111	YPL036W	0.91223
112	YBR126C	0.91203
113	YGR152C	0.91198
114	YLR359W	0.91156
115	YBR287W	0.91153
