rank	yeast_gene	cosine
1	YHR169W	0.95013
2	YLR234W	0.95
3	YPL218W	0.94666
4	YGL058W	0.94392
5	YDL084W	0.94381
6	YPL203W	0.93901
7	YGR105W	0.93897
8	YDL126C	0.93896
9	YOR185C	0.93617
10	YLR293C	0.93608
11	YER095W	0.93422
12	YLR258W	0.93396
13	YAL020C	0.93371
14	YLL026W	0.93342
15	YKL190W	0.93249
16	YLR147C	0.93184
17	YML102W	0.93181
18	YAR002C-A	0.93069
19	YER036C	0.93068
20	YPL067C	0.93027
21	YNL148C	0.93022
22	YHR030C	0.92932
23	YGL120C	0.92925
24	YPL017C	0.92922
25	YHR189W	0.92906
26	YOR224C	0.92879
27	YDL229W	0.92867
28	YOR204W	0.92831
29	YGR231C	0.92818
30	YDR185C	0.92784
31	YNL209W	0.92755
32	YHR200W	0.92668
33	YGL211W	0.92664
34	YGL126W	0.92637
35	YJL034W	0.92542
36	YGR218W	0.92524
37	YGL008C	0.92512
38	YKL145W	0.92464
39	YMR290C	0.92457
40	YDL029W	0.92457
41	YBL021C	0.92438
42	YNL189W	0.92403
43	YNL112W	0.92401
44	YOL005C	0.92387
45	YPR182W	0.92387
46	YBR261C	0.92285
47	YBR109C	0.92257
48	YJL164C	0.9225
49	YER125W	0.92224
50	YOR117W	0.92217
51	YMR222C	0.9221
52	YLR168C	0.92183
53	YDR394W	0.92152
54	YEL051W	0.92148
55	YOL110W	0.92144
56	YHR065C	0.92123
57	YOR089C	0.9209
58	YDR424C	0.92082
59	YPL036W	0.92076
60	YDR373W	0.92058
61	YMR109W	0.92053
62	YHR107C	0.92032
63	YMR214W	0.92026
64	YDL087C	0.91994
65	YGL070C	0.9199
66	YGL054C	0.91963
67	YNL064C	0.91947
68	YER072W	0.91932
69	YER159C	0.91932
70	YDR086C	0.9192
71	YGL063W	0.91907
72	YDL064W	0.91897
73	YJL030W	0.91891
74	YNL288W	0.91887
75	YPR204W	0.91872
76	YNL098C	0.9185
77	YOR046C	0.91779
78	YDL166C	0.9177
79	YLR113W	0.91768
80	YER020W	0.91764
81	YKR059W	0.91763
82	YOR259C	0.9175
83	YNL307C	0.9174
84	YML012W	0.91739
85	YGR211W	0.91732
86	YFR015C	0.9173
87	YGR123C	0.91719
88	YOL147C	0.91706
89	YGL048C	0.917
90	YPL119C	0.91697
91	YER166W	0.91684
92	YLR249W	0.91681
93	YER107C	0.9164
94	YOR133W	0.91636
95	YBR160W	0.91624
96	YNL014W	0.91623
97	YPL245W	0.91623
98	YML101C	0.91615
99	YDL192W	0.91592
100	YBL075C	0.91588
101	YGL099W	0.91571
102	YPR192W	0.91561
103	YJL014W	0.91513
104	YLL008W	0.91471
105	YPL106C	0.91435
106	YDL097C	0.91391
107	YPR173C	0.91387
108	YDR238C	0.91372
109	YML085C	0.91356
110	YCR060W	0.91346
111	YIL021W	0.91333
112	YER103W	0.91324
113	YDL160C	0.91304
114	YER148W	0.91264
115	YPR113W	0.91233
116	YGL043W	0.9123
117	YFR014C	0.9122
118	YLL024C	0.91212
119	YCR020C-A	0.91208
120	YLL053C	0.91191
121	YKR002W	0.91186
122	YBR169C	0.91183
123	YJL050W	0.91179
124	YOR036W	0.91171
125	YBR241C	0.91169
126	YBL102W	0.91131
127	YJR074W	0.9112
128	YHR110W	0.91117
129	YNL113W	0.91113
130	YPR041W	0.91088
131	YER074W-A	0.91087
132	YHL050C	0.91087
133	YBL091C-A	0.91053
134	YLR438C-A	0.91038
135	YJR058C	0.91028
136	YML124C	0.91018
137	YDL137W	0.91015
138	YBR164C	0.91011
