rank	yeast_gene	cosine
1	YDL192W	0.92772
2	YDL137W	0.92535
3	YPL218W	0.92493
4	YBR241C	0.92078
5	YBR164C	0.91831
6	YKR059W	0.91581
7	YLR229C	0.9145
8	YDR345C	0.91432
9	YPR165W	0.91237
10	YFL039C	0.91207
11	YKL190W	0.91178
12	YHR092C	0.91176
13	YGL256W	0.91165
14	YPL203W	0.91023
15	YJL108C	0.91005
16	YHR094C	0.90888
17	YDR343C	0.90793
18	YER072W	0.90756
19	YGL008C	0.90744
20	YDR342C	0.90738
21	YPR183W	0.90703
22	YPL036W	0.90493
23	YDL047W	0.90492
24	YJL214W	0.90401
25	YMR011W	0.90386
26	YOR094W	0.90373
27	YLR081W	0.9037
28	YNL189W	0.90322
29	YJL164C	0.90133
30	YHL047C	0.90122
31	YHR096C	0.90122
32	YDL006W	0.90112
33	YKL024C	0.90056
34	YDL245C	0.89997
35	YMR034C	0.89995
36	YFL011W	0.89981
37	YIL170W	0.89958
38	YBR109C	0.89945
39	YJR158W	0.8994
40	YER009W	0.89929
41	YGL225W	0.89905
42	YOR378W	0.8989
43	YPR182W	0.8989
44	YPR192W	0.89881
45	YDR373W	0.89825
46	YOL156W	0.8975
47	YNL090W	0.89743
48	YKR039W	0.89723
49	YDL126C	0.89616
50	YGL255W	0.89614
51	YDR155C	0.896
52	YNR072W	0.896
53	YOR257W	0.89523
54	YER060W-A	0.89516
55	YEL069C	0.89515
56	YOR089C	0.89477
57	YJL219W	0.89471
58	YGR105W	0.89465
59	YFL055W	0.89445
60	YFL038C	0.89422
61	YLR113W	0.89365
62	YLR234W	0.89327
63	YHL040C	0.8929
64	YBR160W	0.8929
65	YBR261C	0.8927
66	YDL229W	0.89249
67	YNL209W	0.89223
68	YNL112W	0.89218
69	YHR218W-A	0.89148
70	YBL112C	0.89148
71	YDL134C	0.89139
72	YDR021W	0.89136
73	YMR079W	0.89135
74	YER039C	0.89102
75	YMR109W	0.89089
76	YJL167W	0.89084
77	YMR290C	0.89029
78	YER133W	0.89021
79	YDR075W	0.89017
80	YPL234C	0.8895
81	YCR010C	0.88913
82	YLL053C	0.88912
83	YMR015C	0.88882
84	YNL135C	0.88865
85	YDL084W	0.88855
86	YPL266W	0.88854
87	YER060W	0.88847
88	YOR204W	0.88823
